Unnamed: 0,title,date,stock,sentiment
28573.0,"Shares of some technology companies are trading higher on continued optimism amid the reopening of the economy, which would increase consumer spending and economic activity.",2020-06-08 11:44:00-04:00,ADS,positive
28574.0,Shares of several companies in the broader technology sector are trading higher as markets rally on strong US jobs data.,2020-06-05 09:54:00-04:00,ADS,positive
28575.0,Shares of several financial services companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 09:52:00-04:00,ADS,positive
28576.0,"Shares of several companies in the broader technology sector are trading higher amid market volatility. The sector has performed well, partly due to the work-from-home environment, which has led to greater for virtual communication, e-commerce and software programs.",2020-06-01 12:38:00-04:00,ADS,positive
28577.0,12 Financial Services Stocks Moving In Monday's Pre-Market Session,2020-06-01 07:36:00-04:00,ADS,neutral
28578.0,"Deutsche Bank Maintains Hold on Alliance Data Systems, Raises Price Target to $60",2020-05-27 07:36:00-04:00,ADS,neutral
28579.0,96 Biggest Movers From Yesterday,2020-05-27 04:20:00-04:00,ADS,neutral
28580.0,61 Stocks Moving In Tuesday's Mid-Day Session,2020-05-26 12:29:00-04:00,ADS,neutral
28581.0,Shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:12:00-04:00,ADS,positive
28582.0,"Shares of several technology companies are trading higher as equities gain amid strength in oil, strong earnings from Lowe's, and optimism towards a US economic rebound.",2020-05-20 10:19:00-04:00,ADS,positive
28583.0,Shares of several technology companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine.,2020-05-18 09:39:00-04:00,ADS,positive
28584.0,"Shares of several technology companies are trading lower amid market weakness, selling off from recent sector strength. Equities have moved lower for the session, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy.",2020-05-13 12:11:00-04:00,ADS,negative
28585.0,"Shares of several financial services companies are trading lower as investors weigh the effects of US states reopening their economies, which has led to concerns of a potential resurgence in coronavirus cases.",2020-05-11 10:17:00-04:00,ADS,neutral
28586.0,"Shares of several financial companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-05-07 10:52:00-04:00,ADS,positive
28587.0,Shares of several global financial services companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:49:00-04:00,ADS,negative
28588.0,Shares of several global financial services companies are trading higher for the session as some US states ease lockdown restrictions and as investors weigh quarterly earnings from blue-chip companies.,2020-04-28 10:37:00-04:00,ADS,positive
28589.0,"Benzinga's Top Upgrades, Downgrades For April 27, 2020",2020-04-27 09:32:00-04:00,ADS,positive
28590.0,"Oppenheimer Maintains Outperform on Alliance Data Systems, Lowers Price Target to $72",2020-04-27 08:39:00-04:00,ADS,negative
28591.0,Alliance Data System shares are trading higher after Compass Point upgraded the stock from Neutral to Buy and announced a price target of $65 per share.,2020-04-27 08:28:00-04:00,ADS,positive
28592.0,"Compass Point Upgrades Alliance Data Systems to Buy, Announces $65 Price Target",2020-04-27 07:52:00-04:00,ADS,neutral
28593.0,"CFRA Maintains Hold on Alliance Data Systems, Lowers Price Target to $50",2020-04-24 12:04:00-04:00,ADS,negative
28594.0,"SunTrust Robinson Humphrey Maintains Buy on Alliance Data Systems, Raises Price Target to $50",2020-04-24 09:41:00-04:00,ADS,neutral
28595.0,Alliance Data Systems shares are trading higher after the company reported better-than-expected Q1 sales results.,2020-04-23 10:52:00-04:00,ADS,positive
28596.0,Recap: Alliance Data Systems Q1 Earnings,2020-04-23 09:33:00-04:00,ADS,neutral
28597.0,"Alliance Data Systems Q1 EPS $0.750 Does Not Compare To $2.780 Estimate, Sales $1.382B Beat $1.280B Estimate",2020-04-23 07:31:00-04:00,ADS,neutral
28598.0,"Earnings Scheduled For April 23, 2020",2020-04-23 04:23:00-04:00,ADS,neutral
28599.0,"CFRA Maintains Hold on Alliance Data Systems, Lowers Price Target to $35",2020-04-22 10:52:00-04:00,ADS,negative
28600.0,"9 Worst-Performing Stocks Of 2020: Buy, Sell Or Hold?",2020-04-16 09:40:00-04:00,ADS,neutral
28601.0,Shares of several banks and financial services companies are trading lower after major US banks reporter mixed quarterly earnings. Overall market weakness also being driven by a drop in US March retail sales and a decline in oil prices.,2020-04-15 09:09:00-04:00,ADS,negative
28602.0,12 Financial Services Stocks Moving In Monday's Pre-Market Session,2020-04-13 07:37:00-04:00,ADS,neutral
28603.0,"Shares of several financial services companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",2020-04-08 10:17:00-04:00,ADS,positive
28604.0,"Benzinga's Top Upgrades, Downgrades For April 8, 2020",2020-04-08 09:35:00-04:00,ADS,positive
28605.0,Wells Fargo Downgrades Alliance Data Systems to Underweight,2020-04-08 07:34:00-04:00,ADS,positive
28606.0,80 Biggest Movers From Yesterday,2020-04-08 04:12:00-04:00,ADS,neutral
28607.0,"Shares of several financial companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity, and investment.",2020-04-07 14:03:00-04:00,ADS,positive
28608.0,56 Stocks Moving In Tuesday's Mid-Day Session,2020-04-07 12:47:00-04:00,ADS,neutral
28609.0,Shares of several financial services stocks are trading higher with the broader market on optimism that coronavirus cases in several US hotspots appear to be reaching their peak and global oil producers appear to be working toward production cooperation.,2020-04-06 08:45:00-04:00,ADS,positive
28610.0,"Shares of several financial services and global banks companies are trading lower, selling off from this week's strength. While the US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus outbreak.",2020-03-27 09:36:00-04:00,ADS,positive
28611.0,120 Biggest Movers From Yesterday,2020-03-25 04:02:00-04:00,ADS,neutral
28612.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,ADS,negative
28613.0,130 Biggest Movers From Yesterday,2020-03-18 06:06:00-04:00,ADS,neutral
28614.0,94 Stocks Moving In Tuesday's Mid-Day Session,2020-03-17 12:41:00-04:00,ADS,neutral
28615.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,ADS,negative
28616.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,ADS,negative
28617.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-05 10:29:00-05:00,ADS,negative
28618.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-04 11:12:00-05:00,ADS,negative
28619.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,ADS,negative
28620.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,ADS,negative
28621.0,Stocks That Hit 52-Week Lows On Wednesday,2020-02-26 11:14:00-05:00,ADS,negative
28622.0,Stocks That Hit 52-Week Lows On Tuesday,2020-02-25 10:22:00-05:00,ADS,negative
28623.0,"Benzinga's Top Upgrades, Downgrades For February 18, 2020",2020-02-18 10:11:00-05:00,ADS,positive
28624.0,JMP Securities Downgrades Alliance Data Systems to Market Perform,2020-02-18 05:44:00-05:00,ADS,positive
28625.0,"CFRA Maintains Hold on Alliance Data Systems, Lowers Price Target to $130",2020-01-31 11:01:00-05:00,ADS,negative
28626.0,"RBC Capital Maintains Outperform on Alliance Data Systems, Lowers Price Target to $135",2020-01-31 10:27:00-05:00,ADS,negative
28627.0,"UBS Maintains Buy on Alliance Data Systems, Lowers Price Target to $140",2020-01-31 08:23:00-05:00,ADS,negative
28628.0,Recap: Alliance Data Systems Q4 Earnings,2020-01-30 09:41:00-05:00,ADS,neutral
28629.0,"Alliance Data Systems Sees FY20 Core EPS $20.50, Sales $5.6B",2020-01-30 07:35:00-05:00,ADS,neutral
28630.0,"Alliance Data Systems Q4 EPS $4.12 Misses $4.37 Estimate, Sales $1.461B Miss $1.5B Estimate",2020-01-30 07:35:00-05:00,ADS,negative
28631.0,"Earnings Scheduled For January 30, 2020",2020-01-30 04:59:00-05:00,ADS,neutral
28632.0,"Benzinga's Top Upgrades, Downgrades For January 14, 2020",2020-01-14 10:17:00-05:00,ADS,positive
28633.0,Argus Research Downgrades Alliance Data Systems to Hold,2020-01-14 07:44:00-05:00,ADS,neutral
28634.0,Alliance Data Names Ralph Andretta President & CEO,2019-11-18 16:32:00-05:00,ADS,neutral
28635.0,"Alliance Data Selected To Provide Co-Brand Credit Card Services For Sony As Part Of New Agreement, Helping Enhance Customer Loyalty And Digital Engagement",2019-11-12 07:38:00-05:00,ADS,positive
28636.0,"Benzinga's Top Upgrades, Downgrades For November 11, 2019",2019-11-11 09:38:00-05:00,ADS,positive
28637.0,"Oppenheimer Upgrades Alliance Data Systems to Outperform, Announces $125 Price Target",2019-11-11 07:11:00-05:00,ADS,neutral
28638.0,9 S&P 500 Stocks With The Most Insider Selling,2019-11-08 13:53:00-05:00,ADS,neutral
28639.0,"UBS Maintains Buy on Alliance Data Systems, Lowers Price Target to $143",2019-10-30 08:17:00-04:00,ADS,negative
28640.0,"Benzinga's Top Upgrades, Downgrades For October 25, 2019",2019-10-25 12:44:00-04:00,ADS,positive
28641.0,"JMP Securities Maintains Market Outperform on Alliance Data Systems, Lowers Price Target to $125",2019-10-25 10:07:00-04:00,ADS,positive
28642.0,"Stephens & Co. Maintains Equal-Weight on Alliance Data Systems, Lowers Price Target to $130",2019-10-25 09:56:00-04:00,ADS,negative
28643.0,10 Stocks With The Highest Long-Term Debt Loads,2019-10-25 09:40:00-04:00,ADS,negative
28644.0,Edward Jones Downgrades Alliance Data Systems to Hold,2019-10-25 06:21:00-04:00,ADS,neutral
28645.0,"Wells Fargo Downgrades Alliance Data Systems to Market Perform, Announces $115 Price Target",2019-10-25 06:18:00-04:00,ADS,positive
28646.0,21 Stocks Moving In Thursday's Mid-Day Session,2019-10-24 13:21:00-04:00,ADS,neutral
28647.0,Stocks That Hit 52-Week Lows On Thursday,2019-10-24 10:22:00-04:00,ADS,negative
28648.0,Alliance Data Systems shares are trading lower after the company reported worse-than-expected Q3 EPS and sales.,2019-10-24 08:44:00-04:00,ADS,neutral
28649.0,Alliance Data Systems  Sees FY19 Core EPS $20.50-$20.75 vs $19.22 Est.,2019-10-24 07:32:00-04:00,ADS,neutral
28650.0,"Alliance Data Systems Q3 Core EPS $5.05 Misses $5.21 Estimate, Sales $1.44B Miss $1.46B Estimate",2019-10-24 07:31:00-04:00,ADS,negative
28651.0,"Earnings Scheduled For October 24, 2019",2019-10-24 04:05:00-04:00,ADS,neutral
28652.0,12 Cheapest Cash Flow Stocks In The S&P 500,2019-10-21 09:21:00-04:00,ADS,neutral
28653.0,Stocks That Hit 52-Week Lows On Wednesday,2019-10-09 12:55:00-04:00,ADS,negative
28654.0,"SunTrust Robinson Humphrey Maintains Buy on Alliance Data Systems, Lowers Price Target to $150",2019-09-24 08:29:00-04:00,ADS,negative
28655.0,"Alliance Data Systems Reports New Deal To Provide Private Label Credit Program For Sally Beauty, No Terms Disclosed",2019-09-17 06:47:00-04:00,ADS,positive
28656.0,Alliance Data Reports Aug. Card Services Performance,2019-09-16 07:41:00-04:00,ADS,neutral
28657.0,"Benzinga's Top Upgrades, Downgrades For September 11, 2019",2019-09-11 10:31:00-04:00,ADS,positive
28658.0,Goldman Sachs Upgrades Alliance Data Systems to Buy,2019-09-11 06:29:00-04:00,ADS,neutral
28659.0,12 Cheapest Stocks In The S&P 500,2019-09-10 12:14:00-04:00,ADS,neutral
