Unnamed: 0,title,date,stock,sentiment
58859.0,UPDATE: Allegiant Sees Q2 Cash Burn Down To ~$1.75M/Day,2020-06-09 09:02:00-04:00,ALG,neutral
58860.0,"Alamo Group Q1 EPS $1.310 Misses $1.380 Estimate, Sales $314.400M Miss $327.820M Estimate",2020-05-06 18:00:00-04:00,ALG,negative
58861.0,"Alamo Group Say The Board Of Directors Has Temporarily Suspended Cash Compensation For All Of Its Independent Board Members Until Further Notice; Company Also Said From 4,300 Global Workers 1,210 Are Not Working Due To Coronavirus",2020-04-07 16:19:00-04:00,ALG,negative
58862.0,"Shares of several industrial companies are trading lower amid overall market weakness. The coronavirus has caused global macro disruption, which has been a negative catalyst for the sector as output and investment outlook is hampered.",2020-04-03 15:20:00-04:00,ALG,negative
58863.0,"Sidoti & Co. Maintains Buy on Alamo Group, Lowers Price Target to $110",2020-03-31 09:24:00-04:00,ALG,negative
58864.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,ALG,negative
58865.0,Alamo Group Earlier Announces It Will Temporarily Closes Its French Operating Facilities,2020-03-19 09:20:00-04:00,ALG,neutral
58866.0,"Alamo Group Q4 EPS $1.32 Misses $1.51 Estimate, Sales $300.189M Beat $293.21M Estimate",2020-02-27 16:44:00-05:00,ALG,negative
58867.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,ALG,neutral
58868.0,Alamo Group Raises Quarterly Dividend From $0.12 To $0.13/Share,2020-01-02 16:20:00-05:00,ALG,neutral
58869.0,"Alamo Group Q3 EPS $1.54 Down From $1.75 YoY, Sales $271.829M Up From $257.572M YoY",2019-10-30 17:36:00-04:00,ALG,neutral
58870.0,Stocks That Hit 52-Week Highs On Wednesday,2019-10-30 10:35:00-04:00,ALG,neutral
58871.0,"Sidoti & Co. Maintains Buy on Alamo Group, Raises Price Target to $150",2019-10-25 10:00:00-04:00,ALG,neutral
58872.0,Stocks That Hit 52-Week Highs On Wednesday,2019-10-23 10:23:00-04:00,ALG,neutral
58873.0,Civil Construction Equipment Industry Thrives In The Face Of Slowing Economy,2019-10-02 12:42:00-04:00,ALG,neutral
58874.0,Stocks That Hit 52-Week Highs On Thursday,2019-09-12 10:51:00-04:00,ALG,neutral
58875.0,Stellex Capital Reports Deal To Sell Morbark To Alamo Group For $352M,2019-09-12 09:01:00-04:00,ALG,neutral
58876.0,"Alamo Group Enters Into Agreement to Acquire Morbark, LLC; Financial Terms Not Disclosed",2019-09-11 18:13:00-04:00,ALG,positive
58877.0,"Sidoti & Co. Maintains Buy on Alamo Group, Raises Price Target to $128",2019-09-06 10:09:00-04:00,ALG,neutral
58878.0,Stocks That Hit 52-Week Highs On Monday,2019-08-19 10:53:00-04:00,ALG,neutral
58879.0,"Alamo Group Reports Purchase Of Dixie Chopper Business, No Terms Disclosed",2019-08-05 16:49:00-04:00,ALG,negative
58880.0,100 Biggest Movers From Yesterday,2019-08-02 05:53:00-04:00,ALG,neutral
58881.0,"Sidoti & Co. Maintains Buy on Alamo Group, Raises Price Target to $123",2019-08-01 09:16:00-04:00,ALG,neutral
58882.0,"Alamo Group Q2 EPS $1.75 Beats $1.62 Estimate, Sales $285.2M Beat $271.94M Estimate",2019-07-31 17:13:00-04:00,ALG,neutral
58883.0,"Alamo Group Q1 EPS $1.3 Misses $1.36 Estimate, Sales $261.934M Beat $250.11M Estimate",2019-05-01 18:07:00-04:00,ALG,negative
58884.0,A Preview Of Alamo Group's Earnings,2019-05-01 08:02:00-04:00,ALG,neutral
58885.0,Shares of several stocks in the industrial and farm & construction equipment sector are trading lower after Lindsay Corp reported significantly worse-than-expected Q2 financial results. Some US industrials may also be affected by the EU and China agreeing to discuss an investment treaty and the issue of industrial subsidies,2019-04-09 10:18:00-04:00,ALG,positive
58886.0,"Alamo Group Q4 EPS $1.38 Beats $1.30 Estimate, Sales $256.038M Beat $252.83M Estimate",2019-02-28 17:41:00-05:00,ALG,neutral
58887.0,"Earnings Scheduled For February 28, 2019",2019-02-28 04:08:00-05:00,ALG,neutral
58888.0,Alamo Group Inc. To Acquire Dutch Power Company In The Netherlands; Terms Not Disclosed,2019-02-21 08:07:00-05:00,ALG,neutral
58889.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 20, 2018",2018-12-20 11:33:00-05:00,ALG,negative
58890.0,Alamo Group Raises Qtr. Dividend From $0.11 To $0.12/Share,2018-12-19 16:21:00-05:00,ALG,neutral
58891.0,"Stocks Which Set New 52-Week Low Yesterday, Thurs., Dec. 13, 2018",2018-12-14 11:03:00-05:00,ALG,negative
58892.0,"Alamo Group, Inc. Q3 EPS $2 Beats $1.75 Estimate, Sales $257.57M Beat $248.5M Estimate",2018-10-31 17:03:00-04:00,ALG,neutral
58893.0,"Stocks Which Set New 52-Week Low Friday, October 26th",2018-10-29 09:56:00-04:00,ALG,negative
58894.0,"Stocks Which Set New 52-Week Low Yesterday, October 23rd",2018-10-24 10:06:00-04:00,ALG,negative
58895.0,"Stocks Which Set New 52-Week Low Yesterday, October 11th",2018-10-12 11:30:00-04:00,ALG,negative
58896.0,"Alamo Group Q2 EPS $1.60 Beats $1.40 Estimate, Sales $257.125M Beat $240.67M Estimate",2018-08-01 17:14:00-04:00,ALG,neutral
58897.0,Alamo Group Appoints Roderick Baty Its New Chairman of the Board,2018-05-03 17:42:00-04:00,ALG,neutral
58898.0,"Alamo Group Q1 EPS $1.24 Misses $1.47 Estimate, Sales $238.08M Miss $244.22M Estimate",2018-05-03 08:09:00-04:00,ALG,negative
58899.0,Alamo Group Inc. Receives Notification Of Strike At Gradall Industries Subsidiary,2018-03-12 16:30:00-04:00,ALG,negative
58900.0,"Alamo Group Reports Q4 EPS $1.15 vs $1.04 Est., Sales $243M vs $227M Est.",2018-03-01 16:18:00-05:00,ALG,neutral
58901.0,"Earnings Scheduled For March 1, 2018",2018-03-01 04:17:00-05:00,ALG,neutral
58902.0,Alamo Group Increases its Qtr Dividend From $0.10 to $0.11/Share,2018-01-02 08:04:00-05:00,ALG,neutral
58903.0,Alamo Group Increases Qtr. Dividend From $0.10 To $0.11/Share,2018-01-02 08:00:00-05:00,ALG,neutral
58904.0,"Alamo Group Reports Gary Martin To Retire As Chair; Pres, CEO Ron Robinson Named As Successor",2017-11-20 16:17:00-05:00,ALG,positive
58905.0,"Alamo Group Reports EPS $1.42 vs $1.25 Est., Sales $240.5M vs $226.08M Est.",2017-10-31 16:27:00-04:00,ALG,neutral
58906.0,Alamo Group Acquires RPM Tech For C$16.7M,2017-08-08 17:46:00-04:00,ALG,neutral
58907.0,"Alamo Group Reports Q2 EPS $1.05 vs $1.04 Est., Sales $213.3M vs $217.91M Est.",2017-08-02 18:04:00-04:00,ALG,neutral
58908.0,Alamo Group Completes Acquisition of Santa Izabel Agro Industria In Brazil,2017-06-06 16:16:00-04:00,ALG,neutral
58909.0,"Alamo Group Reports Q1 EPS $1.05 vs $0.75 in Same Qtr. Last Year, Sales $215.4M vs $207M Est.",2017-05-03 18:06:00-04:00,ALG,neutral
58910.0,"Alamo Group Inc. To Acquire Santa Izabel Agro Industria LTDA. In Brazil, Terms Not Disclosed",2017-05-02 16:30:00-04:00,ALG,neutral
58911.0,"Alamo Group Reports Q4 Adj. EPS $0.81 vs. $0.89 Est., Sales $205.5M vs. $216M Est.",2017-03-07 16:20:00-05:00,ALG,neutral
58912.0,"Earnings Scheduled For March 7, 2017",2017-03-07 04:48:00-05:00,ALG,neutral
58913.0,Alamo Group Inc. To Acquire Old Dominion Brush Company For $20M,2017-02-08 16:16:00-05:00,ALG,neutral
58914.0,"Alamo Group Reports Q3 EPS $1.14 vs $1.22 Est, Sales $216.8M vs $27.47M Est",2016-11-03 16:51:00-04:00,ALG,neutral
58915.0,Alamo Group Dividend Provides 0.5% Yield,2016-07-01 16:35:00-04:00,ALG,neutral
58916.0,S&P Dow Jones Indices Announces 'LKQ Set to Join the S&P 500; Medical Properties Trust to Join S&P MidCap 400; Alamo Group to Join S&P SmallCap 600',2016-05-18 18:46:00-04:00,ALG,positive
58917.0,"S&P Dow Jones Indices Announces LKQ Corp to Join S&P 500, Medical Properties Trust to Join S&P MidCap 400, Alamo Group to Join S&P SmallCap 600",2016-05-18 17:24:00-04:00,ALG,positive
58918.0,"Alamo Group Reports Q1 EPS $0.75 vs $0.73 Est., Sales $210.97M vs $210.5M Est.",2016-05-04 17:48:00-04:00,ALG,neutral
58919.0,"Alamo Group Reports Q4 EPS $0.99 vs $0.91 Est., Sales $224.4M vs $224M Est.",2016-03-03 16:21:00-05:00,ALG,neutral
58920.0,"Alamo Group Reports Q4 EPS $0.99 vs. Est. $0.91, Rev. $224.4M vs. Est. $224.04M",2016-03-03 16:18:00-05:00,ALG,neutral
58921.0,Alamo Group Increases Qtr. Dividend From $0.08 To $0.09/Share,2016-01-04 16:17:00-05:00,ALG,neutral
58922.0,"Alamo Group Reports Q3 EPS $1.28 Vs Est $1.35, Sales $231.6M Vs Est $240.50M",2015-11-04 17:31:00-05:00,ALG,neutral
58923.0,"Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest EPS Growth Forecast For Next 5 Years (TWI, CMCO, ASTE, ALG)",2015-10-26 04:32:00-04:00,ALG,positive
58924.0,Top 4 NYSE Stocks In The Farm & Construction Machinery Industry With The Highest EPS Growth Forecast For Next 5 Years,2015-09-16 04:14:00-04:00,ALG,positive
58925.0,Top 4 Small-Cap Stocks In The Gold Industry With The Highest EPS Growth Forecast For Next 5 Years,2015-09-15 04:59:00-04:00,ALG,positive
58926.0,Top 4 NYSE Stocks In The Farm & Construction Machinery Industry With The Lowest PEG Ratio,2015-06-24 04:35:00-04:00,ALG,negative
58927.0,"Alamo Group Reports Q1 Adj. EPS $0.74 vs $0.77 Est., Sales $207.8M vs $212M Est.",2015-05-06 17:02:00-04:00,ALG,neutral
58928.0,"Alamo Group Names Richard Raborn EVP, North American Agricultural Division",2015-03-30 16:07:00-04:00,ALG,neutral
58929.0,"Thursday's Mid-Day Market Movers: Vivint Solar, Alamo Group And More",2015-03-05 13:00:00-05:00,ALG,neutral
58930.0,"Alamo Group Reports Q4 Adj. EPS $1.09 vs $0.70 Est., Sales $223.9M vs $209M Est.",2015-03-04 18:17:00-05:00,ALG,neutral
58931.0,"Earnings Scheduled For March 4, 2015",2015-03-04 05:09:00-05:00,ALG,neutral
58932.0,Alamo Group Raises Qtr. Dividend from $0.07 to $0.08/Share,2015-01-02 16:01:00-05:00,ALG,neutral
58933.0,"Bank of America Initiates Coverage on Alamo Group, Inc. at Buy, Announces $55.00 PT",2014-11-24 08:58:00-05:00,ALG,neutral
58934.0,"Piper Jaffray Initiates Coverage on Alamo Group, Inc. at Overweight, Announces $58.00 PT",2014-11-24 05:59:00-05:00,ALG,negative
58935.0,UPDATE: Global Hunter Upgrades Alamo Group,2014-11-18 13:05:00-05:00,ALG,neutral
58936.0,"Global Hunter Upgrades Alamo Group, Inc. to Buy, Raises PT to $55.00",2014-11-18 10:23:00-05:00,ALG,neutral
58937.0,Alamo Group Inc. Announces The Public Offering Of 1.72M Common Stock,2014-11-10 16:28:00-05:00,ALG,neutral
58938.0,"Midday Gainers From November 6: Planar Systems, Alamo Group, Kate Spade & Co And More",2014-11-06 12:59:00-05:00,ALG,neutral
58939.0,Mid-Day Market Update: Genworth Declines On Downbeat Earnings; Sierra Wireless Shares Spike Higher,2014-11-06 12:38:00-05:00,ALG,positive
58940.0,"Alamo GroUp, Inc. Reports Q3 EPS of $1.16 vs $0.89 Est; Revenue of $233.20M vs $207.40M Est",2014-11-05 17:52:00-05:00,ALG,neutral
58941.0,"Alamo Group To Repurchase 849,690 Shares At $40.26/Share",2014-09-25 06:08:00-04:00,ALG,positive
58942.0,"Alamo GroUp, Inc. Reports Q2 EPS of $0.87 vs $1.05 Est",2014-08-06 16:53:00-04:00,ALG,neutral
58943.0,"Global Hunter Initiates Coverage on Alamo Group, Inc. at Neutral, Announces $51.00 PT",2014-06-19 07:44:00-04:00,ALG,neutral
58944.0,"Alamo GroUp, Inc. Reports Q1 EPS of $0.59, Inline; Revenue of $171.30M vs $166.42M Est",2014-05-06 18:47:00-04:00,ALG,neutral
58945.0,Alamo Group Europe Ltd. Acquires Kellands Agricultural Ltd. and Multidrive Tractors; Terms Undisclosed,2014-04-02 16:05:00-04:00,ALG,neutral
58946.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest EPS Estimates,2014-03-18 04:10:00-04:00,ALG,positive
58947.0,"Alamo GroUp, Inc. Reports Q4 EPS of $0.49 vs $0.45 Est; Revenue of $165.60M vs $155.47M Est",2014-03-06 16:17:00-05:00,ALG,neutral
58948.0,Alamo Group to Acquire Operating Units of Specialized Industries for Approximately $186M,2014-02-24 21:12:00-05:00,ALG,neutral
58949.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest EPS Estimates For The Next Quarter,2013-12-16 04:25:00-05:00,ALG,positive
58950.0,Alamo Group To Acquire Bandit Industries; Terms Undisclosed,2013-11-19 16:06:00-05:00,ALG,neutral
58951.0,"Alamo GroUp, Inc. Reports Q3 EPS of $0.93 vs $0.79 Est; Revenue of $174.70M vs $164.33M Est",2013-11-07 17:30:00-05:00,ALG,neutral
58952.0,Top 4 NYSE Stocks In The Farm & Construction Mcahinery Industry With The Highest Dividend Yield ,2013-09-19 04:21:00-04:00,ALG,positive
58953.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest EPS Estimates,2013-08-21 05:09:00-04:00,ALG,positive
58954.0,Top 4 NYSE Stocks In The Farm & Construction Machinery Industry With The Highest Dividend Yield,2013-04-30 04:23:00-04:00,ALG,positive
58955.0,"Alamo GroUp, Inc. Reports Q4 EPS of $0.40 vs $0.30 Est; Revenue of $149.40M vs $157.71M Est",2013-03-06 16:16:00-05:00,ALG,neutral
58956.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest Dividend Yield,2013-02-04 01:14:00-05:00,ALG,positive
58957.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest Revenue,2013-01-31 01:18:00-05:00,ALG,positive
58958.0,Alamo Group Raises Qtr. Dividend from $0.06 to $0.07/Share,2013-01-02 16:18:00-05:00,ALG,neutral
58959.0,"Feltl & Co. Initiates Coverage on Alamo Group, Inc. at Hold, Announces $31.00 PT",2012-11-30 10:31:00-05:00,ALG,neutral
58960.0,Alamo Group Reports Q3 EPS $0.71 vs $0.80 Est; Revenues $156.1M,2012-11-06 16:35:00-05:00,ALG,neutral
58961.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest Revenue,2012-11-06 02:42:00-05:00,ALG,positive
58962.0,Top 4 Small-Cap Stocks In The Farm & Construction Machinery Industry With The Highest EPS Estimates,2012-09-13 04:41:00-04:00,ALG,positive
