Unnamed: 0,title,date,stock,sentiment
86100.0,Shares of several companies in the broader technology sector are trading higher as markets rally on strong US jobs data.,2020-06-05 09:54:00-04:00,APH,positive
86101.0,"Shares of several technology companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls. The sector has performed well this year amid the stay-at-home environment, which has been a positive for virtual communication, enterprise software and e-commerce.",2020-06-03 11:55:00-04:00,APH,positive
86102.0,Shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:12:00-04:00,APH,positive
86103.0,Shares of several technology companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine.,2020-05-18 09:39:00-04:00,APH,positive
86104.0,"Shares of several technology companies are trading lower amid market weakness, selling off from recent sector strength. Equities have moved lower for the session, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy.",2020-05-13 12:11:00-04:00,APH,negative
86105.0,"Shares of several technology companies are trading higher amid market strength as some US states begin easing lockdown measures, which has raised hopes of an economic rebound. Investors also weigh recent earnings from companies in the space.",2020-05-05 11:34:00-04:00,APH,positive
86106.0,Shares of several technology companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies. NOTE: This could potentially be a sell-off after the S&P 500 rallied 12.7% over the past month.,2020-05-01 09:10:00-04:00,APH,negative
86107.0,Shares of several technology companies are trading higher. Movement appears market related as equities gain amid a rebound in oil prices.,2020-04-23 11:01:00-04:00,APH,positive
86108.0,"JP Morgan Maintains Neutral on Amphenol, Lowers Price Target to $90",2020-04-23 09:20:00-04:00,APH,positive
86109.0,"Wells Fargo Maintains Overweight on Amphenol, Raises Price Target to $95",2020-04-23 08:04:00-04:00,APH,negative
86110.0,Recap: Amphenol Q1 Earnings,2020-04-22 09:31:00-04:00,APH,neutral
86111.0,"Amphenol Q1 Adj. EPS $0.710 Misses $0.740 Estimate, Sales $1.862B Beat $1.840B Estimate",2020-04-22 08:01:00-04:00,APH,negative
86112.0,"Earnings Scheduled For April 22, 2020",2020-04-22 04:07:00-04:00,APH,neutral
86113.0,"Shares of several technology companies are trading lower as equities fall amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15 09:14:00-04:00,APH,negative
86114.0,"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.",2020-04-07 07:45:00-04:00,APH,positive
86115.0,Shares of several semiconductor and large technology stocks are trading higher with the broader market on optimism that coronavirus cases in several US hotspots appear to be reaching their peak.,2020-04-06 08:55:00-04:00,APH,positive
86116.0,"B of A Securities Reiterates Buy on Amphenol, Lowers Price Target to $95",2020-04-02 08:15:00-04:00,APH,positive
86117.0,"Shares of several technology, semiconductor and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus.",2020-03-27 11:30:00-04:00,APH,positive
86118.0,"Morgan Stanley Maintains Overweight on Amphenol, Lowers Price Target to $86",2020-03-18 08:47:00-04:00,APH,negative
86119.0,"Shares of several technology, semiconductor and software companies are trading higher, rebounding from Monday's crash. Stocks may also potentially be getting a boost from expectations of further stimulus proposals.",2020-03-17 11:46:00-04:00,APH,positive
86120.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,APH,negative
86121.0,"Morgan Stanley Maintains Overweight on Amphenol, Lowers Price Target to $107",2020-03-10 09:21:00-04:00,APH,negative
86122.0,Amphenol Says Does Not Expect To Meet Q1 Sales And Adj. EPS Guidance Given Uncertainty Surrounding China Production,2020-02-24 08:14:00-05:00,APH,negative
86123.0,"Shares of technology companies are trading higher amid a continued rebound in equities following last week's selloff. Shares sold off last week amid coronavirus fears in China, as the sector has exposure to the country.",2020-02-04 09:04:00-05:00,APH,positive
86124.0,Hearing Amphenol Sees Sequential Sales Moderation In 2020,2020-01-22 13:43:00-05:00,APH,neutral
86125.0,"Amphenol Sees Q1 Adj. EPS $0.85-$0.87 vs $0.89 Est., Sales $1.96B-$2.00B vs $1.95B Est.; Sees FY20 Adj. EPS $3.76-$3.84 vs $3.98 Est., $8.24B-$8.40B vs $8.38B Est.",2020-01-22 08:03:00-05:00,APH,neutral
86126.0,"Amphenol Q4 Adj. EPS $0.98 Beats $0.91 Estimate, Sales $2.151B Beat $2B Estimate",2020-01-22 08:01:00-05:00,APH,neutral
86127.0,"Earnings Scheduled For January 22, 2020",2020-01-22 04:06:00-05:00,APH,neutral
86128.0,Cross Research Downgrades Amphenol to Sell,2020-01-21 10:37:00-05:00,APH,neutral
86129.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-09 15:15:00-05:00,APH,neutral
86130.0,"Morgan Stanley Maintains Overweight on Amphenol, Raises Price Target to $112",2019-12-18 08:20:00-05:00,APH,negative
86131.0,"Benzinga's Top Upgrades, Downgrades For December 17, 2019",2019-12-17 11:16:00-05:00,APH,positive
86132.0,"RBC Capital Initiates Coverage On Amphenol with Sector Perform Rating, Announces $110 Price Target",2019-12-17 09:17:00-05:00,APH,neutral
86133.0,Stocks That Hit 52-Week Highs On Monday,2019-12-16 10:16:00-05:00,APH,neutral
86134.0,"Benzinga's Top Upgrades, Downgrades For December 16, 2019",2019-12-16 10:10:00-05:00,APH,positive
86135.0,A Peek Into The Markets: US Stock Futures Up Ahead Of Economic Data,2019-12-16 06:16:00-05:00,APH,neutral
86136.0,"Jefferies Initiates Coverage On Amphenol with Buy Rating, Announces $125 Price Target",2019-12-16 06:14:00-05:00,APH,neutral
86137.0,Stocks That Hit 52-Week Highs On Friday,2019-12-13 11:19:00-05:00,APH,neutral
86138.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-12 10:21:00-05:00,APH,neutral
86139.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-11 10:49:00-05:00,APH,neutral
86140.0,"Amphenol Earlier Reported Q3 EPS $0.95 Beats $0.87 Estimate, Sales $2.101B Beat $1.98B Estimate",2019-10-31 09:39:00-04:00,APH,neutral
86141.0,"Wells Fargo Maintains Outperform on Amphenol, Raises Price Target to $112",2019-10-24 07:39:00-04:00,APH,positive
86142.0,16 Technology Stocks Moving In Wednesday's Pre-Market Session,2019-10-23 08:46:00-04:00,APH,neutral
86143.0,Amphenol shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also raised its FY19 EPS and sales guidance above analyst estimates.,2019-10-23 08:37:00-04:00,APH,positive
86144.0,"UPDATE: Amphenol Raises FY19 Guidance: Adj. EPS From $3.56-$3.60 To $3.65-$3.67 vs $3.58 Estimate, Sales From $7.92B-$8B To $8.035B-$8.075B vs $7.96B Est.",2019-10-23 08:11:00-04:00,APH,neutral
86145.0,"Amphenol Sees Q3 Adj. EPS $0.89-$0.91 vs $0.91 Estimate, Sales $1.96B-$2B vs $2.01B",2019-10-23 08:10:00-04:00,APH,neutral
86146.0,Amphenol Raises FY19 Guidance,2019-10-23 08:10:00-04:00,APH,neutral
86147.0,"Amphenol Q3 Adj. EPS $0.95 Beats $0.87 Estimate, Sales $2.101B Beat $1.98B Estimate",2019-10-23 08:09:00-04:00,APH,neutral
86148.0,"Earnings Scheduled For October 23, 2019",2019-10-23 04:15:00-04:00,APH,neutral
86149.0,"JP Morgan Initiates Coverage On Amphenol with Neutral Rating, Announces $104 Price Target",2019-10-22 06:44:00-04:00,APH,positive
86150.0,Amphenol Corporation Announces Consideration For Cash Tender Offers,2019-09-10 15:46:00-04:00,APH,neutral
86151.0,Shares of several tech companies are trading higher with the broader stock market after the Chinese Minister of Commerce said the leaders of the US and China are set to meet in Washington D.C in October.,2019-09-05 11:53:00-04:00,APH,positive
