Unnamed: 0,title,date,stock,sentiment
105821.0,Stocks That Hit 52-Week Highs On Friday,2020-05-08 10:32:00-04:00,ATLC,neutral
105822.0,Stocks That Hit 52-Week Highs On Monday,2020-02-10 10:25:00-05:00,ATLC,neutral
105823.0,Stocks That Hit 52-Week Highs On Friday,2020-01-24 10:41:00-05:00,ATLC,neutral
105824.0,Stocks That Hit 52-Week Highs On Wednesday,2020-01-22 10:17:00-05:00,ATLC,neutral
105825.0,46 Financial Services Stocks Moving In Tuesday's Session,2020-01-21 14:50:00-05:00,ATLC,neutral
105826.0,Stocks That Hit 52-Week Highs On Tuesday,2020-01-21 10:11:00-05:00,ATLC,neutral
105827.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,ATLC,neutral
105828.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,ATLC,neutral
105829.0,46 Biggest Movers From Yesterday,2019-09-20 04:45:00-04:00,ATLC,neutral
105830.0,52 Biggest Movers From Yesterday,2019-09-19 05:18:00-04:00,ATLC,neutral
105831.0,Mid-Afternoon Market Update: Lands' End Surges On Upbeat Results; Mallinckrodt Shares Plummet,2019-09-05 14:37:00-04:00,ATLC,positive
105832.0,60 Biggest Movers From Yesterday,2019-08-22 05:12:00-04:00,ATLC,neutral
105833.0,44 Stocks Moving In Tuesday's Mid-Day Session,2019-08-20 12:21:00-04:00,ATLC,neutral
105834.0,Stocks That Hit 52-Week Highs On Tuesday,2019-08-20 10:27:00-04:00,ATLC,neutral
105835.0,72 Biggest Movers From Yesterday,2019-08-20 05:24:00-04:00,ATLC,neutral
105836.0,Stocks That Hit 52-Week Highs On Monday,2019-08-19 10:53:00-04:00,ATLC,neutral
105837.0,Mid-Day Market Update: Plus Therapeutics Surges After Q2 Earnings; SAExploration Shares Plummet,2019-08-16 12:04:00-04:00,ATLC,positive
105838.0,Stocks That Hit 52-Week Highs On Friday,2019-08-16 10:35:00-04:00,ATLC,neutral
105839.0,Stocks That Hit 52-Week Highs On Thursday,2019-08-15 11:17:00-04:00,ATLC,neutral
105840.0,Stocks That Set New 52-Week Highs Thursday,2019-08-08 12:19:00-04:00,ATLC,neutral
105841.0,55 Biggest Movers From Yesterday,2018-10-04 05:29:00-04:00,ATLC,neutral
105842.0,"Stocks Which Set New 52-Week High Yesterday, October 2nd",2018-10-03 12:59:00-04:00,ATLC,neutral
105843.0,45 Biggest Movers From Yesterday,2018-10-03 05:40:00-04:00,ATLC,neutral
105844.0,"Stocks Which Set New 52-Week High Yesterday, October 1st",2018-10-02 09:20:00-04:00,ATLC,neutral
105845.0,48 Biggest Movers From Yesterday,2018-10-02 04:51:00-04:00,ATLC,neutral
105846.0,4 Stocks Moving In Monday's After-Hours Session,2018-10-01 17:53:00-04:00,ATLC,neutral
105847.0,42 Biggest Movers From Yesterday,2018-08-24 04:13:00-04:00,ATLC,neutral
105848.0,50 Biggest Movers From Yesterday,2018-08-23 05:10:00-04:00,ATLC,neutral
105849.0,44 Stocks Moving In Monday's Mid-Day Session,2018-08-06 12:39:00-04:00,ATLC,neutral
105850.0,66 Biggest Movers From Yesterday,2018-08-02 05:50:00-04:00,ATLC,neutral
105851.0,60 Stocks Moving In Wednesday's Mid-Day Session,2018-08-01 12:46:00-04:00,ATLC,neutral
105852.0,"Stocks Which Set New 52-Week High Yesterday, July 31",2018-08-01 12:04:00-04:00,ATLC,neutral
105853.0,Atlanticus Holdings Shares Down 12% Premarket On High Volume; Traded Daily Avg. Volume Within First 10 Minutes Of Wednesday's Session,2018-08-01 09:42:00-04:00,ATLC,positive
105854.0,65 Biggest Movers From Yesterday,2018-08-01 04:36:00-04:00,ATLC,neutral
105855.0,Mid-Afternoon Market Update: Dow Rises Over 150 Points; IPG Photonics Shares Fall On Earnings Miss,2018-07-31 14:31:00-04:00,ATLC,positive
105856.0,52 Stocks Moving In Tuesday's Mid-Day Session,2018-07-31 12:38:00-04:00,ATLC,neutral
105857.0,Mid-Day Market Update: Crude Oil Down 2%; Heidrick & Struggles Shares Gain Following Upbeat Q2 Results,2018-07-31 12:17:00-04:00,ATLC,negative
105858.0,"Atlanticus Holdings Shares Up 47.4% On No News; Hearing Strength Today Being Attributed By Traders In Chatrooms To Institutional Buying, Unconfirmed",2018-07-31 11:41:00-04:00,ATLC,positive
105859.0,Atlanticus Holdings Group Shares Up 28% After Co. Announces 2Q Earnings; EPS $0.41 vs. Loss Of $0.63 Per Share In Same Quarter Last Year,2018-07-31 10:40:00-04:00,ATLC,positive
105860.0,"Atlanticus Reports Q2 EPS $0.41 vs $(0.63) In Same QAtr. Last Year, NII $20.9M vs $9M YoY",2018-07-30 17:28:00-04:00,ATLC,neutral
105861.0,38 Stocks Moving In Monday's Mid-Day Session,2018-07-02 12:29:00-04:00,ATLC,neutral
