Unnamed: 0,title,date,stock,sentiment
145943.0,Shares of several financial services companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.,2020-06-09 10:34:00-04:00,BBVA,positive
145944.0,BBVA Option Alert: Oct 16 $5 Calls at the Ask: 1499 @ $0.15 vs 7125 OI; Earnings 7/29 Before Open [est] Ref=$3.92,2020-06-05 10:06:00-04:00,BBVA,positive
145945.0,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.,2020-06-05 10:05:00-04:00,BBVA,positive
145946.0,Shares of several financial services companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 09:52:00-04:00,BBVA,positive
145947.0,"Shares of several global financial services companies are trading higher, potentially in sympathy with US market strength. US equities have gained this session on investor hopes of a pickup in economic activity, which could lead to a rebound in spending and borrowing.",2020-06-02 11:19:00-04:00,BBVA,positive
145948.0,Shares of several financial services companies are trading lower amid market volatility as investors await Trump's China press conference later today.,2020-05-29 11:58:00-04:00,BBVA,positive
145949.0,"Shares of several financial services companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 09:54:00-04:00,BBVA,positive
145950.0,Shares of several financial services companies are trading higher as equities gain amid coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 10:33:00-04:00,BBVA,positive
145951.0,"Shares of several financial services companies are trading lower as investors weigh the effects of US states reopening their economies, which has led to concerns of a potential resurgence in coronavirus cases.",2020-05-11 10:17:00-04:00,BBVA,neutral
145952.0,Shares of several global financial services companies are trading lower amid market weakness following US jobless claims and consumer spending data.,2020-04-30 09:57:00-04:00,BBVA,negative
145953.0,BBVA Q1 Adj. Net Loss $52.285M vs Profit $140.981M In Same Qtr. Last Year,2020-04-30 09:36:00-04:00,BBVA,positive
145954.0,"Shares of several global financial services companies are trading higher following positive data from a study of Gilead's Remdesivir, a potential coronavirus treatment candidate. A successful treatment could make a sooner return to economic activity and investment possible.",2020-04-29 10:21:00-04:00,BBVA,positive
145955.0,Shares of several global financial services companies are trading higher for the session as some US states ease lockdown restrictions and as investors weigh quarterly earnings from blue chip companies.,2020-04-28 10:36:00-04:00,BBVA,positive
145956.0,"Shares of several global financial services companies are trading higher potentially in sympathy with the overall market on news that some U.S. states plan on reopening their economies in phases, increasing economic activity.",2020-04-27 10:17:00-04:00,BBVA,positive
145957.0,Shares of several global financial services companies are trading higher as equities gain driven by a rebound in oil.,2020-04-23 10:53:00-04:00,BBVA,positive
145958.0,Stocks That Hit 52-Week Lows On Tuesday,2020-04-21 10:39:00-04:00,BBVA,negative
145959.0,"Shares of several global financial services companies are trading lower on continued downward momentum after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus outbreak.",2020-04-21 10:24:00-04:00,BBVA,negative
145960.0,Stocks That Hit 52-Week Lows On Monday,2020-04-20 10:40:00-04:00,BBVA,negative
145961.0,Shares of several global financial services companies are trading lower as equities fall amid a decline in US oil prices. The drop in oil has raised concerns over the economic impact of the coronavirus pandemic.,2020-04-20 09:43:00-04:00,BBVA,negative
145962.0,13 Financial Services Stocks Moving In Monday's Pre-Market Session,2020-04-20 07:35:00-04:00,BBVA,neutral
