Unnamed: 0,title,date,stock,sentiment
146177.0,Build-A-Bear Workshop shares are trading lower after the company reported weak Q1 earnings results.,2020-06-02 07:25:00-04:00,BBW,negative
146178.0,Build-A-Bear Workshop: Q1 Earnings Insights,2020-06-02 06:50:00-04:00,BBW,neutral
146179.0,"Build-A-Bear Workshop Q1 EPS $(0.83) Does Not Compare To $0.08 Estimate, Sales $46.60M May Not Compare To $81.38M Estimate",2020-06-02 06:47:00-04:00,BBW,neutral
146180.0,"Earnings Scheduled For June 2, 2020",2020-06-02 04:56:00-04:00,BBW,neutral
146181.0,"Build-A-Bear Workshop Believes That Its Current Cash Balance, Other Actions Taken, Will Provide It With Sufficient Liquidity For Next 12 Months; Continues To Explore Other Options To Access Alternative Liquidity Sources",2020-06-01 16:48:00-04:00,BBW,neutral
146182.0,Companies Protect C-Suite Pay As Furloughed Workers Collect Unemployment: Report,2020-05-28 17:21:00-04:00,BBW,negative
146183.0,78 Biggest Movers From Yesterday,2020-04-21 04:32:00-04:00,BBW,neutral
146184.0,54 Stocks Moving In Monday's Mid-Day Session,2020-04-20 12:43:00-04:00,BBW,neutral
146185.0,"Build-A-Bear Workshop 8-K Shows Lay Offs For 90% Of Workforce, 20% Pay Reductions For Employees On Temporary Leave",2020-03-27 07:09:00-04:00,BBW,negative
146186.0,Build-A-Bear Workshop: Q4 Earnings Insights,2020-03-11 13:32:00-04:00,BBW,neutral
146187.0,"Build-A-Bear Workshop Q4 Adj. EPS $0.4 Beats $0.27 Estimate, Sales $104.58M Beat $103.29M Estimate",2020-03-11 06:47:00-04:00,BBW,neutral
146188.0,"Earnings Scheduled For March 11, 2020",2020-03-11 04:28:00-04:00,BBW,neutral
146189.0,90 Biggest Movers From Yesterday,2020-01-30 04:15:00-05:00,BBW,neutral
146190.0,13 Consumer Cyclical Stocks Moving In Tuesday's After-Market Session,2020-01-28 23:50:00-05:00,BBW,neutral
146191.0,71 Biggest Movers From Yesterday,2020-01-28 04:14:00-05:00,BBW,neutral
146192.0,10 Specialty Retail Stocks Moving In Wednesday's Session,2020-01-22 12:30:00-05:00,BBW,neutral
146193.0,58 Consumer Cyclical Stocks Moving In Wednesday's Session,2020-01-22 12:19:00-05:00,BBW,neutral
146194.0,75 Biggest Movers From Yesterday,2020-01-16 04:37:00-05:00,BBW,neutral
146195.0,14 Consumer Cyclical Stocks Moving In Wednesday's Pre-Market Session,2020-01-15 08:15:00-05:00,BBW,neutral
146196.0,80 Biggest Movers From Yesterday,2020-01-15 04:48:00-05:00,BBW,neutral
146197.0,48 Stocks Moving In Tuesday's Mid-Day Session,2020-01-14 12:06:00-05:00,BBW,neutral
146198.0,Build-A-Bear Workshop Sees Prelim. FY19 Sales $334M-$338M,2020-01-14 06:46:00-05:00,BBW,neutral
146199.0,"Build-A-Bear Sees Q4 Sales Slightly Positive To Down Low Single Digit, Cites 'lower than expected quarter-to-date traditional mall traffic and sales associated with a key licensed movie property'",2019-12-05 06:52:00-05:00,BBW,neutral
146200.0,"Build-A-Bear Workshop Q3 EPS $(0.4) Misses $(0.28) Estimate, Sales $70.384M Beat $70.3M Estimate",2019-12-05 06:52:00-05:00,BBW,negative
146201.0,"Earnings Scheduled For December 5, 2019",2019-12-05 04:23:00-05:00,BBW,neutral
146202.0,42 Biggest Movers From Yesterday,2019-10-09 05:05:00-04:00,BBW,neutral
146203.0,45 Biggest Movers From Friday,2019-10-07 06:11:00-04:00,BBW,neutral
146204.0,52 Biggest Movers From Friday,2019-09-30 03:39:00-04:00,BBW,neutral
146205.0,58 Biggest Movers From Yesterday,2019-09-13 07:04:00-04:00,BBW,neutral
146206.0,50 Stocks Moving In Thursday's Mid-Day Session,2019-09-12 13:39:00-04:00,BBW,neutral
146207.0,65 Biggest Movers From Friday,2019-09-03 05:14:00-04:00,BBW,neutral
