Unnamed: 0,title,date,stock,sentiment
146751.0,Shares of several specialty retail companies are trading lower amid market weakness. The sector has run up recently amid business reopenings and a pickup in economic activity and appears to be giving up some gains during the session.,2020-06-04 15:41:00-04:00,BBY,positive
146752.0,Shares of several consumer discretionary companies are trading higher as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could mean a faster return to discretionary spending.,2020-05-26 12:24:00-04:00,BBY,positive
146753.0,In Consumers We Trust: 3 Leveraged ETFs That Surged In April,2020-05-26 09:15:00-04:00,BBY,positive
146754.0,The Street Debates Whether Best Buy Investors Should Buy The Dip,2020-05-22 16:27:00-04:00,BBY,positive
146755.0,"Nomura Instinet Maintains Neutral on Best Buy Co, Lowers Price Target to $84",2020-05-22 09:45:00-04:00,BBY,positive
146756.0,"Morgan Stanley Maintains Equal-Weight on Best Buy Co, Raises Price Target to $85",2020-05-22 07:41:00-04:00,BBY,positive
146757.0,"Barclays Maintains Overweight on Best Buy Co, Raises Price Target to $85",2020-05-22 07:15:00-04:00,BBY,positive
146758.0,Why Best Buy's Stock Is Trading Lower Today,2020-05-21 14:46:00-04:00,BBY,positive
146759.0,Mid-Afternoon Market Update: Dow Falls 50 Points; L Brands Shares Spike Higher,2020-05-21 14:30:00-04:00,BBY,positive
146760.0,Mid-Day Market Update: Crude Oil Rises Over 1%; Aurora Cannabis Shares Jump,2020-05-21 12:13:00-04:00,BBY,negative
