Unnamed: 0,title,date,stock,sentiment
148614.0,"HC Wainwright & Co. Maintains Buy on Balchem, Lowers Price Target to $104",2020-05-04 07:18:00-04:00,BCPC,negative
148615.0,"Balchem Q1 Adj. EPS $0.810 Beats $0.600 Estimate, Sales $174.400M Beat $169.870M Estimate",2020-05-01 07:09:00-04:00,BCPC,neutral
148616.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,BCPC,negative
148617.0,"HC Wainwright & Co. Maintains Buy on Balchem, Lowers Price Target to $116",2020-02-24 07:13:00-05:00,BCPC,negative
148618.0,"Balchem Q4 EPS $0.88 Beats $0.84 Estimate, Sales $166.5M Beat $165.55M Estimate",2020-02-21 07:06:00-05:00,BCPC,neutral
148619.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-06 10:39:00-05:00,BCPC,neutral
148620.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-05 10:16:00-05:00,BCPC,neutral
148621.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-04 10:18:00-05:00,BCPC,neutral
148622.0,Stocks That Hit 52-Week Highs On Wednesday,2020-01-29 10:16:00-05:00,BCPC,neutral
148623.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,BCPC,neutral
148624.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,BCPC,neutral
148625.0,Balchem Corporation Acquires Zumbro River Brand; Terms Not Disclosed,2019-12-16 09:02:00-05:00,BCPC,neutral
148626.0,"Balchem Q2 EPS $0.77 Beats $0.71 Estimate, Sales $161.55M Miss $166.35M Estimate",2019-08-01 07:47:00-04:00,BCPC,negative
148627.0,"Pivotal Research Downgrades Balchem Corporation - Common Stock to Hold, Announces $100",2019-05-06 09:18:00-04:00,BCPC,neutral
148628.0,Balchem Buys Belgian Specialty Gases Manufacturer Chemogas,2019-05-03 11:51:00-04:00,BCPC,neutral
148629.0,"Balchem Q1 Adj. EPS $0.73 Beats $0.63 Estimate, Sales $157.029M Miss $164.33M Estimate",2019-05-03 07:06:00-04:00,BCPC,negative
148630.0,Balchem Corporation Signs Definitive Agreement To Acquire Chemogas,2019-05-02 17:34:00-04:00,BCPC,positive
148631.0,"Balchem Q4 EPS $0.77 Beats $0.64 Estimate, Sales $163.54M Miss $164.96M Estimate",2019-02-28 07:24:00-05:00,BCPC,negative
148632.0,Balchem Corporation Appoints Martin Bengtsson As CFO Effective Immediately,2019-02-04 12:49:00-05:00,BCPC,positive
148633.0,Balchem Shares Spike ~1.5% On Volume Over Last Few Mins. As Hearing Pivotal Research Upgraded Stock From Hold To Buy,2018-11-06 15:00:00-05:00,BCPC,positive
148634.0,"Balchem Corporation Q3 EPS $0.73 Beats $0.65 Estimate, Sales $155.043M Miss $163.7M Estimate",2018-11-06 07:28:00-05:00,BCPC,negative
148635.0,"Sidoti & Co. Upgrades Balchem to Buy, Maintains $127 Price Target",2018-10-16 08:47:00-04:00,BCPC,neutral
148636.0,Balchem Corp In 8-K Says CFO And Treasurer Terry Coelho Has Announced Intention To Resign From Co. Effective Oct. 26; Co. Says Chief Accounting Officer William Backus Will Act As Interim CFO Until Replacement Is Confirmed,2018-09-28 10:48:00-04:00,BCPC,positive
148637.0,"Benzinga's Top Upgrades, Downgrades For September 25, 2018",2018-09-25 09:11:00-04:00,BCPC,positive
148638.0,"H.C. Wainwright Initiates Coverage On Balchem with Buy Rating, Announces $140 Price Target",2018-09-25 07:11:00-04:00,BCPC,neutral
148639.0,"Stocks Which Set New 52-Week High Yesterday, September 19th",2018-09-20 11:24:00-04:00,BCPC,neutral
148640.0,"Stocks Which Set New 52-Week High Yesterday, September 17th",2018-09-18 09:25:00-04:00,BCPC,neutral
148641.0,"Stocks Which Set New 52-Week High Friday, September 14th",2018-09-17 09:28:00-04:00,BCPC,neutral
148642.0,"Stocks Which Set New 52-Week High Yesterday, September 13th",2018-09-14 09:26:00-04:00,BCPC,neutral
148643.0,"Stocks Which Set New 52-Week High Friday, September 7th",2018-09-10 16:36:00-04:00,BCPC,neutral
148644.0,"Stocks Which Set New 52-Week High Friday, August 31",2018-09-04 10:29:00-04:00,BCPC,neutral
148645.0,"Stocks Which Set New 52-Week High Yesterday, August 30th",2018-08-31 10:11:00-04:00,BCPC,neutral
148646.0,"Balchem Acquires Bioscreen Technologies, No Financial Terms Disclosed",2018-08-29 16:26:00-04:00,BCPC,negative
148647.0,"Stocks Which Set New 52-Week High Friday, August 24th",2018-08-27 09:24:00-04:00,BCPC,neutral
148648.0,"Balchem Q2 EPS $0.76, Inline, Sales $163.687M Miss $165.3M Estimate",2018-08-03 07:11:00-04:00,BCPC,negative
148649.0,"Earnings Scheduled For August 3, 2018",2018-08-03 04:22:00-04:00,BCPC,neutral
148650.0,"Benzinga's Top Upgrades, Downgrades For May 7, 2018",2018-05-07 09:20:00-04:00,BCPC,positive
148651.0,Pivotal Research Upgrades Balchem to Hold,2018-05-07 07:40:00-04:00,BCPC,neutral
148652.0,Vertical Group Downgrades Balchem to Hold,2018-05-07 07:14:00-04:00,BCPC,neutral
148653.0,"Balchem Q1 EPS $0.76 Beats $0.71 Estimate, Sales $161.41M Beat $154.52M Estimate",2018-05-04 07:04:00-04:00,BCPC,neutral
148654.0,"Balchem Reports Q4 EPS $0.68 vs $0.62 Est., Sales $159.2M vs $150M Est.",2018-02-27 07:04:00-05:00,BCPC,neutral
148655.0,"Balchem Reports Q4 Adj. EPS $0.68 vs $0.62 Est., Sales $159.3M vs $150.4M Est.",2018-02-27 07:03:00-05:00,BCPC,neutral
148656.0,"Balchem Corporation Reports Q3 EPS $0.63 vs $0.62 Est., Sales $150.7M vs $146.7M Est.",2017-11-07 07:23:00-05:00,BCPC,neutral
148657.0,Balchem Names Rerry Coelho CFO Effective Oct. 23,2017-10-12 16:09:00-04:00,BCPC,positive
148658.0,"Balchem Reports Q2 Adj. EPS $0.64 vs $0.63 Est., Sales $147.1M vs $142.8M Est.",2017-08-04 07:26:00-04:00,BCPC,neutral
148659.0,"Balchem Reports Purchase of Innovative Food Processors, No Terms Disclosed",2017-06-02 08:58:00-04:00,BCPC,positive
148660.0,"Balchem Q1 EPS $0.59 vs $0.61 Est, Sales $137.7M vs $139.0M Est",2017-05-09 07:33:00-04:00,BCPC,neutral
148661.0,"Balchem Q4 EPS $0.67 vs $0.65 Est, Revenue $140.8M vs $141.3M Est",2017-02-28 07:21:00-05:00,BCPC,neutral
148662.0,"Balchem Corporation Reports Q4 Adj. EPS $0.67 vs. YoY $0.66, Sales $140.8M",2017-02-28 07:15:00-05:00,BCPC,neutral
148663.0,"Balchem Corp. Reports Q3 EPS $0.61 vs. Est. $0.65, Rev. $138.5M vs. Est. $146.9M",2016-11-04 07:16:00-04:00,BCPC,neutral
148664.0,Benzinga's Volume Movers,2016-09-28 10:51:00-04:00,BCPC,neutral
148665.0,"Balchem Reports Q2 Adj. EPS $39.5M, Adj. EPS $0.66 vs $0.65 Est.",2016-08-05 07:01:00-04:00,BCPC,neutral
