Unnamed: 0,title,date,stock,sentiment
165499.0,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.,2020-06-05 10:05:00-04:00,BK,positive
165500.0,Shares of several financial services companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 09:52:00-04:00,BK,positive
165501.0,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Raises Price Target to $42",2020-06-01 08:21:00-04:00,BK,neutral
165502.0,"Shares of several financial services companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 09:54:00-04:00,BK,positive
165503.0,Shares of several financial services companies are trading higher as equities gain amid coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 10:33:00-04:00,BK,positive
165504.0,"Shares of several global financial services companies are trading higher as equities gain amid strength in oil, strong earnings from Lowe's, and optimism towards a US economic rebound.",2020-05-20 11:57:00-04:00,BK,positive
165505.0,"Deutsche Bank Maintains Hold on Bank of New York Mellon, Lowers Price Target to $35",2020-05-15 08:36:00-04:00,BK,negative
165506.0,Shares of several financial companies are trading higher. Not seeing any sector-wide news to justify the price action. NOTE: The financial sector rebound is leading the market higher today.,2020-05-14 14:25:00-04:00,BK,positive
165507.0,"Shares of several companies in the financial services sector are trading lower amid market weakness, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy. The coronavirus pandemic has slowed economic growth and led to businesses scaling back investment, which has negatively impacted the financial sector.",2020-05-13 11:51:00-04:00,BK,negative
165508.0,"Shares of several financial companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-05-07 10:52:00-04:00,BK,positive
165509.0,Shares of several global financial services companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:49:00-04:00,BK,negative
165510.0,38 Stocks Moving in Thursday's Pre-Market Session,2020-04-23 07:18:00-04:00,BK,neutral
165511.0,Shares of several global financial services companies are trading lower as equities fall amid a decline in US oil prices. The drop in oil has raised concerns over the economic impact of the coronavirus pandemic.,2020-04-20 09:43:00-04:00,BK,negative
165512.0,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Raises Price Target to $40",2020-04-17 09:08:00-04:00,BK,neutral
165513.0,"Deutsche Bank Maintains Hold on Bank of New York Mellon, Raises Price Target to $38",2020-04-17 08:58:00-04:00,BK,neutral
165514.0,"Shares of several financial services companies are trading higher as equities gain amid a report suggesting Gilead Sciences' Remdesivir drug showed some effectiveness in treating the coronavirus. This has raised hopes of a sooner return to spending, economic activity, and investment.",2020-04-17 07:54:00-04:00,BK,positive
165515.0,Morning Market Stats in 5 Minutes,2020-04-16 10:21:00-04:00,BK,neutral
165516.0,Bank Of New York Mellon shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-04-16 07:08:00-04:00,BK,positive
165517.0,Recap: Bank of New York Mellon Q1 Earnings,2020-04-16 07:00:00-04:00,BK,neutral
165518.0,"Bank of New York Mellon Q1 EPS $1.050 Beats $0.880 Estimate, Sales $4.100B Beat $3.850B Estimate",2020-04-16 06:31:00-04:00,BK,neutral
165519.0,"Earnings Scheduled For April 16, 2020",2020-04-16 04:46:00-04:00,BK,neutral
165520.0,"Shares of several banks and financial services companies are trading lower as equities dip amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15 11:08:00-04:00,BK,negative
165521.0,Shares of several global financial services companies are trading lower amid continued uncertainty around the coronavirus. The pandemic has slowed spending and economic activity which in turn hurts the financial sector.,2020-04-13 10:35:00-04:00,BK,negative
165522.0,"Shares of several financial services companies are trading higher amid positive market sentiment on hopes coronavirus cases in some regions could level, meaning a sooner rebound in investment. Markets gained today on news of the Fed's $2.3T loan program.",2020-04-09 10:57:00-04:00,BK,positive
165523.0,"Benzinga's Top Upgrades, Downgrades For April 9, 2020",2020-04-09 10:02:00-04:00,BK,positive
165524.0,Bank of New York Mellon after JP Morgan upgraded the stock from Underweight to Neutral.,2020-04-09 09:34:00-04:00,BK,positive
165525.0,"Deutsche Bank Maintains Hold on Bank of New York Mellon, Raises Price Target to $37",2020-04-09 09:29:00-04:00,BK,neutral
165526.0,10 Biggest Price Target Changes For Thursday,2020-04-09 08:13:00-04:00,BK,neutral
165527.0,"JP Morgan Upgrades Bank of New York Mellon to Neutral, Lowers Price Target to $41.5",2020-04-09 05:55:00-04:00,BK,positive
