Unnamed: 0,title,date,stock,sentiment
169160.0,Shares of several industrial companies are trading higher following strong US jobs numbers and continued optimism surrounding the reopening of the US economy. These have led to hopes of an economic rebound and an uptick in production/shipping activity.,2020-06-05 10:33:00-04:00,BLDR,positive
169161.0,"Benzinga's Top Upgrades, Downgrades For June 5, 2020",2020-06-05 09:56:00-04:00,BLDR,positive
169162.0,"Evercore ISI Group Downgrades Builders FirstSource to In-Line, Announces $24 Price Target",2020-06-05 06:57:00-04:00,BLDR,neutral
169163.0,"Shares of several industrial companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 10:45:00-04:00,BLDR,positive
169164.0,Shares of several industrial companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:26:00-04:00,BLDR,positive
169165.0,"Shares of several industrial companies are trading higher amid strength in oil, strong earnings from Lowe's and optimism towards a U.S. economic rebound.",2020-05-20 10:18:00-04:00,BLDR,positive
169166.0,"Shares of several industrial companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine, which has raised hopes of an economic rebound.",2020-05-18 10:23:00-04:00,BLDR,positive
169167.0,"Shares of several industrial companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-05-07 10:53:00-04:00,BLDR,positive
169168.0,"Benzinga's Top Upgrades, Downgrades For May 5, 2020",2020-05-05 09:35:00-04:00,BLDR,positive
169169.0,"Deutsche Bank Downgrades Builders FirstSource to Hold, Announces $17 Price Target",2020-05-05 06:52:00-04:00,BLDR,neutral
169170.0,"Barclays Maintains Equal-Weight on Builders FirstSource, Raises Price Target to $19",2020-05-04 10:04:00-04:00,BLDR,neutral
169171.0,"Stifel Maintains Buy on Builders FirstSource, Raises Price Target to $21",2020-05-04 09:14:00-04:00,BLDR,neutral
169172.0,"B. Riley FBR Maintains Neutral on Builders FirstSource, Lowers Price Target to $14",2020-05-04 07:11:00-04:00,BLDR,negative
169173.0,Shares of several industrial companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:19:00-04:00,BLDR,negative
169174.0,"Builders FirstSource Q1 Adj. EPS $0.340 Beats $0.280 Estimate, Sales $1.787B Beat $1.770B Estimate",2020-04-30 16:40:00-04:00,BLDR,neutral
169175.0,Shares of several industrial companies are trading lower amid market weakness following US jobless claims and consumer spending data.,2020-04-30 10:14:00-04:00,BLDR,negative
169176.0,"Shares of several industrial companies are trading higher following positive data from a study of Gilead's Remdesivir, which is being evaluated as a potential coronavirus treatment candidate. A successful treatment could make a sooner return to economic activity.",2020-04-29 10:15:00-04:00,BLDR,positive
169177.0,"Shares of several industrial companies are trading higher as equities gain strength on news that some U.S. states will reopen their economies in phases, increasing economic activity and optimism around the coronavirus pandemic.",2020-04-27 11:52:00-04:00,BLDR,positive
169178.0,"Cramer Advises His Viewers On Raytheon, Marvell And More",2020-04-24 09:07:00-04:00,BLDR,neutral
169179.0,Builders FirstSource Sees Net Sales For 3 Months Ended Mar. 31 $1.754B-$1.819B,2020-04-21 07:54:00-04:00,BLDR,neutral
169180.0,"SunTrust Robinson Humphrey Maintains Buy on Builders FirstSource, Lowers Price Target to $17",2020-04-16 12:57:00-04:00,BLDR,negative
169181.0,"Stephens & Co. Reiterates Overweight on Builders FirstSource, Lowers Price Target to $21",2020-04-14 06:25:00-04:00,BLDR,negative
169182.0,"Shares of several industrial companies are trading lower amid overall market weakness. The coronavirus has caused global macro disruption, which has been a negative catalyst for the sector as output and investment outlook is hampered.",2020-04-13 10:33:00-04:00,BLDR,negative
169183.0,"DA Davidson Reiterates Buy on Builders FirstSource, Lowers Price Target to $20",2020-04-09 11:07:00-04:00,BLDR,negative
169184.0,Shares of several industrial companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Strength may also be attributed to optimism that coronavirus cases in several US hotspots appear to be reaching their peak.,2020-04-07 07:34:00-04:00,BLDR,positive
169185.0,"Shares of several companies in the broader industrial sector are trading lower as markets sell off following this week's strength. Despite US stimulus efforts, macro concerns still persist due to the coronavirus.",2020-03-27 09:28:00-04:00,BLDR,positive
169186.0,"Deutsche Bank Maintains Buy on Builders FirstSource, Lowers Price Target to $20",2020-03-25 08:45:00-04:00,BLDR,negative
169187.0,"B. Riley FBR Downgrades Builders FirstSource to Neutral, Lowers Price Target to $16",2020-03-17 07:45:00-04:00,BLDR,negative
169188.0,Shares of several companies in the broader industrial sector including construction are trading higher as rebound following Thursday's selloff. NOTE: The coronavirus outbreak has highly impacted the industrial sector due to fear of an economic slowdown.,2020-03-13 08:49:00-04:00,BLDR,negative
169189.0,"Shares of several companies in the broader industrial sector including construction, shipping, defense and others, are trading lower as equities sell off. The global coronavirus outbreak has weakened economic outlook and negatively impacted industrials.",2020-03-12 08:25:00-04:00,BLDR,negative
169190.0,"Shares of several companies in the broader industrial sector are trading lower amid the global coronavirus outbreak, which has hampered global economic outlook for the sector.",2020-03-06 09:22:00-05:00,BLDR,neutral
169191.0,"SunTrust Robinson Humphrey Upgrades Builders FirstSource to Buy, Raises Price Target to $30",2020-03-02 09:52:00-05:00,BLDR,neutral
169192.0,"Benzinga's Top Upgrades, Downgrades For February 24, 2020",2020-02-24 09:46:00-05:00,BLDR,positive
169193.0,10 Biggest Price Target Changes For Monday,2020-02-24 08:40:00-05:00,BLDR,neutral
169194.0,"B. Riley FBR Reiterates Buy on Builders FirstSource, Raises Price Target to $32",2020-02-24 06:48:00-05:00,BLDR,neutral
169195.0,"Benchmark Upgrades Builders FirstSource to Buy, Announces $32 Price Target",2020-02-24 06:40:00-05:00,BLDR,neutral
169196.0,"RBC Capital Upgrades Builders FirstSource to Outperform, Raises Price Target to $31",2020-02-24 05:26:00-05:00,BLDR,neutral
169197.0,Builders FirstSource shares are trading lower after the company reported Q4 earnings results.,2020-02-21 15:46:00-05:00,BLDR,neutral
169198.0,"Builders FirstSource Q4 EPS $0.35, Inline, Sales $1.764B Beat $1.76B Estimate",2020-02-20 16:36:00-05:00,BLDR,neutral
169199.0,Some Market Stats In 5 Minutes,2020-02-20 14:56:00-05:00,BLDR,neutral
169200.0,Some Market Stats In 5 Minutes,2020-02-20 10:50:00-05:00,BLDR,neutral
169201.0,"Earnings Scheduled For February 20, 2020",2020-02-20 04:17:00-05:00,BLDR,neutral
169202.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-19 10:32:00-05:00,BLDR,neutral
169203.0,Stocks That Hit 52-Week Highs On Friday,2020-02-14 10:15:00-05:00,BLDR,neutral
169204.0,"Benzinga's Top Upgrades, Downgrades For February 5, 2020",2020-02-05 09:55:00-05:00,BLDR,positive
169205.0,Benchmark Initiates Coverage On Builders FirstSource with Hold Rating,2020-02-05 07:02:00-05:00,BLDR,neutral
169206.0,DA Davidson Upgrades Builders FirstSource to Buy,2020-02-05 06:50:00-05:00,BLDR,neutral
169207.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,BLDR,neutral
169208.0,Builders FirstSource Announces Planned Retirement of Chief Executive Officer In 2020,2020-01-13 16:28:00-05:00,BLDR,neutral
169209.0,Builders FirstSource Acquires Vertically-integrated Provider Of Value-Added Offering In Growth Carolina markets,2020-01-09 16:34:00-05:00,BLDR,positive
169210.0,Freight All Kinds: Logistics Of Commercial Construction,2020-01-09 09:40:00-05:00,BLDR,neutral
169211.0,"Evercore ISI Group Upgrades Builders FirstSource to Outperform, Announces $29 Price Target",2020-01-06 06:38:00-05:00,BLDR,neutral
169212.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-12 10:21:00-05:00,BLDR,neutral
