Unnamed: 0,title,date,stock,sentiment
192217.0,Shares of several consumer staple companies are trading lower as equities sell off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up.,2020-06-09 10:43:00-04:00,BTI,positive
192218.0,11 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,2020-06-09 07:46:00-04:00,BTI,neutral
192219.0,7 Sin Stocks To Buy During The Coronavirus Shutdown,2020-05-17 13:00:00-04:00,BTI,negative
192220.0,British American Tobacco shares are trading lower amid market weakness following US jobless claims and consumer spending data.,2020-04-30 13:32:00-04:00,BTI,negative
192221.0,5 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,2020-04-28 07:36:00-04:00,BTI,neutral
192222.0,Hearing E-Cig Makers Will Receive More Time To Gain FDA Review Amid Coronavirus Pandemic,2020-04-23 11:48:00-04:00,BTI,positive
192223.0,"British American Tobacco Subsidiary Reynolds American Reports Submission Of Second, Third Complete Premarket Tobacco Product Applications",2020-04-15 11:21:00-04:00,BTI,neutral
192224.0,The Times Reports British American Tobacco Is Being Probed By The DOJ Over Suspected Sanctions Busing,2020-04-14 07:22:00-04:00,BTI,negative
192225.0,British American Tobacco's Patent Lawsuit Against Philip Morris is Regarding Philip Morris' IQOS Device,2020-04-09 11:53:00-04:00,BTI,negative
192226.0,British American Tobacco Files Patent Infringement Claims Against Philip Moris,2020-04-09 11:48:00-04:00,BTI,negative
192227.0,'All smokers have been urged to quit smoking. And cigarette companies have been told to stop selling tobacco in the UK during the coronavirus pandemic' -Tweet,2020-04-06 15:15:00-04:00,BTI,negative
192228.0,Why British American Tobacco's Stock Is Trading Higher Today,2020-04-02 12:43:00-04:00,BTI,neutral
192229.0,British American Tobacco shares are trading higher. The company on Wednesday said its Kentucky BioProcessing subsidiary is working on a coronavirus vaccine.,2020-04-02 10:25:00-04:00,BTI,positive
192230.0,British American Tobacco Yesterday Announced Its Kentucky BioProcessing Subsidiary Is Working On A Coronavirus Vaccine,2020-04-02 10:23:00-04:00,BTI,neutral
192231.0,Mid-Afternoon Market Update: Dow Tumbles 800 Points; Chembio Diagnostics Shares Spike Higher,2020-04-01 14:31:00-04:00,BTI,positive
192232.0,Mid-Day Market Update: ProPetro Slides After Q4 Results; InflaRx Shares Jump,2020-04-01 12:11:00-04:00,BTI,positive
192233.0,Mid-Morning Market Update: Markets Open Lower; UniFirstTops Q2 Estimates,2020-04-01 10:26:00-04:00,BTI,negative
192234.0,Shares of several consumer goods companies are trading higher amid market strength following US Senate passage of an economic stimulus package. NOTE: Packaged food and discount store stocks have been volatile recently amid consumer demand for staples.,2020-03-26 10:27:00-04:00,BTI,positive
192235.0,Shares of several tobacco companies are trading higher as equities gain amid hopes of a US stimulus agreement.,2020-03-24 12:13:00-04:00,BTI,positive
192236.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,BTI,negative
192237.0,Shares of several tobacco companies are trading lower. The recent coronavirus outbreak has caused volatility in consumer demand and negatively impacted businesses across sectors.,2020-03-20 11:37:00-04:00,BTI,negative
192238.0,"Shares of several consumer goods companies are trading lower. The coronavirus outbreak has led to volatility in consumer spending, which has moved the sector both up and down in recent weeks.",2020-03-19 09:52:00-04:00,BTI,neutral
192239.0,"Shares of several consumer goods companies are trading lower as global markets continue to experience pressure amid the coronavirus spread, which has caused concerns over lower spending. General Mills earlier reported worse-than-expected Q3 sales results.",2020-03-18 09:18:00-04:00,BTI,negative
192240.0,"FDA Says New Cigarette Health Warnings Will Be Required To Appear Prominently On Cig Packages, In Ads Starting As Of Jun. 18, 2021",2020-03-17 10:52:00-04:00,BTI,negative
192241.0,"Shares of several consumer goods companies are trading lower amid the global coronavirus outbreak, which investors speculate may lead to softer consumer spending.",2020-03-16 08:56:00-04:00,BTI,neutral
192242.0,11 Consumer Defensive Stocks Moving In Monday's Pre-Market Session,2020-03-16 08:35:00-04:00,BTI,neutral
192243.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,BTI,negative
192244.0,Shares of several tobacco companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.,2020-03-12 10:08:00-04:00,BTI,negative
192245.0,Shares of several tobacco companies are trading lower. Movement appears market-related as markets continue to dip amid the global coronavirus outbreak and OPEC failing to reach production agreement.,2020-03-09 10:32:00-04:00,BTI,neutral
192246.0,Shares of several tobacco companies are trading lower. Movement appears market related as markets continue to dip amid the global coronavirus outbreak.,2020-03-06 10:33:00-05:00,BTI,neutral
192247.0,7 Consumer Defensive Stocks Moving In Friday's Pre-Market Session,2020-03-06 08:14:00-05:00,BTI,neutral
192248.0,"Benzinga's Top Upgrades, Downgrades For March 5, 2020",2020-03-05 10:05:00-05:00,BTI,positive
192249.0,Bernstein Upgrades British American Tobacco to Outperform,2020-03-05 04:46:00-05:00,BTI,neutral
192250.0,British American Tobacco shares are trading higher. Movement appears market related as equities gain following US Super Tuesday results.,2020-03-04 09:24:00-05:00,BTI,positive
192251.0,British American Tobacco PLC shares are trading lower. Not seeing any company-specific news to justify the price action.,2020-03-02 08:53:00-05:00,BTI,neutral
192252.0,7 Consumer Defensive Stocks Moving In Monday's Pre-Market Session,2020-03-02 07:51:00-05:00,BTI,neutral
192253.0,British American Tobacco shares are trading lower in sympathy with the overall market amid continued coronavirus fears.,2020-02-28 09:13:00-05:00,BTI,negative
192254.0,7 Consumer Defensive Stocks Moving In Friday's Pre-Market Session,2020-02-28 07:44:00-05:00,BTI,neutral
192255.0,4 Consumer Defensive Stocks Moving In Thursday's Pre-Market Session,2020-02-27 07:50:00-05:00,BTI,neutral
192256.0,British American Tobacco shares are trading lower in sympathy with the overall market on continued coronavirus fears. There were notable upticks in Italy and Iran.,2020-02-24 10:48:00-05:00,BTI,negative
192257.0,"Health And Human Services Secretary Alex Azar Says May Act If Teen Use Of Disposable, Flavored Tobacco Rises",2020-02-13 11:35:00-05:00,BTI,neutral
192258.0,5 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,2020-02-11 07:43:00-05:00,BTI,neutral
192259.0,Pres Trump Has Proposed Creating A New Health & Human Services Agency Focused On Tobacco,2020-02-10 12:44:00-05:00,BTI,positive
192260.0,4 Consumer Defensive Stocks Moving In Friday's Pre-Market Session,2020-02-07 07:49:00-05:00,BTI,neutral
192261.0,4 Consumer Defensive Stocks Moving In Wednesday's Pre-Market Session,2020-02-05 08:12:00-05:00,BTI,neutral
192262.0,7 Consumer Defensive Stocks Moving In Thursday's Pre-Market Session,2020-01-30 07:54:00-05:00,BTI,neutral
192263.0,7 Consumer Defensive Stocks Moving In Thursday's Pre-Market Session,2020-01-23 07:43:00-05:00,BTI,neutral
192264.0,8 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,2020-01-21 08:06:00-05:00,BTI,neutral
192265.0,Stocks That Hit 52-Week Highs On Wednesday,2020-01-15 13:14:00-05:00,BTI,neutral
192266.0,5 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,2020-01-14 08:10:00-05:00,BTI,neutral
192267.0,Stocks That Hit 52-Week Highs On Friday,2020-01-10 12:18:00-05:00,BTI,neutral
192268.0,4 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,2020-01-07 08:59:00-05:00,BTI,neutral
192269.0,4 Consumer Defensive Stocks Moving In Monday's Pre-Market Session,2020-01-06 08:05:00-05:00,BTI,neutral
192270.0,Will The Federal Ban On Flavored E-Cigarette Pods Serve Its Purpose?,2020-01-03 11:40:00-05:00,BTI,negative
192271.0,7 Consumer Defensive Stocks Moving In Friday's Pre-Market Session,2020-01-03 08:03:00-05:00,BTI,neutral
192272.0,5 Consumer Defensive Stocks Moving In Thursday's Pre-Market Session,2020-01-02 08:19:00-05:00,BTI,neutral
192273.0,5 Consumer Defensive Stocks Moving In Monday's Pre-Market Session,2019-12-30 08:42:00-05:00,BTI,neutral
192274.0,FDA Officially Raises Tobacco Buying Age To 21,2019-12-27 11:20:00-05:00,BTI,neutral
192275.0,5 Consumer Defensive Stocks Moving In Friday's Pre-Market Session,2019-12-27 08:28:00-05:00,BTI,neutral
