Unnamed: 0,title,date,stock,sentiment
226394.0,"Shares of several REITs are trading lower amid market weakness as investors await today's Fed decision and statement on the economy. The Fed is expected to leave rates unchanged. UPDATE: Equities spiked following the Fed's decision to leave rates unchanged, with several stocks now up for the session.",2020-06-10 11:17:00-04:00,CDR,negative
226395.0,"Shares of several real estate companies are trading higher on continued upward momentum surrounding the economy reopening, which would increase consumer spending and economic activity.",2020-06-08 10:00:00-04:00,CDR,positive
226396.0,"Shares of several real estate companies are trading higher despite overall market weakness. Strength potentially related to the economy reopening, which could potentially increase mortgage demand.",2020-06-04 15:12:00-04:00,CDR,positive
226397.0,6 Real Estate Stocks Moving In Thursday's Pre-Market Session,2020-06-04 07:39:00-04:00,CDR,neutral
226398.0,"Shares of several real estate companies are trading higher as equities continue to gain on optimism over the economy reopening, which could potentially increase mortgage demand as well as a smaller-than-expected drop in nonfarm payrolls.",2020-06-03 11:51:00-04:00,CDR,positive
226399.0,"Cedar Realty Trust Reports Company Has Collected 73% Base Rents, Monthly Charges For April, 72% For May",2020-06-02 09:03:00-04:00,CDR,positive
226400.0,Cedar Realty Trust Q1 Operating FFO $0.180 Up From $0.110 YoY,2020-05-14 16:12:00-04:00,CDR,positive
226401.0,"Cedar Realty Trust Reports Receipt OF Notice From NYSE Continued Listing Standards Related To $1/Share Minimum Close Price; Co. Has Til Dec. 31, 2020 To Regain Compliance",2020-05-04 09:04:00-04:00,CDR,positive
226402.0,"B. Riley FBR Maintains Buy on Cedar Realty Trust, Lowers Price Target to $2",2020-04-03 07:34:00-04:00,CDR,positive
226403.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,CDR,negative
226404.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,CDR,negative
226405.0,"B. Riley Maintains Buy on Cedar Realty Trust, Lowers Price Target to $5",2020-02-12 08:26:00-05:00,CDR,positive
226406.0,Cedar Realty Trust Q4 Operating FFO $0.11 Down From $0.13 YoY,2020-02-06 16:29:00-05:00,CDR,positive
226407.0,Mid-Afternoon Market Update: Rite Aid Jumps On Upbeat Earnings; Apogee Enterprises Shares Slide,2019-12-19 14:27:00-05:00,CDR,positive
226408.0,Mid-Afternoon Market Update: Qurate Retail Gains On Upbeat Earnings; ASLAN Pharmaceuticals Shares Slide,2019-11-11 14:45:00-05:00,CDR,positive
226409.0,64 Biggest Movers From Yesterday,2019-10-15 05:07:00-04:00,CDR,neutral
226410.0,Mid-Afternoon Market Update: Crude Oil Down 1%; Marinus Pharmaceuticals Shares Spike Higher,2019-09-26 14:31:00-04:00,CDR,negative
226411.0,Stocks That Hit 52-Week Lows On Tuesday,2019-08-27 11:29:00-04:00,CDR,negative
226412.0,Stocks That Hit 52-Week Lows On Friday,2019-08-16 11:44:00-04:00,CDR,negative
226413.0,"Benzinga's Top Upgrades, Downgrades For August 15, 2019",2019-08-15 09:38:00-04:00,CDR,positive
226414.0,"Compass Point Initiates Coverage On Cedar Realty Trust with Sell Rating, Announces $2 Price Target",2019-08-15 07:10:00-04:00,CDR,positive
226415.0,"Cedar Realty Trust Q2 EPS $0.11 Beats $0.01 Estimate, Sales $35.66M Miss $35.77M Estimate",2019-08-01 16:36:00-04:00,CDR,positive
226416.0,"Cedar Realty Trust Q1 FFO $0.11 Down From $0.13 YoY, Sales $36.883M Beat $36.55M Estimate",2019-05-02 17:13:00-04:00,CDR,positive
226417.0,22 Stocks Moving In Monday's Pre-Market Session,2019-04-29 08:00:00-04:00,CDR,neutral
226418.0,"Cedar Realty Trust, Inc. Sees FY19 EPS $0.02-$0.04 vs $0.09 Est., FFO $0.44-$0.46",2019-02-07 17:03:00-05:00,CDR,positive
226419.0,"Cedar Realty Trust Q4 FFO $0.13 Down From $0.14 YoY, Sales $36.93M Beat $35.99M Estimate",2019-02-07 17:02:00-05:00,CDR,positive
226420.0,Mid-Afternoon Market Update: Dow Falls 280 Points; Avalon GloboCare Shares Surge,2019-01-28 14:36:00-05:00,CDR,positive
226421.0,Mid-Day Market Update: Crude Oil Down Over 3%; Trevena Shares Spike Higher,2019-01-28 12:10:00-05:00,CDR,negative
226422.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 20, 2018",2018-12-20 11:33:00-05:00,CDR,negative
226423.0,"Stocks Which Set New 52-Week Low Last Trading Session, Fri., Dec. 14, 2018",2018-12-17 11:48:00-05:00,CDR,negative
226424.0,"Stocks Which Set New 52-Week Low Yesterday, Wed., Nov. 28, 2018",2018-11-29 10:59:00-05:00,CDR,negative
226425.0,"Stocks Which Set New 52-Week Low Yesterday Tues., Nov. 27, 2018",2018-11-28 11:54:00-05:00,CDR,negative
226426.0,"Stocks Which Set New 52-Week Low Yesterday, Mon., Nov. 26, 2018",2018-11-27 11:26:00-05:00,CDR,negative
226427.0,"Stocks Which Set New 52-Week Low The Prior Trading Session, Fri., Nov. 23, 2018",2018-11-26 10:44:00-05:00,CDR,negative
226428.0,"Stocks Which Set New 52-Week Low Yesterday, Mon., Nov. 19, 2018",2018-11-20 09:12:00-05:00,CDR,negative
