Unnamed: 0,title,date,stock,sentiment
227254.0,"Needham Maintains Buy on CECO Environmental, Raises Price Target to $10",2020-06-05 05:43:00-04:00,CECE,neutral
227255.0,"CECO Environment Reports Purchase Of Environmental Integrated Solutions, No Terms Disclosed",2020-06-04 14:00:00-04:00,CECE,negative
227256.0,CECO Environmental: Q1 Earnings Insights,2020-05-06 08:22:00-04:00,CECE,neutral
227257.0,"CECO Environmental Q1 Adj. EPS $0.150 Beats $0.100 Estimate, Sales $80.500M Miss $82.520M Estimate",2020-05-06 07:15:00-04:00,CECE,negative
227258.0,"Needham Maintains Buy on CECO Environmental, Lowers Price Target to $9",2020-04-13 06:29:00-04:00,CECE,negative
227259.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,CECE,negative
227260.0,"CECO Environmental Q4 Adj. EPS $0.27 Beats $0.14 Estimate, Sales $89.413M Miss $89.72M Estimate",2020-03-04 07:39:00-05:00,CECE,negative
227261.0,"Earnings Scheduled For March 4, 2020",2020-03-04 04:07:00-05:00,CECE,neutral
227262.0,"CECO Environmental Q3 EPS $0.12 Misses $0.13 Estimate, Sales $85.266M Miss $89.46M Estimate",2019-11-06 08:16:00-05:00,CECE,negative
227263.0,"Needham Reinstates Buy on CECO Environmental, Announces $10 Price Target",2019-08-09 06:46:00-04:00,CECE,neutral
227264.0,"CECO Environmental Q2 Adj. EPS $0.08 Misses $0.11 Estimate, Sales $81.179M Miss $86.33M Estimate",2019-08-06 07:28:00-04:00,CECE,negative
227265.0,CECO Environmental Wins Order To Remove Contaminants From 24 Million Barrels Of Seepage Water Per Year; Terms Not Disclosed,2019-07-23 09:06:00-04:00,CECE,positive
227266.0,CECO Environmental Announces New $190M Credit Agreement,2019-06-12 07:06:00-04:00,CECE,positive
227267.0,10 Biggest Price Target Changes For Tuesday,2019-06-11 09:42:00-04:00,CECE,neutral
227268.0,"Benzinga's Top Upgrades, Downgrades For June 11, 2019",2019-06-11 09:19:00-04:00,CECE,positive
227269.0,"Roth Capital Upgrades CECO Environmental to Buy, Raises Price Target to $10",2019-06-11 08:25:00-04:00,CECE,neutral
227270.0,82 Biggest Movers From Yesterday,2019-05-10 06:27:00-04:00,CECE,neutral
227271.0,"CECO Environmental Q1 EPS $0.12 Beats $0.08 Estimate, Sales $86.011M Beat $84.84M Estimate",2019-05-08 07:56:00-04:00,CECE,neutral
227272.0,"CECO Environmental Q4 EPS $0.08 Misses $0.09 Estimate, Sales $93.9M Beat $89.7M Estimate",2019-03-07 07:03:00-05:00,CECE,negative
227273.0,"Earnings Scheduled For March 7, 2019",2019-03-07 04:01:00-05:00,CECE,neutral
227274.0,"Benzinga's Top Upgrades, Downgrades For February 12, 2019",2019-02-12 09:05:00-05:00,CECE,positive
227275.0,"B. Riley FBR Initiates Coverage On CECO Environmental with Buy Rating, Announces $9.50 Price Target",2019-02-12 06:59:00-05:00,CECE,neutral
227276.0,"H.C. Wainwright Initiates Coverage On CECO Environmental with Buy Rating, Announces $9 Price Target",2018-12-18 07:59:00-05:00,CECE,neutral
227277.0,Maxim Group Initiates Coverage On CECO Environmental with Buy Rating,2018-12-14 10:04:00-05:00,CECE,neutral
227278.0,"CECO Environmental Q3 Adj. EPS $0.10 Up From $0.03 YoY, Sales $88.3M Beat $83.75M Estimate",2018-11-07 08:02:00-05:00,CECE,neutral
227279.0,"CECO Environmental Announces Sale of its Zhongli Business in China, Terms Not Disclosed",2018-10-29 07:46:00-04:00,CECE,neutral
227280.0,85 Biggest Movers From Yesterday,2018-08-09 05:15:00-04:00,CECE,neutral
227281.0,"CECO Environmental Q2 EPS $0.05, Inline, Sales $81.1M Beat $74M Estimate",2018-08-08 07:05:00-04:00,CECE,neutral
227282.0,55 Biggest Movers From Yesterday,2018-05-11 04:39:00-04:00,CECE,neutral
227283.0,"CECO Environmental Q1 EPS Adj. $0.05 Beats $(0.03) Estimate, Sales $74.139M Beat $68M Estimate",2018-05-10 07:14:00-04:00,CECE,neutral
227284.0,"CECO Environmental Sells Strobic; This Sale, Together With Previously Announced Keystone Filter Sale, To Generate $35M In Proceeds",2018-04-02 09:16:00-04:00,CECE,neutral
227285.0,46 Biggest Movers From Yesterday,2018-03-13 05:38:00-04:00,CECE,neutral
227286.0,44 Biggest Movers From Friday,2018-03-12 04:59:00-04:00,CECE,neutral
227287.0,"CECO Environmental Reports Q4 Adj. EPS $(0.05) vs $0.05 Est., Sales $73.5M vs $78.8M Est.",2018-03-08 07:06:00-05:00,CECE,neutral
227288.0,"CECO Environmental Announces The Sale Of Keystone Filter, Terms Not Disclosed",2018-03-01 07:11:00-05:00,CECE,neutral
227289.0,40 Biggest Movers From Yesterday,2018-02-07 05:09:00-05:00,CECE,neutral
227290.0,30 Stocks Moving In Tuesday's Mid-Day Session,2018-02-06 12:06:00-05:00,CECE,neutral
227291.0,CECO Halted On Circuit Breaker Up 9.9% At $4.54/Share,2018-02-06 10:05:00-05:00,CECE,neutral
227292.0,"CECO Environmental Announces Energy Technology Contract Awards, Terms Not Disclosed",2018-01-16 11:56:00-05:00,CECE,positive
227293.0,32 Stocks Moving In Tuesday's Pre-Market Session,2017-12-26 08:12:00-05:00,CECE,neutral
227294.0,"CECO Environmental 13G Filing From Trigran Investments Shows Raised Stake From ~2.6M Shares To ~3.64M Shares, ~10.5% Stake",2017-12-11 09:41:00-05:00,CECE,positive
227295.0,Needham Downgrades CECO Environmental to Buy,2017-11-09 11:59:00-05:00,CECE,neutral
227296.0,57 Biggest Movers From Yesterday,2017-11-09 05:16:00-05:00,CECE,neutral
227297.0,Mid-Afternoon Market Update: Container Store Climbs Following Strong Q2 Results; LendingClub Shares Plunge,2017-11-08 14:32:00-05:00,CECE,positive
227298.0,46 Stocks Moving In Wednesday's Mid-Day Session,2017-11-08 12:31:00-05:00,CECE,neutral
227299.0,Mid-Day Market Update: CECO Environmental Drops After Q3 Results; Forterra Shares Surge,2017-11-08 12:01:00-05:00,CECE,positive
227300.0,Mid-Morning Market Update: Markets Open Lower; Humana Earnings Top Expectations,2017-11-08 10:03:00-05:00,CECE,negative
227301.0,"Spruce Point Capital Tweets: Spruce Point target $CECE big miss 3c vs 15c est, eliminates dividend, implements restructuring plan. We warned on this name in February, $5-$6 price tgt  sprucepointcap.com/ceco-environme…",2017-11-08 09:30:00-05:00,CECE,negative
227302.0,"CECO Environmental Corp. Reports Q3 EPS $0.03 vs $0.15 Est., Sales $85M vs $93M Est.",2017-11-08 07:07:00-05:00,CECE,neutral
227303.0,"CECO Environmental 8-K Shows Q3 Adj. EPS $0.03 vs $0.24 In Same Qtr. Last Year, Sales $85M vs $93.7M Est.",2017-11-08 06:39:00-05:00,CECE,neutral
227304.0,18 Biggest Mid-Day Losers For Friday,2017-08-11 13:05:00-04:00,CECE,negative
227305.0,"Benzinga's Top Upgrades, Downgrades For August 11, 2017",2017-08-11 09:28:00-04:00,CECE,positive
227306.0,William Blair Downgrades CECO Environmental to Market Perform,2017-08-11 07:57:00-04:00,CECE,neutral
227307.0,"Spruce Point Capital Tweets: $CECE large EPS and Sales miss 8c v 19c est / $94m v 99m est, YTD FCF plunges to just $1m v $43m last yr, we warned back in February",2017-08-09 09:35:00-04:00,CECE,negative
227308.0,"CECO Environmental Q2 Adj. EPS $0.08 vs $0.19 Est., Sales $93.9M vs $99.1M Est.",2017-08-09 07:45:00-04:00,CECE,neutral
227309.0,CECO Environmental Corp. Shares Up 6% After Needham Upgraded To Strong Buy,2017-07-06 13:15:00-04:00,CECE,positive
227310.0,10 Biggest Mid-Day Gainers For Thursday,2017-07-06 12:32:00-04:00,CECE,neutral
227311.0,Needham Upgrades CECO Environmental to Strong Buy,2017-07-06 09:36:00-04:00,CECE,positive
227312.0,"Benzinga's Top Upgrades, Downgrades For July 6, 2017",2017-07-06 09:27:00-04:00,CECE,positive
227313.0,CECO Environmental Names Dennis Sadlowski CEO,2017-06-12 08:32:00-04:00,CECE,neutral
227314.0,"CECO Environmental Reports Q1 Adj. EPS $0.20 vs $0.18 Est., Sales $92.7M vs $97.1M Est.",2017-05-10 07:29:00-04:00,CECE,neutral
227315.0,"CECO ENVIRONMENTAL CORP: Sadlowski Dennis (Director, Interim CEO) Buys 4,000 @ Avg Price: $10.46 (Form4)",2017-03-13 13:13:00-04:00,CECE,neutral
227316.0,15 Biggest Mid-Day Losers For Friday,2017-03-10 13:04:00-05:00,CECE,negative
227317.0,"Spruce Point Capital: $CECE -12%, took a while for investors to figure out declining bookings are bad for leverage (they finally admitted they obscured it)",2017-03-10 09:50:00-05:00,CECE,negative
227318.0,"CECO Environmental Corp. Reports Q4 Adj. EPS $0.35 vs. $0.21 Est., Sales $100M vs. $100.9M Est.",2017-03-09 08:01:00-05:00,CECE,neutral
