Unnamed: 0,title,date,stock,sentiment
228212.0,Chembio Diagnostics shares are trading higher after the company received FDA 510(k) clearance for its DPP Zika IgM systems.,2020-06-08 09:06:00-04:00,CEMI,positive
228213.0,Chembio Diagnostics Receives FDA 510(k) Clearance For DPP Zika IgM System,2020-06-08 08:03:00-04:00,CEMI,neutral
228214.0,"Benzinga's Top Upgrades, Downgrades For May 26, 2020",2020-05-26 09:42:00-04:00,CEMI,positive
228215.0,"Baird Initiates Coverage On Chembio Diagnostics with Outperform Rating, Announces Price Target of $21",2020-05-26 06:26:00-04:00,CEMI,neutral
228216.0,Chembio Diagnostics shares are trading higher after the company announced it signed a deal with Thermo Fisher to distribute its Chembio's coronavirus test.,2020-05-18 08:49:00-04:00,CEMI,positive
228217.0,Chembio Diagnostics Signs a Deal with Thermo Fisher to Distribute Chembio's COVID-19 Test,2020-05-18 07:29:00-04:00,CEMI,neutral
228218.0,Chembio Diagnostics Prices ~2.34M Share Common Stock Offering At $11.75/Share,2020-05-07 08:56:00-04:00,CEMI,positive
228219.0,"The Daily Biotech Pulse: FDA Approves Novartis Lung Cancer Drug, 2-Way Contest Emerging For Tetraphase Pharma, Dexcom To Join S&P 500",2020-05-07 07:41:00-04:00,CEMI,negative
228220.0,Chembio Diagnostics Announces A Common Stock Offering; No Details Disclosed,2020-05-06 16:17:00-04:00,CEMI,negative
228221.0,70 Biggest Movers From Yesterday,2020-05-06 05:26:00-04:00,CEMI,neutral
228222.0,51 Stocks Moving In Tuesday's Mid-Day Session,2020-05-05 12:22:00-04:00,CEMI,neutral
228223.0,"The Daily Biotech Pulse: Bio-Rad's Coronavirus Test Gets EUA, Beat-And-Raise Quarter From GenMark, Adverum's Positive Gene Therapy Readout",2020-05-05 08:00:00-04:00,CEMI,positive
228224.0,28 Stocks Moving in Tuesday's Pre-Market Session,2020-05-05 07:16:00-04:00,CEMI,neutral
228225.0,Chembio Diagnostics shares are trading lower after the company reported worse-than-expected Q1 EPS and sales results.,2020-05-04 16:27:00-04:00,CEMI,neutral
228226.0,"Chembio Diagnostics Q1 EPS $(0.290) Misses $(0.230) Estimate, Sales $6.900M Miss $7.730M Estimate",2020-05-04 16:20:00-04:00,CEMI,negative
228227.0,Chembio Diagnostics Attains CE Marking For DPP Coronavirus COVID-19 System For IgG And IgM Antibodies,2020-05-04 16:04:00-04:00,CEMI,neutral
228228.0,The Week Ahead In Biotech: Smid-Cap Earnings News Flow Picks Up Pace,2020-05-03 08:45:00-04:00,CEMI,neutral
228229.0,82 Biggest Movers From Yesterday,2020-04-29 04:30:00-04:00,CEMI,neutral
228230.0,56 Stocks Moving In Tuesday's Mid-Day Session,2020-04-28 12:27:00-04:00,CEMI,neutral
228231.0,34 Stocks Moving in Tuesday's Pre-Market Session,2020-04-28 07:16:00-04:00,CEMI,neutral
228232.0,96 Biggest Movers From Yesterday,2020-04-28 04:22:00-04:00,CEMI,neutral
228233.0,"The Daily Biotech Pulse: FDA Approves Sanofi's Meningococcal Vaccine, Pluristem Secures $54M In Funding For COVID-19 Treatment, Oric Pharma Prices IPO",2020-04-24 08:38:00-04:00,CEMI,positive
228234.0,"The Daily Biotech Pulse: Applied DNA Begins Validating COVID-19 Test, Cara's Positive Readout, Novan Explores Strategic Alternatives",2020-04-21 08:19:00-04:00,CEMI,positive
228235.0,"Chembio Diagnostics On April 20, Co Through Unit Entered Into Loan Agreement With HSBC Bank USA, National Association, Refereed To As PPP Loan; Co. To Receive About $2.98M, Which Will Mature On April 20, 2022",2020-04-21 06:24:00-04:00,CEMI,positive
228236.0,78 Biggest Movers From Yesterday,2020-04-21 04:32:00-04:00,CEMI,neutral
228237.0,54 Stocks Moving In Monday's Mid-Day Session,2020-04-20 12:43:00-04:00,CEMI,neutral
228238.0,Stocks That Hit 52-Week Highs On Monday,2020-04-20 10:25:00-04:00,CEMI,neutral
228239.0,35 Stocks Moving in Monday's Pre-Market Session,2020-04-20 07:20:00-04:00,CEMI,neutral
228240.0,58 Stocks Moving In Friday's Mid-Day Session,2020-04-17 12:31:00-04:00,CEMI,neutral
228241.0,"The Daily Biotech Pulse: Moderna Secures $483M In BARDA Funding, Gilead Remdesivir Data, Veracyte's Positive Pre-Announcement",2020-04-17 07:35:00-04:00,CEMI,positive
228242.0,70 Biggest Movers From Yesterday,2020-04-17 04:53:00-04:00,CEMI,neutral
228243.0,52 Stocks Moving In Thursday's Mid-Day Session,2020-04-16 12:58:00-04:00,CEMI,neutral
228244.0,52 Stocks Moving In Thursday's Mid-Day Session,2020-04-16 12:57:00-04:00,CEMI,neutral
228245.0,"Canaccord Genuity Maintains Buy on Chembio Diagnostics, Raises Price Target to $12",2020-04-16 11:10:00-04:00,CEMI,neutral
228246.0,Stocks That Hit 52-Week Highs On Thursday,2020-04-16 10:19:00-04:00,CEMI,neutral
228247.0,Mid-Morning Market Update: Markets Mostly Lower; Morgan Stanley Misses Q1 Expectations,2020-04-16 10:13:00-04:00,CEMI,negative
228248.0,"Benzinga Pro's Top 5 Stocks To Watch For Thurs., Apr. 16, 2020: BBY, PLT, DCAR, TBLT, CEMI",2020-04-16 07:57:00-04:00,CEMI,positive
228249.0,"Chembio Reports Receives Emergency Use Authorization For DPP Coronavirus Infection System For IgG, IgM Antibodies; Says First Shipments Of Serological Test Have Been Released",2020-04-15 09:27:00-04:00,CEMI,negative
228250.0,78 Biggest Movers From Yesterday,2020-04-15 04:45:00-04:00,CEMI,neutral
228251.0,55 Stocks Moving In Tuesday's Mid-Day Session,2020-04-14 12:52:00-04:00,CEMI,neutral
228252.0,"The Daily Biotech Pulse: Amarin Reports Strong Q1 Vascepa Sales, BeiGene Aces Late-Stage Lung Cancer Study, Glaxo, Sanofi Strike COVID-19 Vaccine Partnership",2020-04-14 07:59:00-04:00,CEMI,negative
228253.0,86 Biggest Movers From Yesterday,2020-04-14 05:19:00-04:00,CEMI,negative
228254.0,63 Stocks Moving In Monday's Mid-Day Session,2020-04-13 12:35:00-04:00,CEMI,neutral
228255.0,Stocks That Hit 52-Week Highs On Monday,2020-04-13 10:25:00-04:00,CEMI,neutral
228256.0,A Peek Into The Markets: US Stock Futures Signal Lower Start On Wall Street,2020-04-13 05:50:00-04:00,CEMI,negative
228257.0,"5 Stocks To Watch For April 13, 2020",2020-04-13 04:58:00-04:00,CEMI,neutral
228258.0,Chembio Diagnostics shares are trading higher after the company reported collaboration with Stony Brook Medicine to identify coronavirus survivors.,2020-04-09 16:15:00-04:00,CEMI,positive
228259.0,Chembio Reports Collaboration With Stony Brook Medicine To Identify Coronavirus Survivors,2020-04-09 16:06:00-04:00,CEMI,neutral
228260.0,Chembio Receives Second UNICEF Order for $1.5M,2020-04-08 08:06:00-04:00,CEMI,neutral
228261.0,84 Biggest Movers From Yesterday,2020-04-07 05:47:00-04:00,CEMI,neutral
228262.0,72 Biggest Movers From Yesterday,2020-04-02 04:23:00-04:00,CEMI,neutral
228263.0,Mid-Afternoon Market Update: Dow Tumbles 800 Points; Chembio Diagnostics Shares Spike Higher,2020-04-01 14:31:00-04:00,CEMI,positive
228264.0,54 Stocks Moving In Wednesday's Mid-Day Session,2020-04-01 12:30:00-04:00,CEMI,neutral
228265.0,Mid-Day Market Update: ProPetro Slides After Q4 Results; InflaRx Shares Jump,2020-04-01 12:11:00-04:00,CEMI,positive
228266.0,Mid-Morning Market Update: Markets Open Lower; UniFirstTops Q2 Estimates,2020-04-01 10:26:00-04:00,CEMI,negative
228267.0,"Benchmark Maintains Speculative Buy on Chembio Diagnostics, Raises Price Target to $7",2020-04-01 08:03:00-04:00,CEMI,positive
228268.0,20 Healthcare Stocks Moving In Wednesday's Pre-Market Session,2020-04-01 07:45:00-04:00,CEMI,neutral
