Unnamed: 0,title,date,stock,sentiment
255491.0,20 Consumer Cyclical Stocks Moving In Wednesday's Pre-Market Session,2020-06-10 07:41:00-04:00,CLUB,neutral
255492.0,24 Hour Fitness Prepares For Potential Bankruptcy,2020-06-01 09:21:00-04:00,CLUB,positive
255493.0,16 Consumer Cyclical Stocks Moving In Monday's Pre-Market Session,2020-06-01 07:42:00-04:00,CLUB,neutral
255494.0,72 Biggest Movers From Friday,2020-06-01 04:53:00-04:00,CLUB,neutral
255495.0,50 Stocks Moving In Friday's Mid-Day Session,2020-05-29 12:15:00-04:00,CLUB,neutral
255496.0,34 Stocks Moving in Friday's Pre-Market Session,2020-05-29 07:15:00-04:00,CLUB,neutral
255497.0,Town Sports Shares Halted On Circuit Breaker Up 51%,2020-05-28 09:41:00-04:00,CLUB,positive
255498.0,"Town Sports 8-K Shows Receives Nasdaq Listing Qualifications Notice Co. No Longer In Compliance Given $1/Share Minimum Bid Price Requirement; Co. Has Til Dec. 28, 2020",2020-04-29 17:05:00-04:00,CLUB,negative
255499.0,15 Consumer Cyclical Stocks Moving In Friday's Pre-Market Session,2020-04-17 07:48:00-04:00,CLUB,neutral
255500.0,Town Sports Shares Tick Lower As Hearing Report Co. Considering Bankruptcy,2020-04-14 12:07:00-04:00,CLUB,neutral
255501.0,Town Sports Says Delivered Notice Of Termination Of Professional Services Agreement With Alvarez & Marsal Corporate Performance Improvement; Announces CFO Termination,2020-03-25 16:33:00-04:00,CLUB,positive
255502.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,CLUB,negative
255503.0,14 Consumer Cyclical Stocks Moving In Monday's Session,2020-03-09 13:40:00-04:00,CLUB,neutral
255504.0,70 Biggest Movers From Friday,2020-01-27 04:02:00-05:00,CLUB,neutral
255505.0,5 Leisure Stocks Moving In Friday's Session,2020-01-24 13:13:00-05:00,CLUB,neutral
255506.0,44 Stocks Moving In Friday's Mid-Day Session,2020-01-24 12:08:00-05:00,CLUB,neutral
255507.0,52 Biggest Movers From Yesterday,2020-01-24 04:40:00-05:00,CLUB,neutral
255508.0,36 Stocks Moving In Thursday's Mid-Day Session,2020-01-23 14:05:00-05:00,CLUB,neutral
255509.0,48 Biggest Movers From Yesterday,2020-01-08 04:45:00-05:00,CLUB,neutral
255510.0,34 Stocks Moving In Tuesday's Mid-Day Session,2020-01-07 12:10:00-05:00,CLUB,neutral
255511.0,5 Consumer Cyclical Stocks Moving In Monday's Pre-Market Session,2020-01-06 08:11:00-05:00,CLUB,neutral
255512.0,"Town Sports Shares Volatile Amid Report New York Sports Club Owners Are Seeking A Debt Extension; Co. May Have Offered More Interest, Added Capital",2019-12-17 11:36:00-05:00,CLUB,positive
255513.0,60 Biggest Movers From Yesterday,2019-11-07 05:44:00-05:00,CLUB,neutral
255514.0,62 Stocks Moving In Wednesday's Mid-Day Session,2019-11-06 13:48:00-05:00,CLUB,neutral
255515.0,"Town Sports Intl Hldgs Q3 EPS $(0.44) Down From $(0.15) YoY, Sales $115.496M Up From $110.173M YoY",2019-11-05 16:14:00-05:00,CLUB,neutral
255516.0,58 Biggest Movers From Friday,2019-11-04 07:12:00-05:00,CLUB,neutral
255517.0,58 Biggest Movers From Yesterday,2019-09-13 07:04:00-04:00,CLUB,neutral
255518.0,50 Stocks Moving In Thursday's Mid-Day Session,2019-09-12 13:39:00-04:00,CLUB,neutral
255519.0,71 Biggest Movers From Yesterday,2019-09-12 05:33:00-04:00,CLUB,neutral
255520.0,Stocks That Fell Through 52-Week Lows Wednesday,2019-08-07 14:22:00-04:00,CLUB,negative
255521.0,New 52-Week Lows For Monday Morning,2019-08-05 13:16:00-04:00,CLUB,negative
255522.0,New 52-Week Lows for Tuesday Morning,2019-07-30 11:07:00-04:00,CLUB,negative
255523.0,Stocks That Managed to Breach 52-Week Lows Friday,2019-07-26 15:45:00-04:00,CLUB,negative
255524.0,"Town Sports Intl Hldgs Q2 EPS $(0.05) Down From $0.02 YoY, Sales $118.704M Up From $112.329M YoY",2019-07-25 17:04:00-04:00,CLUB,neutral
255525.0,44 Stocks Moving In Wednesday's Mid-Day Session,2019-06-26 12:17:00-04:00,CLUB,neutral
255526.0,80 Biggest Movers From Friday,2019-05-06 05:54:00-04:00,CLUB,neutral
255527.0,58 Stocks Moving In Friday's Mid-Day Session,2019-05-03 14:25:00-04:00,CLUB,neutral
255528.0,48 Biggest Movers From Friday,2019-04-29 05:43:00-04:00,CLUB,neutral
255529.0,"Town Sports International Q1 EPS $(0.08) Misses $0.05 Estimate, Sales $116.6M Beat $115M Estimate",2019-04-25 16:43:00-04:00,CLUB,negative
255530.0,"Town Sports International Q4 EPS $0.09 Beats $0.08 Estimate, Sales $113.481M Beat $112M Estimate",2019-02-28 17:16:00-05:00,CLUB,neutral
255531.0,71 Biggest Movers From Friday,2018-10-29 05:33:00-04:00,CLUB,neutral
255532.0,56 Stocks Moving In Friday's Mid-Day Session,2018-10-26 12:49:00-04:00,CLUB,neutral
255533.0,"Town Sports International Holdings, Inc. Q3 EPS $(0.15) Misses $(0.02) Estimate, Sales $110.173M Miss $110.98M Estimate",2018-10-25 16:28:00-04:00,CLUB,negative
255534.0,30 Stocks Moving In Wednesday's Pre-Market Session,2018-10-10 08:02:00-04:00,CLUB,neutral
255535.0,46 Biggest Movers From Friday,2018-10-08 04:46:00-04:00,CLUB,neutral
255536.0,36 Stocks Moving In Friday's Mid-Day Session,2018-10-05 12:37:00-04:00,CLUB,neutral
255537.0,51 Biggest Movers From Yesterday,2018-09-11 05:05:00-04:00,CLUB,neutral
255538.0,62 Biggest Movers From Friday,2018-07-30 04:16:00-04:00,CLUB,neutral
255539.0,55 Stocks Moving In Friday's Mid-Day Session,2018-07-27 12:37:00-04:00,CLUB,neutral
255540.0,"Town Sports International Q2 EPS $0.02 Misses $0.04 Estimate, Sales $112.329M Beat $110.71M Estimate",2018-07-26 17:05:00-04:00,CLUB,negative
255541.0,28 Stocks Moving In Monday's Pre-Market Session,2018-07-02 08:06:00-04:00,CLUB,neutral
255542.0,"Town Sports Q1 EPS $0.04 Beats $(0.07) Est., Sales $107.111M Beats $105M Est.",2018-04-26 17:16:00-04:00,CLUB,neutral
