Unnamed: 0,title,date,stock,sentiment
275254.0,70 Biggest Movers From Yesterday,2020-05-06 05:26:00-04:00,CODI,neutral
275255.0,"Cannabis Stock Gainers And Losers From May 5, 2020",2020-05-05 17:41:00-04:00,CODI,negative
275256.0,51 Stocks Moving In Tuesday's Mid-Day Session,2020-05-05 12:22:00-04:00,CODI,neutral
275257.0,17 Industrials Stocks Moving In Tuesday's Pre-Market Session,2020-05-05 07:33:00-04:00,CODI,neutral
275258.0,28 Stocks Moving in Tuesday's Pre-Market Session,2020-05-05 07:16:00-04:00,CODI,neutral
275259.0,Compass Diversified Holdings Prices 5M Share Offering @$17.60/Share,2020-05-05 05:35:00-04:00,CODI,positive
275260.0,"Cannabis Stock Gainers And Losers From May 4, 2020",2020-05-04 16:44:00-04:00,CODI,negative
275261.0,Compass Diversified Holdings Announces 5M Shares Common Stock Offering,2020-05-04 16:06:00-04:00,CODI,positive
275262.0,"Cannabis Stock Gainers And Losers From May 1, 2020",2020-05-02 08:51:00-04:00,CODI,negative
275263.0,"Compass Diversified Hldgs Q1 EPS $(0.260) Does Not Compare To $0.190 Estimate, Sales $333.400M Miss $340.250M Estimate",2020-04-30 16:25:00-04:00,CODI,negative
275264.0,"Cannabis Stock Gainers And Losers From April, 24. 2020",2020-04-24 17:55:00-04:00,CODI,negative
275265.0,"Jefferies Reinstates Buy on Compass Diversified Hldgs, Announces $22 Price Target",2020-04-22 09:23:00-04:00,CODI,neutral
275266.0,78 Biggest Movers From Yesterday,2020-04-21 04:32:00-04:00,CODI,neutral
275267.0,"Cannabis Stock Gainers And Losers From April 20, 2020",2020-04-20 17:35:00-04:00,CODI,negative
275268.0,54 Stocks Moving In Monday's Mid-Day Session,2020-04-20 12:43:00-04:00,CODI,neutral
275269.0,"Cannabis Stock Gainers And Losers From April 15, 2020",2020-04-15 17:26:00-04:00,CODI,negative
275270.0,"Cannabis Stock Gainers And Losers From April 9, 2020",2020-04-09 17:35:00-04:00,CODI,negative
275271.0,"Cannabis Stock Gainers And Losers From April 8, 2020",2020-04-08 17:06:00-04:00,CODI,negative
275272.0,"Cannabis Stock Gainers And Losers From April 6, 2020",2020-04-06 18:06:00-04:00,CODI,negative
275273.0,"Compass Diversified CEO, CFO Send Letter To Shareholders",2020-04-02 16:15:00-04:00,CODI,neutral
275274.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,CODI,negative
275275.0,"Cannabis Stock Gainers And Losers From March 16, 2020",2020-03-16 19:39:00-04:00,CODI,negative
275276.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,CODI,negative
275277.0,"Cannabis Stock Gainers And Losers From March, 10. 2020",2020-03-10 19:40:00-04:00,CODI,negative
275278.0,Compass Diversified Holdings to Acquire Baseball Equipment Company Marucci Sports For $200M,2020-03-09 09:02:00-04:00,CODI,neutral
275279.0,Compass Diversified Holdings Sees FY20 Adj. EBITDA $238M-$258M,2020-02-26 16:45:00-05:00,CODI,neutral
275280.0,"Compass Diversified Hldgs Q4 EPS $(0.24) Misses $0.42 Estimate, Sales $386.999M Miss $393.49M Estimate",2020-02-26 16:44:00-05:00,CODI,negative
275281.0,"Cannabis Stock Gainers And Losers From Feb. 25, 2020",2020-02-25 16:47:00-05:00,CODI,negative
275282.0,"Cannabis Stock Gainers And Losers From Feb. 24, 2020",2020-02-25 07:13:00-05:00,CODI,negative
275283.0,"Cannabis Stock Gainers And Losers From Feb. 21, 2020",2020-02-21 18:11:00-05:00,CODI,negative
275284.0,"Cannabis Stock Gainers And Losers From Feb. 20, 2020",2020-02-21 09:32:00-05:00,CODI,negative
275285.0,"Cannabis Stock Gainers And Losers From Feb. 19, 2020",2020-02-19 16:58:00-05:00,CODI,negative
275286.0,Stocks That Hit 52-Week Highs On Friday,2019-12-27 11:27:00-05:00,CODI,neutral
275287.0,Stocks That Hit 52-Week Highs On Monday,2019-12-16 10:16:00-05:00,CODI,neutral
275288.0,Stocks That Hit 52-Week Highs On Tuesday,2019-12-10 14:27:00-05:00,CODI,neutral
275289.0,"'Fast Money Halftime Report' Traders Weigh In On American Express, Chewy And More",2019-11-29 06:21:00-05:00,CODI,neutral
275290.0,Stocks That Hit 52-Week Highs On Monday,2019-11-18 11:01:00-05:00,CODI,neutral
275291.0,Compass Diversified Holdings Files For Potential Stock Shelf Offering; Size Not Disclosed,2019-11-13 09:41:00-05:00,CODI,neutral
275292.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-05 11:12:00-05:00,CODI,neutral
275293.0,"Alibaba, Chevron And More 'Fast Money Halftime Report' Picks From November 4",2019-11-04 16:22:00-05:00,CODI,neutral
275294.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,CODI,neutral
275295.0,"Barron's Picks And Pans: AbbVie, Alibaba, Fiat Chrysler, Garmin And More",2019-11-02 11:56:00-04:00,CODI,neutral
275296.0,"Compass Diversified Hldgs Q3 Sales $388.313M Beat $374.31M Estimate, EPS From Continuing Operations $0.03 vs $0.09 In Same Qtr. Last Year",2019-10-30 17:17:00-04:00,CODI,neutral
275297.0,Stocks That Hit 52-Week Highs On Wednesday,2019-10-30 10:35:00-04:00,CODI,neutral
275298.0,"Compass Diversified Holdings Reports Received Deferred Consideration From Sale Of Manitoba Harvest To Tilray: C$92.5M Of Cash, Tilray Shares",2019-09-04 08:31:00-04:00,CODI,positive
275299.0,"Benzinga's Top Upgrades, Downgrades For August 2, 2019",2019-08-02 09:40:00-04:00,CODI,positive
275300.0,Raymond James Downgrades Compass Diversified Hldgs to Market Perform,2019-08-02 07:36:00-04:00,CODI,neutral
275301.0,"Compass Diversified Hldgs Q2 EPS $(0.32) Misses $0.41 Estimate, Sales $336.084M Miss $435.4M Estimate",2019-07-31 17:29:00-04:00,CODI,negative
275302.0,"Compass Diversified Hldgs Q2 EPS $(0.32) Does Not Compare To $0.41 Estimate, Sales $336.08M Miss $435.4M Estimate",2019-07-31 16:28:00-04:00,CODI,negative
275303.0,"Benzinga's Top Upgrades, Downgrades For July 29, 2019",2019-07-29 09:55:00-04:00,CODI,positive
275304.0,"Roth Capital Initiates Coverage On Compass Diversified Hldgs with Buy Rating, Announces $21.50 Price Target",2019-07-29 08:41:00-04:00,CODI,neutral
275305.0,66 Biggest Movers From Yesterday,2019-06-04 05:19:00-04:00,CODI,neutral
275306.0,51 Stocks Moving In Monday's Mid-Day Session,2019-06-03 12:46:00-04:00,CODI,neutral
275307.0,"Compass Diversified Q1 EPS $1.72 Does Not Compare To $0.23 Estimate, Sales $402.49M Miss $411.62M Estimate",2019-05-01 16:58:00-04:00,CODI,negative
275308.0,Compass Diversified Holdings Promotes Pat Maciariello COO,2019-04-01 16:47:00-04:00,CODI,positive
275309.0,"Hemp Industry Outlook: Startups, Mergers And Acquisitions Abound",2019-03-18 10:12:00-04:00,CODI,neutral
275310.0,"Compass Diversified Q4 EPS $(0.25) May Not Compare To $0.44 Estimate, Sales $452.523M Beat $445M Estimate",2019-02-27 17:02:00-05:00,CODI,neutral
275311.0,"Earnings Scheduled For February 27, 2019",2019-02-27 04:03:00-05:00,CODI,neutral
275312.0,Compass Diversified shares are trading higher after the company announced the sale of subsidiary Manitoba Harvest to Tilray for $317 million.,2019-02-20 09:16:00-05:00,CODI,positive
275313.0,Tilray To Buy Hemp Food Company Manitoba Harvest For $317M,2019-02-20 07:49:00-05:00,CODI,neutral
275314.0,Compass Diversified Holdings Announces Sale Of Manitoba Harvest To Tilray For C$419M,2019-02-20 07:23:00-05:00,CODI,neutral
275315.0,"Stocks Which Set New 52-Week Low Last Trading Session, Fri., Dec. 14, 2018",2018-12-17 11:48:00-05:00,CODI,negative
275316.0,"Stocks Which Set New 52-Week Low Yesterday, Thurs., Dec. 13, 2018",2018-12-14 11:03:00-05:00,CODI,negative
275317.0,12 NYSE- And NASDAQ-Listed Stocks With Cannabis Exposure,2018-11-16 09:00:00-05:00,CODI,neutral
275318.0,"Jim Cramer Shares His Thoughts On Albermarle, Cisco And More",2018-11-08 07:38:00-05:00,CODI,positive
275319.0,"Compass Diversified Holdings Q3 EPS $(0.07) Misses $0.54 Estimate, Sales $448.7M Beat $415.16M Estimate",2018-10-31 17:06:00-04:00,CODI,negative
275320.0,"Stocks Trading Ex Dividend For Wed., Oct. 17, 2018",2018-10-17 10:14:00-04:00,CODI,neutral
275321.0,"Stocks That Will Be Trading Ex Dividend Wed., Oct. 17, 2018",2018-10-16 12:11:00-04:00,CODI,neutral
275322.0,Compass Diversified Holdings Reports Velocity Outdoor Subsidiary Purchased Ravin Crossbows For $94M,2018-09-04 16:17:00-04:00,CODI,neutral
275323.0,"Compass Diversified Q2 EPS $(0.10) Does Not Compare To$0.45 Estimate, Sales $429.757M Beat $403.57M Estimate",2018-08-01 16:24:00-04:00,CODI,neutral
275324.0,"Companies Holding Analyst/Investor Days Today Include: RingCentral, and Compass Diversified Holdings",2018-06-14 06:55:00-04:00,CODI,neutral
275325.0,"The Week Ahead: Central Bank Bonanza, AT&T Court Ruling, North Korea Summit",2018-06-11 16:02:00-04:00,CODI,neutral
275326.0,"Compass Diversified Holdings 10%+ Owner Path Spirit LTD Buys 62,000 @ Avg Price: $22.25",2018-05-11 15:48:00-04:00,CODI,positive
275327.0,"Compass Diversified Holdings Sterno Group Reports Purchase Of Rimports, No Terms Disclosed",2018-03-01 12:01:00-05:00,CODI,negative
275328.0,"Compass Diversified Holdings Reports Q4 EPS $0.53 vs $0.44 Est., Sales $348.3M vs $350M Est.",2018-02-28 16:21:00-05:00,CODI,neutral
275329.0,Compass Diversified Holdings Reports Sterno Products Subsidiary Purchased Rimports For $145M,2018-01-24 08:39:00-05:00,CODI,neutral
275330.0,"Compass Diversified Shares Resume Trade, Turn Positive, Now Up 0.3%",2018-01-18 15:27:00-05:00,CODI,positive
275331.0,Compass Diversified Reports Purchase Of Foam Fabricators For $247.5M,2018-01-18 15:11:00-05:00,CODI,neutral
275332.0,UPDATE: Halt Code On Compass Diversified Is 'News Pending',2018-01-18 15:10:00-05:00,CODI,neutral
275333.0,Compass Diversified Shares Halted,2018-01-18 15:09:00-05:00,CODI,positive
275334.0,"Compass Group Announces Elias Sabo CEO, Previous CEO Retiring",2018-01-16 08:46:00-05:00,CODI,neutral
275335.0,"Benzinga's Insider Buys of the Week: Sprint, Cheniere Energy Partners And More",2018-01-07 14:14:00-05:00,CODI,positive
275336.0,"Compass Diversified Reports Q3 Adj. EPS $0.10 vs. $0.72 In Same Qtr. Last Year, Sales $323.96M vs. $347.28M Est.",2017-11-08 16:33:00-05:00,CODI,neutral
275337.0,"Compass Diversified Holdings Subsidiary Sterno Products Acquired sevenOKs, Terms Not Disclosed",2017-08-31 09:01:00-04:00,CODI,neutral
