Unnamed: 0,title,date,stock,sentiment
297441.0,Shares of several technology companies are trading higher on continued volatility despite market weakness. The sector sold off recently as other sectors gained amid US economic reopening and appears to be rebounding.,2020-06-10 12:37:00-04:00,CRM,positive
297442.0,"CFRA Maintains Strong Buy on Salesforce.com, Raises Price Target to $225",2020-06-01 11:31:00-04:00,CRM,positive
297443.0,"Wells Fargo Maintains Overweight on Salesforce.com, Raises Price Target to $215",2020-05-29 11:47:00-04:00,CRM,negative
297444.0,"Costco Shares Come Under Pressure Despite Strong Earnings, Same-Store Sales",2020-05-29 10:09:00-04:00,CRM,negative
297445.0,Salesforce.Com shares are trading lower after the company issued Q2 and FY21 EPS and sales guidance below estimates.,2020-05-29 08:12:00-04:00,CRM,neutral
297446.0,20 Technology Stocks Moving In Friday's Pre-Market Session,2020-05-29 07:41:00-04:00,CRM,neutral
297447.0,A Peek Into The Markets: US Stock Futures Down; All Eyes On Trump's News Conference On China,2020-05-29 06:10:00-04:00,CRM,neutral
297448.0,"6 Stocks To Watch For May 29, 2020",2020-05-29 04:57:00-04:00,CRM,neutral
297449.0,10 Stocks Moving In Thursday's After-Hours Session,2020-05-28 17:58:00-04:00,CRM,neutral
297450.0,Salesforce Trades Down On Underwhelming Q2 Guidance,2020-05-28 16:45:00-04:00,CRM,neutral
297451.0,Salesforce.Com shares are trading lower after the company issued Q2 and FY21 EPS and sales guidance below estimates.,2020-05-28 16:31:00-04:00,CRM,neutral
297452.0,AT&T Announces Multi-Year Agreement With Salesforce,2020-05-28 16:10:00-04:00,CRM,positive
297453.0,"Salesforce Sees FY21 Adj. EPS $2.93-$2.95 vs $3.10 Estimate, Sales ~$20B vs $20.77B Est.",2020-05-28 16:09:00-04:00,CRM,neutral
297454.0,"Saleforce.com Sees Q2 Adj. EPS $0.66-$0.67 vs $0.75 Estimate, Sales $4.89B-$4.9B vs $5.05B Est.",2020-05-28 16:06:00-04:00,CRM,neutral
297455.0,"Salesforce.com Q1 Adj. EPS $0.70 Beats $0.69 Estimate, Sales $4.87B Beat $4.85B Estimate",2020-05-28 16:05:00-04:00,CRM,neutral
297456.0,"Shares of several technology companies are trading lower, rebounding from Wednesday weakness. The sector sold off Wednesday following recent strength amid greater interest in software and virtual communication services amid the work-from-home environment. Sector appears to be rebounding on Thursday.",2020-05-28 12:26:00-04:00,CRM,positive
297457.0,"Earnings Scheduled For May 28, 2020",2020-05-28 04:19:00-04:00,CRM,neutral
297458.0,5 Stocks Moving In Wednesday's After-Hours Session,2020-05-27 16:41:00-04:00,CRM,neutral
297459.0,"Workday Reports Separate Partnerships With Salesforce, Microsoft",2020-05-27 16:09:00-04:00,CRM,neutral
297460.0,Hearing JP Morgan Out With Survey Of Salesforce Partners Showing Partners Finished 2.7% Below Plan On Average And Partners On Average Think It Will Take 27 Months For Base Of Salesforce Customers And Prospects To Return To 100% Health,2020-05-27 08:25:00-04:00,CRM,positive
297461.0,Stocks To Watch This Week,2020-05-26 12:25:00-04:00,CRM,neutral
297462.0,3 Tips To Make Money In The Stock Market,2020-05-22 13:20:00-04:00,CRM,neutral
297463.0,3 Ways Small Businesses Can Get Emergency Help Right Now,2020-05-21 11:54:00-04:00,CRM,neutral
297464.0,Salesforce Labs Unleashes Supplyforce Bot Communication Tool,2020-05-20 16:48:00-04:00,CRM,neutral
297465.0,Shares of several companies in the broader technology sector are trading higher. Positive catalysts include recent vaccine developments as well as increased usage in some software programs as a result of the work-from-home environment.,2020-05-19 12:03:00-04:00,CRM,positive
297466.0,"Cowen & Co. Maintains Outperform on Salesforce.com, Lowers Price Target to $200",2020-05-18 11:44:00-04:00,CRM,negative
297467.0,"RBC Capital Maintains Outperform on Salesforce.com, Lowers Price Target to $210",2020-05-18 09:54:00-04:00,CRM,negative
297468.0,"Oppenheimer Maintains Outperform on Salesforce.com, Raises Price Target to $195",2020-05-18 08:29:00-04:00,CRM,neutral
297469.0,Salesforce shares are trading lower. Not currently seeing company-specific news.,2020-05-13 10:30:00-04:00,CRM,neutral
297470.0,Why Salesforce's Stock Is Trading Higher Today,2020-05-11 14:28:00-04:00,CRM,neutral
297471.0,Salesforce shares are trading higher after JMP analysts maintained an Outperform rating on the stock and raised their price target from $172 to $191. Software and technology names have been strong recently despite market volatility.,2020-05-11 13:51:00-04:00,CRM,positive
297472.0,"JMP Securities Maintains Market Outperform on Salesforce.com, Raises Price Target to $191",2020-05-11 10:26:00-04:00,CRM,positive
297473.0,Shares of several technology companies are trading higher amid market strength after US job loss figures came in better than expected. The sector has been strong recently as several companies reported strong earnings and benefited from online services.,2020-05-08 10:15:00-04:00,CRM,positive
297474.0,Why Salesforce's Stock Is Trading Higher Today,2020-05-07 11:56:00-04:00,CRM,neutral
