Unnamed: 0,title,date,stock,sentiment
323636.0,"Consolidated Water Co Q1 EPS $0.190 Beats $0.150 Estimate, Sales $20.700M Beat $17.500M Estimate",2020-05-15 16:58:00-04:00,CWCO,neutral
323637.0,130 Biggest Movers From Yesterday,2020-03-18 06:06:00-04:00,CWCO,neutral
323638.0,Mid-Afternoon Market Update: Crude Oil Down 5.5%; BioNTech Shares Spike Higher,2020-03-17 14:59:00-04:00,CWCO,negative
323639.0,Consolidated Water Co: Q4 Earnings Insights,2020-03-16 09:01:00-04:00,CWCO,neutral
323640.0,"Consolidated Water Co Q4 EPS $0.11 Misses $0.14 Estimate, Sales $17.611M Beat $17.1M Estimate",2020-03-16 08:30:00-04:00,CWCO,negative
323641.0,Stocks That Hit 52-Week Highs On Friday,2020-02-14 10:15:00-05:00,CWCO,neutral
323642.0,Consolidated Water Acquires Remaining 49% Interest In Aerex Industries For $8.5M,2020-01-29 08:33:00-05:00,CWCO,positive
323643.0,Stocks That Hit 52-Week Highs On Tuesday,2020-01-28 11:05:00-05:00,CWCO,neutral
323644.0,Stocks That Hit 52-Week Highs On Friday,2020-01-24 10:41:00-05:00,CWCO,neutral
323645.0,"Consolidated Water's Rosarito, Mexico Desalination Project Receives Congressional Extension Of Key Financing Authorizations",2020-01-16 08:40:00-05:00,CWCO,neutral
323646.0,Mid-Morning Market Update: Markets Edge Lower; United Bankshares To Buy Carolina Financial,2019-11-18 10:23:00-05:00,CWCO,positive
323647.0,"Consolidated Water Co Q3 EPS $0.11 Misses $0.15 Estimate, Sales $15.889M Miss $17.95M Estimate",2019-11-12 08:38:00-05:00,CWCO,negative
323648.0,Stocks That Hit 52-Week Highs On Wednesday,2019-11-06 10:10:00-05:00,CWCO,neutral
323649.0,Stocks That Hit 52-Week Highs On Monday,2019-09-23 12:51:00-04:00,CWCO,neutral
323650.0,Stocks That Hit 52-Week Highs On Friday,2019-09-13 14:58:00-04:00,CWCO,neutral
