Unnamed: 0,title,date,stock,sentiment
325478.0,A Peek Into CoreCivic's Price Over Earnings,2020-06-05 14:14:00-04:00,CXW,neutral
325479.0,Shares of several real estate companies are trading higher following strong US jobs numbers and continued optimism amid the reopening of the US economy.,2020-06-05 11:32:00-04:00,CXW,positive
325480.0,"Shares of several REITs are trading higher amid market strength following strong US jobs data, which has raised hopes of an economic rebound. A rebound has been seen as a positive catalyst for the real estate market.",2020-06-05 11:11:00-04:00,CXW,positive
325481.0,Shares of several real estate companies are trading higher in sympathy with the overall market as optimism around a coronavirus vaccine increased following news from Moderna. A vaccine can allow economic activity and consumer spending to increase.,2020-05-18 12:25:00-04:00,CXW,positive
325482.0,"CoreCivic Q1 EPS $0.540 Down From $0.640 YoY, Sales $491.101M Beat $490.290M Estimate",2020-05-06 16:57:00-04:00,CXW,neutral
325483.0,"Shares of several real estate companies are trading lower with the overall market on continued downward momentum after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus pandemic.",2020-04-21 12:02:00-04:00,CXW,negative
325484.0,"CoreCivic $500 Bonus Program To Employees, Announces Hiring Commitment",2020-04-15 14:34:00-04:00,CXW,positive
325485.0,Shares of several real estate companies are trading lower amid market weakness as the coronavirus pandemic continues to take its toll on the economy. The virus has made it more difficult to look at and invest in real estate.,2020-04-15 10:43:00-04:00,CXW,negative
325486.0,CoreCivic Withdraws Its FY20 Guidance Due To Coronavirus,2020-04-01 16:16:00-04:00,CXW,neutral
325487.0,Shares of several real estate companies are trading lower despite market strength. NOTE: The lending industry has been negatively impacted by macro disruption amid coronavirus outbreak.,2020-03-31 11:50:00-04:00,CXW,negative
325488.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,CXW,negative
325489.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,CXW,negative
325490.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,CXW,negative
325491.0,"CoreCivic shares are trading lower after the company reported Q4 FFO of $0.59, which is down from $0.63 year-over-year.",2020-02-13 08:24:00-05:00,CXW,neutral
325492.0,17 Stocks Moving In Wednesday's After-Hours Session,2020-02-12 17:01:00-05:00,CXW,neutral
325493.0,"CoreCivic shares are trading lower after the company reported Q4 FFO of $0.59, which is down from $0.63 year-over-year.",2020-02-12 16:22:00-05:00,CXW,neutral
325494.0,CoreCivic Q4 FFO $0.59 Down From $0.63 YoY,2020-02-12 16:18:00-05:00,CXW,neutral
325495.0,CoreCivic Enters Into New Management Contract With State Of Mississippi At Tallahatchie County Correctional Facility,2020-01-09 08:08:00-05:00,CXW,neutral
325496.0,CNBC Article Highlights Headwinds In Private Prison Sector,2020-01-02 11:21:00-05:00,CXW,negative
325497.0,CoreCivic Shares Volatile But Relatively Unchanged As Traders Circulate General Services Admin. Gov't. Doc On Sam.gov For Detention Services Contract Win By Co. For California,2019-12-23 11:05:00-05:00,CXW,positive
325498.0,Mid-Day Market Update: Steelcase Surges On Upbeat Q3 Results; Aduro BioTech Shares Plunge,2019-12-18 12:13:00-05:00,CXW,positive
325499.0,Stocks That Hit 52-Week Lows On Tuesday,2019-12-03 10:40:00-05:00,CXW,negative
325500.0,"CoreCivic Sees Q4 Adj. EPS $0.38-$0.42, FFO $0.60-$0.64",2019-11-06 17:12:00-05:00,CXW,neutral
325501.0,"CoreCivic Q3 EPS $0.70 Up From $0.58 YoY, Sales $508.5M Beat $490.29M Estimate",2019-11-06 17:11:00-05:00,CXW,neutral
325502.0,"California to End Its Use of Private, For-profit Prisons",2019-10-11 18:22:00-04:00,CXW,neutral
325503.0,"Cramer Gives His Opinion On Verizon, Anthem And More",2019-10-11 11:04:00-04:00,CXW,neutral
325504.0,Stocks That Hit 52-Week Lows On Thursday,2019-10-10 11:08:00-04:00,CXW,negative
325505.0,Jim Chanos At CNBS's Delivering Alpha Conference Says Doesn't Think Market Is Pricing In A Win By The Left; Says Prison Stocks Would Be In Trouble,2019-09-19 11:26:00-04:00,CXW,negative
325506.0,CoreCivic Enters Into New Management Contract At The Adams County Correctional Center; Contract Expected To Generate Approximately $50M-$60M In Annualized Revenue,2019-09-03 08:13:00-04:00,CXW,neutral
325507.0,"'Barr says after Labor Day, Justice Dept. will unveil legislative proposal to impose a ""strict timetable for judicial proceedings"" in cases of mass murder & cop killings so that death penalty will be imposed without ""undue delay.""'",2019-08-12 11:32:00-04:00,CXW,negative
325508.0,"CoreCivic Sees Q3 FFO $0.60-$0.62, Raises FY19 FFO Guidance From $2.47-$2.53 To $2.58-$2.62",2019-08-05 16:19:00-04:00,CXW,neutral
325509.0,"CoreCivic Q2 FFO $0.57, Same YoY, Sales $490.29M Beat $488.34M Estimate",2019-08-05 16:16:00-04:00,CXW,neutral
325510.0,"CoreCivic, GEO Group Shares Volatile, Tick Lower Then Rebound, Following Report Fifth Third Will Halt Future Financing To Private-Prison Firms",2019-07-15 13:24:00-04:00,CXW,neutral
325511.0,Hearing Fifth Third To Halt Future Financing To Private-Prison Firms,2019-07-15 13:23:00-04:00,CXW,neutral
325512.0,CoreCivic Option Alert: Aug 16 $18 Calls at the Ask: 1000 @ $0.7 vs 8 OI; Earnings 8/7 After Close [est] Ref=$17.67,2019-07-15 11:38:00-04:00,CXW,positive
