Unnamed: 0,title,date,stock,sentiment
359171.0,Diamond Hill Inv Gr Q1 EPS $0.470 Down From $4.840 YoY,2020-04-27 16:18:00-04:00,DHIL,positive
359172.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,DHIL,negative
359173.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,DHIL,negative
359174.0,"Diamond Hill Inv Gr Q4 EPS $3.99 Up From $1.37 YoY, Sales $35.908M Up From $34.446M YoY",2020-02-27 16:37:00-05:00,DHIL,positive
359175.0,"Diamond Hill Inv Gr Q3 EPS $3.35 Down From $4.31 YoY, Sales $34.592M Down From $37.472M YoY; Declares $9/Share Special Dividend",2019-10-29 16:49:00-04:00,DHIL,positive
359176.0,"Diamond Hill Inv Gr Q2 EPS $3.79 Up From $3.57 YoY, Sales $33.55M Down From $35.928M YoY",2019-07-31 17:14:00-04:00,DHIL,positive
359177.0,Diamond Hill Appoints Heather E. Brilliant President And Chief Executive Officer,2019-07-10 08:05:00-04:00,DHIL,positive
359178.0,"Diamond Hill Investment Q1 EPS $4.84 Up From $3.72 YoY, Sales $32.579M Down From $37.782M YoY",2019-05-01 07:43:00-04:00,DHIL,positive
359179.0,"Diamond Hill Investment Q4 EPS $1.37 Down From $3.43 YoY, Sales $34.446M Down From $37.753M YoY",2019-02-21 17:16:00-05:00,DHIL,positive
359180.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Jan. 8, 2019",2019-01-09 10:58:00-05:00,DHIL,negative
359181.0,"Stocks Trading Ex Dividend For Fri., Nov. 30, 2018",2018-11-30 10:22:00-05:00,DHIL,neutral
359182.0,"Stocks That Will Be Trading Ex Dividend Fri., Nov. 30, 2018",2018-11-29 10:49:00-05:00,DHIL,neutral
359183.0,"Stocks Which Set New 52-Week Low Yesterday, Wed., Nov. 7, 2018",2018-11-08 10:52:00-05:00,DHIL,negative
359184.0,"Diamond Hill Investment Group, Inc. Q3 EPS $4.31 Up From $3.67 YoY, Sales $37.47M Up From $36.772M YoY",2018-10-30 16:24:00-04:00,DHIL,positive
359185.0,Diamond Hill Investment Reports $50M Buyback,2018-09-25 08:35:00-04:00,DHIL,positive
359186.0,"Stocks Which Set New 52-Week Low Yesterday, September 17th",2018-09-18 09:27:00-04:00,DHIL,negative
359187.0,"Stocks Which Set New 52-Week Low Friday, September 14",2018-09-17 09:30:00-04:00,DHIL,negative
359188.0,"Stocks Which Set New 52-Week Low Yesterday, September 13th",2018-09-14 09:30:00-04:00,DHIL,negative
359189.0,"Stocks Which Set New 52-Week Low Yesterday, September 12th",2018-09-13 10:19:00-04:00,DHIL,negative
359190.0,"Stocks Which Set New 52-Week Low Yesterday, September 11th",2018-09-12 15:29:00-04:00,DHIL,negative
359191.0,"Stocks Which Set New 52-Week Low Friday, September 7th",2018-09-10 16:38:00-04:00,DHIL,negative
359192.0,"Stocks Which Set New 52-Week Low Yesterday, September 6th",2018-09-07 16:49:00-04:00,DHIL,negative
359193.0,"Diamond Hill Investment Q2 EPS $4.08 Up From $3.25 YoY, Sales $35.928M Up From $35.543M YoY",2018-08-01 16:42:00-04:00,DHIL,positive
359194.0,"Diamond Hill Investment Q1 EPS $3.72, $37.782M Sales",2018-05-02 08:24:00-04:00,DHIL,positive
359195.0,"Diamond Hill Investment Group Reports Q4 EPS $3.43 vs. $3.99 In Same Qtr. Last Year, Sales $37.75M vs. $40M YoY",2018-02-22 16:30:00-05:00,DHIL,positive
359196.0,"Diamond Hill Investment Group Reports Q3 EPS $3.67 vs $3.93 In Same Qtr. Last Year, Sales $36.772M vs $32.937M YoY",2017-10-26 16:26:00-04:00,DHIL,positive
