Unnamed: 0,title,date,stock,sentiment
425049.0,"Oppenheimer Maintains Outperform on EnerSys, Raises Price Target to $80",2020-06-03 10:13:00-04:00,ENS,neutral
425050.0,"EnerSys Q4 Adj. EPS $1.11 Misses $1.18 Estimate, Sales $781.80M Beat $771.59M Estimate",2020-06-01 16:53:00-04:00,ENS,negative
425051.0,"5 Stocks To Watch For June 1, 2020",2020-06-01 04:31:00-04:00,ENS,neutral
425052.0,"Earnings Scheduled For June 1, 2020",2020-06-01 04:00:00-04:00,ENS,neutral
425053.0,EnerSys Q4 Sales $782.000M Down From $796.600M YoY,2020-04-21 16:19:00-04:00,ENS,neutral
425054.0,"EnerSys Sees Prelim. Q4 Sales ~$782M vs $759.3M Estimate, Gross Profit $195M",2020-04-21 16:16:00-04:00,ENS,negative
425055.0,"Sidoti & Co. Maintains Buy on EnerSys, Lowers Price Target to $93",2020-03-27 10:30:00-04:00,ENS,negative
425056.0,EnerSys Announces It Suspended Its Q4 and FY20 Guidance Due To Coronavirus,2020-03-24 16:32:00-04:00,ENS,negative
425057.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,ENS,negative
425058.0,"Shares of several companies in the broader industrial sector including construction, shipping, defense and others, are trading lower as equities sell off. The global coronavirus outbreak has weakened economic outlook and negatively impacted industrials.",2020-03-12 08:25:00-04:00,ENS,negative
425059.0,100 Biggest Movers From Yesterday,2020-02-07 04:30:00-05:00,ENS,neutral
425060.0,74 Stocks Moving In Thursday's Mid-Day Session,2020-02-06 12:38:00-05:00,ENS,neutral
425061.0,"Sidoti & Co. Maintains Buy on EnerSys, Raises Price Target to $102",2020-02-06 09:18:00-05:00,ENS,neutral
425062.0,44 Stocks Moving in Thursday's Pre-Market Session,2020-02-06 07:26:00-05:00,ENS,neutral
425063.0,19 Stocks Moving In Wednesday's After Hours,2020-02-05 17:31:00-05:00,ENS,neutral
425064.0,EnerSys shares are trading lower after the company reported worse-than-expected Q3 EPS and sales results.,2020-02-05 16:34:00-05:00,ENS,neutral
425065.0,"EnerSys Q3 Adj. EPS $1.04 Misses $1.13 Estimate, Sales $763.7M Miss $785.75M Estimate",2020-02-05 16:25:00-05:00,ENS,negative
