Unnamed: 0,title,date,stock,sentiment
439472.0,"SunTrust Robinson Humphrey Maintains Hold on Earthstone Energy, Raises Price Target to $3",2020-05-08 11:02:00-04:00,ESTE,positive
439473.0,"Earthstone Energy Q1 EPS $0.130 Misses $0.170 Estimate, Sales $45.138M Miss $52.820M Estimate",2020-05-06 16:49:00-04:00,ESTE,negative
439474.0,Stocks That Hit 52-Week Lows On Tuesday,2020-04-21 10:39:00-04:00,ESTE,negative
439475.0,"Wells Fargo Maintains Equal-Weight on Earthstone Energy, Lowers Price Target to $4",2020-04-03 11:31:00-04:00,ESTE,positive
439476.0,Earthstone Sees FY20 Adj. Capital Budget $50M-$60M,2020-03-17 16:21:00-04:00,ESTE,neutral
439477.0,10 Biggest Price Target Changes For Friday,2020-03-13 08:19:00-04:00,ESTE,neutral
439478.0,"Imperial Capital Maintains Outperform on Earthstone Energy, Lowers Price Target to $3",2020-03-13 05:48:00-04:00,ESTE,positive
439479.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,ESTE,negative
439480.0,90 Biggest Movers From Yesterday,2020-03-12 06:10:00-04:00,ESTE,neutral
439481.0,"Earthstone Energy, Inc. Common Stock Q4 EPS $0.28 Up From $0.24 YoY",2020-03-11 16:24:00-04:00,ESTE,positive
439482.0,78 Stocks Moving In Wednesday's Mid-Day Session,2020-03-11 12:12:00-04:00,ESTE,neutral
439483.0,"Benzinga's Top Upgrades, Downgrades For March 9, 2020",2020-03-09 10:07:00-04:00,ESTE,positive
439484.0,"SunTrust Robinson Humphrey Downgrades Earthstone Energy to Hold, Lowers Price Target to $4",2020-03-09 07:42:00-04:00,ESTE,positive
439485.0,"Shares of several oil companies are trading lower despite today's market rebound. Fears of the coronavirus outbreak have clouded the outlook for oil demand, as the outbreak has raised concerns of economic disruption.",2020-02-03 14:12:00-05:00,ESTE,negative
439486.0,70 Biggest Movers From Yesterday,2020-01-31 05:24:00-05:00,ESTE,neutral
439487.0,50 Stocks Moving In Thursday's Mid-Day Session,2020-01-30 13:37:00-05:00,ESTE,neutral
439488.0,Earthstone Reports Estimated Accrued Capital Expenditures Of $58 Million And $210 Million For The Fourth Quarter Of 2019 And Full Year 2019,2020-01-29 16:10:00-05:00,ESTE,neutral
439489.0,69 Energy Stocks Moving In Thursday's Session,2020-01-23 12:49:00-05:00,ESTE,positive
439490.0,31 Oil & Gas E&P Stocks Moving In Tuesday's Session,2020-01-21 14:38:00-05:00,ESTE,neutral
439491.0,"Wells Fargo Maintains Equal-Weight on Earthstone Energy, Raises Price Target to $8",2020-01-09 10:53:00-05:00,ESTE,positive
439492.0,Shares of oil companies are trading lower amid the de-escalation of US-Iran tensions as well as a build in US crude inventories reported on Wednesday.,2020-01-09 10:10:00-05:00,ESTE,negative
439493.0,27 Stocks Moving in Wednesday's Pre-Market Session,2020-01-08 07:58:00-05:00,ESTE,neutral
439494.0,Shares of oil & gas companies are trading higher on preliminary Phase One US-China trade agreement.,2019-12-16 10:38:00-05:00,ESTE,positive
439495.0,"Shares of oil & gas companies are trading higher following multiple positive US-China trade developments, including a tweet from President Trump suggesting the US is 'very close' to a deal.",2019-12-12 10:26:00-05:00,ESTE,positive
439496.0,Shares of oil and gas companies are trading higher after OPEC and OPEC+ agreed to further oil production cuts.,2019-12-06 10:04:00-05:00,ESTE,positive
439497.0,72 Biggest Movers From Yesterday,2019-12-05 05:10:00-05:00,ESTE,neutral
439498.0,38 Stocks Moving In Wednesday's Mid-Day Session,2019-12-04 12:02:00-05:00,ESTE,neutral
439499.0,77 Biggest Movers From Yesterday,2019-11-20 04:57:00-05:00,ESTE,neutral
439500.0,"Wells Fargo Maintains Market Perform on Earthstone Energy, Lowers Price Target to $7",2019-11-12 07:57:00-05:00,ESTE,positive
439501.0,94 Biggest Movers From Yesterday,2019-11-08 06:01:00-05:00,ESTE,neutral
439502.0,"Imperial Capital Maintains Outperform on Earthstone Energy, Raises Price Target to $6",2019-11-08 05:56:00-05:00,ESTE,positive
439503.0,75 Stocks Moving In Thursday's Mid-Day Session,2019-11-07 12:19:00-05:00,ESTE,neutral
439504.0,"Earthstone Energy Q3 EPS $0.41 Beats $0.13 Estimate, Sales $39.204M Beat $38.39M Estimate",2019-11-06 16:47:00-05:00,ESTE,positive
439505.0,41 Biggest Movers From Yesterday,2019-10-23 05:09:00-04:00,ESTE,neutral
439506.0,"SunTrust Robinson Humphrey Maintains Buy on Earthstone Energy, Lowers Price Target to $7",2019-10-16 08:45:00-04:00,ESTE,positive
439507.0,64 Biggest Movers From Yesterday,2019-10-15 05:07:00-04:00,ESTE,neutral
439508.0,"Benzinga's Top Upgrades, Downgrades For October 10, 2019",2019-10-10 10:02:00-04:00,ESTE,positive
439509.0,Seaport Global Downgrades Earthstone Energy to Neutral,2019-10-10 08:42:00-04:00,ESTE,positive
439510.0,65 Biggest Movers From Yesterday,2019-09-18 06:53:00-04:00,ESTE,neutral
439511.0,38 Stocks Moving In Tuesday's Mid-Day Session,2019-09-17 12:14:00-04:00,ESTE,neutral
439512.0,Stocks That Hit 52-Week Lows On Monday,2019-08-26 10:28:00-04:00,ESTE,negative
439513.0,Stocks That Hit 52-Week Lows On Friday,2019-08-23 11:08:00-04:00,ESTE,negative
439514.0,Shares of several oil & gas companies are trading lower on escalated trade tensions after China announced it plans to impose a 5% to 10% tariff rate on $75 billion worth of U.S. goods.,2019-08-23 09:21:00-04:00,ESTE,negative
