Unnamed: 0,title,date,stock,sentiment
446594.0,Stocks That Hit 52-Week Highs On Wednesday,2020-06-03 10:45:00-04:00,EVER,neutral
446595.0,Stocks That Hit 52-Week Highs On Tuesday,2020-06-02 10:33:00-04:00,EVER,neutral
446596.0,"Oppenheimer Maintains Outperform on EverQuote, Raises Price Target to $65",2020-06-02 09:02:00-04:00,EVER,neutral
446597.0,10 Communication Services Stocks Moving In Friday's Pre-Market Session,2020-05-29 07:48:00-04:00,EVER,neutral
446598.0,Stocks That Hit 52-Week Highs On Thursday,2020-05-28 10:39:00-04:00,EVER,neutral
446599.0,"Canaccord Genuity Maintains Buy on EverQuote, Raises Price Target to $60",2020-05-27 11:31:00-04:00,EVER,neutral
446600.0,70 Biggest Movers From Yesterday,2020-05-06 05:26:00-04:00,EVER,neutral
446601.0,51 Stocks Moving In Tuesday's Mid-Day Session,2020-05-05 12:22:00-04:00,EVER,neutral
446602.0,Stocks That Hit 52-Week Highs On Tuesday,2020-05-05 10:48:00-04:00,EVER,neutral
446603.0,"JMP Securities Maintains Market Outperform on EverQuote, Raises Price Target to $53",2020-05-05 10:30:00-04:00,EVER,positive
446604.0,"Needham Maintains Buy on EverQuote, Raises Price Target to $55",2020-05-05 06:32:00-04:00,EVER,neutral
446605.0,"EverQuote Sees Q2 Adj. EBITDA $3M-$4.3M, Sales $77M-$80M; Raises FY20 Guidance: Adj. EBITDA From $10M-$15M To $12.5M-$17.5M, Sales From $315M-$325M To $318M-$327M",2020-05-04 16:20:00-04:00,EVER,neutral
446606.0,"EverQuote Q1 EPS $(0.050) Beats $(0.060) Estimate, Sales $81.364M Beat $77.470M Estimate",2020-05-04 16:19:00-04:00,EVER,neutral
446607.0,86 Biggest Movers From Yesterday,2020-04-14 05:19:00-04:00,EVER,negative
446608.0,"Needham Maintains Buy on EverQuote, Lowers Price Target to $45",2020-03-26 07:24:00-04:00,EVER,negative
446609.0,"JP Morgan Maintains Overweight on EverQuote, Lowers Price Target to $39",2020-03-18 10:10:00-04:00,EVER,negative
446610.0,80 Biggest Movers From Yesterday,2020-02-26 05:32:00-05:00,EVER,neutral
446611.0,55 Stocks Moving In Tuesday's Mid-Day Session,2020-02-25 12:24:00-05:00,EVER,neutral
446612.0,"JP Morgan Maintains Overweight on EverQuote, Raises Price Target to $51",2020-02-25 08:32:00-05:00,EVER,neutral
446613.0,EverQuote shares are trading lower after the company reported Q4 earnings results.,2020-02-25 08:30:00-05:00,EVER,neutral
446614.0,"Raymond James Maintains Outperform on EverQuote, Raises Price Target to $49",2020-02-25 07:46:00-05:00,EVER,neutral
446615.0,22 Stocks Moving in Tuesday's Pre-Market Session,2020-02-25 07:44:00-05:00,EVER,neutral
446616.0,"Needham Maintains Buy on EverQuote, Raises Price Target to $50",2020-02-25 06:14:00-05:00,EVER,neutral
446617.0,14 Stocks Moving In Monday's After-Hours Session,2020-02-24 16:51:00-05:00,EVER,neutral
446618.0,EverQuote shares are trading lower after the company reported Q4 earnings results.,2020-02-24 16:20:00-05:00,EVER,neutral
446619.0,EverQuote Sees Q1 Sales $77M-$79M Vs $75.42M Estimate; FY20 Sales $315M-$325M Vs $310.54M Estimate,2020-02-24 16:13:00-05:00,EVER,neutral
446620.0,"EverQuote Q4 EPS $(0.04) Beats $(0.06) Estimate, Sales $73.8M Beat $68.13M Estimate",2020-02-24 16:11:00-05:00,EVER,neutral
446621.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-20 10:26:00-05:00,EVER,neutral
446622.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-18 11:03:00-05:00,EVER,neutral
446623.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-11 10:17:00-05:00,EVER,neutral
446624.0,16 Internet Content & Information Stocks Moving In Friday's Session,2020-01-24 12:43:00-05:00,EVER,neutral
446625.0,Stocks That Hit 52-Week Highs On Friday,2020-01-24 10:41:00-05:00,EVER,neutral
446626.0,70 Biggest Movers From Yesterday,2020-01-23 05:52:00-05:00,EVER,neutral
446627.0,10 Internet Content & Information Stocks Moving In Wednesday's Session,2020-01-22 13:12:00-05:00,EVER,neutral
446628.0,32 Communication Services Stocks Moving In Wednesday's Session,2020-01-22 12:24:00-05:00,EVER,neutral
446629.0,36 Communication Services Stocks Moving In Tuesday's Session,2020-01-21 14:53:00-05:00,EVER,neutral
446630.0,13 Internet Content & Information Stocks Moving In Tuesday's Session,2020-01-21 14:41:00-05:00,EVER,neutral
446631.0,50 Biggest Movers From Yesterday,2020-01-07 04:19:00-05:00,EVER,neutral
446632.0,70 Biggest Movers From Yesterday,2019-12-12 06:31:00-05:00,EVER,neutral
446633.0,50 Stocks Moving In Wednesday's Mid-Day Session,2019-12-11 12:11:00-05:00,EVER,neutral
446634.0,UPDATE: Bonitas Research Sets $5 Price Target On EverQuote,2019-12-11 10:35:00-05:00,EVER,neutral
446635.0,"EverQuote Shares Fall To Session Low, Down 4.8%, As Hearing Short House Bonitas Research Issues Report On Stock",2019-12-11 10:33:00-05:00,EVER,neutral
446636.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-04 10:30:00-05:00,EVER,neutral
446637.0,Stocks That Hit 52-Week Highs On Tuesday,2019-12-03 10:13:00-05:00,EVER,neutral
446638.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-26 11:03:00-05:00,EVER,neutral
446639.0,Stocks That Hit 52-Week Highs On Monday,2019-11-25 10:19:00-05:00,EVER,neutral
446640.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-21 10:39:00-05:00,EVER,neutral
446641.0,Stocks That Hit 52-Week Highs On Monday,2019-11-11 10:15:00-05:00,EVER,neutral
446642.0,Stocks That Hit 52-Week Highs On Wednesday,2019-11-06 10:10:00-05:00,EVER,neutral
446643.0,61 Biggest Movers From Yesterday,2019-11-06 04:19:00-05:00,EVER,neutral
446644.0,Mid-Afternoon Market Update: Dow Gains 80 Points; Fulgent Genetics Shares Jump Following Strong Q3 Results,2019-11-05 14:26:00-05:00,EVER,positive
446645.0,UPDATE: Raymond James On EverQuote Also Notes 'expectation for significant EBITDA margin expansion driven by operating expense leverage',2019-11-05 13:59:00-05:00,EVER,positive
446646.0,"UPDATE: Raymond James Maintains Outperform On EverQuote, Raises Target To $30 Given Co's 'position as a leading insurance marketplace with a large TAM increasingly shifting online', 'strong revenue growth driven in part by tech investments'",2019-11-05 13:59:00-05:00,EVER,positive
