Unnamed: 0,title,date,stock,sentiment
447901.0,"Investment Bank Offers $25,000 To Fresh Hires Not To Start Working This Summer",2020-06-04 07:39:00-04:00,EVR,positive
447902.0,"Notable Insider Buys Of The Past Week: AT&T, Halliburton And More",2020-04-26 13:49:00-04:00,EVR,neutral
447903.0,"Piper Sandler Maintains Overweight on Evercore, Lowers Price Target to $57",2020-04-23 08:34:00-04:00,EVR,negative
447904.0,"Evercore Q1 Adj. EPS $1.210 Misses $1.260 Estimate, Sales $435.000M Beat $410.860M Estimate",2020-04-22 06:03:00-04:00,EVR,negative
447905.0,"Earnings Scheduled For April 22, 2020",2020-04-22 04:07:00-04:00,EVR,neutral
447906.0,"JMP Securities Maintains Market Outperform on Evercore, Lowers Price Target to $83",2020-04-09 11:36:00-04:00,EVR,positive
447907.0,"Morgan Stanley Maintains Overweight on Evercore, Lowers Price Target to $66",2020-04-09 08:31:00-04:00,EVR,negative
447908.0,"UBS Maintains Neutral on Evercore, Lowers Price Target to $44",2020-03-25 08:54:00-04:00,EVR,negative
447909.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,EVR,negative
447910.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,EVR,negative
447911.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,EVR,negative
447912.0,Shane Gong Earlier Joined Evercore As Managing Director In The Firm's Private Capital Advisory Group,2020-03-09 09:54:00-04:00,EVR,neutral
447913.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,EVR,negative
447914.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-05 10:29:00-05:00,EVR,negative
447915.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,EVR,negative
447916.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,EVR,negative
447917.0,"UPDATE: Morgan Stanley Maintains Overweight On Evercore, Raises Target To $97 Notes 'EVR's 9x multiple is still well below peers at 12-16x, suggesting some skepticism on forward earnings growth. We disagree and look for 22% upside from here'",2020-01-31 13:14:00-05:00,EVR,negative
447918.0,90 Biggest Movers From Yesterday,2020-01-30 04:15:00-05:00,EVR,neutral
447919.0,Evercore shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,2020-01-29 14:31:00-05:00,EVR,positive
447920.0,62 Stocks Moving In Tuesday's Mid-Day Session,2020-01-29 12:25:00-05:00,EVR,neutral
447921.0,"Evercore Q4 EPS $2.72 Beats $2.4 Estimate, Sales $668.46M Beat $582.63M Estimate",2020-01-29 06:13:00-05:00,EVR,neutral
447922.0,"JMP Securities Maintains Market Outperform on Evercore, Lowers Price Target to $100",2020-01-13 09:21:00-05:00,EVR,positive
447923.0,Wolfe Research Downgrades Evercore to Peer Perform,2020-01-06 07:50:00-05:00,EVR,neutral
447924.0,Hearing ComScore Has Hired Evercore To Explore Sale Of Company,2019-11-26 13:25:00-05:00,EVR,neutral
447925.0,"Benzinga's Top Upgrades, Downgrades For November 25, 2019",2019-11-25 09:34:00-05:00,EVR,positive
447926.0,"Morgan Stanley Initiates Coverage On Evercore with Overweight Rating, Announces $96 Price Target",2019-11-25 06:57:00-05:00,EVR,negative
447927.0,"Benzinga's Top Upgrades, Downgrades For November 20, 2019",2019-11-20 09:37:00-05:00,EVR,positive
447928.0,"Morgan Stanley Initiates Coverage On Evercore with Overweight Rating, Announces $96 Price Target",2019-11-20 08:55:00-05:00,EVR,negative
447929.0,"UBS Maintains Neutral on Evercore, Lowers Price Target to $81",2019-11-04 07:46:00-05:00,EVR,negative
447930.0,41 Biggest Movers From Yesterday,2019-10-24 04:25:00-04:00,EVR,neutral
447931.0,26 Stocks Moving In Wednesday's Mid-Day Session,2019-10-23 12:13:00-04:00,EVR,neutral
447932.0,"Evercore Q3 EPS $1.26 Misses $1.63 Estimate, Sales $408.546M Miss $480.08M Estimate",2019-10-23 06:11:00-04:00,EVR,negative
