Unnamed: 0,title,date,stock,sentiment
490473.0,16 Communication Services Stocks Moving In Thursday's Pre-Market Session,2020-06-11 07:33:00-04:00,FENG,neutral
490474.0,15 Communication Services Stocks Moving In Monday's Pre-Market Session,2020-06-01 07:33:00-04:00,FENG,neutral
490475.0,12 Communication Services Stocks Moving In Monday's Pre-Market Session,2020-05-18 07:33:00-04:00,FENG,neutral
490476.0,Phoenix New Media Sells its Stake in Tadu for RMB313.6M,2020-05-18 06:11:00-04:00,FENG,neutral
490477.0,"Phoenix New Media Q1 EPS $(0.150), Sales $38.800M Down From $42.448M YoY",2020-05-11 17:08:00-04:00,FENG,neutral
490478.0,"Phoenix New Media Q4 EPS $(0.16) Down From $(0.08) YoY, Paid Service Revenues $38.4M",2020-03-23 17:05:00-04:00,FENG,neutral
490479.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,FENG,negative
490480.0,"Earnings Scheduled For March 23, 2020",2020-03-23 04:32:00-04:00,FENG,neutral
490481.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,FENG,negative
490482.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,FENG,negative
490483.0,17 Internet Content & Information Stocks Moving In Monday's Session,2020-01-27 12:52:00-05:00,FENG,neutral
490484.0,Stocks That Hit 52-Week Lows On Monday,2020-01-27 10:42:00-05:00,FENG,negative
490485.0,Stocks That Hit 52-Week Lows On Monday,2019-12-16 10:33:00-05:00,FENG,negative
490486.0,24 Stocks Moving in Monday's Pre-Market Session,2019-12-16 07:27:00-05:00,FENG,neutral
490487.0,35 Stocks Moving in Friday's Pre-Market Session,2019-11-15 07:52:00-05:00,FENG,neutral
490488.0,70 Biggest Movers From Yesterday,2019-11-15 05:29:00-05:00,FENG,neutral
490489.0,48 Stocks Moving In Thursday's Mid-Day Session,2019-11-14 12:18:00-05:00,FENG,neutral
490490.0,30 Stocks Moving in Thursday's Pre-Market Session,2019-11-14 07:29:00-05:00,FENG,neutral
490491.0,Phoenix New Media Declared a Special Cash Dividend of $0.1714/Ordinary Share,2019-11-14 06:09:00-05:00,FENG,positive
490492.0,74 Biggest Movers From Yesterday,2019-11-13 04:42:00-05:00,FENG,neutral
490493.0,50 Stocks Moving In Tuesday's Mid-Day Session,2019-11-12 12:12:00-05:00,FENG,neutral
490494.0,Phoenix New Media Sees Q4 Sales RMB431.2M-RMB451.2M,2019-11-11 16:02:00-05:00,FENG,neutral
490495.0,Phoenix New Media Q3 EPS $0.01 vs $(0.04) In Same Qtr. Last Year,2019-11-11 16:01:00-05:00,FENG,neutral
490496.0,Stocks That Hit 52-Week Lows On Tuesday,2019-10-08 12:02:00-04:00,FENG,negative
490497.0,Phoenix New Media Offers Update On Proposed Sale Of Investment In Yidian: 2 Shareholders Of Particle Notified Co. Of Intention To Exercise Co-Sale Rights Related To 16M Particle Shares For Total Price Of RMB240M,2019-10-04 08:34:00-04:00,FENG,positive
490498.0,52 Biggest Movers From Friday,2019-09-30 03:39:00-04:00,FENG,neutral
490499.0,60 Biggest Movers From Yesterday,2019-08-14 06:03:00-04:00,FENG,neutral
490500.0,50 Stocks Moving In Tuesday's Mid-Day Session,2019-08-13 12:32:00-04:00,FENG,neutral
490501.0,Phoenix New Media Sees Q3 Sales RMB373.4M-RMB393.4M,2019-08-12 17:02:00-04:00,FENG,neutral
490502.0,"Phoenix New Media Q2 EPS $(0.14) Beats $(0.17) Estimate, Sales $57.55M Beat $55.51M Estimate",2019-08-12 17:01:00-04:00,FENG,neutral
490503.0,New 52-Week Lows For Monday Morning,2019-08-05 13:16:00-04:00,FENG,negative
490504.0,Stocks That Set New 52-Week Lows Friday Morning,2019-08-02 10:46:00-04:00,FENG,negative
490505.0,15 Technology Stocks Moving In Tuesday's Regular Session,2019-07-24 03:55:00-04:00,FENG,neutral
490506.0,Phoenix New Media Announces Further Update On Proposed Sale Of Investment In Yidian,2019-07-23 08:56:00-04:00,FENG,neutral
490507.0,60 Biggest Movers From Friday,2019-07-01 05:01:00-04:00,FENG,neutral
490508.0,40 Stocks Moving In Friday's Mid-Day Session,2019-06-28 12:19:00-04:00,FENG,neutral
490509.0,Phoenix New Media Reports Sent Completion Confirmation Letter To Run Liang Tai Related To $448M Investment,2019-06-28 06:30:00-04:00,FENG,neutral
490510.0,Mid-Day Market Update: Anaplan Jumps Following Upbeat Q1 Results; Kezar Life Sciences Shares Slide,2019-05-28 12:19:00-04:00,FENG,positive
490511.0,"Phoenix New Media Q1 EPS $(0.25) Misses $(0.17) Estimate, Sales $42.448M Beat $39.63M Estimate",2019-05-13 17:02:00-04:00,FENG,negative
490512.0,Q1 Earnings Preview For Phoenix New Media,2019-05-13 07:50:00-04:00,FENG,neutral
490513.0,"Phoenix New Media Q4 EPS $(0.08) Misses $(0.05) Estimate, Sales $58.066M Miss $58.49M Estimate",2019-03-18 17:03:00-04:00,FENG,negative
490514.0,30 Stocks Moving In Friday's Pre-Market Session,2019-03-01 08:09:00-05:00,FENG,neutral
490515.0,Phoenix New Media Reports Exercised Option To Buy 25.5% Equity Interests In Beijing Yitian Xindong Network Technology From Shenzhen Bingruixin Technology,2019-03-01 06:52:00-05:00,FENG,positive
490516.0,72 Biggest Movers From Yesterday,2019-02-26 05:31:00-05:00,FENG,neutral
490517.0,42 Stocks Moving In Monday's Mid-Day Session,2019-02-25 12:25:00-05:00,FENG,neutral
490518.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning Of Mon., Feb. 25, 2019",2019-02-25 09:24:00-05:00,FENG,positive
490519.0,Several Chinese stocks are trading higher after president Trump said he would delay tariff increases on China in order to reach a trade deal.,2019-02-25 08:03:00-05:00,FENG,negative
490520.0,28 Stocks Moving In Monday's Pre-Market Session,2019-02-25 08:00:00-05:00,FENG,neutral
490521.0,Phoenix New Media Announces a Letter of Intent to Sell of a 32% Stake in Particle for $448M Cash,2019-02-25 06:15:00-05:00,FENG,neutral
490522.0,28 Stocks Moving In Wednesday's Pre-Market Session,2019-01-23 08:01:00-05:00,FENG,neutral
490523.0,24 Stocks Moving In Tuesday's Pre-Market Session,2019-01-22 08:04:00-05:00,FENG,neutral
490524.0,Phoenix New Media Reports RMB144M Strategic Investment In Tadu,2018-12-19 07:14:00-05:00,FENG,neutral
490525.0,55 Biggest Movers From Yesterday,2018-11-14 04:06:00-05:00,FENG,neutral
490526.0,36 Stocks Moving In Tuesday's Mid-Day Session,2018-11-13 12:54:00-05:00,FENG,neutral
490527.0,28 Stocks Moving In Tuesday's Pre-Market Session,2018-11-13 08:06:00-05:00,FENG,neutral
490528.0,"Phoenix New Media Q3 EPS $(0.03) Misses $0.04 Estimate, Sales $47.86M Miss $54.51M Estimate",2018-11-12 17:00:00-05:00,FENG,negative
490529.0,"Earnings Scheduled For November 12, 2018",2018-11-12 04:19:00-05:00,FENG,neutral
490530.0,"Stocks Which Set New 52-Week Low Yesterday, October 29th",2018-10-30 12:40:00-04:00,FENG,negative
490531.0,"Stocks Which Set New 52-Week Low Yesterday, October 23rd",2018-10-24 10:06:00-04:00,FENG,negative
490532.0,"Stocks Which Set New 52-Week Low Yesterday, October 22nd",2018-10-23 09:54:00-04:00,FENG,negative
490533.0,"Stocks Which Set New 52-Week Low Yesterday, October 11th",2018-10-12 11:30:00-04:00,FENG,negative
490534.0,"Stocks Which Set New 52-Week Low Yesterday, October 10th",2018-10-11 09:11:00-04:00,FENG,negative
490535.0,"Stocks Which Set New 52-Week Low Yesterday, October 9th",2018-10-10 11:01:00-04:00,FENG,negative
490536.0,"Stocks Which Set New 52-Week Low Yesterday, October 2nd",2018-10-03 13:01:00-04:00,FENG,negative
490537.0,"UPDATE: Starting From Sept. 26, Phoenix New Media Has Temporarily Suspended Services Of Its ifeng News Mobile Application And WAP Website",2018-09-28 09:08:00-04:00,FENG,negative
490538.0,Phoenix New Media Announces Full Compliance With Government Notice,2018-09-28 09:07:00-04:00,FENG,neutral
490539.0,Phoenix New Media Shares Down 5.6% As Traders Circulate South China Morning Post Article From Wed. Morning 'China shuts down American-listed news site Phoenix New Media over 'illegal' coverage',2018-09-27 09:51:00-04:00,FENG,positive
490540.0,Phoenix New Media Sees Q3 Sales RMB376.1M-RMB391.1M,2018-08-14 17:07:00-04:00,FENG,neutral
490541.0,"Phoenix New Media Q2 Adj. EPS $0.11 Beats $0.04 Estimate, Sales $54.776M Miss $54.92M Estimate",2018-08-14 17:05:00-04:00,FENG,negative
490542.0,"Earnings Scheduled For August 14, 2018",2018-08-14 04:32:00-04:00,FENG,neutral
490543.0,41 Biggest Movers From Yesterday,2018-05-17 04:32:00-04:00,FENG,neutral
490544.0,45 Biggest Movers From Yesterday,2018-05-16 06:01:00-04:00,FENG,neutral
490545.0,Phoenix New Media Shares Up 11.2% On ~2x Avg. Trading Volume; Co. Reported Mixed Q1 Results And Issued Downbeat Q2 Guidance Late Monday,2018-05-15 14:08:00-04:00,FENG,positive
490546.0,Phoenix New Media Sees Q2 Sales $56.99M-$59.36M vs $65.19M Est.,2018-05-14 17:04:00-04:00,FENG,neutral
490547.0,"Phoenix New Media Q1 Adj. EPS $(0.11) Beats $(0.12) Estimate, Sales $45.3M Miss $45.38M Estimate",2018-05-14 17:03:00-04:00,FENG,negative
490548.0,"Earnings Scheduled For May 14, 2018",2018-05-14 05:06:00-04:00,FENG,neutral
490549.0,45 Biggest Movers From Yesterday,2018-03-14 04:55:00-04:00,FENG,neutral
490550.0,35 Stocks Moving In Tuesday's Mid-Day Session,2018-03-13 12:28:00-04:00,FENG,neutral
490551.0,Phoenix New Media Sees Q1 Sales RMB$272.3M-RMB$287.3M,2018-03-12 17:03:00-04:00,FENG,neutral
490552.0,"Phoenix New Media Reports Q4 EPS $0.02 vs $0.02 Est., Sales $70.9M vs $69.9M Est.",2018-03-12 17:02:00-04:00,FENG,neutral
490553.0,Earnings Preview For Phoenix New Media,2018-03-12 08:37:00-04:00,FENG,neutral
490554.0,Phoenix New Media to Extend Two Loans Given to Particle,2018-01-22 06:04:00-05:00,FENG,positive
490555.0,22 Stocks Moving In Tuesday's Pre-Market Session,2018-01-02 08:11:00-05:00,FENG,neutral
490556.0,Phoenix New Media Reports New Trademark License Deals With Phoenix TV,2017-12-08 06:01:00-05:00,FENG,neutral
490557.0,40 Biggest Movers From Yesterday,2017-11-22 05:03:00-05:00,FENG,neutral
490558.0,Phoenix New Media Option Alert: Jan 19 $7.5 Calls Sweep (15) at the Ask: 618 @ $0.497 vs 2060 OI; Ref=$6.3,2017-11-21 10:45:00-05:00,FENG,positive
490559.0,46 Biggest Movers From Yesterday,2017-11-15 05:04:00-05:00,FENG,neutral
490560.0,42 Stocks Moving In Tuesday's Mid-Day Session,2017-11-14 12:25:00-05:00,FENG,neutral
490561.0,34 Stocks Moving In Tuesday's Pre-Market Session,2017-11-14 08:06:00-05:00,FENG,neutral
490562.0,"Phoenix New Media Reports Q3 Adj. EPS $0.07 vs $(0.02) Est., Sales $64M vs $60.91M Est.",2017-11-13 16:47:00-05:00,FENG,neutral
490563.0,"Earnings Scheduled For November 13, 2017",2017-11-13 03:15:00-05:00,FENG,neutral
490564.0,"Phoenix New Media Reports Yidian's Receipt Of License For Internet News Info Services, Financing Updates",2017-10-31 08:38:00-04:00,FENG,neutral
490565.0,"Phoenix New Media Reports Short-Term Extension Of Trademark License Deal With Phoenix TV From Oct. 8, 2017 To Dec. 8, 2017",2017-09-29 06:30:00-04:00,FENG,neutral
490566.0,15 Biggest Mid-Day Gainers For Thursday,2017-09-14 12:33:00-04:00,FENG,neutral
490567.0,15 Biggest Mid-Day Losers For Thursday,2017-08-17 12:51:00-04:00,FENG,negative
490568.0,Mid-Afternoon Market Update: Crude Oil Down 1.5%; Phoenix New Media Shares Spike Higher,2017-08-16 14:30:00-04:00,FENG,negative
490569.0,12 Biggest Mid-Day Gainers For Wednesday,2017-08-16 12:27:00-04:00,FENG,neutral
490570.0,Mid-Day Market Update: Urban Outfitters Gains On Earnings Beat; xG Technology Shares Drop,2017-08-16 12:16:00-04:00,FENG,positive
490571.0,Mid-Morning Market Update: Markets Open Higher; Target Profit Tops Expectations,2017-08-16 10:14:00-04:00,FENG,positive
490572.0,"Phoenix New Media Reports Q2 Earnings RMB0.35/ADS vs RMB(0.03) In Same Qtr. Last Year, Sales $33.252M",2017-08-15 17:02:00-04:00,FENG,neutral
490573.0,"Earnings Scheduled For August 15, 2017",2017-08-15 04:28:00-04:00,FENG,neutral
490574.0,25 Stocks Moving In Wednesday's Pre-Market Session,2017-08-02 08:14:00-04:00,FENG,neutral
490575.0,25 Stocks Moving In Friday's Pre-Market Session,2017-07-14 08:11:00-04:00,FENG,neutral
490576.0,7 Instances When Chinese Regulators Cracked The Whip On Internet/Media Firms,2017-06-22 16:09:00-04:00,FENG,neutral
490577.0,"Chinese Social Media Stocks Under Pressure Premarket As Chinese Gov't Ordered Weibo, 2 Other Social Media Sites To Stop Using Audiovisual Services",2017-06-22 08:25:00-04:00,FENG,negative
