Unnamed: 0,title,date,stock,sentiment
501940.0,"UPDATE: Full House Resorts Reports ~50% Capacity Limitation In Its Restaurants, Total Casino Win Up 12.3%, Total Guests Down 15.9%",2020-05-27 09:34:00-04:00,FLL,positive
501941.0,"Full House Resorts Reports 392 Slot Machines Of 855 Total Slot Machines Were Recently Operating, Only Permitted 3 Active Positions At Table Games vs 6+ Persons Which Can Normally Be Accommodated",2020-05-27 09:32:00-04:00,FLL,positive
501942.0,Full House Resorts Provides Business Update for Silver Slipper Casino & Hotel,2020-05-27 09:31:00-04:00,FLL,neutral
501943.0,"Full House Resorts Q1 EPS $(0.220) Misses $(0.020) Estimate, Sales $30.853M Miss $37.570M Estimate",2020-05-13 16:14:00-04:00,FLL,negative
501944.0,"Earnings Scheduled For May 13, 2020",2020-05-13 04:05:00-04:00,FLL,neutral
501945.0,"Full House Resorts Provides Company Update, Says At Dec. Had ~$29.9M In Cash And Equivalents, Announces Reduction Of Active Employees From ~1,600 To ~30",2020-04-17 16:59:00-04:00,FLL,positive
501946.0,"Full House Resorts Q4 EPS $(0.15) Beats $(0.29) Estimate, Sales $39M Down From $40.69M YoY",2020-03-12 09:08:00-04:00,FLL,neutral
501947.0,101 Biggest Movers From Yesterday,2020-03-06 04:28:00-05:00,FLL,neutral
501948.0,5 Resorts & Casinos Stocks Moving In Tuesday's Session,2020-01-28 12:50:00-05:00,FLL,neutral
501949.0,60 Biggest Movers From Friday,2019-12-23 05:37:00-05:00,FLL,neutral
501950.0,"Full House Resorts Shares Resume Trade, Pullback From Session High, Up 21% For Session",2019-11-25 12:36:00-05:00,FLL,positive
501951.0,"Full House Shares Halted On Circuit Breaker, Up 13.2% For Session",2019-11-25 12:25:00-05:00,FLL,positive
501952.0,Full House Resorts Shares Spike ~11% As Mario Gabelli Says He Likes Name,2019-11-25 12:24:00-05:00,FLL,positive
501953.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-05 11:12:00-05:00,FLL,neutral
501954.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,FLL,neutral
501955.0,"Benzinga's Top Upgrades, Downgrades For November 4, 2019",2019-11-04 09:56:00-05:00,FLL,positive
501956.0,Macquarie Upgrades Full House Resorts to Outperform,2019-11-04 06:41:00-05:00,FLL,neutral
501957.0,"Full House Resorts Q3 EPS $0.06 Up From $0.04 YoY, Sales $44.3M Up From $44.028M YoY",2019-10-31 16:24:00-04:00,FLL,neutral
501958.0,"Full House Resorts Reports Entered Added Deals Allowing For Online, Mobile Sports Wagering Throughout Indiana, Colorado, No Terms Disclosed",2019-10-18 08:15:00-04:00,FLL,negative
501959.0,Churchill Downs Incorporated Enters Agreements to Offer Sports Betting in Indiana and Colorado Through a Partnership with Full House Resorts,2019-09-09 18:50:00-04:00,FLL,positive
501960.0,"Full House Resorts Q2 EPS $(0.04) Down From $(0.02) YoY, Sales $41.663M Miss $41.82M Estimate",2019-08-08 16:37:00-04:00,FLL,negative
501961.0,"Full House Resorts Q4 EPS $(0.07) Misses $(0.04) Estimate, Sales $40.69M Beat $40.38M Estimate",2019-02-26 16:54:00-05:00,FLL,negative
501962.0,Full House Resorts Announces Intent to Compete for Terre Haute Casino in Indiana Rather Than Proposing to be the Being the Only Operator,2018-12-10 08:42:00-05:00,FLL,neutral
501963.0,"Full House Resorts Q3 EPS $0.04 Misses $0.07 Estimate, Sales $44.028M Miss $45.1M Estimate",2018-11-07 17:04:00-05:00,FLL,negative
501964.0,"Stocks Which Set New 52-Week Low Yesterday, October 22nd",2018-10-23 09:54:00-04:00,FLL,negative
501965.0,"Full House Resorts Rejects $1.79/Share Acquisition Offer From Z Capital Partners, Says Remains Interested In Potentially Acquiring Gaming Assets From Z Capital's Portfolio Company, Affinity",2018-10-23 09:09:00-04:00,FLL,positive
501966.0,45 Stocks Moving In Monday's Mid-Day Session,2018-10-22 12:39:00-04:00,FLL,neutral
501967.0,Full House Resorts Acknowledges Expression Of Interest Made Public By Z Capital,2018-10-22 12:19:00-04:00,FLL,positive
501968.0,"Full House Resorts Shares Resume Trade, Down 8.8%",2018-10-22 10:11:00-04:00,FLL,positive
501969.0,Full House Resorts Shares Halted On Circuit Breaker,2018-10-22 10:06:00-04:00,FLL,positive
501970.0,"Z Capital Reports Proposal To Buy Full House Resorts At $1.79/Share, Or Enterprise Value $132.5M",2018-10-22 08:09:00-04:00,FLL,positive
501971.0,"Stocks Which Set New 52-Week Low Friday, October 5th",2018-10-08 09:27:00-04:00,FLL,negative
501972.0,"Roth Capital Initiates Coverage On Full House Resorts with Buy Rating, Announces $4.50 Price Target",2018-09-20 09:36:00-04:00,FLL,neutral
501973.0,"Full House Resorts Q2 EPS $(0.02) Misses $0.01 Estimate, Sales $41.227M Miss $42.59M Estimate",2018-08-09 16:53:00-04:00,FLL,negative
501974.0,Full House Resorts Announces Approval of Development Agreement for Expansion of Bronco Billy's Casino and Hotel,2018-06-29 08:32:00-04:00,FLL,positive
501975.0,"Full House Resorts Q1 EPS $(0.20) Misses $0.01 Estimate, Sales $37.931M Miss $41.47M Estimate",2018-05-11 09:03:00-04:00,FLL,negative
501976.0,"Earnings Scheduled For May 11, 2018",2018-05-11 04:51:00-04:00,FLL,neutral
501977.0,Full House Resorts Reports Received Initial Approvals From Cripple Creek City Council For Bronco Billy's Expansion Project,2018-04-19 08:47:00-04:00,FLL,neutral
501978.0,"Full House Resorts Announces Registered Direct Offering of 4,166,667 Shares At $3/Share",2018-03-22 16:11:00-04:00,FLL,positive
501979.0,Telsey: Full House Resorts Is Undervalued Despite Growth Potential From Recent Capital Spending,2018-03-14 13:03:00-04:00,FLL,negative
501980.0,"Telsey Advisory Group Initiates Coverage On Full House Resorts with Outperform Rating, Announces $4.00 Price Target",2018-03-14 08:13:00-04:00,FLL,neutral
501981.0,"Full House Reports Q4 EPS $(0.16) vs $(0.03) Est., Sales $44.8M vs $39.7M Est.",2018-03-01 16:49:00-05:00,FLL,neutral
501982.0,"Singular Research Initiates Coverage On Full House Resorts with Buy Rating, Announces $3.75 Price Target",2018-02-23 13:39:00-05:00,FLL,neutral
501983.0,Full House Resorts S-3 Filing Shows Registration For $125M Mixed Securities Shelf Offering,2018-01-02 17:33:00-05:00,FLL,positive
501984.0,"Mario Gabelli Is Bullish On Mattel, Small Entertainment Companies",2017-11-09 18:12:00-05:00,FLL,positive
501985.0,"Full House Resorts Reports Q3 EPS $0.03 vs $0.04 Est., Sales $43.726M vs $43.51M Est.",2017-11-07 17:26:00-05:00,FLL,neutral
501986.0,"Full House Reports Q1 EPS $(0.03) vs $(0.02) Est., Sales $46.65M vs $37.9M Est.",2017-05-10 16:43:00-04:00,FLL,neutral
501987.0,"Full House Resorts Q4 EPS $(0.12) vs. $(0.04) Est., Sales $38.1M vs. $37.9M Est.",2017-03-06 16:11:00-05:00,FLL,neutral
501988.0,20 Stocks Moving In Tuesday's Pre-Market Session,2016-12-13 08:30:00-05:00,FLL,neutral
501989.0,Daniel R. Lee Reports 7.6% Stake In Full House Resorts in 13D,2016-11-21 06:08:00-05:00,FLL,neutral
501990.0,"Full HOuse Reports Q3 EPS $0.00 vs. Est. $0.05, Rev. $41.8M vs. Est. $41.54M",2016-11-04 07:33:00-04:00,FLL,neutral
501991.0,"Full House Resorts Reports $5M Rights Offering, Shares Down 5.36% On The Day At $1.84/Share",2016-08-15 13:15:00-04:00,FLL,positive
501992.0,"Full House Resorts Reports Q2 Adj. EBIDA $3.4M, EPS $(0.13) vs $(0.02) in Same Qtr. Last Year, Sales $34.8M",2016-08-15 08:33:00-04:00,FLL,neutral
501993.0,"Earnings Scheduled For August 15, 2016",2016-08-15 04:00:00-04:00,FLL,neutral
501994.0,Macquarie Downgrades Full House Resorts to Neutral,2016-06-30 09:32:00-04:00,FLL,neutral
501995.0,Stocks Hitting 52-Week Highs,2016-06-15 10:11:00-04:00,FLL,neutral
501996.0,"Director Thomas Buys 7,400 Shares of Full House Resorts @$1.68/Share -Form 4",2016-06-13 09:59:00-04:00,FLL,positive
501997.0,"Full House Resorts Reports Q1 EPS $(0.02) Vs Est $(0.04), Sales $29.130M vs Est $30.87M",2016-05-04 18:04:00-04:00,FLL,neutral
501998.0,Mid-Morning Market Update: Markets Open Lower; G-III Apparel Misses Q4 Expectations,2016-03-22 09:49:00-04:00,FLL,negative
501999.0,Earnings Recap For March 21,2016-03-21 16:32:00-04:00,FLL,neutral
502000.0,"Full House Reports Reports Q4 EPS $(0.06) Vs Est $(0.01), Sales $30.5M Vs Est $30.29M",2016-03-21 16:05:00-04:00,FLL,neutral
502001.0,"Earnings Scheduled For March 21, 2016",2016-03-21 04:10:00-04:00,FLL,neutral
502002.0,"8-K from Full House Resorts Shows Prelim. Q4 Sales $29.9M-$30.6M vs $30.3M Est., Operating Income $500K-$1.2M, Adj. EBITDA $2.1M-$2.8M",2016-02-19 09:20:00-05:00,FLL,neutral
502003.0,"Full House Resorts Reports Q3 EPS $0.11 vs $0.07 Est., Sales $34.266M vs $32.7M Est.",2015-11-10 16:13:00-05:00,FLL,neutral
502004.0,UPDATE: Full House Deal Expected To Be Immediately Accretive,2015-09-28 09:16:00-04:00,FLL,neutral
502005.0,"Full House Announces Deal to Purchase Bronco Billy's Casino, Hotel in Cripple Creek, CO for ~$30M",2015-09-28 09:15:00-04:00,FLL,neutral
502006.0,"Macquarie's Beynon on Regional Gaming: Gross Gaming Revenue Up 7% 'highlights positive trends, although some insiders selling'",2015-08-28 09:42:00-04:00,FLL,positive
502007.0,"Full House Resorts Reports Q2 Loss $0.02 Vs Est Loss $0.04, Sales $30.7M Vs est $30.23M",2015-08-12 16:18:00-04:00,FLL,negative
502008.0,Rick Carter's Unlikely Rise To The Top Of The Gulf Coast Gaming Industry,2015-07-08 16:07:00-04:00,FLL,positive
502009.0,"Top Performing Industries For July 7, 2015",2015-07-07 11:11:00-04:00,FLL,positive
502010.0,"Full House Resorts Director Landau Buys 10,000 Shares @$1.58/Share -Form 4",2015-05-20 14:46:00-04:00,FLL,positive
502011.0,Full House Reports Q1 Loss of $0.09/Share vs Loss of $0.11/Share Est.,2015-05-13 09:02:00-04:00,FLL,negative
502012.0,"Full House Resorts Director Thomas Buys 35,000 Shares @$1.50/Share -Form 4",2015-03-23 15:11:00-04:00,FLL,positive
502013.0,"Full House Reports Q4 Loss of $0.56/Share May Not Compare to Loss of $0.17/Share Est., Sales $26.7M vs $27M Est.",2015-03-17 08:47:00-04:00,FLL,negative
502014.0,"Earnings Scheduled For March 17, 2015",2015-03-17 05:03:00-04:00,FLL,neutral
502015.0,"Full House Resorts Names Lewis Fanger as Senior VP, CFO, Treasurer",2015-02-04 08:06:00-05:00,FLL,positive
502016.0,Full House Resorts Names Daniel R. Lee as CEO,2014-12-01 06:12:00-05:00,FLL,neutral
502017.0,Allen E. Paulson Living Trust Announces Calling for Holder Meeting at Full House,2014-10-28 15:14:00-04:00,FLL,positive
502018.0,Full House Resorts Resumes Trading,2014-10-22 07:33:00-04:00,FLL,neutral
502019.0,Full House To Resume Trading At 07:30 Eastern,2014-10-22 07:28:00-04:00,FLL,neutral
502020.0,Full House Resorts Says Board Authorized Management to Initiate Process for Sale of Company,2014-10-22 07:27:00-04:00,FLL,neutral
502021.0,Full House Resorts Board Evaluating Strategic Alternatives ,2014-10-13 07:04:00-04:00,FLL,neutral
502022.0,"Full House Resorts COO Miller Buys 10,000 Shares @$1.22/Share -Form 4",2014-09-30 12:02:00-04:00,FLL,positive
502023.0,Full House Resorts Reports Q2 EPS of $(0.45) Which May Not Compare $0.00 Est; Revenue of $31.30M Which May Not Compare $32.77M Est,2014-08-07 06:24:00-04:00,FLL,neutral
502024.0,Full House Withdraws S-1 Filing ,2014-06-02 06:09:00-04:00,FLL,neutral
502025.0,Full House Resorts Reports Q1 EPS of $(0.06) vs $0.00 Est; Revenue of $30.40M vs $32.79M Est,2014-05-14 06:21:00-04:00,FLL,neutral
502026.0,"Earnings Scheduled For March 10, 2014",2014-03-10 05:58:00-04:00,FLL,neutral
502027.0,Stocks Hitting 52-Week Lows,2014-01-28 10:15:00-05:00,FLL,negative
502028.0,"Full House Resorts, Inc. Reports Q3 EPS of $(0.11) vs $0.06 Est; Revenue of $37.40M vs $38.86M Est",2013-11-07 08:09:00-05:00,FLL,neutral
502029.0,3 Alluring Small Caps with Uniquely Appealing Ratios,2013-11-01 16:48:00-04:00,FLL,neutral
502030.0,"Sterne Agee Maintains Buy on Full House Resorts, Inc., Raises PT to $5.50",2013-08-28 12:30:00-04:00,FLL,neutral
502031.0,"Full House Resorts, Inc. Reports Q1 EPS of $0.03 vs $0.02 Est",2013-05-08 16:34:00-04:00,FLL,neutral
502032.0,"Full House Resorts, Inc. Reports Q4 EPS of $0.02 vs $0.00 Est",2013-03-06 08:08:00-05:00,FLL,neutral
502033.0,"From Earlier: Macquarie Initiates Coverage on Full House Resorts at Outperform, Announces PT of $4.50",2012-11-19 10:43:00-05:00,FLL,neutral
502034.0,Full House Resorts Reports Q3 EPS $0.11 vs $0.02 Est; Revenues $30.1M vs $29.58M Est,2012-11-07 06:50:00-05:00,FLL,neutral
502035.0,Full House Resorts Approved to Own Mississippi Gaming Licensee ,2012-09-20 12:48:00-04:00,FLL,positive
502036.0,"Brean Murray Carret Initiates Coverage on Full House Resorts at Buy, Announces PT of $4.50",2012-08-28 06:40:00-04:00,FLL,neutral
502037.0,"Benzinga's M&A Chatter for Tuesday April 3, 2012",2012-04-03 19:48:00-04:00,FLL,neutral
502038.0,Full House Will Acquire Casino for $70M,2012-04-03 08:02:00-04:00,FLL,neutral
502039.0,Full House Resorts Addresses Pojoaque Tribal Court Decision,2011-12-20 08:04:00-05:00,FLL,neutral
502040.0,Top Performing Industries For December 6,2011-12-06 10:06:00-05:00,FLL,positive
502041.0,Full House Resorts Receives NIGC Approval for Management Agreement with the Pueblo of Pojoaque   ,2011-09-26 08:01:00-04:00,FLL,positive
502042.0,Full House Resorts Terminates Nevada State Bank Credit Facility   ,2011-03-28 08:39:00-04:00,FLL,positive
502043.0,Full House Resorts Receives Indiana Gaming License   ,2011-03-17 16:01:00-04:00,FLL,neutral
502044.0,Full House Resorts Reports EPS of $0.11 vs. $0.09,2011-03-07 16:06:00-05:00,FLL,neutral
502045.0,"Earnings Scheduled For March 7 (KCAP, URBN, KRO, HMIN, CASY, OSIR, FLL, IPCM, CIEN, OUTD, SHEN, PWRD)",2011-03-07 02:53:00-05:00,FLL,neutral
502046.0,"Benzinga's Worst Performing Industries (MVG, EXK, TGB, FCX, FLL, BYD, ASCA, SPCHB, BGFV)",2010-11-15 18:36:00-05:00,FLL,negative
502047.0,"Top 4 Stocks In The Resorts And Casinos Industry With The Highest Gross Margin (FLL, ISLE, MCRI, UWN)",2010-08-30 05:35:00-04:00,FLL,negative
502048.0,Morgan Joseph Positive On Gaming Sector,2010-03-31 10:33:00-04:00,FLL,positive
502049.0,"Top 5 Stocks In The Services Sector With The Highest Sales Growth Estimates (ANW, ESRX, CBD, FLL, LOPE)",2010-02-18 05:10:00-05:00,FLL,positive
