Unnamed: 0,title,date,stock,sentiment
502189.0,Flowers Foods Raises Qtr. Dividend From $0.19 To $0.20/Share,2020-05-21 10:04:00-04:00,FLO,neutral
502190.0,"SunTrust Robinson Humphrey Maintains Hold on Flowers Foods, Raises Price Target to $25",2020-05-15 09:39:00-04:00,FLO,neutral
502191.0,"Deutsche Bank Maintains Hold on Flowers Foods, Raises Price Target to $24",2020-05-15 08:17:00-04:00,FLO,neutral
502192.0,Flowers Foods shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-05-14 08:24:00-04:00,FLO,positive
502193.0,Recap: Flowers Foods Q1 Earnings,2020-05-13 17:06:00-04:00,FLO,neutral
502194.0,Flowers Foods shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-05-13 16:22:00-04:00,FLO,positive
502195.0,"Flowers Foods Q1 Adj. EPS $0.410 Beats $0.330 Estimate, Sales $1.349B Beat $1.320B Estimate",2020-05-13 16:15:00-04:00,FLO,neutral
502196.0,A Peek Into The Markets: US Stock Futures Up Ahead Of Fed's Powell Speech,2020-05-13 05:45:00-04:00,FLO,neutral
502197.0,"5 Stocks To Watch For May 13, 2020",2020-05-13 04:40:00-04:00,FLO,neutral
502198.0,"Earnings Scheduled For May 13, 2020",2020-05-13 04:05:00-04:00,FLO,neutral
502199.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,FLO,negative
502200.0,"Flowers Foods Sees FY20 Adj. EPS $1-$1.08 vs $1.02 EStimate, Sales $4.206B-$4.289B vs $4.2B Est.",2020-02-05 16:51:00-05:00,FLO,neutral
502201.0,"Flowers Foods Q4 Adj. EPS $0.18 Beats $0.17 Estimate, Sales $917.8M Beat $910.06M Estimate",2020-02-05 16:50:00-05:00,FLO,neutral
502202.0,"Earnings Scheduled For February 5, 2020",2020-02-05 04:26:00-05:00,FLO,neutral
502203.0,"Jefferies Initiates Coverage On Flowers Foods with Hold Rating, Announces $23 Price Target",2020-01-23 06:43:00-05:00,FLO,neutral
502204.0,"Deutsche Bank Reinstates Hold on Flowers Foods, Announces $21 Price Target",2019-12-12 08:22:00-05:00,FLO,neutral
502205.0,"DA Davidson Maintains Neutral on Flowers Foods, Lowers Price Target to $21",2019-11-12 09:00:00-05:00,FLO,negative
502206.0,"Flowers Foods Sees FY19  Adj. EPS $0.94-$0.99 vs $0.96 Est., Sales $4.11B-$4.13B vs $4.09B Est.",2019-11-06 16:42:00-05:00,FLO,neutral
502207.0,"Flowers Foods Q3 Adj. EPS $0.22, Inline, Sales $966.561M Beat $951.7M Estimate",2019-11-06 16:41:00-05:00,FLO,neutral
502208.0,"Earnings Scheduled For November 6, 2019",2019-11-06 04:13:00-05:00,FLO,neutral
502209.0,Flowers Foods shares are trading lower after the company reported worse-than-expected Q2 EPS results. The company also issued FY19 EPS guidance on the low-end of analyst estimates.,2019-08-08 10:14:00-04:00,FLO,neutral
502210.0,"Flowers Foods Sees FY19 Adj. EPS $0.94-$0.99 vs $0.99 Estimate, Sales $4.03B-$4.109B vs $4.09B Est.",2019-08-07 16:35:00-04:00,FLO,neutral
502211.0,"Flowers Foods Q2 EPS $0.25 Misses $0.26 Estimate, Sales $975.8M Beat $968.26M Estimate",2019-08-07 16:35:00-04:00,FLO,negative
502212.0,"Earnings Scheduled For August 7, 2019",2019-08-07 04:43:00-04:00,FLO,neutral
502213.0,DA Davidson On Flowers Foods: Stock Already Reflects Solid Near-Term Potential,2019-08-05 15:41:00-04:00,FLO,positive
502214.0,"Benzinga's Top Upgrades, Downgrades For August 5, 2019",2019-08-05 10:29:00-04:00,FLO,positive
502215.0,"DA Davidson Initiates Coverage On Flowers Foods with Neutral Rating, Announces $24 Price Target",2019-08-05 07:55:00-04:00,FLO,neutral
502216.0,New Stocks that Broke Through 52-Week Highs Tuesday Morning,2019-07-30 10:34:00-04:00,FLO,negative
502217.0,"Flowers Foods Highlights Voluntary Recall Of Hamburger, Hot Dog Buns, Other Bakery Products, Cites 'potential presence of small pieces of hard plastic'",2019-07-09 16:17:00-04:00,FLO,negative
502218.0,Flowers Foods Issues Voluntary Recall Of Hamburger And Hot Dog Buns And Other Bakery Foods Due To Plastic Pieces Found In Products,2019-07-09 16:16:00-04:00,FLO,neutral
502219.0,"Fourth Of July Pop, Boom, And Sparkle: Summer Seasonal Stocks To Consider",2019-07-02 12:38:00-04:00,FLO,positive
502220.0,"Flowers Foods Names Pres Of Flowers' Fresh Packaged Bread Unit, Bradley Alexander, COO",2019-05-23 16:33:00-04:00,FLO,positive
502221.0,Flowers Foods Raises Qtr. Dividend From $0.18 To $0.19/Share,2019-05-23 09:15:00-04:00,FLO,neutral
502222.0,63 Biggest Movers From Yesterday,2019-05-17 05:05:00-04:00,FLO,neutral
502223.0,50 Stocks Moving In Thursday's Mid-Day Session,2019-05-16 12:36:00-04:00,FLO,neutral
502224.0,Flowers Foods shares are trading higher after the company reported better-than-expected Q1 EPS and sales results and reaffirmed its FY19 EPS and sales guidance.,2019-05-16 11:21:00-04:00,FLO,positive
502225.0,30 Stocks Moving In Thursday's Pre-Market Session,2019-05-16 08:12:00-04:00,FLO,neutral
502226.0,A Peek Into The Markets: US Stock Futures Rise Ahead Of Walmart Earnings,2019-05-16 07:00:00-04:00,FLO,neutral
502227.0,"7 Stocks To Watch For May 16, 2019",2019-05-16 04:57:00-04:00,FLO,neutral
502228.0,Flowers Foods shares are trading higher after the company reported better-than-expected Q1 EPS and sales results; the company also reaffirmed its FY19 EPS and sales guidance.,2019-05-15 17:06:00-04:00,FLO,positive
502229.0,"Flowers Foods Q1 EPS $0.32 Beats $0.3 Estimate, Sales $1.264B Beat $1.23B Estimate; Reaffirms FY19 Adj. EPS $0.94-$1.02 vs $0.97 Estimate, Sales $4.03B-$4.109B vs $4.06B Est.",2019-05-15 16:56:00-04:00,FLO,neutral
502230.0,"8 Stocks To Watch For May 15, 2019",2019-05-15 05:00:00-04:00,FLO,neutral
502231.0,"Earnings Scheduled For May 15, 2019",2019-05-15 04:33:00-04:00,FLO,neutral
502232.0,"Flowers Foods Reports Pres, CEO Allen Shiver To Retire; COO Ryals McMullian Named Replacement At Pres, CEO",2019-02-19 08:08:00-05:00,FLO,neutral
502233.0,"Flowers Foods Sees FY19 EPS $0.94-$1.02, Sales $4.03B-$4.109B vs $4.03B Estimate",2019-02-06 16:28:00-05:00,FLO,neutral
502234.0,"Flowers Foods Q4 EPS $0.16 Beats $0.15 Estimate, Sales $880.7M Beat $869.33M Estimate",2019-02-06 16:27:00-05:00,FLO,neutral
502235.0,"Earnings Scheduled For February 6, 2019",2019-02-06 04:10:00-05:00,FLO,neutral
502236.0,"Stocks Trading Ex Dividend For Thurs., Nov. 29, 2018",2018-11-29 10:48:00-05:00,FLO,neutral
502237.0,"Stocks That Will Be Trading Ex Dividend Thurs., Nov. 29, 2018",2018-11-28 11:37:00-05:00,FLO,neutral
502238.0,Flowers Foods To Acquire Canyon Bakehouse For $205M,2018-11-07 16:37:00-05:00,FLO,neutral
