Unnamed: 0,title,date,stock,sentiment
507907.0,First Bancorp Q1 EPS $0.600 Up From $0.570 YoY,2020-04-22 16:16:00-04:00,FNLC,neutral
507908.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,FNLC,negative
507909.0,First Bancorp Q4 EPS $0.61 Up From $0.59 YoY,2020-01-22 16:17:00-05:00,FNLC,neutral
507910.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-18 10:43:00-05:00,FNLC,neutral
507911.0,Stocks That Hit 52-Week Highs On Tuesday,2019-12-17 11:19:00-05:00,FNLC,neutral
507912.0,Stocks That Hit 52-Week Highs On Monday,2019-12-16 10:16:00-05:00,FNLC,neutral
507913.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-07 10:16:00-05:00,FNLC,neutral
507914.0,First Bancorp Q3 EPS $0.58 Up From $0.55 YoY,2019-10-23 16:25:00-04:00,FNLC,neutral
507915.0,Stocks That Hit 52-Week Lows On Wednesday,2019-08-28 11:12:00-04:00,FNLC,negative
507916.0,First Bancorp Q2 EPS $0.59 Up From $0.53 YoY,2019-07-17 16:23:00-04:00,FNLC,neutral
507917.0,First Bancorp Q1 EPS $0.57 Up From $0.51 YoY,2019-04-17 16:29:00-04:00,FNLC,neutral
507918.0,First Bancorp Q4 EPS $0.59 Up From $0.47 YoY,2019-01-23 17:43:00-05:00,FNLC,neutral
507919.0,"Stocks Trading Ex Dividend For Wed., Jan. 9, 2019",2019-01-09 10:53:00-05:00,FNLC,neutral
507920.0,"Stocks That Will Be Trading Ex Dividend Wed., Jan. 9, 2019",2019-01-08 10:20:00-05:00,FNLC,neutral
507921.0,"Stocks Which Set New 52-Week Low Yesterday, October 23rd",2018-10-24 10:06:00-04:00,FNLC,negative
507922.0,"First Bancorp, Inc (ME) Q3 EPS $0.55 Up From $0.46 YoY",2018-10-17 16:22:00-04:00,FNLC,neutral
507923.0,First Bancorp Q2 EPS $0.53 Up From $0.45 YoY,2018-07-18 16:15:00-04:00,FNLC,neutral
507924.0,The First Bancorp Increases Qtr. Dividend From $0.24 To $0.29/Share,2018-06-28 16:17:00-04:00,FNLC,neutral
507925.0,"The First Bancorp Reports Q1 EPS $0.51 vs $0.43 In Same Qtr. Last Year, NII $12.409M",2018-04-18 16:27:00-04:00,FNLC,neutral
507926.0,The First Bancorp Reports FY17 EPS $1.81 vs $1.66 In FY16,2018-01-17 16:20:00-05:00,FNLC,neutral
507927.0,"First Bancorp CFO F.Stephen Ward To Retire Mar. 30, 2018",2017-12-21 16:17:00-05:00,FNLC,neutral
507928.0,"The First Bancorp Reports Q3 EPS $0.46 vs $0.43 In Same Qtr. Last Year, NII $11.954",2017-10-18 16:34:00-04:00,FNLC,neutral
507929.0,First Bancorp Reports Q2 EPS $0.45 May Not Compare To $0.11 Est.,2017-07-19 16:27:00-04:00,FNLC,neutral
507930.0,The First Bancorp Raises Qtr. Dividend From $0.23 To $0.24/Share,2017-06-29 16:18:00-04:00,FNLC,neutral
507931.0,"First Bancorp Reports Q1 EPs $0.43 vs $0.42 In Same Qtr. Last Year, NII $11.476M",2017-04-19 16:25:00-04:00,FNLC,neutral
507932.0,"First Bancorp Reports Q4 EPS $0.40, NII $10.645M",2017-01-18 16:17:00-05:00,FNLC,neutral
507933.0,The First Bancorp Declares Special Dividend $0.12/Share,2016-12-22 16:18:00-05:00,FNLC,positive
507934.0,"10 Notable Stocks Trading Ex-Dividend Monday, October 3",2016-09-30 12:03:00-04:00,FNLC,neutral
507935.0,"First Bancorp Reports Q2 EPS $0.43, up 13.2% YoY",2016-07-20 16:18:00-04:00,FNLC,neutral
507936.0,The First Bancorp Increases Qtr. Dividend From $0.22 To $0.23/Share,2016-06-23 16:15:00-04:00,FNLC,neutral
507937.0,The First Bancorp Reports Quarter Ended EPS $0.42 vs. Prior Year Quarter $0.39,2016-04-20 17:01:00-04:00,FNLC,neutral
507938.0,First Bancorp Reports Q3 EPS $0.39 Vs Prior $0.38,2015-10-21 16:28:00-04:00,FNLC,neutral
