Unnamed: 0,title,date,stock,sentiment
521858.0,Franklin Street Properties Reports Collected 95% Of Rental Receipts Due In May,2020-06-02 16:31:00-04:00,FSP,neutral
521859.0,"Baird Maintains Neutral on Franklin Street Props, Raises Price Target of $7",2020-05-06 11:38:00-04:00,FSP,neutral
521860.0,"B. Riley FBR Maintains Buy on Franklin Street Props, Lowers Price Target to $6.5",2020-05-05 07:50:00-04:00,FSP,negative
521861.0,Franklin Street Props Q1 FFO $0.200 Down From $0.210 YoY,2020-04-30 16:34:00-04:00,FSP,neutral
521862.0,"B. Riley Maintains Buy on Franklin Street Props, Lowers Price Target to $9",2020-02-18 10:14:00-05:00,FSP,negative
521863.0,"B. Riley FBR Reiterates Buy on Franklin Street Props, Lowers Price Target to $9",2020-02-18 07:08:00-05:00,FSP,negative
521864.0,"Baird Downgrades Franklin Street Props to Neutral, Announces $10 Price Target",2020-01-07 09:35:00-05:00,FSP,neutral
521865.0,"BMO Capital Downgrades Franklin Street Props to Underperform, Announces $8 Price Target",2020-01-07 08:29:00-05:00,FSP,neutral
521866.0,"Franklin Street Props Q2 FFO $0.22 Down From $0.24 YoY, Sales $66.813M Beat $64.2M Estimate",2019-10-29 16:41:00-04:00,FSP,neutral
521867.0,Mid-Afternoon Market Update: Stars Group Jumps On Merger With Flutter Entertainment; Lantheus Shares Plunge,2019-10-02 14:45:00-04:00,FSP,positive
521868.0,Mid-Day Market Update: Enphase Energy Rises On Upbeat Q2 Results; T2 Biosystems Shares Slide,2019-07-31 12:10:00-04:00,FSP,positive
521869.0,Mid-Morning Market Update: Markets Edge Higher; Apple Tops Q3 Estimates,2019-07-31 10:14:00-04:00,FSP,positive
521870.0,"Franklin Street Props Q2 FFO $0.22 Down From $0.24 YoY, Sales $66.81M Beat $64.2M Estimate",2019-07-30 17:17:00-04:00,FSP,neutral
521871.0,"Franklin Street Props Q1 EPS $0.21 Down From $0.25 YoY, Adj. FFO $0.06, Sales $64.716M Beat $63.85M Estimate",2019-04-30 17:42:00-04:00,FSP,neutral
521872.0,Franklin Street Props Q1 FFO $0.21 Down From $0.25 YoY,2019-04-30 16:35:00-04:00,FSP,neutral
521873.0,"Franklin Street Properties Sees Q1 EPS $(0.02)-$0.00 vs $0.02 Est., FFO $0.19-$0.21, Sees FY19 EPS $(0.03)-$0.03 vs $0.08 Est., FFO $0.81-$0.87",2019-02-12 16:33:00-05:00,FSP,neutral
521874.0,"Franklin Street Propertie Q4 EPS $0.01, Inline, Sales $66.58M Beat $65.5M Estimate, AFFO $0.10 Down From $0.12 YoY",2019-02-12 16:32:00-05:00,FSP,neutral
521875.0,"Earnings Scheduled For February 12, 2019",2019-02-12 04:02:00-05:00,FSP,neutral
521876.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 18, 2018",2018-12-19 12:43:00-05:00,FSP,negative
521877.0,"Stocks Which Set New 52-Week Low Last Trading Session, Fri., Dec. 14, 2018",2018-12-17 11:48:00-05:00,FSP,negative
521878.0,BMO Capital Upgrades Franklin Street Properties Corp. Common Stock to Market Perform,2018-11-02 08:24:00-04:00,FSP,neutral
521879.0,"Stocks Which Set New 52-Week Low Yesterday, October 31st",2018-11-01 10:37:00-04:00,FSP,negative
521880.0,"B. Riley FBR Upgrades Franklin Street Properties Corp. Common Stock to Buy, Announces $9 Price Target",2018-11-01 06:38:00-04:00,FSP,neutral
521881.0,"Franklin Street Properties Sees FY18 EPS $0.11-$0.12 May Not Compare To $0.00 Est, FFO/Share $0.96-$0.97",2018-10-30 16:38:00-04:00,FSP,neutral
521882.0,"Franklin Street Properties Sees Q4 EPS $0.00-$0.01 vs $0.01 Est., FFO/Share $0.23-$0.24",2018-10-30 16:37:00-04:00,FSP,neutral
521883.0,"Franklin Street Properties Corp. Q3 EPS $0.09 Beats $0.01 Estimate, Sales $68.71M Beat $67.17M Estimate, AFFO/Share $0.12",2018-10-30 16:36:00-04:00,FSP,neutral
521884.0,"Franklin Street Props Q2 EPS $0.01, Inline, Adj. FFO $0.09",2018-07-31 16:46:00-04:00,FSP,neutral
521885.0,Baird Upgrades Franklin Street Properties Corp. Common Stock to Outperform,2018-06-29 09:02:00-04:00,FSP,neutral
521886.0,40 Biggest Movers From Friday,2018-06-04 04:33:00-04:00,FSP,neutral
521887.0,"Stifel: Geopolitical Uncertainty, Interest In Hard Assets Are Positives For REITs",2018-06-01 14:31:00-04:00,FSP,positive
521888.0,26 Stocks Moving In Friday's Mid-Day Session,2018-06-01 11:55:00-04:00,FSP,neutral
521889.0,Franklin Street Properties Shares Up 5.8% After Stifel Upgraded To Hold,2018-06-01 10:43:00-04:00,FSP,positive
521890.0,Stifel Nicolaus Upgrades Franklin Street Properties Corp. Common Stock to Hold,2018-06-01 07:03:00-04:00,FSP,neutral
521891.0,"Benzinga's Top Upgrades, Downgrades For February 27, 2018",2018-02-27 09:22:00-05:00,FSP,positive
521892.0,BMO Capital Downgrades Franklin Street Properties Corp. Common Stock to Underperform,2018-02-27 07:29:00-05:00,FSP,neutral
521893.0,A Few Reasons Stifel Is Bearish On Franklin Street Properties,2018-02-15 16:22:00-05:00,FSP,neutral
521894.0,"Benzinga's Top Upgrades, Downgrades For February 15, 2018",2018-02-15 10:24:00-05:00,FSP,positive
521895.0,22 Stocks Moving In Thursday's Pre-Market Session,2018-02-15 08:41:00-05:00,FSP,neutral
521896.0,B. Riley Downgrades Franklin Street Properties Corp. Common Stock to Neutral,2018-02-15 07:40:00-05:00,FSP,neutral
521897.0,Stifel Nicolaus Downgrades Franklin Street Properties Corp. Common Stock to Sell,2018-02-15 07:17:00-05:00,FSP,neutral
521898.0,42 Biggest Movers From Yesterday,2018-02-15 04:43:00-05:00,FSP,neutral
521899.0,"Franklin Street Properties Sees Q4 FFO ~$0.25, FY17 FFO ~$1.04",2017-10-31 16:34:00-04:00,FSP,neutral
521900.0,"Franklin Street Properties Reports Q3 EPS $0.02 vs $0.02 Est., Sales $68.62M vs $68.4M Est.; AFFO $0.16",2017-10-31 16:33:00-04:00,FSP,neutral
521901.0,Janney Capital Initiates Coverage On Franklin Street Props with Buy Rating,2017-09-08 08:56:00-04:00,FSP,neutral
521902.0,"Franklin Street Properties Reports Q2 Adj. FFO $0.18, EPS $(0.16)",2017-08-01 16:42:00-04:00,FSP,neutral
521903.0,Baird Downgrades Franklin Street Props to Neutral,2017-05-04 07:37:00-04:00,FSP,neutral
521904.0,"Franklin Street Properties Net Income $0.04 vs $0.04 Est., AFFO $0.17; Sales $67.37M vs $66.32M Est.",2017-05-02 16:25:00-04:00,FSP,neutral
521905.0,"Franklin Street Properties Reports Q4 AFFO $0.13 vs. $0.02 Est., Rev. $65.98M vs. $62.24M Est.",2017-02-14 16:39:00-05:00,FSP,neutral
521906.0,Franklin Street Properties Reaffirms FY16 Guidance,2016-12-14 16:21:00-05:00,FSP,neutral
521907.0,Franklin Street Properties Sees FY17 FFO $1.04-$1.09,2016-12-14 16:21:00-05:00,FSP,neutral
521908.0,"Franklin Street Properties Corp. Announces Acquisition of Dominion Towers in Downtown Denver, Colorado For ~$154M",2016-12-02 08:32:00-05:00,FSP,neutral
521909.0,"Franklin Street Properties Reports Q3 Adj. FFO $0.18, FFO $0.26, Inline",2016-10-25 16:32:00-04:00,FSP,neutral
521910.0,Franklin Street Properties Changes Time Of Q3 Earnings Call From 10am EST To 9am EST,2016-10-18 16:33:00-04:00,FSP,neutral
521911.0,"10 Notable Stocks Trading Ex-Dividend Wednesday, October 19",2016-10-18 11:42:00-04:00,FSP,neutral
521912.0,Office Space: Baird's Top 5 REITs,2016-08-25 08:36:00-04:00,FSP,positive
521913.0,20 Biggest Mid-Day Losers For Thursday,2016-08-11 13:32:00-04:00,FSP,negative
521914.0,Franklin Street Properties Prices 6.125M Shares At $12.35/Share,2016-08-11 09:14:00-04:00,FSP,positive
521915.0,22 Stocks Moving In Thursday's Pre-Market Session,2016-08-11 08:24:00-04:00,FSP,neutral
521916.0,Franklin Street Properties To Offer 6.125M Shares Of Common Stock,2016-08-10 16:12:00-04:00,FSP,positive
521917.0,Franklin Street Upgraded To Outperform At Baird,2016-07-29 06:25:00-04:00,FSP,neutral
521918.0,Franklin Sees Q3 FFO $0.25-$0.26 vs $0.26 Est.; Sees FY16 FFO $1.03-$1.06 vs $1.04 Est.,2016-07-26 16:58:00-04:00,FSP,neutral
521919.0,Franklin Street Properties Reports Q2 FFO $0.27 vs $0.26 Est.,2016-07-26 16:57:00-04:00,FSP,neutral
521920.0,"Franklin Street Properties Reports Purchase of Plaza Seven Office Tower in Minneapolis, MN for $82M",2016-06-06 16:31:00-04:00,FSP,neutral
521921.0,"Director Hoxsie Buys 10,000 Shares of Franklin Street Properties Corp @$10.57/Share -Form 4",2016-04-29 16:00:00-04:00,FSP,positive
521922.0,"Franklin Street Properties Sees Q2 FFO $0.24-$0.26 Vs Est $0.26, Backs FY 2016 FFO $1.01-$1.07 Vs Est $1.04",2016-04-26 16:20:00-04:00,FSP,negative
521923.0,"Franklin Street Properties Reports Q1 FFO $0.26 Vs Est $0.25, Revs $89.8M Vs Est $29.16M, Backs FY 2016 Guidance",2016-04-26 16:19:00-04:00,FSP,negative
521924.0,Franklin Street Properties To Hold A Conference Call On April 27,2016-04-19 13:35:00-04:00,FSP,neutral
521925.0,"Franklin Street Properties Reports Q4 AFFO $0.17 vs. Est. $0.27, Rev. $61.25M vs. Est. $60.38M",2016-02-16 16:39:00-05:00,FSP,neutral
521926.0,Franklin Street Reports Q3 FFO $0.27 Vs Est $0.28; Sees FY FFO $1.05-$1.07 Vs Est $1.07,2015-10-27 16:40:00-04:00,FSP,neutral
521927.0,"Baird Downgrades Franklin Street Props to Neutral, Maintains $15.00 PT",2015-08-11 05:00:00-04:00,FSP,neutral
521928.0,"MKM: Sell REITs, Buy Utilities",2015-08-10 16:03:00-04:00,FSP,neutral
521929.0,"Franklin Street Properties Reports Q1 EPS $0.13 Vs Est $0.27, Sales $60.5M Vs Est $60.17M",2015-04-28 16:25:00-04:00,FSP,neutral
521930.0,"Stifel Nicolaus Upgrades Franklin Street Props to Hold, Removes $11.50 PT",2015-04-02 06:03:00-04:00,FSP,neutral
521931.0,Benzinga's Top Initiations,2015-02-04 09:25:00-05:00,FSP,positive
521932.0,Wunderlich Initiates Franklin Street Properties With Buy,2015-02-04 08:24:00-05:00,FSP,neutral
521933.0,"Wunderlich Initiates Coverage on Franklin Street Propertie at Buy, Announces $15.50 PT",2015-02-04 06:16:00-05:00,FSP,neutral
521934.0,S-3: Franklin Street Files Shelf Offering,2015-01-12 17:15:00-05:00,FSP,neutral
521935.0,Franklin Street Properties Corp. Reports Q3 FFO of $0.28 vs $0.27 Est; Revenue of $61.20M vs $60.58M Est,2014-10-28 16:13:00-04:00,FSP,neutral
521936.0,"Franklin Street Properties Director Hansen Buys 3,060 Shares @$11.86/Share -Form 4",2014-09-12 14:39:00-04:00,FSP,positive
521937.0,"Capital One Financial Initiates Coverage on Franklin Street Properties Corp. at Equal-weight, Announces $12.50 PT",2014-09-10 06:03:00-04:00,FSP,neutral
521938.0,"Capital One Financial Initiates Coverage on Franklin Street Properties Corp. at Equal-weight, Announces $12.50 PT",2014-09-10 06:03:00-04:00,FSP,neutral
521939.0,"Franklin Street Properties CEO Carter Buys 10,000 Shares @$12.15/Share -Form 4",2014-08-06 15:48:00-04:00,FSP,positive
521940.0,Franklin Street Properties Corp. Reports Q1 FFO of $0.29 vs $0.28 Est,2014-04-29 16:24:00-04:00,FSP,neutral
521941.0,Franklin Street Properties Corp. Reports Q4 FFO of $0.29 vs $0.28 Est,2014-02-18 16:02:00-05:00,FSP,neutral
521942.0,Top 4 Small-Cap Stocks In The REIT-Office Industry With The Highest Profit Margin,2013-09-06 04:21:00-04:00,FSP,positive
521943.0,Franklin Street Reports Q2 FFO $0.24,2013-07-30 16:35:00-04:00,FSP,neutral
521944.0,UPDATE: Bank of America Initiates Franklin Street Properties with Neutral on Fair Valuation,2013-05-20 10:12:00-04:00,FSP,positive
521945.0,Benzinga's Top Initiations,2013-05-20 08:24:00-04:00,FSP,positive
521946.0,"Bank of America Initiates Coverage on Franklin Street Properties Corp. at Neutral, Announces $14.50 PO",2013-05-20 06:42:00-04:00,FSP,negative
521947.0,A Peek Into The Market Before The Trading Starts,2013-05-10 07:55:00-04:00,FSP,neutral
521948.0,Franklin Street Properties Prices 15M Share Secondary Offering at $14.00/Share,2013-05-10 06:33:00-04:00,FSP,positive
521949.0,"Franklin Street Properties Corp. Reports Q1 EPS of $0.25, Inline; Revenue of $44.80M vs $42.57M Est",2013-04-30 16:54:00-04:00,FSP,neutral
521950.0,"BMO Capital Maintains Market Perform on Franklin Street Properties Corp., Raises PT to $13.00",2013-02-22 07:44:00-05:00,FSP,neutral
521951.0,Franklin Street Properties Announces $900 Million Unsecured Credit Facility With a Fixed Rate Component ,2012-09-27 13:34:00-04:00,FSP,neutral
521952.0,Franklin Street Properties Corp. Acquires Office Building in Atlanta For $52.75M,2012-07-31 17:36:00-04:00,FSP,neutral
521953.0,"BMO Capital Markets Initiates Franklin Street Properties at Market Perform, $11 PT",2012-06-11 07:22:00-04:00,FSP,neutral
521954.0,Franklin Street Properties Files Automatic Stock Offering,2012-04-27 16:41:00-04:00,FSP,neutral
521955.0,Top 4 Small-Cap Stocks In The REIT-Office Industry With The Highest Dividend Yield,2012-01-23 06:43:00-05:00,FSP,positive
521956.0,Top 4 Small-Cap Stocks In The REIT-Office Industry With The Highest Dividend Yield,2011-12-09 04:25:00-05:00,FSP,positive
521957.0,"Earnings Preview: Analysts Expect Vornado Realty's Revenue, Earnings to Dip",2011-10-28 16:04:00-04:00,FSP,neutral
521958.0,"Stifel Nicolaus Downgrades FSP, NBBC, PDM",2011-10-24 08:05:00-04:00,FSP,neutral
521959.0,"Franklin Street Properties Corp. Acquires Office Building in Evanston, Illinois for $35.1M ",2011-10-03 11:21:00-04:00,FSP,neutral
521960.0,UPDATE: Stifel Nicolaus Upgrades Franklin Street Properties to Hold,2011-08-18 09:18:00-04:00,FSP,neutral
521961.0,"Stifel Nicolaus Upgrades FSP, CLI To Hold",2011-08-18 08:34:00-04:00,FSP,neutral
521962.0,"Earnings Preview: Analysts Expect Vornado Realty Revenue, Earnings to Dip from Previous Quarter",2011-07-27 13:35:00-04:00,FSP,neutral
521963.0,Franklin Street Properties Corp. Declares Quarterly Dividend of $0.19/Share,2011-07-15 10:42:00-04:00,FSP,neutral
