Unnamed: 0,title,date,stock,sentiment
564061.0,Shares of retail & apparel companies are trading lower amid market weakness as investors await today's Federal Reserve decision and update on the state of the economy. Markets have sold off over the past few sessions following recent surge.,2020-06-10 10:36:00-04:00,GNC,negative
564062.0,90 Biggest Movers From Yesterday,2020-06-10 05:46:00-04:00,GNC,neutral
564063.0,64 Stocks Moving In Tuesday's Mid-Day Session,2020-06-09 12:26:00-04:00,GNC,neutral
564064.0,Shares of several retail & apparel companies are trading lower as equities sell off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up.,2020-06-09 10:51:00-04:00,GNC,positive
564065.0,34 Stocks Moving in Tuesday's Pre-Market Session,2020-06-09 07:11:00-04:00,GNC,neutral
564066.0,GNC Holdings Option Alert: Jul 17 $1 Calls Sweep (20) near the Ask: 650 @ $0.35 vs 2593 OI; Earnings 7/20 Before Open [est] Ref=$0.9978,2020-06-08 14:08:00-04:00,GNC,positive
564067.0,"Shares of several retail and apparel companies are trading higher on continued upward momentum surrounding the economy reopening, which would increase consumer spending and economic activity. New York City moved into phase one of its reopening plan on Monday.",2020-06-08 10:55:00-04:00,GNC,positive
564068.0,GNC Shares Higher On Heavy Volume; Mention On Twitter Regarding Unconfirmed Report Of Potential Loan,2020-06-02 15:44:00-04:00,GNC,positive
564069.0,"Shares of several consumer discretionary companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 10:57:00-04:00,GNC,positive
564070.0,Shares of several consumer discretionary companies are trading higher as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could mean a faster return to discretionary spending.,2020-05-26 12:24:00-04:00,GNC,positive
564071.0,"GNC Holdings, Inc. Reaches Agreement with Lenders for Extension on Debt Maturity Dates",2020-05-15 16:30:00-04:00,GNC,positive
564072.0,Recap: GNC Holdings Q1 Earnings,2020-05-11 07:30:00-04:00,GNC,neutral
564073.0,"GNC Holdings Q1 EPS $0.19 Beats $0.06 Estimate, Sales $472.600M Miss $475.500M Estimate",2020-05-11 06:56:00-04:00,GNC,negative
564074.0,GNC Reports Receives NYSE Continued Listing Standards Notice Related To $1/Share Minimum Closing Price; Co. Has 6 Months To Regain Compliance Following Receipt Of Notice,2020-04-28 07:14:00-04:00,GNC,neutral
564075.0,GNC Announces Hiring Freeze And Cost Reductions,2020-04-03 16:33:00-04:00,GNC,positive
564076.0,"GNC Holdings Q4 Adj. EPS $(0.07) Up From $(0.13) YoY, Sales $470.351M Down From $547.861M YoY",2020-03-24 18:06:00-04:00,GNC,neutral
564077.0,GNC Holdings Said In Talks With Creditors To Head Off A Default,2020-03-18 11:57:00-04:00,GNC,neutral
564078.0,20 Healthcare Stocks Moving In Wednesday's Pre-Market Session,2020-03-18 07:46:00-04:00,GNC,neutral
564079.0,10 Biggest Price Target Changes For Tuesday,2020-03-17 09:06:00-04:00,GNC,neutral
564080.0,18 Healthcare Stocks Moving In Tuesday's Pre-Market Session,2020-03-17 08:58:00-04:00,GNC,neutral
