Unnamed: 0,title,date,stock,sentiment
578864.0,Stocks That Hit 52-Week Lows On Thursday,2020-05-14 10:47:00-04:00,GPX,negative
578865.0,Stocks That Hit 52-Week Lows On Wednesday,2020-05-13 11:07:00-04:00,GPX,negative
578866.0,"B. Riley FBR Maintains Neutral on GP Strategies, Lowers Price Target to $6.5",2020-05-13 07:01:00-04:00,GPX,negative
578867.0,84 Biggest Movers From Yesterday,2020-05-13 05:31:00-04:00,GPX,neutral
578868.0,"GP Strategies Q1 GAAP EPS $(0.080), Adj. EPS $(0.03) Misses $0.080 Estimate, Sales $128.300M Miss $132.840M Estimate",2020-05-11 16:33:00-04:00,GPX,negative
578869.0,"B. Riley FBR Downgrades GP Strategies to Neutral, Lowers Price Target of $7.5",2020-05-08 09:45:00-04:00,GPX,negative
578870.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,GPX,negative
578871.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,GPX,negative
578872.0,"B. Riley FBR Maintains Buy on GP Strategies, Lowers Price Target to $14",2020-03-11 07:17:00-04:00,GPX,negative
578873.0,GP Strategies: Q4 Earnings Insights,2020-03-10 13:57:00-04:00,GPX,neutral
578874.0,82 Stocks Moving In Tuesday's Mid-Day Session,2020-03-10 12:25:00-04:00,GPX,neutral
578875.0,"GP Strategies Q4 EPS $0.23, Inline, Sales $155.4M Beat $146.49M Estimate",2020-03-10 06:47:00-04:00,GPX,neutral
578876.0,"Earnings Scheduled For March 10, 2020",2020-03-10 04:33:00-04:00,GPX,neutral
578877.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,GPX,negative
578878.0,"GP Strategies Reports Divestiture Of Alternative Fuels Division, No Terms Disclosed",2020-01-08 16:21:00-05:00,GPX,negative
578879.0,GP Strategies Reports Achieved Significant Reduction In Outstanding Long-Term Debt,2020-01-03 06:46:00-05:00,GPX,positive
578880.0,GP Strategies 13D Shows Cove Street Capital's Jeffrey Bronchick	Holds 14.19% Stake In Co.,2019-11-21 11:29:00-05:00,GPX,neutral
578881.0,"GP Strategies Q3 EPS $0.24 Beats $0.19 Estimate, Sales $139.005M Miss $141.78M Estimate",2019-11-07 09:40:00-05:00,GPX,negative
578882.0,Stocks That Hit 52-Week Lows On Thursday,2019-10-03 13:03:00-04:00,GPX,negative
578883.0,"GP Strategies Q2 EPS $0.19 Misses $0.23 Estimate, Sales $149.4M Miss $149.58M Estimate",2019-08-01 09:10:00-04:00,GPX,negative
578884.0,72 Biggest Movers From Friday,2019-05-13 05:09:00-04:00,GPX,neutral
578885.0,62 Stocks Moving In Friday's Mid-Day Session,2019-05-10 12:35:00-04:00,GPX,neutral
578886.0,"GP Strategies Q1 Adj. EPS $0.16 Beats $0.12 Estimate, Sales $139.5M Beat $137.09M Estimate",2019-05-10 06:47:00-04:00,GPX,neutral
578887.0,"Earnings Scheduled For May 10, 2019",2019-05-10 04:17:00-04:00,GPX,neutral
578888.0,60 Biggest Movers From Yesterday,2019-03-19 05:24:00-04:00,GPX,neutral
578889.0,GP Strategies shares are trading lower after the company reported worse-than-expected Q4 results.,2019-03-18 13:30:00-04:00,GPX,neutral
578890.0,48 Stocks Moving In Monday's Mid-Day Session,2019-03-18 12:33:00-04:00,GPX,neutral
578891.0,"GP Strategies Q4 EPS $0.11 Misses $0.29 Estimate, Sales $132.871M Miss $133.83M Estimate",2019-03-18 06:50:00-04:00,GPX,negative
578892.0,"Earnings Scheduled For March 18, 2019",2019-03-18 03:56:00-04:00,GPX,neutral
578893.0,GP Strategies On Wednesday Announced New $200M Credit Facility,2018-12-06 09:34:00-05:00,GPX,positive
578894.0,GP Strategies On Wednesday Announced Acquisition Of TTi Global; Financial Terms Not Disclosed,2018-12-06 09:33:00-05:00,GPX,neutral
578895.0,"Stocks Which Set New 52-Week Low Yesterday, Mon., Dec. 3, 2018",2018-12-04 09:21:00-05:00,GPX,negative
578896.0,41 Biggest Movers From Yesterday,2018-11-27 05:08:00-05:00,GPX,neutral
578897.0,"Stocks Which Set New 52-Week Low The Last Trading Session, Wed., Nov. 21, 2018",2018-11-23 09:09:00-05:00,GPX,negative
578898.0,"GP Strategies Wins a 3-Year Contract Extension From a Global Financial Services Company, Terms Not Disclosed",2018-11-19 06:25:00-05:00,GPX,positive
578899.0,"GP Strategies Q3 EPS $0.20 Misses $0.24 Estimate, Sales $123.57M Miss $127.97M Estimate",2018-11-06 06:47:00-05:00,GPX,negative
578900.0,"Stocks Which Set New 52-Week Low Yesterday, October 23rd",2018-10-24 10:06:00-04:00,GPX,negative
578901.0,"Stocks Which Set New 52-Week Low Yesterday, October 11th",2018-10-12 11:30:00-04:00,GPX,negative
578902.0,"Stocks Which Set New 52-Week Low Yesterday, October 10th",2018-10-11 09:11:00-04:00,GPX,negative
578903.0,"Stocks Which Set New 52-Week Low Yesterday, September 26th",2018-09-27 09:14:00-04:00,GPX,negative
578904.0,"Stocks Which Set New 52-Week Lows Friday, August 3rd",2018-08-06 13:20:00-04:00,GPX,negative
578905.0,"GP Strategies Q2 Adj. EPS $0.34 Beats $0.23 Estimate, Sales $133.691M Miss $134.75M Estimate",2018-07-31 06:47:00-04:00,GPX,negative
578906.0,"GP Strategies Acquires IC Axon, No Financial Terms Disclosed",2018-05-03 17:42:00-04:00,GPX,negative
578907.0,"GP Strategies Q1 EPS $0.23 Beats $0.22 Estimate, Sales $125.032M Beat $124.9M Estimate",2018-05-03 08:01:00-04:00,GPX,neutral
578908.0,"GP Strategies Reports Q4 Adj. EPS $0.38 vs $0.26 Est., GAAP Net Loss $300K, Sales $131.5M vs $131.9M Est.",2018-03-01 06:49:00-05:00,GPX,negative
578909.0,"GP Strategies Announces a Reorganization, Sees $7M-$9M of Cost Savings",2017-12-26 06:49:00-05:00,GPX,neutral
578910.0,"GP Strategies Reports Will Buy Hula Partners, No Terms Disclosed",2017-12-20 06:55:00-05:00,GPX,negative
578911.0,GP Strategies Adds $10M To Buyback Plan,2017-11-22 16:23:00-05:00,GPX,neutral
578912.0,"GP Strategies Names Adam Stedham Pres, CFO",2017-11-22 16:22:00-05:00,GPX,neutral
578913.0,"GP Strategies Q3 EPS $0.19 vs $0.26 Est., Sales $124.1M vs $125.0M Est.",2017-11-02 06:48:00-04:00,GPX,neutral
578914.0,"GP Strategies Acquires CLS Performance Solutions, Terms Not Disclosed",2017-09-05 06:52:00-04:00,GPX,positive
578915.0,"GP Strategies Acquires YouTrain, Terms Not Disclosed",2017-09-05 06:49:00-04:00,GPX,neutral
578916.0,"GP Strategies Reports Q2 EPS $0.35 vs $0.32 Est., Sales $131.2M vs $131.1M Est.",2017-07-27 08:19:00-04:00,GPX,neutral
578917.0,Benzinga's Option Alert Recap From May 23,2017-05-23 16:36:00-04:00,GPX,positive
578918.0,Option Alert: Grt Plains En Jun 30.0 Calls: 3000 @  ASK  $0.25: 3000 traded vs 1249 OI:  Earnings 8/3 Before Open (est)  $28.89 Ref,2017-05-23 10:51:00-04:00,GPX,positive
578919.0,Great Plains Energy Q1 EPS $0.13 vs $0.13 Est,2017-05-04 07:44:00-04:00,GPX,positive
578920.0,"GP Strategies Q1 EPS $0.24 vs $0.24 Est, Sales $122.4M vs $121.8M Est",2017-05-02 06:52:00-04:00,GPX,neutral
578921.0,"Wall Street's M&A Chatter From April 20: Kindred, Virtu-KCG, Westar-Great Plains Energy",2017-04-21 06:52:00-04:00,GPX,positive
578922.0,"GP Strategies Acquires Emantras, Terms Not Disclosed",2017-04-04 06:46:00-04:00,GPX,neutral
578923.0,"GP Strategies Q4 EPS $0.40 vs $0.36 Est, Sales $127.3M vs $125.3M Est",2017-02-28 07:09:00-05:00,GPX,neutral
578924.0,"GP Strategies Acquires McKinney Rogers, Terms Not Disclosed",2017-02-02 06:48:00-05:00,GPX,neutral
578925.0,B. Riley Downgrades GP Strategies Corporation Common Stock to Neutral,2016-11-02 06:50:00-04:00,GPX,neutral
578926.0,"GP Strategies Reports Q3 EPS $0.29 vs. Est. $0.28, Rev. $122M vs. Est. $120.7M",2016-11-01 06:58:00-04:00,GPX,neutral
578927.0,"GP Strategies to Acquire Maverick Solutions, Terms Not Disclosed",2016-09-19 06:47:00-04:00,GPX,positive
578928.0,GP Strategies Gets $36M Kuwait Contract,2016-09-08 06:46:00-04:00,GPX,neutral
578929.0,"Earlier GP Strategies Reported Q2 EPS $0.29 vs. Est. $0.32, Rev. $125.5M vs. Est. $127.9M",2016-07-28 09:12:00-04:00,GPX,neutral
578930.0,GP Strategies Announces $7M Gas Station Contract,2016-06-01 07:10:00-04:00,GPX,neutral
