Unnamed: 0,title,date,stock,sentiment
590203.0,Stocks That Hit 52-Week Lows On Thursday,2020-05-14 10:47:00-04:00,GWB,negative
590204.0,"Shares of several companies in the financial services sector are trading lower amid market weakness, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy. The coronavirus pandemic has slowed economic growth and led to businesses scaling back investment, which has negatively impacted the financial sector.",2020-05-13 11:51:00-04:00,GWB,negative
590205.0,Stocks That Hit 52-Week Lows On Wednesday,2020-05-13 11:07:00-04:00,GWB,negative
590206.0,Stocks That Hit 52-Week Lows On Tuesday,2020-05-12 11:05:00-04:00,GWB,negative
590207.0,Stocks That Hit 52-Week Lows On Wednesday,2020-05-06 10:37:00-04:00,GWB,negative
590208.0,Stocks That Hit 52-Week Lows On Monday,2020-05-04 10:55:00-04:00,GWB,negative
590209.0,"JP Morgan Downgrades Great Western Bancorp to Underweight, Lowers Price Target to $15",2020-05-04 07:03:00-04:00,GWB,positive
590210.0,Great Western Bancorp: Q2 Earnings Insights,2020-04-30 08:29:00-04:00,GWB,positive
590211.0,Great Western Bancorp Q2 EPS $0.770 Beats $0.580 Estimate,2020-04-30 07:05:00-04:00,GWB,positive
590212.0,"Benzinga's Top Upgrades, Downgrades For March 31, 2020",2020-03-31 09:34:00-04:00,GWB,positive
590213.0,DA Davidson Downgrades Great Western Bancorp to Neutral,2020-03-31 07:26:00-04:00,GWB,positive
590214.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,GWB,negative
590215.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,GWB,negative
590216.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,GWB,negative
590217.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-05 10:29:00-05:00,GWB,negative
590218.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-04 11:12:00-05:00,GWB,negative
590219.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,GWB,negative
590220.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,GWB,negative
590221.0,"Great Western Bancorp Names Mark Borrecco Pres, CEO",2020-02-11 09:09:00-05:00,GWB,positive
590222.0,"RBC Capital Maintains Outperform on Great Western Bancorp, Lowers Price Target to $35",2020-01-29 07:55:00-05:00,GWB,positive
590223.0,"Great Western Bancorp Q1 EPS $0.77, Inline",2020-01-28 07:03:00-05:00,GWB,positive
590224.0,Raymond James Initiates Coverage On Great Western Bancorp with Market Perform Rating,2020-01-17 06:37:00-05:00,GWB,positive
590225.0,"Benzinga's Top Upgrades, Downgrades For December 19, 2019",2019-12-19 09:51:00-05:00,GWB,positive
590226.0,"Stephens & Co. Downgrades Great Western Bancorp to Equal-Weight, Announces $37 Price Target",2019-12-19 08:48:00-05:00,GWB,positive
590227.0,"Great Western Bancorp Q4 EPS $0.89 Beats $0.79 Estimate, Sales $121.732M Miss $122.89M Estimate",2019-10-24 07:26:00-04:00,GWB,positive
590228.0,"Great Western Bancorp Reports Purchase Of Trust Assets Of Independent Bank, No Terms Disclosed",2019-10-01 17:30:00-04:00,GWB,positive
590229.0,Stocks That Fell Through 52-Week Lows Wednesday,2019-08-07 14:22:00-04:00,GWB,negative
590230.0,Great Western Bancorp shares are trading lower after the company reported it sees preliminary Q3 net income lower from last quarter.,2019-07-17 09:25:00-04:00,GWB,positive
590231.0,Great Western Bancorp Sees Prelim. Q3 Net Income $26M-$27.5M vs $44.5M In Q2,2019-07-17 07:36:00-04:00,GWB,positive
590232.0,"Great Western Bancorp Q2 EPS $0.78, Inline, Sales $121.698M Miss $122.35M Estimate",2019-04-25 07:52:00-04:00,GWB,positive
590233.0,Great Western Bancorp Raises Quarterly Dividend From $0.25 To $0.30/Share,2019-04-25 07:47:00-04:00,GWB,positive
590234.0,"Great Western Bancorp CEO Says, 'During 2019, we expect good loan and deposit growth, but at a lower growth rate, and for our net interest margin to stabilize'",2019-01-24 07:10:00-05:00,GWB,positive
590235.0,"Great Western Bancorp Q1 EPS $0.79 Beats $0.77 Estimate, Sales $121.614M Miss $123.57M Estimate",2019-01-24 07:09:00-05:00,GWB,positive
590236.0,"Stocks Trading Ex Dividend For Thurs., Nov. 8, 2018",2018-11-08 10:55:00-05:00,GWB,neutral
590237.0,"Great Western Bancorp Q4 EPS $0.72 Misses $0.78 Estimate, Sales $121.245M Miss $126.36M Estimate",2018-10-25 08:14:00-04:00,GWB,positive
590238.0,"Stocks Which Set New 52-Week Low Yesterday, October 23rd",2018-10-24 10:06:00-04:00,GWB,negative
590239.0,"Stocks Which Set New 52-Week Low Yesterday, October 22nd",2018-10-23 09:54:00-04:00,GWB,negative
590240.0,"Great Western Bancorp Names Doug Bass Pres, COO",2018-08-30 07:09:00-04:00,GWB,positive
590241.0,"Stocks Trading Ex Dividend For Thurs., Aug. 9, 2018",2018-08-09 08:42:00-04:00,GWB,neutral
590242.0,"Stocks Which Will Trade Ex Dividend On Thurs., Aug. 9, 2018",2018-08-08 11:48:00-04:00,GWB,neutral
590243.0,"Great Western Bancorp S-3 Indicates Co. Has Filed For Potential Mixed Shelf Offering, No Size Disclosed",2018-08-08 06:25:00-04:00,GWB,positive
590244.0,"Great Western Bancorp Q3 EPS $0.78 Beats $0.74 Estimate, NII $123.611M Beat $122.05M Estimate",2018-07-26 08:55:00-04:00,GWB,positive
590245.0,"Great Western Bancorp Earlier Reported Q2 Results: Adj. EPS $0.69 Misses $0.70 Est., NII $102.2M",2018-04-26 09:37:00-04:00,GWB,positive
590246.0,A Preview Of Great Western Bancorp's Earnings,2018-04-25 15:43:00-04:00,GWB,positive
590247.0,Great Western Bancorp Reports Q1 EPS $0.72 vs $0.63 Est.,2018-01-25 07:11:00-05:00,GWB,positive
590248.0,FBR Capital Downgrades Great Western Bancorp to Neutral,2017-10-31 08:01:00-04:00,GWB,positive
590249.0,Great Western Bancorp Reports Q3 EPS $0.59 vs $0.63 Est.,2017-07-27 08:36:00-04:00,GWB,positive
590250.0,JP Morgan Downgrades Great Western Bancorp to Neutral,2017-04-28 07:31:00-04:00,GWB,positive
590251.0,Great Western Bancorp Raises. Qtr. Dividend from $0.17 to $0.20/Share,2017-04-27 07:16:00-04:00,GWB,positive
590252.0,Great Western Bancorp Reports Q2 EPS $0.60 vs $0.62 Est.,2017-04-27 07:15:00-04:00,GWB,positive
590253.0,"DA Davidson Initiates Coverage On Great Western Bancorp With Buy, Announces $50 Price Target",2017-04-12 06:39:00-04:00,GWB,positive
590254.0,"FBR Capital Initiates Coverage On Great Western Bancorp With Outperform Rating, Announces $48 Price Target",2017-04-11 09:25:00-04:00,GWB,positive
590255.0,Great Western Bancorp Reports Q1 EPS $0.63 vs. Est. $0.62,2017-01-26 07:12:00-05:00,GWB,positive
590256.0,"Bankers, Memories And Winter Is Coming",2016-11-03 18:09:00-04:00,GWB,neutral
590257.0,Great Western Bancorp Reports Q4 EPS $0.60 vs. Est. $0.60,2016-10-27 07:27:00-04:00,GWB,positive
590258.0,"Great Western Bancorp, Inc. Announces Stock Repurchase Program Of $100M",2016-10-27 07:08:00-04:00,GWB,positive
590259.0,"PiperJaffray Initiates Coverage on Great Western Bancorp at Neutral, Announces $35.00 PT",2016-10-06 06:45:00-04:00,GWB,positive
590260.0,Great Western Bancorp Reports Q3 EPS $0.59 vs. Est. $0.54,2016-07-28 07:55:00-04:00,GWB,positive
590261.0,"Great Western Bancorp, Inc. Announces Merger Consideration Election and Allocation Results in Connection with HF Financial Corp. Merger",2016-05-17 07:00:00-04:00,GWB,positive
590262.0,Great Western Bancorp Reports Q2 EPS $0.55 vs. Est. $0.52,2016-04-28 07:28:00-04:00,GWB,positive
590263.0,"Great Western Bancorp, Inc. And HF Financial Corp. Announce Expected Merger Closing Date Of May 13 2016",2016-04-19 17:31:00-04:00,GWB,positive
590264.0,Benzinga's Volume Movers,2016-04-12 10:17:00-04:00,GWB,neutral
590265.0,"Prestige Brands Added To S&P MidCap 400 Index, Great Western Bancorp Added To S&P SmallCap 600 Index",2016-04-12 08:15:00-04:00,GWB,positive
590266.0,"S&P Dow Jones Indices Announces Prestige Brands to Replace Cleco in S&P MidCap 400, Great Western Bancorp to Replace Prestige in S&P SmallCap 600",2016-04-11 17:29:00-04:00,GWB,positive
590267.0,Macquarie's Bear Call On U.S. Banks Just Got Worse,2016-04-01 12:30:00-04:00,GWB,negative
590268.0,Great Western Bancorp Reports Q1 EPS $0.55 vs. Est.0.54,2016-01-27 07:07:00-05:00,GWB,positive
590269.0,Mid-Afternoon Market Update: Dow Climbs Over 100 Points; HF Financial Shares Rise On Merger News,2015-12-01 15:00:00-05:00,GWB,positive
590270.0,Mid-Day Market Update: Breitburn Energy Partners Drops Following News of Distribution Suspension; Mattress Firm Shares Surge,2015-12-01 12:03:00-05:00,GWB,positive
590271.0,Stocks Hitting 52-Week Highs,2015-12-01 10:14:00-05:00,GWB,neutral
590272.0,Morning Market Gainers,2015-12-01 09:43:00-05:00,GWB,neutral
590273.0,"UPDATE: Great Western, HF Financial Deal Valued at $139.5M in Stock, Cash",2015-11-30 16:11:00-05:00,GWB,positive
590274.0,"Great Western Bancorp, HF Financial Report Merger Deal",2015-11-30 16:11:00-05:00,GWB,positive
590275.0,Earlier Great Western Bancorp Reported EPS $0.60 Vs Est $0.50,2015-10-29 07:43:00-04:00,GWB,positive
590276.0,Great Western Bancorp Increases Qtr. Dividend From $0.12 To $0.14/Share,2015-10-29 07:23:00-04:00,GWB,positive
590277.0,"Great Western Bancorp Reports Q2 EPS $0.50 Vs Exp $0.46, Announces Secondary Offering Of 12.7M Shares & $60M Share Repurchase Program",2015-07-27 06:06:00-04:00,GWB,positive
590278.0,Great Western Bancorp Files For Possible Secondary Offering,2015-07-16 17:25:00-04:00,GWB,positive
590279.0,Great Western Bancorp Files S-1 For Stock Offering Of $100M By Selling Shareholders,2015-07-16 17:08:00-04:00,GWB,positive
590280.0,"JP Morgan Initiates Coverage on Great Western Bancorp at Overweight, Announces $30.00 PT",2015-07-09 06:54:00-04:00,GWB,positive
590281.0,Stephens & Co. Initiates Coverage on Great Western Bancorp at Overweight,2015-07-02 09:13:00-04:00,GWB,positive
590282.0,Great Western Bancorp Files for Up to $100M Secondary Offering by Selling Shareholder,2015-04-21 10:56:00-04:00,GWB,positive
590283.0,Great Western Bank Reports Q4 EPS of $0.48 vs $0.47 Est,2014-11-20 06:09:00-05:00,GWB,positive
590284.0,"Keefe Bruyette & Woods Initiates Coverage on Great Western Bank at Outperform, Announces $24.00 PT",2014-11-10 05:44:00-05:00,GWB,positive
590285.0,Great Western Bancorp Closes IPO Offering,2014-10-20 14:11:00-04:00,GWB,positive
590286.0,"Great Western Bancorp Shares At $18.04 Following Open at $18/Share, IPO Priced at $18",2014-10-15 09:57:00-04:00,GWB,positive
590287.0,Expected IPOs For October 15,2014-10-15 09:18:00-04:00,GWB,neutral
590288.0,Great Western Bancorp Prices 16M Share IPO @$18.00/Share,2014-10-14 19:23:00-04:00,GWB,positive
590289.0,Great Western Bancorp Expects 16M Share IPO to Price $21.00-$24.00/Share,2014-10-03 06:20:00-04:00,GWB,positive
