Unnamed: 0,title,date,stock,sentiment
609243.0,"Jefferies Maintains Buy on HD Supply Holdings, Raises Price Target to $45",2020-06-10 08:38:00-04:00,HDS,neutral
609244.0,"RBC Capital Maintains Sector Perform on HD Supply Holdings, Raises Price Target to $43",2020-06-10 08:31:00-04:00,HDS,neutral
609245.0,"Wells Fargo Maintains Equal-Weight on HD Supply Holdings, Raises Price Target to $40",2020-06-10 07:48:00-04:00,HDS,positive
609246.0,HD Supply shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-06-09 08:56:00-04:00,HDS,positive
609247.0,"HD Supply Holdings Q1 Adj. EPS $0.67 Beats $0.54 Estimate, Sales $1.40B Beat $1.38B Estimate",2020-06-09 06:02:00-04:00,HDS,neutral
609248.0,B of A Securities Downgrades HD Supply Holdings to Neutral,2020-05-26 07:33:00-04:00,HDS,positive
609249.0,"Shares of several industrial companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine, which has raised hopes of an economic rebound.",2020-05-18 10:23:00-04:00,HDS,positive
609250.0,Longbow Research Downgrades HD Supply Holdings to Neutral,2020-04-01 06:31:00-04:00,HDS,neutral
609251.0,"HD Supply reports Combined Liquidity Of ~$728M, Including $104M In Cash, Cash Equivalents, $624M In Available Borrowings",2020-03-30 09:09:00-04:00,HDS,neutral
609252.0,"HD Supply Reports Materially-Changing Market Conditions Caused By Coronavirus Pandemic Have Impacted Co.'s Previously-Announced Timeline To Separate Its Facilities Maintenance, Construction & Industrial Businesses",2020-03-30 09:09:00-04:00,HDS,neutral
609253.0,B of A Securities Upgrades HD Supply Holdings to Buy,2020-03-30 06:17:00-04:00,HDS,positive
609254.0,"RBC Capital Maintains Sector Perform on HD Supply Holdings, Lowers Price Target to $30",2020-03-18 06:41:00-04:00,HDS,negative
609255.0,HD Supply Holdings Says On Mar. 12 Approved $500M Buyback,2020-03-17 06:02:00-04:00,HDS,positive
609256.0,HD Supply Holdings Not Providing Q1 Or FY20 Guidance,2020-03-17 06:02:00-04:00,HDS,neutral
609257.0,"HD Supply Holdings Q4 Adj. EPS $0.64 Beats $0.55 Estimate, Sales $1.385B Beat $1.38B Estimate",2020-03-17 06:01:00-04:00,HDS,neutral
609258.0,"Raymond James Maintains Outperform on HD Supply Holdings, Lowers Price Target to $38",2020-03-16 08:51:00-04:00,HDS,negative
609259.0,Bank of America Downgrades HD Supply Holdings to Neutral,2019-12-17 10:35:00-05:00,HDS,neutral
609260.0,"RBC Capital Maintains Sector Perform on HD Supply Holdings, Lowers Price Target to $41",2019-12-11 09:01:00-05:00,HDS,negative
609261.0,"Buckingham Maintains Neutral on HD Supply Holdings, Raises Price Target to $40",2019-12-11 07:45:00-05:00,HDS,neutral
609262.0,"HD Supply Holdings Sees Q4 Adj. EPS $0.52-$0.58 vs $0.57 Est., Sales $1.355B-$1.405B vs $1.39B Est; Sees FY19 Adj. EPS $3.45-$3.52, Sales $6.116B",2019-12-10 06:02:00-05:00,HDS,neutral
609263.0,"HD Supply Holdings Q3 Adj. EPS $1.01 Beats $0.99 Estimate, Sales $1.644B Beat $1.64B Estimate",2019-12-10 06:01:00-05:00,HDS,neutral
609264.0,Third Point 13F Shows New 1M Share Stake In HD Supply,2019-11-14 16:30:00-05:00,HDS,positive
609265.0,"JP Morgan Maintains Overweight on HD Supply Holdings, Lowers Price Target to $42",2019-10-10 10:14:00-04:00,HDS,negative
609266.0,"Barclays Downgrades HD Supply Holdings to Equal-Weight, Lowers Price Target to $42",2019-09-26 06:46:00-04:00,HDS,negative
609267.0,William Blair Downgrades HD Supply Holdings to Market Perform,2019-09-26 06:46:00-04:00,HDS,neutral
609268.0,HD Supply Holdings shares are trading higher after Wells Fargo maintained its Outperform rating and raised the price target from $45 to $48 per shares.,2019-09-25 09:28:00-04:00,HDS,positive
609269.0,"Wells Fargo Maintains Outperform on HD Supply Holdings, Raises Price Target to $48",2019-09-25 08:24:00-04:00,HDS,positive
609270.0,HD Supply shares are trading higher after the company announced the intent to separate into two industry-leading public companies.,2019-09-24 16:32:00-04:00,HDS,positive
609271.0,HD Supply Shares To Resume Trade At 4:30 p.m. EDT,2019-09-24 16:10:00-04:00,HDS,positive
609272.0,"HD Supply Holdings, Inc. Announces Intent To Separate Into Two Industry-Leading Public Companies; Shares Were Halted Ahead Of Announcement",2019-09-24 16:02:00-04:00,HDS,positive
609273.0,"Barclays Maintains Overweight on HD Supply Holdings, Lowers Price Target to $44",2019-09-11 08:59:00-04:00,HDS,negative
609274.0,Buckingham Downgrades HD Supply Holdings to Neutral,2019-09-11 08:42:00-04:00,HDS,neutral
609275.0,"Wells Fargo Maintains Outperform on HD Supply Holdings, Lowers Price Target to $45",2019-09-11 08:06:00-04:00,HDS,positive
609276.0,"Baird Downgrades HD Supply Holdings to Neutral, Lowers Price Target to $40",2019-09-11 06:53:00-04:00,HDS,negative
609277.0,HD Supply shares are trading lower after the company reported worse-than-expected Q2 sales results. The company also issued Q3 EPS ad sales guidance below analyst estimates.,2019-09-10 12:59:00-04:00,HDS,neutral
609278.0,"HD Supply Holdings Sees Q3 Adj. EP $0.96-$1.05 vs $1.05 Est., Sales $1.62B-$1.67B vs $1.69B Est.; Sees FY19 Adj. EPS $3.45-$3.60, Sales $6.1B-$6.2B",2019-09-10 06:03:00-04:00,HDS,neutral
609279.0,"HD Supply Holdings Q2 Adj. EPS $1.08, Inline, Sales $1.624B Miss $1.63B Estimate",2019-09-10 06:02:00-04:00,HDS,negative
609280.0,"JANA 13F Shows New 5.85M Share Stake In Axalta, New ~8.67M Share Stake In Callaway Golf, Lowered Stake In Falcon Minerals, Liquidated Equities Stake In Tiffany; Stakes In Conagra, HD Supply, Jack In The Box, Zimmer Biomet Largely Unchanged",2019-08-14 09:43:00-04:00,HDS,positive
609281.0,HD Supply Holdings shares are trading lower after the company issued Q2 EPS sales guidance below analyst estimates.,2019-06-11 09:52:00-04:00,HDS,neutral
609282.0,"HD Supply Holdings Sees Q2 Adj. EPS $1.04-$1.12 vs $1.19 Est., Sales $1.62B-$1.67B vs $1.7B Est.; Sees FY19 Adj. EPS $3.52-$3.70 Est., Sales $6.25B-$6.35B",2019-06-11 06:04:00-04:00,HDS,neutral
609283.0,"HD Supply Holdings Q1 Adj. EPS $0.84 Beats $0.81 Estimate, Sales $1.49B Inline",2019-06-11 06:02:00-04:00,HDS,neutral
609284.0,"Longbow Research Upgrades HD Supply Holdings to Buy, Announces $53 Price Target",2019-06-03 06:38:00-04:00,HDS,neutral
609285.0,"HD Supply Holdings Late Monday Reported Q4 EPS $0.70 Beat $0.67 Estimate, Sales $1.446B Beat $1.41B Estimate",2019-03-19 09:16:00-04:00,HDS,neutral
609286.0,Baird Upgrades HD Supply Holdings to Outperform,2019-01-25 06:59:00-05:00,HDS,neutral
609287.0,"HD Supply Holdings Reports Preliminary November Net Sales $426M, Up 14.6% YoY",2018-12-04 06:05:00-05:00,HDS,neutral
609288.0,"HD Supply Holdings Q3 Adj. EPS $1 Beats $0.99 Estimate, Sales $1.612B Beat $1.59B Estimate",2018-12-04 06:04:00-05:00,HDS,neutral
609289.0,13F From JANA Shows Cut Stake In HD Supply From ~6.88M Shares To ~6M Shares,2018-11-14 09:45:00-05:00,HDS,positive
609290.0,"Jefferies Initiates Coverage On HD Supply Holdings with Buy Rating, Announces $48 Price Target",2018-10-12 09:31:00-04:00,HDS,neutral
609291.0,"HD Supply Sees Q3 Sales $1.56-$1.61B vs $1.57B Est., EPS $0.95-$1.00 vs $0.97 Est.; FY18 Sales $5.9-$6.0B vs $5.93B Est., EPS $3.22-$3.35 vs $3.26 Est.",2018-09-05 06:01:00-04:00,HDS,neutral
609292.0,"HD Supply Holdings Q2 EPS $0.99 Beats $0.96 Estimate, Sales $1.6B Beat $1.58B Estimate",2018-09-05 06:00:00-04:00,HDS,neutral
609293.0,Northcoast Research Upgrades HD Supply Holdings to Buy,2018-08-30 07:47:00-04:00,HDS,neutral
609294.0,"Stocks Which Set New 52-Week High Yesterday, August 23rd",2018-08-24 09:11:00-04:00,HDS,neutral
609295.0,"Stocks Which Set New 52-Week High Yesterday, August 22nd",2018-08-23 10:51:00-04:00,HDS,neutral
609296.0,"Stocks Which Set New 52-Week High Yesterday, August 21st",2018-08-22 09:06:00-04:00,HDS,neutral
609297.0,"Stocks Which Set New 52-Week High Tues., Aug. 21, 2018",2018-08-21 14:50:00-04:00,HDS,neutral
609298.0,Stocks Which Set New 52-Week High Yesterday,2018-07-20 09:05:00-04:00,HDS,neutral
609299.0,"HDS Supply Sees Q2 Sales $1.535-$1.595B vs $1.55B Est., EPS $0.92-$0.97 vs $0.92 Est.; FY18 Sales $5.82-$5.94B vs $5.86B Est., EPS $3.11-$3.27 vs $3.16 Est.",2018-06-05 06:03:00-04:00,HDS,neutral
609300.0,"HD Supply Holdings Q1 EPS $0.70 Beats $0.64 Estimate, Sales $1.389B Beat $1.36B Estimate",2018-06-05 06:02:00-04:00,HDS,neutral
609301.0,SunTrust Robinson Humphrey Upgrades HD Supply Holdings to Buy,2018-03-15 07:45:00-04:00,HDS,neutral
609302.0,"HD Supply Holdings Sees Q1 Sales $1.325-$1.375B vs $1.31B Est., Adj. EPS $0.60-$0.66 vs $0.60 Est.; FY18 Sales $5.76-$5.91B vs $5.44B Est., EPS $2.99-$3.21 vs $2.88 Est.",2018-03-13 06:07:00-04:00,HDS,neutral
609303.0,"HD Supply Holdings Reports Q4 EPS $0.49 vs $0.44 Est., Sales $1.183B vs $1.16B Est.",2018-03-13 06:06:00-04:00,HDS,neutral
609304.0,"Barclays Initiates Coverage On HD Supply Holdings Inc with Overweight Rating, Announces $44.00 Price Target",2018-02-15 08:21:00-05:00,HDS,negative
609305.0,UPDATE: HD Supply Buying AH Harris For ~$380M,2018-01-03 08:40:00-05:00,HDS,neutral
609306.0,HD Supply Reports Deal To Buy AH Harris,2018-01-03 08:30:00-05:00,HDS,neutral
609307.0,"HD Supply Holdings Sees Q4 EPS $0.41-$0.47 vs $0.43 Est., Sales $1.142-$1.182B vs $1.14B Est.; FY17 EPS $2.23-$2.29 vs $2.21 Est., Sales $5.08-$5.12B vs $5.05B Est.",2017-12-05 06:04:00-05:00,HDS,neutral
609308.0,HD Supply Holdings Raises FY17 Guidance,2017-12-05 06:03:00-05:00,HDS,neutral
