Unnamed: 0,title,date,stock,sentiment
635367.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,HTY,negative
635368.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,HTY,negative
635369.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,HTY,negative
635370.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-12 11:45:00-05:00,HTY,neutral
635371.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-11 10:17:00-05:00,HTY,neutral
635372.0,Stocks That Hit 52-Week Highs On Monday,2020-02-10 10:25:00-05:00,HTY,neutral
635373.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,HTY,neutral
635374.0,Stocks That Hit 52-Week Highs On Wednesday,2020-01-15 13:14:00-05:00,HTY,neutral
635375.0,"Stocks Which Set New 52-Week Low Last Trading Session, Fri., Dec. 14, 2018",2018-12-17 11:48:00-05:00,HTY,negative
635376.0,"Stocks Which Set New 52-Week Low Friday, October 26th",2018-10-29 09:56:00-04:00,HTY,negative
635377.0,"Stocks Which Set New 52-Week Low Yesterday, October 11th",2018-10-12 11:30:00-04:00,HTY,negative
635378.0,"Stocks Which Set New 52-Week Low Yesterday, October 10th",2018-10-11 09:11:00-04:00,HTY,negative
635379.0,"Stocks Which Set New 52-Week Low Friday, October 5th",2018-10-08 09:27:00-04:00,HTY,negative
635380.0,"Stocks Which Set New 52-Week Low Yesterday, October 3rd",2018-10-04 12:38:00-04:00,HTY,negative
635381.0,"Stocks Which Set New 52-Week Low Yesterday, October 2nd",2018-10-03 13:01:00-04:00,HTY,negative
635382.0,"Stocks Which Set New 52-Week Low Yesterday, October 1st",2018-10-02 09:24:00-04:00,HTY,negative
635383.0,"Stocks Which Set New 52-Week Low Yesterday, September 13th",2018-09-14 09:30:00-04:00,HTY,negative
635384.0,"Stocks Which Set New 52-Week Low Friday, September 7th",2018-09-10 16:38:00-04:00,HTY,negative
635385.0,"Stocks Which Set New 52-Week Low Yesterday, September 6th",2018-09-07 16:49:00-04:00,HTY,negative
635386.0,"Stocks Which Set New 52-Week Low Yesterday, September 4th",2018-09-05 10:26:00-04:00,HTY,negative
635387.0,"Stocks Which Set New 52-Week Low Friday, August 31st",2018-09-04 10:32:00-04:00,HTY,negative
635388.0,"Stocks Which Set New 52-Week Low Friday, August 24th",2018-08-27 09:27:00-04:00,HTY,negative
635389.0,SeaWorld Parks & Entertainment Appoints Chairman of the Board  ,2010-09-02 15:38:00-04:00,HTY,positive
