Unnamed: 0,title,date,stock,sentiment
646412.0,"SunTrust Robinson Humphrey Maintains Buy on IBERIABANK, Raises Price Target to $45",2020-05-05 11:39:00-04:00,IBKC,neutral
646413.0,IBERIABANK Corporation Shareholders Approve Merger Of Equals With First Horizon National Corporation,2020-04-24 16:31:00-04:00,IBKC,neutral
646414.0,"SunTrust Robinson Humphrey Maintains Buy on IBERIABANK, Lowers Price Target to $44",2020-04-21 08:15:00-04:00,IBKC,negative
646415.0,Recap: IBERIABANK Q1 Earnings,2020-04-17 07:19:00-04:00,IBKC,neutral
646416.0,"IBERIABANK Q1 Adj. EPS $0.670, Sales $294.998M Beat $286.510M Estimate",2020-04-17 07:05:00-04:00,IBKC,neutral
646417.0,"Earnings Scheduled For April 17, 2020",2020-04-17 04:17:00-04:00,IBKC,neutral
646418.0,"SunTrust Robinson Humphrey Maintains Buy on IBERIABANK, Lowers Price Target to $54",2020-04-06 12:52:00-04:00,IBKC,negative
646419.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,IBKC,negative
646420.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,IBKC,negative
646421.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,IBKC,negative
646422.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,IBKC,negative
646423.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,IBKC,negative
646424.0,IBERIABANK Raises Qtr. Dividend From $0.45 To $0.47/Share,2020-01-28 17:00:00-05:00,IBKC,neutral
646425.0,"IBERIABANK Q4 EPS $1.59 Misses $1.7 Estimate, Sales $293.828M Miss $298.02M Estimate",2020-01-24 07:04:00-05:00,IBKC,negative
646426.0,"Earnings Scheduled For January 24, 2020",2020-01-24 04:27:00-05:00,IBKC,neutral
646427.0,"Jefferies Downgrades IBERIABANK to Hold, Announces $73 Price Target",2020-01-07 07:34:00-05:00,IBKC,neutral
646428.0,"Benzinga's Top Upgrades, Downgrades For November 7, 2019",2019-11-07 09:32:00-05:00,IBKC,positive
646429.0,"Keefe, Bruyette & Woods Downgrades IBERIABANK to Market Perform",2019-11-07 06:47:00-05:00,IBKC,neutral
646430.0,"First Horizon National and IBERIABANK to Merge in an All Stock Transaction, First Horizon Shareholders to Own 56% of the Combined Entity",2019-11-04 07:10:00-05:00,IBKC,neutral
646431.0,Sandler O'Neill Downgrades IBERIABANK to Hold,2019-10-22 07:53:00-04:00,IBKC,neutral
646432.0,IBERIABANK Q3 EPS $1.82 Beats $1.79 Estimate,2019-10-18 07:01:00-04:00,IBKC,neutral
646433.0,"Earnings Scheduled For October 18, 2019",2019-10-18 06:55:00-04:00,IBKC,neutral
646434.0,IBERIABANK Q2 Adj. EPS $1.87 Beats $1.82 Estimate,2019-07-19 07:02:00-04:00,IBKC,neutral
646435.0,"Earnings Scheduled For July 19, 2019",2019-07-19 04:19:00-04:00,IBKC,neutral
646436.0,Iberiabank Q1 EPS $1.72 Beats $1.64 Estimate,2019-04-25 07:12:00-04:00,IBKC,neutral
646437.0,IBERIABANK Prices 4M Share Preferred Stock Offering At $25/Share,2019-03-28 18:00:00-04:00,IBKC,positive
646438.0,IBERIABANK Increases Quarterly Dividend From $0.41/Share To $0.43/Share,2019-03-19 12:31:00-04:00,IBKC,neutral
646439.0,"Earnings Scheduled For January 25, 2019",2019-01-25 04:07:00-05:00,IBKC,neutral
646440.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 18, 2018",2018-12-19 12:43:00-05:00,IBKC,negative
646441.0,"Stocks Which Set New 52-Week Low Last Trading Session, Fri., Dec. 14, 2018",2018-12-17 11:48:00-05:00,IBKC,negative
646442.0,Hovde Group Upgrades IBERIABANK to Outperform,2018-11-16 10:14:00-05:00,IBKC,neutral
646443.0,Iberiabank Q3 EPS $1.74 Beats $1.68 Estimate,2018-10-19 07:05:00-04:00,IBKC,neutral
646444.0,IBERIABANK Raises Qtr. Dividend From $0.39 To $0.41/Share,2018-10-19 06:48:00-04:00,IBKC,neutral
646445.0,"Earnings Scheduled For October 19, 2018",2018-10-19 05:50:00-04:00,IBKC,neutral
646446.0,Q3 Earnings Outlook For Iberiabank,2018-10-18 16:19:00-04:00,IBKC,neutral
646447.0,IBERIABANK Raises Qtr. Dividend From $0.38 to $0.39/Share,2018-08-02 16:45:00-04:00,IBKC,neutral
646448.0,Iberiabank Q2 EPS $1.71 Beats $1.59 Estimate,2018-07-20 07:03:00-04:00,IBKC,neutral
646449.0,"Earnings Scheduled For July 20, 2018",2018-07-20 04:19:00-04:00,IBKC,neutral
646450.0,Earnings Outlook For Iberiabank,2018-07-19 15:02:00-04:00,IBKC,neutral
646451.0,IBERIABANK Reports Buyback Of Up To 1.1375M Shares,2018-05-10 17:29:00-04:00,IBKC,positive
646452.0,7 Stocks Moving In Thursday's After Hours Session,2018-04-19 17:16:00-04:00,IBKC,neutral
646453.0,"Earnings Scheduled For April 19, 2018",2018-04-19 04:08:00-04:00,IBKC,neutral
646454.0,IBERIABANK Increases Qtr. Dividend From $0.37 To $0.38/Share,2018-03-20 11:31:00-04:00,IBKC,neutral
646455.0,"IBERIABank Reports Q4 Adj. EPS $1.33 vs $1.25 Est., NII $235.502M",2018-01-25 17:35:00-05:00,IBKC,neutral
646456.0,"Benzinga's Top Upgrades, Downgrades For December 20, 2017",2017-12-20 09:14:00-05:00,IBKC,positive
646457.0,Raymond James Downgrades IBERIABANK to Outperform,2017-12-20 07:37:00-05:00,IBKC,neutral
646458.0,"IBERIABANK Issues FY18 Guidance, Sees Non-Interest Income $210M-$220M, Avg. Earning Assets $27.3B-$27.7B",2017-12-19 16:42:00-05:00,IBKC,positive
646459.0,"Benzinga's Top Upgrades, Downgrades For November 28, 2017",2017-11-28 08:59:00-05:00,IBKC,positive
646460.0,SunTrust Robinson Humphrey Upgrades IBERIABANK to Buy,2017-11-28 07:23:00-05:00,IBKC,neutral
646461.0,4 Things That Stood Out In IberiaBank's Q3 Earnings Miss,2017-10-23 10:06:00-04:00,IBKC,negative
646462.0,"Benzinga's Top Upgrades, Downgrades For October 23, 2017",2017-10-23 09:19:00-04:00,IBKC,positive
646463.0,Baird Downgrades IBERIABANK to Neutral,2017-10-23 07:58:00-04:00,IBKC,neutral
646464.0,35 Biggest Movers From Friday,2017-10-23 06:07:00-04:00,IBKC,neutral
646465.0,32 Stocks Moving In Friday's Mid-Day Session,2017-10-20 12:27:00-04:00,IBKC,neutral
646466.0,"Benzinga's Top Upgrades, Downgrades For October 20, 2017",2017-10-20 09:04:00-04:00,IBKC,positive
646467.0,Stephens & Co. Downgrades IBERIABANK to Equal-Weight,2017-10-20 06:59:00-04:00,IBKC,neutral
646468.0,IBERIABANK Reports Deal To Buy Gibraltar Private Bank & Trust co.; Gibraltar Holders Will Receive IBKC Shares Valued At ~$158.29/Gibraltar Share,2017-10-19 18:32:00-04:00,IBKC,positive
646469.0,"IBERIABANK Reports Q3 Adj. EPS $1 vs $1.16 Est., NII $216.883M",2017-10-19 17:26:00-04:00,IBKC,neutral
646470.0,"PiperJaffray Assumes IBERIABANK at Overweight, Announces price target $89.00",2017-10-05 10:34:00-04:00,IBKC,negative
646471.0,IBERIABANK Raises Qtr. Dividend From $0.36 To $0.37/Share,2017-09-19 15:51:00-04:00,IBKC,neutral
646472.0,Increased Confidence In M&A Earns Iberiabank Stock An Upgrade,2017-08-15 14:42:00-04:00,IBKC,positive
646473.0,"Benzinga's Top Upgrades, Downgrades For August 15, 2017",2017-08-15 10:08:00-04:00,IBKC,positive
646474.0,PiperJaffray Upgrades IBERIABANK to Overweight,2017-08-15 07:55:00-04:00,IBKC,negative
646475.0,"13F From Omega Shows New 200K Shares Position In L Brands, New 300K Share Stake In Gardner Denver, 1M Share Stake In Intelsat; Reduced Position In Hess From 1.164M Shares To 983.8K Shares; Exited Position In Kite Pharma, Humana, Iberiabank",2017-08-14 10:47:00-04:00,IBKC,positive
646476.0,"Earnings Scheduled For July 20, 2017",2017-07-20 04:09:00-04:00,IBKC,neutral
646477.0,IBERIABANK Corporation Reports Acquisition Approvals From The Board Of Governors Of The Federal Reserve Board,2017-06-05 14:10:00-04:00,IBKC,neutral
646478.0,Raymond James Upgrades IBERIABANK to Strong Buy,2017-05-19 06:17:00-04:00,IBKC,positive
646479.0,Baird Upgrades IBERIABANK to Outperform,2017-05-01 06:43:00-04:00,IBKC,neutral
