Unnamed: 0,title,date,stock,sentiment
648668.0,iCAD To Host Jun. 4 Virtual Roundtable Event on Breast Cancer Surgery And Targeted Radiation During COVID-19,2020-06-01 08:11:00-04:00,ICAD,negative
648669.0,iCAD Highlights Presentation Of New Clinical Data From Xoft Brain IORT At ASCO May 29-31,2020-05-13 17:19:00-04:00,ICAD,neutral
648670.0,"icad Q1 EPS $(0.200) Misses $(0.130) Estimate, Sales $6.551M Miss $7.710M Estimate",2020-05-11 16:01:00-04:00,ICAD,negative
648671.0,76 Biggest Movers From Yesterday,2020-04-24 04:42:00-04:00,ICAD,neutral
648672.0,54 Stocks Moving In Thursday's Mid-Day Session,2020-04-23 12:24:00-04:00,ICAD,neutral
648673.0,iCAD Prices 1.5625M Share Registered Direct Offering At $8/Share,2020-04-23 07:37:00-04:00,ICAD,positive
648674.0,iCAD Filing Shows Registration For $25M Common Stock Offering,2020-03-31 09:12:00-04:00,ICAD,neutral
648675.0,iCAD Says it is Launching Initiatives Leveraging its Product Portfolio to Reduce Health Care System Pressures During the COVID-19 Pandemic,2020-03-23 08:17:00-04:00,ICAD,positive
648676.0,Stocks That Hit 52-Week Highs On Thursday,2020-03-05 10:18:00-05:00,ICAD,neutral
648677.0,92 Biggest Movers From Yesterday,2020-03-05 04:41:00-05:00,ICAD,neutral
648678.0,60 Stocks Moving In Wednesday's Mid-Day Session,2020-03-04 12:11:00-05:00,ICAD,neutral
648679.0,Stocks That Hit 52-Week Highs On Wednesday,2020-03-04 10:24:00-05:00,ICAD,neutral
648680.0,140 Biggest Movers From Friday,2020-03-02 04:43:00-05:00,ICAD,neutral
648681.0,"icad Q4 EPS $(0.1) Beats $(0.12) Estimate, Sales $9.38M Beat $8.45M Estimate",2020-02-27 16:00:00-05:00,ICAD,neutral
648682.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-19 10:32:00-05:00,ICAD,neutral
648683.0,Stocks That Hit 52-Week Highs On Friday,2020-02-14 10:15:00-05:00,ICAD,neutral
648684.0,77 Biggest Movers From Yesterday,2020-02-14 04:59:00-05:00,ICAD,neutral
648685.0,58 Stocks Moving In Thursday's Mid-Day Session,2020-02-13 12:22:00-05:00,ICAD,neutral
648686.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-13 10:26:00-05:00,ICAD,neutral
648687.0,94 Biggest Movers From Yesterday,2020-02-12 05:13:00-05:00,ICAD,neutral
648688.0,71 Stocks Moving In Tuesday's Mid-Day Session,2020-02-11 12:21:00-05:00,ICAD,neutral
648689.0,iCAD Says First Metastatic Brain Tumor Has Been Treated In US Using Xoft IORT,2020-02-11 08:06:00-05:00,ICAD,negative
648690.0,"Benzinga's Top Upgrades, Downgrades For February 5, 2020",2020-02-05 09:55:00-05:00,ICAD,positive
648691.0,"JMP Securities Initiates Coverage On icad with Market Outperform Rating, Announces $15 Price Target",2020-02-05 07:05:00-05:00,ICAD,positive
648692.0,4 Health Information Services Stocks Moving In Monday's Session,2020-01-27 12:28:00-05:00,ICAD,neutral
648693.0,6 Health Information Services Stocks Moving In Wednesday's Session,2020-01-22 13:28:00-05:00,ICAD,neutral
648694.0,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,ICAD,neutral
648695.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,ICAD,neutral
648696.0,Stocks That Hit 52-Week Highs On Friday,2020-01-10 12:18:00-05:00,ICAD,neutral
648697.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-09 15:15:00-05:00,ICAD,neutral
648698.0,"Dougherty & Co. Initiates Coverage On icad with Buy Rating, Announces $10 Price Target",2019-12-20 09:58:00-05:00,ICAD,neutral
648699.0,"icad Q3 EPS $(0.1) Down From $(0.06) YoY, Sales $7.857M Up From $6.192M YoY",2019-10-30 07:36:00-04:00,ICAD,neutral
648700.0,"icad Q3 Adj. EPS $(0.10) Down From $(0.06) YoY, Sales $7.857M Up From $6.192M YoY",2019-10-30 07:22:00-04:00,ICAD,neutral
648701.0,Stocks That Hit 52-Week Highs On Monday,2019-09-23 12:51:00-04:00,ICAD,neutral
648702.0,100 Biggest Movers From Yesterday,2019-08-02 05:53:00-04:00,ICAD,neutral
648703.0,72 Stocks Moving In Thursday's Mid-Day Session,2019-08-01 12:16:00-04:00,ICAD,neutral
648704.0,Stocks That Broke Yearly Highs Thursday Morning,2019-08-01 10:19:00-04:00,ICAD,negative
648705.0,"icad Q2 EPS $(0.20) May Not Compare To $(0.07) Estimate, Sales $7.33M Beat $6.82M Estimate",2019-08-01 07:51:00-04:00,ICAD,neutral
648706.0,40 Biggest Movers From Friday,2019-07-15 05:47:00-04:00,ICAD,neutral
648707.0,iCAD's ProFound AI For 2D Mammography Receives CE Mark Approval,2019-07-11 08:02:00-04:00,ICAD,positive
648708.0,iCAD Reports Closing Of ~1.88M Share Common Stock Offering At $5.50/Share,2019-06-17 16:07:00-04:00,ICAD,positive
648709.0,54 Biggest Movers From Yesterday,2019-06-14 05:02:00-04:00,ICAD,neutral
648710.0,38 Stocks Moving In Thursday's Mid-Day Session,2019-06-13 12:52:00-04:00,ICAD,neutral
648711.0,30 Stocks Moving In Thursday's Pre-Market Session,2019-06-13 08:22:00-04:00,ICAD,neutral
648712.0,iCAD Prices ~1.636M Shares At $5.50/Share,2019-06-13 07:01:00-04:00,ICAD,positive
648713.0,"iCAD Reports Common Stock Offering, Size Not Disclosed",2019-06-12 16:17:00-04:00,ICAD,neutral
648714.0,42 Stocks Moving In Thursday's Mid-Day Session,2019-06-06 12:36:00-04:00,ICAD,neutral
648715.0,66 Biggest Movers From Yesterday,2019-06-06 05:17:00-04:00,ICAD,neutral
648716.0,iCAD Q1 Adj EBITDA Loss $600K vs Loss $2.4M In Same Qtr. Last Year,2019-05-07 08:17:00-04:00,ICAD,negative
648717.0,"iCAD Q1 EPS $(0.22) Misses $(0.13) Estimate, Sales $6.773M Beat $6.21M Estimate",2019-05-07 08:16:00-04:00,ICAD,negative
648718.0,"Shares of several healthcare-related stocks are trading higher in a potential rebound from last week's selloff. In an upgrade of HCA Healthcare, Raymond James analysts noted the selloff was 'based on legislation that has almost no chance of passing'.",2019-04-23 14:30:00-04:00,ICAD,positive
648719.0,iCAD Announces Two Additional Centers in Spain Have Adopted the Xoft System,2019-04-15 08:09:00-04:00,ICAD,neutral
648720.0,52 Biggest Movers From Yesterday,2019-04-05 05:55:00-04:00,ICAD,neutral
648721.0,iCAD Names Stacey Stevens Pres,2019-03-28 08:22:00-04:00,ICAD,neutral
648722.0,"icad Q4 EPS $(0.20) Misses $(0.10) Estimate, Sales $6.95M Beat $6.4M Estimate",2019-03-18 16:02:00-04:00,ICAD,negative
648723.0,iCAD S-3 Shows Registration For ~3.37M Common Share Offering Via Selling Shareholders,2019-01-31 17:03:00-05:00,ICAD,positive
648724.0,62 Biggest Movers From Yesterday,2019-01-25 05:49:00-05:00,ICAD,neutral
648725.0,"Stocks Which Set New 52-Week High Yesterday, Wed., Jan. 23, 2019",2019-01-24 10:05:00-05:00,ICAD,neutral
648726.0,54 Biggest Movers From Yesterday,2019-01-24 05:04:00-05:00,ICAD,neutral
648727.0,iCAD Announces Executive Vice President Richard Christopher Is Resigning,2018-12-27 16:02:00-05:00,ICAD,negative
648728.0,iCAD 8-K Shows Named Interim CEO Michael Klein Permanent Replacement,2018-12-17 16:34:00-05:00,ICAD,neutral
648729.0,iCAD Reports FDA Clearance Of ProFound AI For Digital Breast Tomosynthesis,2018-12-07 08:01:00-05:00,ICAD,neutral
648730.0,52 Biggest Movers From Friday,2018-12-03 05:42:00-05:00,ICAD,neutral
648731.0,48 Biggest Movers From Yesterday,2018-11-30 05:39:00-05:00,ICAD,neutral
648732.0,"5 Stocks To Watch For November 23, 2018",2018-11-23 05:29:00-05:00,ICAD,neutral
648733.0,iCAD S-3 Shows Registration For $25M Mixed Securities Offering,2018-11-21 16:13:00-05:00,ICAD,positive
648734.0,55 Biggest Movers From Yesterday,2018-11-14 04:06:00-05:00,ICAD,neutral
648735.0,"icad Q3 EPS $(0.08), Inline, Sales $6.192M Miss $6.59M Estimate",2018-11-13 16:10:00-05:00,ICAD,negative
648736.0,"iCAD Announces Retirement Of CEO, Ken Ferry",2018-11-09 08:54:00-05:00,ICAD,neutral
648737.0,iCAD Announces New Clinical Data on the Xoft Electronic Brachytherapy System for Early-Stage Breast Cancer Treatment; Preliminary Results Showed System Was Safe With Low Morbidity,2018-10-23 14:12:00-04:00,ICAD,negative
648738.0,iCAD Announces Clinical Results Of Its Digital Breast Tomosynthesis Cancer Detection Software; Study Demonstrated Improvements In Clinical Performance And Reading Times,2018-10-11 08:05:00-04:00,ICAD,negative
648739.0,iCAD Announces AERB Approval of Xoft System in India,2018-08-29 08:06:00-04:00,ICAD,positive
648740.0,"icad Q2 EPS $(0.06) Beats $(0.12) Estimate, Sales $6.2M Miss $6.75M Estimate",2018-08-14 16:02:00-04:00,ICAD,negative
648741.0,85 Biggest Movers From Yesterday,2018-08-09 05:15:00-04:00,ICAD,neutral
648742.0,68 Stocks Moving In Wednesday's Mid-Day Session,2018-08-08 12:30:00-04:00,ICAD,neutral
