Unnamed: 0,title,date,stock,sentiment
676740.0,"B of A Securities Maintains Buy on IPG Photonics, Raises Price Target to $200",2020-06-10 07:37:00-04:00,IPGP,positive
676741.0,Stocks That Hit 52-Week Highs On Friday,2020-06-05 10:30:00-04:00,IPGP,neutral
676742.0,"Benzinga's Top Upgrades, Downgrades For May 26, 2020",2020-05-26 09:42:00-04:00,IPGP,positive
676743.0,Raymond James Downgrades IPG Photonics to Outperform,2020-05-26 07:02:00-04:00,IPGP,neutral
676744.0,70 Biggest Movers From Yesterday,2020-05-06 05:26:00-04:00,IPGP,neutral
676745.0,51 Stocks Moving In Tuesday's Mid-Day Session,2020-05-05 12:22:00-04:00,IPGP,neutral
676746.0,"IPG Sees Q2 EPS $0.40-$0.70 vs $0.59 Est., Sales $260M-$290M vs $281.51M Est.",2020-05-05 08:04:00-04:00,IPGP,neutral
676747.0,IPG Announces $200M Buyback,2020-05-05 08:02:00-04:00,IPGP,neutral
676748.0,"IPG Photonics Q1 EPS $0.680 May Not Compare To $0.190 Estimate, Sales $249.200M Beat $236.440M Estimate",2020-05-05 08:02:00-04:00,IPGP,neutral
676749.0,10 Stocks To Buy With Low Debt And High Liquidity,2020-03-27 08:15:00-04:00,IPGP,negative
676750.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,IPGP,negative
676751.0,"Citigroup Maintains Buy on IPG Photonics, Raises Price Target to $173.8",2020-02-14 07:09:00-05:00,IPGP,neutral
676752.0,"IPG Photonics Sees Q1 EPS $0.00-$0.30, Sales $220M-$250M vs $284.29M Est.; Says Guidance Reflects Reduced EPS And Revenue Due To Coronavirus Outbreak",2020-02-13 08:06:00-05:00,IPGP,neutral
676753.0,"IPG Photonics Q4 Adj. EPS $0.91 Beats $0.8 Estimate, Sales $306.6M Beat $287.81M Estimate",2020-02-13 08:04:00-05:00,IPGP,neutral
676754.0,"Earnings Scheduled For February 13, 2020",2020-02-13 04:27:00-05:00,IPGP,neutral
676755.0,"Benzinga's Top Upgrades, Downgrades For January 29, 2020",2020-01-29 09:38:00-05:00,IPGP,positive
676756.0,"Stifel Nicolaus Downgrades IPG Photonics to Hold, Lowers Price Target to $151",2020-01-29 09:24:00-05:00,IPGP,negative
676757.0,"﻿Shares of several communication companies are trading higher, rebounding as fears of the coronavirus's impact on the economy settle. NOTE:  Although the market rebounded, there are still concerns over the spread of the virus.",2020-01-28 14:27:00-05:00,IPGP,negative
