Unnamed: 0,title,date,stock,sentiment
680923.0,Shares of several real estate companies are trading higher in sympathy with the overall market as optimism around a coronavirus vaccine increased following news from Moderna. A vaccine can allow economic activity and consumer spending to increase.,2020-05-18 12:25:00-04:00,IRT,positive
680924.0,"Independence Realty Trust Q1 FFO $0.180, Same YoY, Sales $51.156M Miss $51.980M Estimate",2020-05-06 16:53:00-04:00,IRT,positive
680925.0,"Deutsche Bank Maintains Hold on Independence Realty Trust, Lowers Price Target to $65",2020-04-16 08:48:00-04:00,IRT,positive
680926.0,Independence Realty Trust Reports Collected 89% Of Apr. Rent Receipts; Highlights Total Liquidity Position Of ~$258M,2020-04-09 08:15:00-04:00,IRT,positive
680927.0,"Citigroup Maintains Neutral on Independence Realty Trust, Lowers Price Target to $7.5",2020-04-07 10:58:00-04:00,IRT,positive
680928.0,"Stifel Upgrades Independence Realty Trust to Buy, Announces $16 Price Target",2020-03-10 05:17:00-04:00,IRT,positive
680929.0,Independence Realty Trust Prices  9M Share Common Stock Offering At $15.30/Share,2020-02-20 09:26:00-05:00,IRT,positive
680930.0,"Independence Realty Trust, Inc. Announces Public Offering of 8.5M Shares of Common Stock",2020-02-19 16:31:00-05:00,IRT,positive
680931.0,"Independence Realty Trust Q4 EPS $0.2 Beats $0.09 Estimate, Sales $51.25M Miss $52.11M Estimate; FY20 EPS $0.08-$0.11, Core FFO $0.79-$0.82",2020-02-12 16:33:00-05:00,IRT,positive
680932.0,"Independence Realty Trust Q3 Adj. FFO $0.19, Same YoY, EPS $0.05",2019-10-30 17:08:00-04:00,IRT,positive
680933.0,JMP Securities Downgrades Independence Realty Trust to Market Perform,2019-10-21 07:01:00-04:00,IRT,positive
680934.0,Independence Realty Trust Q2 EPS $0.16 Up From $0.04 YoY,2019-07-31 17:32:00-04:00,IRT,positive
680935.0,"Independence Realty Trust Q1 EPS $0.03 Misses $0.04 Estimate, FFO $0.18 Flat YoY",2019-05-01 17:12:00-04:00,IRT,positive
680936.0,"Stifel Nicolaus Initiates Coverage On Independence Realty Trust with Hold Rating, Announces $11 Price Target",2019-04-09 07:51:00-04:00,IRT,positive
680937.0,"B. Riley FBR Downgrades Independence Realty Trust to Neutral, Announces $10.50",2019-02-06 08:49:00-05:00,IRT,positive
680938.0,"CORRECTION: Capital One Initiated Coverage On Independence Realty Trust, No Price Target Was Given; Initial headline suggested a $44 price target; this was incorrect",2018-11-19 10:27:00-05:00,IRT,positive
680939.0,Compass Point Downgrades Independence Realty Trust to Neutral,2018-11-02 07:59:00-04:00,IRT,positive
680940.0,"Independence Realty Trust, Inc. Q3 EPS $0.19, Same YoY, Sales $48.644M Beat $47.81M Estimate",2018-11-01 07:22:00-04:00,IRT,positive
680941.0,Citigroup Initiates Coverage On Independence Realty Trust with Neutral Rating,2018-10-16 07:27:00-04:00,IRT,positive
680942.0,"Stocks That Will Trade Ex Dividend Thurs., Oct. 4, 2018",2018-10-03 16:55:00-04:00,IRT,neutral
680943.0,"Independence Realty Trust Reports Co.-Owned, Managed Apartment Communities In Carolinas, Georgia Operational, Did Not Suffer Any Significant Damage As A Result Of Hurricane Florence",2018-09-18 08:50:00-04:00,IRT,positive
680944.0,"Boenning & Scattergood Initiates Coverage On Independence Realty Trust with Outperform Rating, Announces $11.25 Price Target",2018-09-17 08:35:00-04:00,IRT,positive
680945.0,"Independence Realty Trust Sees FY18 EPS $0.48-$0.75, Core FFO/Share $0.74-$0.79",2018-08-02 09:37:00-04:00,IRT,positive
680946.0,"Independence Realty Trust Q2 CFFO Flat YoY, Sales $46.734M Miss $47.41M Estimate",2018-08-02 09:36:00-04:00,IRT,positive
680947.0,"Independence Realty Trust Reaffirms FY18 Outlook: EPS $0.26-$0.31, Core FFO $0.74-$0.79",2018-04-25 07:38:00-04:00,IRT,positive
680948.0,"Independence Realty Trust Q1 Core FFO $0.18, Adj. EBITDA $23M vs $19.5M In Same Qtr. Last Year",2018-04-25 07:38:00-04:00,IRT,positive
680949.0,Independence Realty Trust Reports Q4 Adj. FFO $0.18 From $0.17 YoY,2018-02-20 07:34:00-05:00,IRT,positive
