Unnamed: 0,title,date,stock,sentiment
681870.0,"Insignia Systems Q1 EPS $(0.070) Up From $(0.090) YoY, Sales $4.700M Down From $5.140M YoY",2020-05-12 16:28:00-04:00,ISIG,neutral
681871.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,ISIG,negative
681872.0,"Insignia Systems Q4 EPS $(0.04) Down From $0.04 YoY, Sales $6.318M Down From $8.117M YoY",2020-03-05 09:20:00-05:00,ISIG,neutral
681873.0,28 Communication Services Stocks Moving In Thursday's Session,2020-01-23 12:47:00-05:00,ISIG,neutral
681874.0,5 Advertising Agencies Stocks Moving In Wednesday's Session,2020-01-22 13:25:00-05:00,ISIG,neutral
681875.0,32 Communication Services Stocks Moving In Wednesday's Session,2020-01-22 12:24:00-05:00,ISIG,neutral
681876.0,36 Communication Services Stocks Moving In Tuesday's Session,2020-01-21 14:53:00-05:00,ISIG,neutral
681877.0,Stocks That Hit 52-Week Lows On Wednesday,2019-12-18 13:51:00-05:00,ISIG,negative
681878.0,Stocks That Hit 52-Week Lows On Monday,2019-11-18 13:49:00-05:00,ISIG,negative
681879.0,Insignia Systems Launches Retail Marketing Lab In Minneapolis Minnesota,2019-08-12 12:28:00-04:00,ISIG,neutral
681880.0,"Insignia Systems Q2 EPS $(0.04) Down From $0.02 YoY, Sales $5.842M Down From $8.245M YoY",2019-08-06 16:24:00-04:00,ISIG,neutral
681881.0,"Insignia Systems Reports Has Brought Suit Against News Corp., News America Marketing FSI, In-Store Services Alleging Violations Of Federal, State Antitrust, Tortious Interference Laws",2019-07-11 16:09:00-04:00,ISIG,negative
681882.0,"Insignia Systems Q4 EPS $0.04 Down From $0.05 YoY, Sales $8.1M Up From $8.091M YoY",2019-03-05 16:52:00-05:00,ISIG,neutral
681883.0,"Leading Independent Proxy Advisor ISS Recommends Insignia Systems, Inc. Shareholders Vote FOR ""Item #6, Approval of Voting Rights"" Proposed by Air T, Inc.",2018-07-05 06:05:00-04:00,ISIG,positive
681884.0,Glass Lewis Recommends Insignia Systems Vote FOR Proxy Item #6 Proposed By Air T,2018-07-02 09:20:00-04:00,ISIG,positive
681885.0,55 Biggest Movers From Yesterday,2018-05-03 04:42:00-04:00,ISIG,neutral
681886.0,43 Stocks Moving In Wednesday's Mid-Day Session,2018-05-02 13:30:00-04:00,ISIG,neutral
681887.0,42 Biggest Movers From Yesterday,2018-03-15 05:18:00-04:00,ISIG,neutral
681888.0,29 Stocks Moving In Wednesday's Mid-Day Session,2018-03-14 12:40:00-04:00,ISIG,neutral
