Unnamed: 0,title,date,stock,sentiment
686034.0,ITT Matrix Composites' HiRPM Technology Adopted Into Lockheed Martin's F-35 Lightning Program,2020-05-27 06:46:00-04:00,ITT,neutral
686035.0,"UBS Maintains Buy on ITT, Raises Price Target to $65",2020-05-08 13:18:00-04:00,ITT,neutral
686036.0,"Baird Maintains Outperform on ITT, Raises Price Target to $60",2020-05-04 08:44:00-04:00,ITT,neutral
686037.0,"Oppenheimer Maintains Outperform on ITT, Lowers Price Target to $60",2020-05-04 08:27:00-04:00,ITT,negative
686038.0,ITT: Q1 Earnings Insights,2020-05-01 07:24:00-04:00,ITT,neutral
686039.0,"ITT Q1 Adj. EPS $0.800 Beats $0.740 Estimate, Sales $663.000M Beat $627.070M Estimate",2020-05-01 06:48:00-04:00,ITT,neutral
686040.0,"Earnings Scheduled For May 1, 2020",2020-05-01 04:40:00-04:00,ITT,neutral
686041.0,"Oppenheimer Maintains Outperform on ITT, Lowers Price Target to $62",2020-04-14 08:18:00-04:00,ITT,negative
686042.0,10 Biggest Price Target Changes For Tuesday,2020-04-14 08:10:00-04:00,ITT,neutral
686043.0,"Stifel Downgrades ITT to Hold, Lowers Price Target to $52",2020-04-14 04:52:00-04:00,ITT,negative
686044.0,"DA Davidson Earlier Reiterated Buy on ITT, Lowered Price Target to $70",2020-03-27 13:31:00-04:00,ITT,negative
686045.0,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,ITT,negative
686046.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,ITT,negative
686047.0,"ITT Says As Of 12:01 a.m. ET On Mar. 13, All Of Co.'s Global Manufacturing Facilities, Including Those In Italy and China Are Operating At Or Near Normal Production Levels",2020-03-13 17:01:00-04:00,ITT,neutral
686048.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,ITT,negative
686049.0,ITT Sees FY20 Adj. EPS $3.90-$4.10 vs $3.99 Estimate,2020-02-21 06:46:00-05:00,ITT,neutral
686050.0,"ITT Q4 Adj. EPS $0.99 Beats $0.91 Estimate, Sales $719.1M Beat $717.25M Estimate",2020-02-21 06:45:00-05:00,ITT,neutral
686051.0,ITT Raises Qtr. Dividend From $0.147 To $0.169/Share,2020-02-21 06:45:00-05:00,ITT,neutral
686052.0,"8 Stocks To Watch For February 21, 2020",2020-02-21 04:55:00-05:00,ITT,neutral
686053.0,"Earnings Scheduled For February 21, 2020",2020-02-21 04:22:00-05:00,ITT,neutral
686054.0,Stocks That Hit 52-Week Highs On Friday,2019-12-27 11:27:00-05:00,ITT,neutral
686055.0,Stocks That Hit 52-Week Highs On Friday,2019-12-20 11:59:00-05:00,ITT,neutral
686056.0,"Benzinga's Top Upgrades, Downgrades For December 17, 2019",2019-12-17 11:16:00-05:00,ITT,positive
686057.0,Bank of America Downgrades ITT to Neutral,2019-12-17 10:34:00-05:00,ITT,neutral
686058.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-12 10:21:00-05:00,ITT,neutral
686059.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-11 10:49:00-05:00,ITT,neutral
686060.0,"UPDATE: Goldman Sachs On ITT Notes 'As auto production begins to stabilize, we see an opportunity particularly in MT for growth to outpace global production and remain on track to double its market share in both the US and China'",2019-12-10 10:52:00-05:00,ITT,positive
686061.0,"UPDATE: Goldman Sachs Upgrades ITT To Buy, Raises Target To $81 'predicated on the under-earning potential across all three of ITT's businesses'",2019-12-10 10:52:00-05:00,ITT,neutral
686062.0,"Benzinga's Top Upgrades, Downgrades For December 10, 2019",2019-12-10 09:47:00-05:00,ITT,positive
686063.0,"Goldman Sachs Upgrades ITT to Buy, Raises Price Target to $81",2019-12-10 06:25:00-05:00,ITT,neutral
686064.0,Stocks That Hit 52-Week Highs On Friday,2019-12-06 10:33:00-05:00,ITT,neutral
686065.0,Stocks That Hit 52-Week Highs On Wednesday,2019-11-27 10:14:00-05:00,ITT,neutral
686066.0,10 Biggest Price Target Changes For Thursday,2019-11-21 08:31:00-05:00,ITT,neutral
686067.0,"KeyBanc Maintains Overweight on ITT, Raises Price Target to $80",2019-11-21 06:06:00-05:00,ITT,negative
686068.0,"DA Davidson Maintains Buy on ITT, Raises Price Target to $80",2019-11-19 09:39:00-05:00,ITT,neutral
686069.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,ITT,neutral
686070.0,"KeyBanc Maintains Overweight on ITT, Raises Price Target to $70",2019-11-04 05:05:00-05:00,ITT,negative
686071.0,"Earnings Scheduled For November 1, 2019",2019-11-01 06:50:00-04:00,ITT,neutral
686072.0,ITT Raises FY19 Adj. EPS Guidance From $3.58-$3.68 To $3.73-$3.75 vs $3.61 Estimate,2019-11-01 06:47:00-04:00,ITT,neutral
686073.0,ITT Reports $500M Buyback,2019-11-01 06:46:00-04:00,ITT,neutral
