Unnamed: 0,title,date,stock,sentiment
711817.0,Technical Alert: Coffee Futures Higher For Third Day In A Row,2017-01-23 09:29:00-05:00,JO,positive
711818.0,Technical Alert: Coffee Futures Near Late November High,2017-01-20 09:54:00-05:00,JO,positive
711819.0,Technical Alert: Coffee Futures Flat,2017-01-17 09:29:00-05:00,JO,positive
711820.0,Technical Alert: Coffee Futures Higher For Third Day In A Row,2017-01-11 07:28:00-05:00,JO,positive
711821.0,Farms Remain A Question Mark Under A Trump Administration,2016-12-21 14:37:00-05:00,JO,neutral
711822.0,Technical Alert: Coffee Higher,2016-12-13 09:39:00-05:00,JO,positive
711823.0,Sorry Coffee Addicts: Your Habit Might Become More Expensive Very Soon,2016-09-26 12:42:00-04:00,JO,negative
711824.0,It's Time For A Cup Of JO,2016-06-20 16:11:00-04:00,JO,neutral
711825.0,Some Commodities Show Strength As Dollar Surges,2015-11-24 14:00:00-05:00,JO,positive
711826.0,What ETF Is Winning From China's Small-Cap Frenzy?,2015-05-25 12:37:00-04:00,JO,positive
711827.0,Cameroon Seeking to Triple Annual Coffee Output to 100K Tonnes over Next 5 Years -Reuters,2015-04-27 11:51:00-04:00,JO,neutral
711828.0,"Best And Worst ETFs Of The Week Amid The Hunt For NASDAQ 5,000",2015-02-28 13:07:00-05:00,JO,neutral
711829.0,The Best And Worst ETFs Of The Week Amid Fed Relief Rally,2015-01-09 16:42:00-05:00,JO,positive
711830.0,Commodity ETNs Not Crashing,2014-12-03 14:54:00-05:00,JO,neutral
711831.0,Best And Worst ETFs Of The Week Amid Crude Oil Collapse,2014-10-10 16:07:00-04:00,JO,negative
711832.0,Best And Worst ETFs Of The Week Amid New U.S. Dollar Highs,2014-10-03 15:24:00-04:00,JO,neutral
711833.0,Best And Worst ETFs Of The Week Amid Summer Send-Off,2014-08-30 13:47:00-04:00,JO,neutral
711834.0,Global Demand For Coffee Expected To Hit Record Highs: Will Prices At Starbucks Rise?,2014-08-28 15:45:00-04:00,JO,negative
711835.0,Coffee Falls 6.1%  to Lowest Close Since February 21,2014-03-20 13:47:00-04:00,JO,negative
711836.0,"Agriculture ETPs Breaking Out (JJA, WEAT, CORN, JO)",2014-03-16 15:48:00-04:00,JO,neutral
711837.0,Coffee Futures Breaking Above $200; Nearing High for the Year,2014-03-05 13:14:00-05:00,JO,neutral
711838.0,Three Unusual ETF Leaders in 2014 ,2014-02-25 16:06:00-05:00,JO,neutral
711839.0,May Coffee Futures Rise 7.5% on Dry Weather in Brazil,2014-02-18 12:04:00-05:00,JO,neutral
711840.0,"ETF Outlook for Thursday, January 9, 2014 (USO, JO, XRT, TAN)",2014-01-09 09:03:00-05:00,JO,neutral
711841.0,Coffee Futures Rise 4% on Report of Brazil Shortfall for 2014-2015 -Bloomberg,2014-01-06 14:13:00-05:00,JO,neutral
711842.0,"ETFs Scarier Than Halloween (VXX, GLDX, SCIF, JO)",2013-10-30 15:32:00-04:00,JO,neutral
711843.0,"ETFs to Watch September 25, 2013 (BJK, FAZ, YCS)",2013-09-25 06:28:00-04:00,JO,neutral
711844.0,Coffee Futures Rise 2% ,2013-09-23 11:55:00-04:00,JO,neutral
711845.0,Long Consoldiation in Coffee May be Coming to an End,2013-09-11 15:04:00-04:00,JO,neutral
711846.0,Staples ETFs Rally: Here's Why It Can Continue,2013-04-02 16:23:00-04:00,JO,neutral
711847.0,8 For '13: Commodities ETFs For 2013,2012-12-31 21:58:00-05:00,JO,neutral
711848.0,"ETFs to Watch June 25, 2012 (EZA, EWI, EUO)",2012-06-25 01:52:00-04:00,JO,neutral
711849.0,"4 Commodity ETNs Traders Should Avoid (SGG, JO, GAZ)",2012-06-13 13:33:00-04:00,JO,negative
711850.0,"Small-Cap Corner: A Coffee Correlation Conundrum? (JVA, GMCR)",2012-05-31 15:28:00-04:00,JO,neutral
711851.0,"Trouble Ahead: ETFs That Will Retest 52-Week Lows (KOL, EWJ)",2012-04-10 14:38:00-04:00,JO,negative
711852.0,"Emerging Markets: A Commodities Vs. Country Fund Examination (RSX, ECH, EZA)",2012-02-20 04:17:00-05:00,JO,neutral
711853.0,5 Commodities ETFs That Could Disappoint In 2012,2012-01-05 14:19:00-05:00,JO,negative
711854.0,Not The Way To Fight Starbucks,2012-01-03 14:44:00-05:00,JO,negative
711855.0,"Benzinga's Top ETF Decliners, December 2nd (SCO, JO, GAZ, RSX)",2011-12-02 19:58:00-05:00,JO,positive
711856.0,"ETFs to Watch October 14, 2011",2011-10-14 03:12:00-04:00,JO,neutral
711857.0,"ETFs To Watch September 19, 2011",2011-09-19 03:05:00-04:00,JO,neutral
711858.0,How Starbucks Is Brewing Profits In China,2011-09-06 13:27:00-04:00,JO,positive
711859.0,Coffee Rises in NY; Heads for Sixth Straight Gain,2011-08-30 13:33:00-04:00,JO,positive
711860.0,Coffee Futures Rise $0.036 to $2.828/Pound,2011-08-29 09:14:00-04:00,JO,neutral
711861.0,"Benzinga's Top ETF Gainers, August 17th (SGG, TMF, JO, BAL)",2011-08-17 18:18:00-04:00,JO,positive
711862.0,Caribou Coffee and Denny's to Open Near 52-Week Highs,2011-08-08 08:22:00-04:00,JO,neutral
