Unnamed: 0,title,date,stock,sentiment
722975.0,"The Daily Biotech Pulse: Sorrento Submits EUA Application For Rapid Coronavirus Test, Decision Day For Viela, Lantern Pharma IPO",2020-06-11 08:12:00-04:00,KEM,neutral
722976.0,S&P Dow Jones Indices Announces Zynex To Replace KEMET In S&P SmallCap 600,2020-06-10 17:21:00-04:00,KEM,neutral
722977.0,KEMET Reports Final Regulatory Approval For Pending Deal With Yageo,2020-06-09 16:16:00-04:00,KEM,positive
722978.0,Recap: Kemet Q4 Earnings,2020-05-14 09:08:00-04:00,KEM,neutral
722979.0,"Kemet Q4 Adj. EPS $0.370 Beats $0.170 Estimate, Sales $293.174M Beat $264.250M Estimate",2020-05-14 08:26:00-04:00,KEM,neutral
722980.0,"Earnings Scheduled For May 14, 2020",2020-05-14 05:03:00-04:00,KEM,neutral
722981.0,"Shares of several technology, semiconductor and software companies are trading higher, rebounding from Monday's crash. Stocks may also potentially be getting a boost from expectations of further stimulus proposals.",2020-03-17 11:46:00-04:00,KEM,positive
722982.0,KEMET Announces CFIUS Has Said It Will Continue Evaluation Of YAgeo-KEMET MErget,2020-03-11 08:09:00-04:00,KEM,neutral
722983.0,"MLCC, Chip Resistor Prices Set to Rise through 2020",2020-02-25 05:45:00-05:00,KEM,neutral
722984.0,KEMET Stockholders Approve Proposed Acquisition by Yageo,2020-02-20 16:31:00-05:00,KEM,neutral
722985.0,KEMET Reports ISS Recommends Shareholders Vote 'FOR' Proposed Deal With Yageo,2020-02-10 08:09:00-05:00,KEM,positive
722986.0,"Kemet Q3 Adj. EPS $0.46 Beats $0.36 Estimate, Sales $294.7M Beat $292.43M Estimate",2020-02-06 08:01:00-05:00,KEM,neutral
722987.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-21 10:39:00-05:00,KEM,neutral
722988.0,Stocks That Hit 52-Week Highs On Friday,2019-11-15 10:14:00-05:00,KEM,neutral
722989.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-14 10:09:00-05:00,KEM,neutral
722990.0,"B. Riley FBR Downgrades Kemet to Neutral, Lowers Price Target to $27.2",2019-11-13 10:12:00-05:00,KEM,negative
722991.0,Stocks That Hit 52-Week Highs On Wednesday,2019-11-13 10:12:00-05:00,KEM,neutral
722992.0,74 Biggest Movers From Yesterday,2019-11-13 04:42:00-05:00,KEM,neutral
722993.0,50 Stocks Moving In Tuesday's Mid-Day Session,2019-11-12 12:12:00-05:00,KEM,neutral
722994.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-12 10:11:00-05:00,KEM,neutral
722995.0,Kemet shares are trading higher after the company announced it will be acquired by Yageo for $27.20 per share in cash.,2019-11-12 09:07:00-05:00,KEM,positive
722996.0,7 Technology Stocks Moving In Tuesday's Pre-Market Session,2019-11-12 07:18:00-05:00,KEM,neutral
722997.0,28 Stocks Moving in Tuesday's Pre-Market Session,2019-11-12 07:15:00-05:00,KEM,neutral
722998.0,Kemet Agreed to Pay $62M to Settlement Class of Plaintiffs to Settle Antitrust Suit,2019-11-12 06:15:00-05:00,KEM,positive
722999.0,Yageo to Acquire KEMET for $27.20/Share in Cash,2019-11-12 04:19:00-05:00,KEM,neutral
723000.0,"Earnings Scheduled For November 12, 2019",2019-11-12 04:17:00-05:00,KEM,neutral
723001.0,"Kemet Q2 Adj. EPS $0.66 Misses $0.67 Estimate, Sales $327.4M Beat $325.79M Estimate",2019-11-11 17:31:00-05:00,KEM,negative
723002.0,Stocks That Hit 52-Week Highs On Monday,2019-10-21 11:06:00-04:00,KEM,neutral
723003.0,"Jim Cramer Shares His Thoughts On Nike, Huami And More",2019-10-05 09:39:00-04:00,KEM,positive
723004.0,56 Biggest Movers From Friday,2019-09-16 05:29:00-04:00,KEM,neutral
723005.0,35 Stocks Moving In Friday's Mid-Day Session,2019-09-13 12:56:00-04:00,KEM,neutral
723006.0,Kemet shares are trading higher after Stifel Nicolaus upgraded the company's stock from Hold to Buy and announced a $26 price target.,2019-09-13 10:21:00-04:00,KEM,positive
723007.0,"Stifel Nicolaus Upgrades Kemet to Buy, Announces $26 Price Target",2019-09-13 08:55:00-04:00,KEM,neutral
723008.0,"Digitimes Articles, Citing Taiwan Industry Sources, Says Demand For Passive Components Has Picked Up",2019-09-03 12:11:00-04:00,KEM,positive
723009.0,26 Stocks Moving in Monday's Pre-Market Session,2019-08-26 08:00:00-04:00,KEM,neutral
723010.0,Kemet Option Alert: Jan 17 $25 Calls Sweep (38) near the Ask: 1014 @ $0.998 vs 593 OI; Ref=$19.32,2019-08-09 12:32:00-04:00,KEM,positive
723011.0,"B. Riley FBR Maintains Buy on Kemet, Raises Price Target to $29",2019-08-02 12:18:00-04:00,KEM,neutral
723012.0,26 Technology Stocks Moving In Today's Pre-Market Session,2019-08-02 09:01:00-04:00,KEM,neutral
723013.0,100 Biggest Movers From Yesterday,2019-08-02 05:53:00-04:00,KEM,neutral
723014.0,72 Stocks Moving In Thursday's Mid-Day Session,2019-08-01 12:16:00-04:00,KEM,neutral
723015.0,Kemet shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2019-08-01 09:43:00-04:00,KEM,positive
723016.0,26 Technology Stocks Moving In Today's Pre-Market Session,2019-08-01 09:25:00-04:00,KEM,neutral
723017.0,"Kemet Q1 EPS $0.82 Beats $0.75 Estimate, Sales $345.242M Beat $343.58M Estimate",2019-08-01 08:12:00-04:00,KEM,neutral
723018.0,Q1 Earnings Outlook For Kemet,2019-07-30 14:28:00-04:00,KEM,neutral
723019.0,KEMET Reports Tantalum Capacitors No Longer Subject To Chinese Tariffs,2019-07-15 16:23:00-04:00,KEM,negative
723020.0,63 Biggest Movers From Yesterday,2019-05-17 05:05:00-04:00,KEM,neutral
723021.0,Mid-Afternoon Market Update: KEMET Jumps On Upbeat Q4 Results; EDAP Shares Plunge,2019-05-16 14:38:00-04:00,KEM,positive
723022.0,50 Stocks Moving In Thursday's Mid-Day Session,2019-05-16 12:36:00-04:00,KEM,neutral
723023.0,Mid-Day Market Update: Crude Oil Up Over 2%; Virtusa Shares Drop Following Downbeat Q4 Earnings,2019-05-16 12:18:00-04:00,KEM,negative
723024.0,Mid-Morning Market Update: Markets Open Higher; Walmart Earnings Top Expectations,2019-05-16 10:12:00-04:00,KEM,positive
723025.0,Kemet shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,2019-05-16 09:19:00-04:00,KEM,positive
