Unnamed: 0,title,date,stock,sentiment
723365.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-04 11:12:00-05:00,KEQU,negative
723366.0,"Kewaunee Scientific Q3 EPS $(0.7) Down From $(0.01) YoY, Sales $34.225M Miss $39.34M Estimate",2020-03-03 16:05:00-05:00,KEQU,negative
723367.0,Stocks That Hit 52-Week Lows On Tuesday,2020-03-03 10:47:00-05:00,KEQU,negative
723368.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,KEQU,negative
723369.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,KEQU,negative
723370.0,Stocks That Hit 52-Week Lows On Tuesday,2020-02-18 11:11:00-05:00,KEQU,negative
723371.0,Stocks That Hit 52-Week Lows On Monday,2020-02-10 10:28:00-05:00,KEQU,negative
723372.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-06 10:53:00-05:00,KEQU,negative
723373.0,Stocks That Hit 52-Week Lows On Tuesday,2020-02-04 11:05:00-05:00,KEQU,negative
723374.0,Stocks That Hit 52-Week Lows On Tuesday,2020-01-21 10:23:00-05:00,KEQU,negative
723375.0,Stocks That Hit 52-Week Lows On Friday,2020-01-17 13:27:00-05:00,KEQU,negative
723376.0,Stocks That Hit 52-Week Lows On Thursday,2020-01-16 10:32:00-05:00,KEQU,negative
723377.0,Stocks That Hit 52-Week Lows On Wednesday,2020-01-15 13:42:00-05:00,KEQU,negative
723378.0,Stocks That Hit 52-Week Lows On Monday,2019-12-16 10:33:00-05:00,KEQU,negative
723379.0,"Kewaunee Scientific Q2 EPS $(0.79) Down From $0.51 YoY, Sales $39.722M Beat $39.34M Estimate",2019-12-16 08:29:00-05:00,KEQU,neutral
723380.0,Kewaunee Suspends its Dividend,2019-12-16 08:28:00-05:00,KEQU,neutral
723381.0,"Earnings Scheduled For December 16, 2019",2019-12-16 05:40:00-05:00,KEQU,neutral
723382.0,Stocks That Hit 52-Week Lows On Friday,2019-08-23 11:08:00-04:00,KEQU,negative
723383.0,"Earnings Scheduled For June 18, 2019",2019-06-18 04:08:00-04:00,KEQU,neutral
723384.0,Kewaunee Scientific Corporation Announces Resignation Of Chief Executive And Election Of New CEO,2019-03-11 08:46:00-04:00,KEQU,negative
723385.0,84 Biggest Movers From Yesterday,2019-02-28 05:10:00-05:00,KEQU,neutral
723386.0,72 Stocks Moving In Wednesday's Mid-Day Session,2019-02-27 12:20:00-05:00,KEQU,neutral
723387.0,Kewaunee Scientific Reports Chair William Schumaker Resigned; David Rhind Named Replacement,2019-02-01 16:05:00-05:00,KEQU,negative
723388.0,45 Stocks Moving In Wednesday's Mid-Day Session,2019-01-02 12:21:00-05:00,KEQU,neutral
723389.0,50 Biggest Movers From Monday,2019-01-02 04:48:00-05:00,KEQU,neutral
723390.0,33 Stocks Moving In Monday's Mid-Day Session,2018-12-31 12:19:00-05:00,KEQU,neutral
723391.0,48 Biggest Movers From Friday,2018-12-31 05:18:00-05:00,KEQU,neutral
723392.0,26 Stocks Moving In Friday's Mid-Day Session,2018-12-28 12:43:00-05:00,KEQU,neutral
723393.0,Kewaunee Scientific Reports Chair William Shumaker Resigned; Co. Does Not Mention Possible Replacement,2018-12-13 17:33:00-05:00,KEQU,negative
723394.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 11, 2018",2018-12-12 11:47:00-05:00,KEQU,negative
723395.0,"Kewaunee Scientific Corporation Late Tuesday Reported Q2 EPS $0.51 Down From $0.62 YoY, Sales $37.278M Missed $44.91M Estimate",2018-12-06 10:05:00-05:00,KEQU,negative
723396.0,"Stocks Which Set New 52-Week Low Yesterday, Mon., Dec. 3, 2018",2018-12-04 09:21:00-05:00,KEQU,negative
723397.0,"Stocks Trading Ex Dividend For Mon., Dec. 3, 2018",2018-12-04 09:17:00-05:00,KEQU,neutral
723398.0,"Earnings Scheduled For December 4, 2018",2018-12-04 04:02:00-05:00,KEQU,neutral
723399.0,"Stocks That Will Be Trading Ex Dividend Mon., Dec. 3, 2018",2018-11-30 10:23:00-05:00,KEQU,neutral
723400.0,"Stocks Trading Ex Dividend For Mon., Sep. 10, 2018",2018-09-10 09:47:00-04:00,KEQU,neutral
723401.0,"Stocks That Will Be Trading Ex Dividend Mon., Sep. 10, 2018",2018-09-07 11:00:00-04:00,KEQU,neutral
723402.0,45 Biggest Movers From Yesterday,2018-08-30 05:38:00-04:00,KEQU,neutral
723403.0,34 Stocks Moving In Wednesday's Mid-Day Session,2018-08-29 12:30:00-04:00,KEQU,neutral
723404.0,"Kewaunee Scientific Corporation Late Tuesday Reported Q1 EPS $0.50 Misses $0.51 Estimate, Sales $42.152M Beat $36.89M Estimate",2018-08-29 08:25:00-04:00,KEQU,negative
723405.0,"Earnings Scheduled For August 28, 2018",2018-08-28 04:07:00-04:00,KEQU,neutral
723406.0,"Kewaunee Scientific Late Tuesday Reported Q4 EPS $0.52 Up From $0.51 YoY, Sales $44.508M Up From $34.579M YoY",2018-06-27 08:33:00-04:00,KEQU,neutral
723407.0,"Earnings Scheduled For June 26, 2018",2018-06-26 04:07:00-04:00,KEQU,neutral
723408.0,40 Stocks Moving In Wednesday's Mid-Day Session,2018-02-28 12:20:00-05:00,KEQU,neutral
723409.0,"Kewaunee Scientific Shares Up Nearly 3% Premarket After Co. Late Tues. Reported Q3 EPS $0.31 vs $0.13 In Same Qtr. Last Year, Net Sales $38.19M vs $30.37M YoY",2018-02-28 09:14:00-05:00,KEQU,positive
723410.0,"Kewaunee Scientific Earlier Reported Q2 EPS $0.62 From $0.54 YoY, Sales $41.47M From $36.33M YoY",2017-12-06 07:44:00-05:00,KEQU,neutral
723411.0,Kewaunee Scientific Raises Qtr. Dividend From $0.15/Share To $0.17/Share,2017-08-30 09:29:00-04:00,KEQU,neutral
723412.0,"Companies HOlding Shareholder Meetings Today Include Boot Barn, Daktronics, Enduro Royalty, Kewaunee Scientific, Oramed Pharma, Orion Energy Systems, ReneSola, Superior Industries, and World Acceptance",2017-08-30 08:56:00-04:00,KEQU,positive
