Unnamed: 0,title,date,stock,sentiment
744129.0,Kearny Financial And MSB Financial Announces Its Has Received Shareholders And Regulatory Approval For The Acquisition,2020-05-28 16:20:00-04:00,KRNY,positive
744130.0,"Kearny Financial, MSB Financial Extend Election Deadline For Deal To Jun. 15, 2020",2020-05-20 17:00:00-04:00,KRNY,positive
744131.0,Kearny Financial Q3 EPS $0.110 Down From $0.130 YoY,2020-04-29 16:25:00-04:00,KRNY,neutral
744132.0,"Benzinga's Top Upgrades, Downgrades For April 6, 2020",2020-04-06 09:31:00-04:00,KRNY,positive
744133.0,"Piper Sandler Upgrades Kearny Financial to Overweight, Lowers Price Target to $10",2020-04-06 07:54:00-04:00,KRNY,negative
744134.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,KRNY,negative
744135.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,KRNY,negative
744136.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,KRNY,negative
744137.0,Stocks That Hit 52-Week Lows On Tuesday,2020-02-25 10:22:00-05:00,KRNY,negative
744138.0,Kearny Financial Corp Raises Quarterly Dividend From $0.07 To $0.08/Share,2020-02-19 18:01:00-05:00,KRNY,neutral
744139.0,Stocks That Hit 52-Week Lows On Wednesday,2020-02-19 10:44:00-05:00,KRNY,negative
744140.0,Kearny Financial Q2 EPS $0.13 Up From $0.12 YoY,2020-01-30 16:24:00-05:00,KRNY,neutral
744141.0,"Kearny Financial Reports Merger With MSB Financial At $14.10/Share, Or $94M In Total",2019-12-18 17:35:00-05:00,KRNY,neutral
744142.0,Kearny Financial Corp Raises Quarterly Dividend From $0.05 To $0.06/Share,2019-11-20 17:00:00-05:00,KRNY,neutral
744143.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-07 10:16:00-05:00,KRNY,neutral
744144.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-05 11:12:00-05:00,KRNY,neutral
744145.0,Kearny Financial Q1 EPS $0.13 Up From $0.12 YoY,2019-10-30 17:28:00-04:00,KRNY,neutral
744146.0,Kearny Financial - Common Stock Q4 EPS $0.1 Misses $0.12 Estimate,2019-07-30 17:04:00-04:00,KRNY,negative
744147.0,Kearny Financial Q3 EPS $0.13 Beats $0.11 Estimate,2019-04-29 17:06:00-04:00,KRNY,neutral
744148.0,"Benzinga's Top Upgrades, Downgrades For April 4, 2019",2019-04-04 09:20:00-04:00,KRNY,positive
744149.0,"Keefe Bruyette & Woods Upgrades Kearny Financial to Market Perform, Raises Price Target to $12.50",2019-04-04 06:49:00-04:00,KRNY,neutral
744150.0,Kearny Financial Reports ~9.2M Share Buyback,2019-03-13 18:06:00-04:00,KRNY,positive
744151.0,Kearny Financial Corp Raises Quarterly Dividend From $0.05 To $0.06/Share,2019-02-20 18:01:00-05:00,KRNY,neutral
