Unnamed: 0,title,date,stock,sentiment
752400.0,"Benchmark Maintains Buy on Liberty Broadband, Raises Price Target to $157",2020-05-08 08:07:00-04:00,LBRDA,positive
752401.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-19 10:32:00-05:00,LBRDA,neutral
752402.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-18 11:03:00-05:00,LBRDA,neutral
752403.0,Stocks That Hit 52-Week Highs On Friday,2020-02-14 10:15:00-05:00,LBRDA,neutral
752404.0,Stocks That Hit 52-Week Highs On Monday,2020-02-03 11:44:00-05:00,LBRDA,neutral
752405.0,Stocks That Hit 52-Week Highs On Friday,2020-01-31 10:23:00-05:00,LBRDA,neutral
752406.0,Stocks That Hit 52-Week Highs On Wednesday,2020-01-15 13:14:00-05:00,LBRDA,neutral
752407.0,Stocks That Hit 52-Week Highs On Friday,2019-12-27 11:27:00-05:00,LBRDA,neutral
752408.0,Stocks That Hit 52-Week Highs On Friday,2019-12-20 11:59:00-05:00,LBRDA,neutral
752409.0,Stocks That Hit 52-Week Highs On Friday,2019-12-13 11:19:00-05:00,LBRDA,neutral
752410.0,"Deutsche Bank Maintains Buy on Liberty Broadband, Raises Price Target to $140",2019-11-13 09:34:00-05:00,LBRDA,positive
752411.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,LBRDA,neutral
752412.0,"Benchmark Maintains Buy on Liberty Broadband, Raises Price Target to $136",2019-11-04 07:05:00-05:00,LBRDA,positive
752413.0,Stocks That Hit 52-Week Highs On Friday,2019-11-01 10:31:00-04:00,LBRDA,neutral
752414.0,Stocks That Hit 52-Week Highs On Monday,2019-10-28 10:51:00-04:00,LBRDA,neutral
752415.0,"Benchmark Maintains Buy on Liberty Broadband, Raises Price Target to $134",2019-10-28 09:00:00-04:00,LBRDA,positive
752416.0,Stocks That Hit 52-Week Highs On Friday,2019-10-25 12:47:00-04:00,LBRDA,neutral
752417.0,Stocks That Hit 52-Week Highs On Thursday,2019-10-17 11:00:00-04:00,LBRDA,neutral
752418.0,Stocks That Hit 52-Week Highs On Thursday,2019-09-05 12:29:00-04:00,LBRDA,neutral
752419.0,"Deutsche Bank Maintains Buy on Liberty Broadband, Lowers Price Target to $117",2019-08-19 07:55:00-04:00,LBRDA,positive
752420.0,"Liberty Broadband shares are trading lower in sympathy with Charter Communications after the company reported weak Q2 earnings, including a loss in subscribers.",2019-07-26 10:23:00-04:00,LBRDA,positive
752421.0,"Deutsche Bank Maintains Buy on Liberty Broadband Corporation - Class A Common Stock, Raises Price Target to $118",2019-05-17 08:56:00-04:00,LBRDA,positive
752422.0,"Macquarie Downgrades Liberty Broadband to Neutral, Announces $104 Price Target",2019-04-09 08:24:00-04:00,LBRDA,positive
752423.0,"Deutsche Bank Maintains Buy on Liberty Broadband, Lowers Price Target to $101",2018-08-14 08:12:00-04:00,LBRDA,positive
752424.0,"Buckingham Maintains Buy on Liberty Broadband, Lowers Price Target to $114",2018-05-07 08:21:00-04:00,LBRDA,positive
752425.0,46 Biggest Movers From Friday,2018-04-30 06:12:00-04:00,LBRDA,neutral
752426.0,"Buckingham Initiates Coverage On Liberty Broadband with Buy Rating, Announces $119.00 Price Target",2017-12-13 08:26:00-05:00,LBRDA,positive
752427.0,"Tiger Global Liquidated ~2.2M Share Stake in Liberty Broadband, ~4M Share Stake in Liberty Interactive",2015-11-16 14:48:00-05:00,LBRDA,positive
752428.0,Liberty Broadband Reports Approval of Proposals at Co.'s Holder Meeting,2015-09-23 13:33:00-04:00,LBRDA,positive
752429.0,4 U.S. Stocks With Double Digit Gross Margin Expansion,2015-08-19 10:32:00-04:00,LBRDA,negative
752430.0,"Wunderlich's Harrigan Reiterates Buy on Liberty Broadband Following 'Excellent' Results from Charter, 'Ample Confidence' Time Warner Cable-Bright House Deals Will Pass",2015-08-04 13:54:00-04:00,LBRDA,positive
752431.0,Deutsche Bank's Big Cable TV Bet,2015-07-14 11:02:00-04:00,LBRDA,neutral
752432.0,"Deutsche Bank Initiates Coverage on Liberty Broadband at Buy, Announces $67.00 PT",2015-07-14 07:01:00-04:00,LBRDA,positive
752433.0,Telsey's Latest Update On Charter-Time Warner And What It Means For Liberty Broadband,2015-06-05 11:21:00-04:00,LBRDA,positive
752434.0,FCC Chairman Wheeler Says Commission Will Examine How American Consumers Would Benefit from Approval of Charter/Time Warner Cable/Bright House Deal -Reuters,2015-05-26 07:56:00-04:00,LBRDA,positive
752435.0,"UPDATE: Charter to Pay $100/Share in Cash, 0.5409 Shares of Charter for Each Time Warner Cable Share",2015-05-26 06:11:00-04:00,LBRDA,positive
752436.0,"UPDATE: Liberty Broadband to Buy Upon Closing of Time Warner Cable Deal, $4.3B of Newly Issued Charter Shares at $176.95/Charter Share",2015-05-26 06:09:00-04:00,LBRDA,positive
752437.0,"Time Warner Cable Shares Rise 8% Premarket Following Reports of $195/Share Cash, Stock Deal With Charter Communications",2015-05-26 05:11:00-04:00,LBRDA,positive
752438.0,DAVID FABER ‏@davidfaber Tweet: Liberty will buy $5b in new Charter equity as part of $TWC deal- sources,2015-05-25 16:42:00-04:00,LBRDA,positive
752439.0,Benzinga's Top Initiations,2015-04-17 09:23:00-04:00,LBRDA,positive
752440.0,Wunderlich Initiates Liberty Broadband At Buy,2015-04-17 07:49:00-04:00,LBRDA,positive
752441.0,"Wunderlich Initiates Coverage on Liberty Broadband at Buy, Announces $72.00 PT",2015-04-17 06:08:00-04:00,LBRDA,positive
752442.0,Benzinga's Volume Movers,2015-03-31 10:21:00-04:00,LBRDA,neutral
752443.0,Liberty Broadband-A Initiated At Buy By Pivotal Research With A PT Of $69.00,2014-12-12 06:09:00-05:00,LBRDA,positive
752444.0,13G Filing from DE Shaw on Liberty Broadband Shows 5.1% Stake,2014-11-24 16:30:00-05:00,LBRDA,positive
