Unnamed: 0,title,date,stock,sentiment
762562.0,LightInTheBox shares are trading higher after the company reported Q4 EPADS and sales are up year over year.,2020-04-22 16:41:00-04:00,LITB,positive
762563.0,"LightInTheBox Holding Q4 EPADS $(0.030) Up From $(0.370) YoY, Sales $74.720M Up From $57.539M YoY",2020-04-22 16:35:00-04:00,LITB,neutral
762564.0,"LightInTheBox Shares Unaffected Premarket Following 2 Earlier 13D Filings, Vision Knight Showed 7.9% Stake, Conner Growth Showed 10.4%",2020-03-06 09:00:00-05:00,LITB,positive
762565.0,LightInTheBox shares are trading higher after the company reported Q3 EPS and sales are up from the same quarter last year.,2019-12-10 09:19:00-05:00,LITB,positive
762566.0,LightInTheBox Sees Q4 Sales $71M-$75M,2019-12-10 06:10:00-05:00,LITB,neutral
762567.0,"LightInTheBox Holding Q3 EPS $0.15 Up From $(0.27) YoY, Sales $59.9M Up From $44.503M YoY",2019-12-10 06:10:00-05:00,LITB,neutral
762568.0,"LightInTheBox Holding Q2 EPS $(0.05) Up From $(0.14) YoY, Sales $55.443M, Same YoY",2019-09-09 07:23:00-04:00,LITB,neutral
762569.0,"CORRECTION: LightInTheBox Holding Q1 EPS $(0.21) Down From $(0.12) YoY, Sales $50.873M Miss $78.49M Estimate",2019-06-24 06:58:00-04:00,LITB,negative
762570.0,LightInTheBox Regains Compliance with NYSE Listing Requirements,2019-04-03 06:04:00-04:00,LITB,neutral
762571.0,"LightInTheBox Holding Co Q4 EPS $(0.36) Down From $(0.05) YoY, Sales $57.539M Miss $78.49M Estimate",2019-03-29 07:54:00-04:00,LITB,negative
762572.0,LightInTheBox Announces Wenyu Liu Acting CFO,2019-03-11 06:53:00-04:00,LITB,neutral
762573.0,"Stocks Which Set New 52-Week Low The Last Trading Session, Fri., Dec. 7, 2018",2018-12-10 11:01:00-05:00,LITB,negative
762574.0,LightInTheBox Reports Resignation Of CEO Mr. Zhiping Qi; Jian He Appointed CeOP,2018-11-16 07:55:00-05:00,LITB,negative
762575.0,LightInTheBox To Acquire Leading Southeast Asian Cross-Border E-commerce Platform Ezbuy For $85.55M,2018-11-08 08:28:00-05:00,LITB,neutral
762576.0,LightInTheBox Receives Continued Listing Standard Notice From NYSE Due To Average Closing Price Of Co.'s ADSs Being Less Than $1 Over A Consecutive 30-Day Period; Co. Has Six Months To Regain Compliance,2018-10-30 06:06:00-04:00,LITB,neutral
762577.0,"Stocks Which Set New 52-Week Low Yesterday, September 20th",2018-09-21 08:19:00-04:00,LITB,negative
762578.0,"LightInTheBox Holding Co Q2 EPS $0.14 Up From $(0.03) YoY, Sales $55.4M Miss $78.49M Estimate",2018-09-20 06:02:00-04:00,LITB,negative
762579.0,"Stocks Which Set New 52-Week Low Yesterday, September 17th",2018-09-18 09:27:00-04:00,LITB,negative
762580.0,"Stocks Which Set New 52-Week Low Yesterday, September 5th",2018-09-06 08:49:00-04:00,LITB,negative
762581.0,"Stocks Which Set New 52-Week Low Yesterday, September 4th",2018-09-05 10:26:00-04:00,LITB,negative
762582.0,"LightInTheBox Reports Q1 Loss Per ADS $(0.12) vs $(0.03) In Same Qtr. Last Year, Sales $70.1M vs $72.7M YoY",2018-06-29 16:06:00-04:00,LITB,negative
762583.0,LightInTheBox Shares Up 11.1% Premarket After Co. Reported Partnership With CyberMiles For Launch Of Cryptocurrency Rebate Promotional Campaign,2018-06-05 09:29:00-04:00,LITB,positive
762584.0,LightInTheBox Reports Partnership With CyberMiles For Launch Of Cryptocurrency Rebate Promotional Campaign,2018-06-05 09:08:00-04:00,LITB,neutral
762585.0,LightInTheBox Reports Launch Of Cash On Delivery In India,2018-05-16 08:40:00-04:00,LITB,neutral
762586.0,LightInTheBox Reports Strategic North American Distribution Deal With Xiaomi,2018-04-04 08:06:00-04:00,LITB,neutral
