Unnamed: 0,title,date,stock,sentiment
769913.0,96 Biggest Movers From Friday,2020-05-11 05:14:00-04:00,LMNX,neutral
769914.0,70 Stocks Moving In Friday's Mid-Day Session,2020-05-08 12:43:00-04:00,LMNX,neutral
769915.0,Stocks That Hit 52-Week Highs On Tuesday,2020-05-05 10:48:00-04:00,LMNX,neutral
769916.0,Luminex Sees Q2 At Or Above $105M; Says Is Confident Will Beat Top End Of FY20 Current Guidance Range,2020-05-04 16:08:00-04:00,LMNX,positive
769917.0,"Luminex Q1 EPS $0.010 Beats $(0.030) Estimate, Sales $90.424M Beat $82.300M Estimate",2020-05-04 16:07:00-04:00,LMNX,neutral
769918.0,20 Healthcare Stocks Moving In Friday's Pre-Market Session,2020-05-01 07:42:00-04:00,LMNX,neutral
769919.0,Stocks That Hit 52-Week Highs On Tuesday,2020-04-28 10:18:00-04:00,LMNX,neutral
769920.0,Stocks That Hit 52-Week Highs On Monday,2020-04-27 10:21:00-04:00,LMNX,neutral
769921.0,Stocks That Hit 52-Week Highs On Thursday,2020-04-23 10:41:00-04:00,LMNX,neutral
769922.0,Stocks That Hit 52-Week Highs On Tuesday,2020-04-21 10:30:00-04:00,LMNX,neutral
769923.0,Stocks That Hit 52-Week Highs On Monday,2020-04-20 10:25:00-04:00,LMNX,neutral
769924.0,Stocks That Hit 52-Week Highs On Friday,2020-04-17 10:19:00-04:00,LMNX,neutral
769925.0,Stocks That Hit 52-Week Highs On Thursday,2020-04-16 10:19:00-04:00,LMNX,neutral
769926.0,A Peek Into The Markets: US Stock Futures Signal Higher Wall Street Open,2020-04-07 06:01:00-04:00,LMNX,neutral
769927.0,"5 Stocks To Watch For April 7, 2020",2020-04-07 04:55:00-04:00,LMNX,neutral
769928.0,Luminex shares are trading higher after the company reported it received FDA emergency use authorization for ARIES SARS-CoV-2 assay to detect virus responsible for COVID-19 disease. The company sees Q1 sales just over $90 million vs $83.3 million est.,2020-04-06 16:44:00-04:00,LMNX,positive
769929.0,Luminex shares are trading higher after the company reported it received FDA emergency use authorization for ARIES SARS-CoV-2 assay to detect virus responsible for COVID-19 disease. The company sees Q1 sales just over $90 million vs $83.3 million est.,2020-04-06 16:44:00-04:00,LMNX,positive
769930.0,Luminex Sees Q1 Sales Just Over $90M vs $83.3M Estimate,2020-04-06 16:30:00-04:00,LMNX,neutral
769931.0,Luminex Receives FDA Emergency Use Authorization for ARIES SARS-CoV-2 Assay to Detect Virus Responsible for COVID-19 Disease,2020-04-06 07:31:00-04:00,LMNX,negative
769932.0,"Luminex Receives BARDA Contract To Support Development Of Second, Rapid Coronavirus Test",2020-03-31 07:35:00-04:00,LMNX,positive
769933.0,A Peek Into The Markets: US Stock Futures Edge Higher; Crude Oil Tumbles Over 5%,2020-03-30 06:24:00-04:00,LMNX,negative
769934.0,"5 Stocks To Watch For March 30, 2020",2020-03-30 04:50:00-04:00,LMNX,neutral
769935.0,Luminex Receives FDA Emergency Use Authorization For NxTAG CoV Extended Panel To Detect Coronavirus,2020-03-27 16:05:00-04:00,LMNX,negative
769936.0,Luminex Highlights 4 Independent Labs Report Data From Evaluation Of ARIES System For Coronavirus Test,2020-03-13 07:31:00-04:00,LMNX,neutral
769937.0,Stocks That Hit 52-Week Highs On Wednesday,2020-03-04 10:24:00-05:00,LMNX,neutral
