Unnamed: 0,title,date,stock,sentiment
786562.0,"Shares of several airline companies are trading lower following weak guidance from Delta as well as concerns over a second wave of the coronavirus, which would further hamper travel demand.",2020-06-11 10:02:00-04:00,LUV,negative
786563.0,International Air Travel On U.S. Airlines Fell 99% In April,2020-06-10 11:21:00-04:00,LUV,neutral
786564.0,Shares of several airline companies are trading lower after Delta said it said it expects Q2 sales to be down 90% year over year with systemwide capacity down 85%. The sector is also potentially selling off following recent rally amid US states reopening.,2020-06-10 10:40:00-04:00,LUV,neutral
786565.0,'Sec Mnuchin will add that Treasury has approved $27 Billion for about 500 airlines to keep people in jobs and support the industry' -Tweet From Fox's Ed Lawrence,2020-06-10 08:58:00-04:00,LUV,positive
786566.0,20 Industrials Stocks Moving In Wednesday's Pre-Market Session,2020-06-10 07:33:00-04:00,LUV,neutral
786567.0,"Coronavirus Squeezes Boeing Hard, Deliveries Shrink To Four In May",2020-06-10 03:19:00-04:00,LUV,negative
786568.0,Shares of several airline companies are trading lower as equities sell-off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up.,2020-06-09 10:42:00-04:00,LUV,positive
786569.0,Travel Stocks Lose Momentum In Pre-Market After Leading Yesterday's Sharp Rally,2020-06-09 09:49:00-04:00,LUV,negative
786570.0,"Int'l. Air Transport Association Says Airlines Need To Raise More Equity To Meet Obligations, Alternative Outcome Is A Surge In Airline Bankruptcies",2020-06-09 08:42:00-04:00,LUV,neutral
786571.0,The IMX Rebounds In May In Tandem With The Market,2020-06-08 14:08:00-04:00,LUV,neutral
786572.0,Investor Movement Index Summary: May 2020,2020-06-08 12:47:00-04:00,LUV,neutral
786573.0,"Shares of several airlines companies are trading higher on continued optimism amid the reopening of the economy, which would increase consumer spending and travel demand.",2020-06-08 10:19:00-04:00,LUV,positive
786574.0,Airlines Expect Shrinkage In Operations Even After $25B Stimulus,2020-06-08 05:36:00-04:00,LUV,neutral
786575.0,Trump To Buffett: 'Should Have Kept The Airline Stocks',2020-06-05 12:00:00-04:00,LUV,neutral
786576.0,"Trump Says Investors Should Have Kept Airline Stocks, Believes Economic Projections Were A Mistake",2020-06-05 10:48:00-04:00,LUV,negative
786577.0,"Airlines, Casino Stocks Getting A Lift In Pre-Market Trading as Surprising Jobs Report Gets Digested",2020-06-05 10:43:00-04:00,LUV,positive
786578.0,Shares of several airline companies are trading higher on continued momentum after American Airlines on Thursday indicated it would add back flights in July.,2020-06-05 08:42:00-04:00,LUV,positive
786579.0,"Barry Diller Discusses Air Circulation On Airplanes, Believes It Is Safe Environment; Says People Need To Reasses Risk Profile",2020-06-05 07:58:00-04:00,LUV,positive
786580.0,US Airlines Raise Objection To China's Once A Week Flight Limit,2020-06-04 17:24:00-04:00,LUV,neutral
786581.0,Shares of several airline companies are trading higher amid positive sentiment in the sector after Americal Airlines said it will boost its US flight schedule next month and plans to fly more than 55% of July domestic capacity.,2020-06-04 10:03:00-04:00,LUV,positive
786582.0,Warren Buffett's Berkshire Hathaway Boosts Liberty SiriusXM Stake,2020-06-04 09:40:00-04:00,LUV,positive
786583.0,Shares of several airline companies are trading higher as equities continue to gain on optimism over the economy reopening which could potentially increase travel demand as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 10:09:00-04:00,LUV,positive
786584.0,Southwest Airlines Option Alert: Dec 18 $25 Calls Sweep (52) near the Ask: 1011 @ $12.2 vs 1172 OI; Earnings 7/23 Before Open [est] Ref=$34.475,2020-06-02 14:59:00-04:00,LUV,positive
786585.0,Airlines Fight To Exit 'Intensive Care',2020-06-02 11:28:00-04:00,LUV,positive
786586.0,"Changes Are Coming For Airline ETF, Slight Reduction In Dependence on Top 4 US Carriers",2020-06-01 15:40:00-04:00,LUV,positive
786587.0,"Here's How Much Investing $1,000 In Southwest Airlines Stock Back In 2010 Would Be Worth Today",2020-06-01 12:31:00-04:00,LUV,positive
786588.0,"Shares of several airline companies trading higher on continued strength amid a pickup in economic activity, which has led to hopes of a rebound in air travel demand.",2020-06-01 10:43:00-04:00,LUV,positive
786589.0,"Southwest Air Says Revenue Trends Better, But Still Very Weak; CEO Says Revenue Down 80%-85% From A Year Ago; Company Gives Workers Details Of Exit, Time-Off Offers",2020-06-01 09:27:00-04:00,LUV,negative
786590.0,"Barron's Picks And Pans: Cheniere Energy, Delta Air Lines, Extended Stay And More",2020-05-31 08:20:00-04:00,LUV,positive
786591.0,"Southwest Air Extends Its Published Flight Schedule Through Jan. 4, 2021",2020-05-28 11:02:00-04:00,LUV,positive
786592.0,"Southwest Airlines Extends Published Flight Schedule Through Jan. 4, 2021",2020-05-28 11:02:00-04:00,LUV,positive
786593.0,"Southwest Airlines implements Sabre solutions for accurate, real-time revenue insights",2020-05-27 08:36:00-04:00,LUV,positive
786594.0,11 Industrials Stocks Moving In Wednesday's Pre-Market Session,2020-05-27 07:38:00-04:00,LUV,neutral
786595.0,Southwest Airlines Option Alert: Sep 18 $50 Calls Sweep (2) near the Ask: 450 @ $0.485 vs 2406 OI; Earnings 7/23 Before Open [est] Ref=$32.16,2020-05-26 13:00:00-04:00,LUV,positive
786596.0,Biotech Shares In Focus As Encouraging Vaccine News Leads Broad Market Rally,2020-05-26 10:10:00-04:00,LUV,positive
786597.0,"UBS Upgrades Southwest Airlines to Buy, Raises Price Target of $41",2020-05-26 09:45:00-04:00,LUV,neutral
786598.0,Shares of several airline companies are trading higher amid vaccine hopes after Novavax announced it has begun its Phase 1 trial of its coronavirus vaccine candidate. The travel sector has been heavily impacted by the pandemic and a successful vaccine could mean a safe resumption of travel.,2020-05-26 06:14:00-04:00,LUV,positive
786599.0,"Barron's Picks And Pans: Dropbox, Slack, Starbucks And More",2020-05-23 13:16:00-04:00,LUV,neutral
786600.0,Southwest Airlines Option Alert: Sep 18 $45 Calls Sweep (15) near the midpoint: 2824 @ $0.474 vs 2122 OI; Ref=$28.605; Sep 18 $35 Calls Sweep (15) above Ask!: 2824 @ $2.098 vs 3507 OI; Ref=$28.605,2020-05-22 10:43:00-04:00,LUV,positive
786601.0,"As The Global Economy Weighs Fears Of A Recession, Travel Is Already In A Depression",2020-05-21 12:44:00-04:00,LUV,negative
786602.0,"Southwest Air To Return To Inlight Snacks, Water On Some Flights As Of May 22",2020-05-21 12:00:00-04:00,LUV,neutral
786603.0,Southwest CEO: No Plans To Close Any Locations; Company Has Reduced Total Expenses By $6B,2020-05-21 11:36:00-04:00,LUV,negative
786604.0,"Southwest CEO Says Limiting Bookings On Flights To Allow Social Distancing Through At Least July, Will Add More Flights To Meet Extra Demand",2020-05-21 11:31:00-04:00,LUV,positive
786605.0,Shares of several airline companies are trading higher despite market weakness. Strength potentially related to optimism towards a travel demand rebound and positive Wednesday comments from Delta's CEO.,2020-05-21 10:54:00-04:00,LUV,positive
786606.0,Climate Change: Up And Down Pattern Continues As Week Advances And Powell Awaited,2020-05-21 09:44:00-04:00,LUV,neutral
786607.0,Senior Treasury Official Says Could Be An Announcement Related To Disbursement Of Airline Bailout Money As Early As Next Week,2020-05-20 15:19:00-04:00,LUV,positive
786608.0,"Shares of several airline companies are trading higher, potentially amid optimism towards a pickup in passenger travel. Delta's CEO expressed confidence that travel will return in the next 12-18 months and expects to add more planes in June an July.",2020-05-20 10:51:00-04:00,LUV,positive
786609.0,'India to resume domestic flight operations' -Air Live Report,2020-05-20 08:37:00-04:00,LUV,neutral
786610.0,"Southwest, United Start To See Signs Of Relief For Airline Industry",2020-05-19 14:29:00-04:00,LUV,positive
