Unnamed: 0,title,date,stock,sentiment
794151.0,"Shares of several technology companies are trading lower, selling off from Wednesday strength as an increase in coronavirus cases in some US states has led to concerns of a second wave of the virus.",2020-06-11 10:25:00-04:00,MA,positive
794152.0,"FTC Bans Madera Merchant Services LLC, B&P Enterprises LLC and Owners Bruce C. Woods and Patricia Woods",2020-06-09 13:09:00-04:00,MA,neutral
794153.0,Price Over Earnings Overview: Mastercard,2020-06-09 11:10:00-04:00,MA,neutral
794154.0,Citi Becomes First Issuer in U.S. to Enable Push Provisioning to Mastercard's Click to Pay.,2020-06-09 05:26:00-04:00,MA,negative
794155.0,Shares of several companies in the broader technology space are trading higher as markets rally following strong US jobs data.,2020-06-05 11:47:00-04:00,MA,positive
794156.0,Shares of several companies in the broader technology sector are trading higher as markets rally following strong US jobs data.,2020-06-05 11:08:00-04:00,MA,positive
794157.0,A Look Into Mastercard's Price Over Earnings,2020-06-05 11:00:00-04:00,MA,neutral
794158.0,"Friday's Market Minute: Nasdaq's Top Performers: TSLA, REGN, PYPL",2020-06-05 09:29:00-04:00,MA,positive
794159.0,Shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:12:00-04:00,MA,positive
794160.0,Mastercard Employees Can Work From Home Until Pandemic Is Under Control,2020-05-21 05:54:00-04:00,MA,neutral
794161.0,"Shares of several technology companies are trading higher as equities gain amid strength in oil, strong earnings from Lowe's, and optimism towards a US economic rebound.",2020-05-20 10:19:00-04:00,MA,positive
794162.0,Singapore State Investor Temasek Joins Facebook's Libra Cryptocurrency Project,2020-05-15 07:02:00-04:00,MA,neutral
794163.0,Temasek Holdings 13F Shows Raised Stake In Mastercard From ~1.54M Shares Last Qtr. To ~2.26M Shares,2020-05-15 06:49:00-04:00,MA,positive
794164.0,"The French Open Could Still Happen, Just Behind Closed Doors",2020-05-14 11:22:00-04:00,MA,neutral
794165.0,"Mastercard Offers Credit Card Volumes For Weeks Ended Apr. 28, May 7",2020-05-13 17:17:00-04:00,MA,positive
794166.0,"Exclusive: Cannabis Marketplace Company Dutchie Launches Digital, Contactless Payments Nationally",2020-05-13 07:00:00-04:00,MA,positive
794167.0,Jumia & Mastercard Incentivizes Customers To Use Cashless Payments For Essential Products In Africa,2020-05-11 09:29:00-04:00,MA,neutral
794168.0,"Shares of several financial companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-05-07 10:52:00-04:00,MA,positive
794169.0,"Cramer Gives His Opinion On Tandem Diabetes, JPMorgan And More",2020-05-06 07:15:00-04:00,MA,neutral
794170.0,Shares of several global financial services are trading higher amid positive investor sentiment as some US states begin to reopen their economies and as oil prices gain for the session.,2020-05-05 10:38:00-04:00,MA,positive
794171.0,"Cramer Shares His Thoughts On Nokia, Intel And More",2020-05-05 10:08:00-04:00,MA,positive
794172.0,"UBS Maintains Buy on Mastercard, Lowers Price Target to $315",2020-05-01 12:28:00-04:00,MA,negative
794173.0,"Morgan Stanley Maintains Overweight on Mastercard, Raises Price Target to $311",2020-05-01 08:19:00-04:00,MA,negative
794174.0,"SunTrust Robinson Humphrey Maintains Buy on Mastercard, Raises Price Target to $330",2020-04-30 12:19:00-04:00,MA,neutral
794175.0,"Susquehanna Maintains Positive on Mastercard, Lowers Price Target to $330",2020-04-30 10:51:00-04:00,MA,positive
794176.0,"BMO Capital Maintains Outperform on Mastercard, Lowers Price Target to $332",2020-04-30 10:39:00-04:00,MA,negative
794177.0,"Citigroup Maintains Buy on Mastercard, Raises Price Target to $317",2020-04-30 09:41:00-04:00,MA,neutral
794178.0,"Raymond James Maintains Outperform on Mastercard, Raises Price Target to $301",2020-04-30 08:20:00-04:00,MA,neutral
794179.0,10 Biggest Price Target Changes For Thursday,2020-04-30 08:11:00-04:00,MA,neutral
794180.0,"KeyBanc Maintains Overweight on Mastercard, Raises Price Target to $300",2020-04-30 06:20:00-04:00,MA,negative
794181.0,Mastercard shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-04-29 08:19:00-04:00,MA,positive
794182.0,"Mastercard Q1 Adj. EPS $1.830 Beats $1.730 Estimate, Sales $4.009B Beat $3.970B Estimate",2020-04-29 08:01:00-04:00,MA,neutral
794183.0,"Earnings Scheduled For April 29, 2020",2020-04-29 04:50:00-04:00,MA,neutral
794184.0,"10 Stocks To Watch For April 29, 2020",2020-04-29 04:09:00-04:00,MA,neutral
794185.0,"Wedbush Maintains Outperform on Mastercard, Raises Price Target to $300",2020-04-27 09:56:00-04:00,MA,neutral
794186.0,Shares of several global financial services companies are trading higher as oil prices potentially stabilize following recent crash.,2020-04-22 09:56:00-04:00,MA,negative
794187.0,Shares of several global financial services companies are trading lower as equities fall amid a decline in US oil prices. The drop in oil has raised concerns over the economic impact of the coronavirus pandemic.,2020-04-20 09:43:00-04:00,MA,negative
794188.0,"Tech Investor Turns Bearish On Visa, Mastercard",2020-04-18 16:37:00-04:00,MA,neutral
794189.0,Morning Market Stats in 5 Minutes,2020-04-17 10:22:00-04:00,MA,neutral
794190.0,"Shares of several financial services companies are trading higher as equities gain amid a report suggesting Gilead Sciences' Remdesivir drug showed some effectiveness in treating the coronavirus. This has raised hopes of a sooner return to spending, economic activity, and investment.",2020-04-17 07:54:00-04:00,MA,positive
794191.0,P/E Ratio Insights for Mastercard,2020-04-16 10:48:00-04:00,MA,neutral
794192.0,Morning Market Stats in 5 Minutes,2020-04-16 10:21:00-04:00,MA,neutral
794193.0,"Why Johnson & Johnson Inspires Cramer's Bullishness On Disney, Visa, Mastercard",2020-04-16 10:19:00-04:00,MA,positive
794194.0,Shares of several financial services companies are trading lower amid mixed bank earnings this week. Morgan Stanley today reported worse-than-expected Q1 results.,2020-04-16 10:01:00-04:00,MA,neutral
794195.0,"Benzinga's Top Upgrades, Downgrades For April 16, 2020",2020-04-16 09:34:00-04:00,MA,positive
794196.0,Guggenheim Downgrades Mastercard to Neutral,2020-04-16 07:22:00-04:00,MA,neutral
794197.0,Every Member Of Trump's 'Great American Economic Revival' Industry Groups,2020-04-15 13:09:00-04:00,MA,positive
794198.0,"Benzinga's Top Upgrades, Downgrades For April 15, 2020",2020-04-15 09:39:00-04:00,MA,positive
794199.0,Shares of several banks and financial services companies are trading lower after major US banks reporter mixed quarterly earnings. Overall market weakness also being driven by a drop in US March retail sales and a decline in oil prices.,2020-04-15 09:09:00-04:00,MA,negative
794200.0,Mastercard shares are trading lower after analysts at Jefferies downgraded the stock from Buy to Hold and lowered its price target to $275.,2020-04-15 08:44:00-04:00,MA,negative
794201.0,10 Biggest Price Target Changes For Wednesday,2020-04-15 08:35:00-04:00,MA,neutral
794202.0,"Jefferies Downgrades Mastercard to Hold, Lowers Price Target to $275",2020-04-15 05:53:00-04:00,MA,negative
794203.0,"Shares of several global financial services companies are trading higher as markets gain on positive coronavirus outlook. Optimism surrounding the virus has led to hopes of an upcoming return to economic activity, which would benefit the sector.",2020-04-14 10:43:00-04:00,MA,positive
794204.0,Morning Market Stats in 5 Minutes,2020-04-14 10:31:00-04:00,MA,neutral
794205.0,Shares of several global financial services companies are trading lower amid continued uncertainty around the coronavirus. The pandemic has slowed spending and economic activity which in turn hurts the financial sector.,2020-04-13 10:35:00-04:00,MA,negative
794206.0,Morning Market Stats in 5 Minutes,2020-04-13 10:33:00-04:00,MA,neutral
794207.0,"Nomura Maintains Buy on Mastercard, Lowers Price Target to $334",2020-04-09 10:44:00-04:00,MA,negative
794208.0,"Citigroup Maintains Buy on Mastercard, Raises Price Target to $298",2020-04-09 09:05:00-04:00,MA,neutral
794209.0,"Shares of several financial services companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",2020-04-08 10:17:00-04:00,MA,positive
794210.0,"Morgan Stanley Maintains Overweight on Mastercard, Raises Price Target to $286",2020-04-08 08:48:00-04:00,MA,negative
794211.0,"White House official says bankers expected to speak with Trump about small business this afternoon include CEOs of Visa, Mastercard, BofA, Goldman, JPMorgan, Citi, Wells Fargo...Southern Bancorp'",2020-04-07 10:53:00-04:00,MA,positive
794212.0,"Shares of several financial services companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",2020-04-07 06:30:00-04:00,MA,positive
794213.0,Shares of several financial services stocks are trading higher with the broader market on optimism that coronavirus cases in several US hotspots appear to be reaching their peak and global oil producers appear to be working toward production cooperation.,2020-04-06 08:45:00-04:00,MA,positive
794214.0,Roland Garros Is Giving Us Hope – Shall We Dare to Dream?,2020-04-03 12:45:00-04:00,MA,positive
