Unnamed: 0,title,date,stock,sentiment
807247.0,"Marchex Q1 EPS $(0.100) Misses $(0.030) Estimate, Sales $24.800M Beat $23.310M Estimate",2020-05-11 16:46:00-04:00,MCHX,negative
807248.0,"Marchex Withdraws Q1 Guidance, Cites Impact From Coronavirus",2020-03-24 16:05:00-04:00,MCHX,neutral
807249.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,MCHX,negative
807250.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,MCHX,negative
807251.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,MCHX,negative
807252.0,Stocks That Hit 52-Week Lows On Tuesday,2020-03-10 10:37:00-04:00,MCHX,negative
807253.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,MCHX,negative
807254.0,77 Biggest Movers From Yesterday,2020-02-14 04:59:00-05:00,MCHX,neutral
807255.0,Mid-Afternoon Market Update: NASDAQ Turns Positive; Redfin Shares Gain On Narrower-Than-Expected Loss,2020-02-13 14:45:00-05:00,MCHX,positive
807256.0,58 Stocks Moving In Thursday's Mid-Day Session,2020-02-13 12:22:00-05:00,MCHX,neutral
807257.0,Mid-Day Market Update: Kelly Services Gains Following Strong Q4 Earnings; Marchex Shares Plunge,2020-02-13 12:06:00-05:00,MCHX,positive
807258.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-13 11:04:00-05:00,MCHX,negative
807259.0,Mid-Morning Market Update: Markets Open Lower; PepsiCo Tops Q4 Views,2020-02-13 10:24:00-05:00,MCHX,positive
807260.0,Marchex Sees Q1 Sales ~$25M vs $26.7M Estimate,2020-02-12 17:29:00-05:00,MCHX,neutral
807261.0,"Marchex Sees Q1 Core Analytics, Solutions Sales ~$12.8M",2020-02-12 16:46:00-05:00,MCHX,positive
807262.0,"Marchex Q4 EPS $0.01 Down From $0.02 YoY, Sales $28.591M Beat $25.99M Estimate",2020-02-12 16:46:00-05:00,MCHX,neutral
807263.0,64 Biggest Movers From Yesterday,2019-12-19 05:03:00-05:00,MCHX,neutral
807264.0,"Marchex Acquires Sonar Technologies, Inc. For $12.5M In Cash And Stock",2019-12-17 16:12:00-05:00,MCHX,neutral
807265.0,Marchex S-3 Shows Registration For ~849K Share Common Stock Offering,2019-12-12 16:21:00-05:00,MCHX,positive
807266.0,94 Biggest Movers From Yesterday,2019-11-08 06:01:00-05:00,MCHX,neutral
807267.0,Mid-Day Market Update: Crude Oil Up Over 2%; Party City Shares Fall After Downbeat Q3 Results,2019-11-07 12:34:00-05:00,MCHX,positive
807268.0,75 Stocks Moving In Thursday's Mid-Day Session,2019-11-07 12:19:00-05:00,MCHX,neutral
807269.0,"Marchex Q3 EPS $(0.01) Up From $(0.03) YoY, Sales $24.8M Beat $24.05M Estimate",2019-11-06 16:51:00-05:00,MCHX,neutral
807270.0,"Marchex Sees Q3 Sales Of $24M, Sees Income Loss Of ($3M), Sees Adjusted EBITDA Of $500k",2019-08-07 16:55:00-04:00,MCHX,negative
807271.0,"Marchex Q2 EPS $0.01, Sales $26.341M Beat $25.01M Estimate",2019-08-07 16:51:00-04:00,MCHX,neutral
807272.0,80 Biggest Movers From Friday,2019-05-06 05:54:00-04:00,MCHX,neutral
807273.0,58 Stocks Moving In Friday's Mid-Day Session,2019-05-03 14:25:00-04:00,MCHX,neutral
807274.0,Marchex Sees Q2 Sales $25M+ vs $24.43M Est.,2019-05-02 17:49:00-04:00,MCHX,neutral
807275.0,"Marchex Q1 Adj. EPS $0.01, Sales $26.406M Beat $24.99M Estimate",2019-05-02 17:49:00-04:00,MCHX,neutral
807276.0,"Marchex Q4 Adj. EPS $0.01, Inline, Sales $21.85M Miss $22.57M Estimate",2019-02-13 17:31:00-05:00,MCHX,negative
807277.0,"Roth Capital Upgrades Marchex On Improving Fundamentals, Compelling Valuation",2019-01-28 13:25:00-05:00,MCHX,positive
807278.0,10 Biggest Price Target Changes For Monday,2019-01-28 09:54:00-05:00,MCHX,neutral
807279.0,"Benzinga's Top Upgrades, Downgrades For January 28, 2019",2019-01-28 09:07:00-05:00,MCHX,positive
807280.0,"Roth Capital Upgrades Marchex to Buy, Raises Price Target to $7",2019-01-28 06:40:00-05:00,MCHX,neutral
807281.0,"Stocks Which Set New 52-Week High Yesterday, Wed., Jan. 23, 2019",2019-01-24 10:05:00-05:00,MCHX,neutral
807282.0,Marchex Acquires Call-Monitoring Company Callcap For $35M In Cash And Stock,2018-11-26 16:04:00-05:00,MCHX,neutral
807283.0,"Marchex, Inc. Sees Q4 Sales $22M OR Greater vs $19.86M Est.",2018-11-05 16:24:00-05:00,MCHX,positive
807284.0,"Marchex, Inc. Q3 Adj. EPS $0.00 Beats $(0.01) Est., Sales $22.05M Beat $19.71M Estimate",2018-11-05 16:23:00-05:00,MCHX,neutral
807285.0,Marchex Acquires Telmetrics For Consideration Of Up To $13.1M In Cash,2018-11-05 16:04:00-05:00,MCHX,neutral
807286.0,13D Filing Shows Harbert Discovery Fund Reporting 5.2% Stake In Marchex,2018-08-29 17:34:00-04:00,MCHX,neutral
807287.0,Marchex shares are trading 13% higher after falling 10% premarket on the company's quarterly earnings report.,2018-08-02 10:22:00-04:00,MCHX,positive
807288.0,Marchex Sees Q3 Sales $19.5-$21M vs $20.55M Est.,2018-08-01 16:57:00-04:00,MCHX,neutral
807289.0,"Marchex Q2 Sales $20.218M Beat $19.6M Estimate, EPS $0.00 Beat $(0.01) Est.",2018-08-01 16:57:00-04:00,MCHX,neutral
807290.0,Marchex Option Alert: Dec 21 $2.5 Puts at the Bid: 3000 @ $0.15 vs 0 OI; Earnings 8/1 After Close [est] Ref=$2.66,2018-06-08 10:44:00-04:00,MCHX,positive
807291.0,Marches Shares Down 5.7% After Co. Lowered Q2 Sales Outlook,2018-05-29 16:43:00-04:00,MCHX,positive
807292.0,Marchex Lowers Q2 Sales Outlook From $21M Or More To $19.5M-$21M vs $21.4M Est.,2018-05-29 16:07:00-04:00,MCHX,negative
807293.0,"Needham Emerging Tech Conference Concludes Today, Presenters Include: Leaf Group, Marchex, Monotype Imaging, Care.com, Tyler Technologies, Cimpress, and j2 Global",2018-05-16 07:04:00-04:00,MCHX,neutral
807294.0,Marchex Sees Q2 Sales $21.0M vs $21.10M Est,2018-05-03 16:51:00-04:00,MCHX,neutral
807295.0,"Marchex Q1 Adj. EPS $0.00 Beats $(0.01) Est., Sales $21.896M Beat $21.1M Estimate",2018-05-03 16:50:00-04:00,MCHX,neutral
807296.0,Marchex Sees Q1 Sales Of At Least $21M vs $25M Est.,2018-02-15 16:18:00-05:00,MCHX,neutral
807297.0,"Marchex Reports Q4 EPS $0.01 vs $0.00 Est., Sales $21.8M vs $21.1M Est.",2018-02-15 16:17:00-05:00,MCHX,neutral
807298.0,Marchex Reports $0.50/Share Special Dividend,2017-12-12 09:02:00-05:00,MCHX,positive
807299.0,Marchex Sees Q4 Sales ~$21M vs $20.9M Est.,2017-11-02 17:32:00-04:00,MCHX,neutral
807300.0,"Marchex Reports Q3 EPS $(0.02) vs $(0.02) Est., Sales $22.1M vs $21.1M Est.",2017-11-02 17:32:00-04:00,MCHX,neutral
807301.0,"Marchex Sees Q4 Adj. EBITDA $500K Or Better, Sales $21M Or More",2017-11-02 16:27:00-04:00,MCHX,positive
807302.0,"Marchex Reports Q3 EPS $(0.02) vs $(0.14) In Same Qtr. Last Year, Sales $22.1M",2017-11-02 16:27:00-04:00,MCHX,neutral
807303.0,Marchex Sees Q3 Sales $21M+ vs $22.5M Est.,2017-08-02 17:37:00-04:00,MCHX,neutral
