Unnamed: 0,title,date,stock,sentiment
809956.0,Why Monarch Casino & Resort's Stock Is Trading Higher Today,2020-05-27 12:28:00-04:00,MCRI,neutral
809957.0,Monarch Casino & Resort shares are trading higher after SunTrust Robinson Humphrey initiated coverage on the stock with a Buy rating and announced a price target of $50 per share.,2020-05-27 08:50:00-04:00,MCRI,positive
809958.0,"SunTrust Robinson Humphrey Initiates Coverage On Monarch Casino & Resort with Buy Rating, Announces Price Target of $50",2020-05-27 07:24:00-04:00,MCRI,neutral
809959.0,96 Biggest Movers From Yesterday,2020-04-28 04:22:00-04:00,MCRI,neutral
809960.0,72 Stocks Moving In Monday's Mid-Day Session,2020-04-27 12:34:00-04:00,MCRI,neutral
809961.0,"Stifel Upgrades Monarch Casino & Resort to Buy, Raises Price Target to $42",2020-04-27 05:17:00-04:00,MCRI,neutral
809962.0,"Monarch Casino & Resort Q1 EPS $0.110 Misses $0.290 Estimate, Sales $51.011M Miss $54.330M Estimate",2020-04-22 16:04:00-04:00,MCRI,negative
809963.0,"Shares of several companies in the travel, hotel and gaming space are trading lower as markets dip after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus pandemic.",2020-04-21 11:09:00-04:00,MCRI,negative
809964.0,Shares of several casino and resort companies are trading higher amid positive overall market sentiment on speculation that coronavirus cases in some hotspots could soon level off. A sooner recovery could mean a sooner rebound in travel demand.,2020-04-08 11:17:00-04:00,MCRI,positive
809965.0,111 Biggest Movers From Yesterday,2020-03-24 04:18:00-04:00,MCRI,neutral
809966.0,"Stifel Maintains Hold on Monarch Casino & Resort, Lowers Price Target to $35",2020-03-13 09:55:00-04:00,MCRI,negative
809967.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,MCRI,negative
809968.0,"Monarch Casino & Resort Q4 EPS $0.33 Down From $0.39 YoY, Sales $62.08M Up From $59.779M YoY",2020-03-11 16:04:00-04:00,MCRI,neutral
809969.0,Stocks That Hit 52-Week Lows On Tuesday,2020-03-10 10:37:00-04:00,MCRI,negative
809970.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,MCRI,negative
809971.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-20 10:26:00-05:00,MCRI,neutral
809972.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-18 11:03:00-05:00,MCRI,neutral
809973.0,Stocks That Hit 52-Week Highs On Thursday,2020-02-13 10:26:00-05:00,MCRI,neutral
809974.0,Stocks That Hit 52-Week Highs On Wednesday,2020-02-12 11:45:00-05:00,MCRI,neutral
809975.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-11 10:17:00-05:00,MCRI,neutral
809976.0,Stocks That Hit 52-Week Highs On Monday,2020-02-03 11:44:00-05:00,MCRI,neutral
809977.0,Stocks That Hit 52-Week Highs On Friday,2020-01-31 10:23:00-05:00,MCRI,neutral
809978.0,Jefferies Upgrades Monarch Casino & Resort to Buy,2020-01-06 06:24:00-05:00,MCRI,neutral
809979.0,Stocks That Hit 52-Week Highs On Thursday,2019-12-19 10:29:00-05:00,MCRI,neutral
809980.0,"Monarch Casino & Resort Q3 EPS $0.5 Down From $0.58 YoY, Sales $65.585M Up From $64.359M YoY",2019-10-30 16:08:00-04:00,MCRI,neutral
809981.0,"Monarch Casino & Resort Offers Comment On Suit Filed By Black Hawk Contractor, Offers Update On Timing For Completion Of Project",2019-09-03 09:24:00-04:00,MCRI,neutral
809982.0,"Shares of several casinos and resorts are trading higher after the U.S. announced it is excluding and delaying the additional 10% tariff on certain products from China. Note: Casinos have exposure to China's Macau region, meaning a trade truce is positive",2019-08-13 10:57:00-04:00,MCRI,positive
809983.0,"Monarch Casino & Resort Q2 EPS $0.5, Same YoY, Sales $62.76M Up From $59.909M YoY",2019-07-24 16:19:00-04:00,MCRI,neutral
809984.0,"Monarch Casino & Resort Q1 EPS $0.38, Inline, Sales $58.74M Beat $57.32M Estimate",2019-04-24 16:04:00-04:00,MCRI,neutral
809985.0,"Monarch Casino & Resort, Inc. Q4 EPS $0.39 Misses $0.42 Estimate, Sales $59.78M Beat $57.11M Estimate",2019-02-20 16:40:00-05:00,MCRI,negative
809986.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Nov. 20, 2018",2018-11-21 08:50:00-05:00,MCRI,negative
809987.0,"Stocks Which Set New 52-Week Low Yesterday, October 29th",2018-10-30 12:40:00-04:00,MCRI,negative
809988.0,"Monarch Casino & Resort, Inc. Q3 EPS $0.58 Beats $0.57 Estimate, Sales $64.359M Miss $64.9M Estimate",2018-10-24 16:43:00-04:00,MCRI,negative
809989.0,"Stocks Which Set New 52-Week High Yesterday, July 25th",2018-07-26 11:00:00-04:00,MCRI,neutral
809990.0,"Benzinga's Top Upgrades, Downgrades For July 25, 2018",2018-07-25 09:02:00-04:00,MCRI,positive
809991.0,Jefferies Upgrades Monarch Casino & Resort to Hold,2018-07-25 06:26:00-04:00,MCRI,neutral
809992.0,"Monarch Casino & Resort Q2 EPS $0.50 Misses $0.51 Estimate, Sales $59.91M Miss $60.73M Estimate",2018-07-24 16:27:00-04:00,MCRI,negative
809993.0,"Monarch Casino & Resort Q1 EPS $0.36 Misses $0.37 Est., Sales $56.27M Beats $54.66M Est.",2018-04-26 16:56:00-04:00,MCRI,negative
809994.0,"Monarch Casino & Resort Reports Q4 EPS $0.23 vs $0.36 In Same Qtr. Last Year, Sales $56.056M vs $58.82M Est.",2018-02-20 16:29:00-05:00,MCRI,neutral
809995.0,"Jefferies Initiates Coverage On Monarch Casino & Resort with Underperform Rating, Announces $39.00 Price Target",2018-01-19 07:09:00-05:00,MCRI,neutral
809996.0,"Gambling Stock Q3 Earnings Roundup: Wynn, Las Vegas Sands, And More",2017-10-30 12:43:00-04:00,MCRI,neutral
809997.0,Union Gaming Upgrades Monarch Casino & Resort to Buy,2017-10-25 08:27:00-04:00,MCRI,neutral
809998.0,"Monarch Casino & Resort Reports Q3 EPS $0.49 vs $0.47 Es.t, Sales $63.027M vs $59.58M ESt.",2017-10-24 16:15:00-04:00,MCRI,neutral
809999.0,18 Biggest Mid-Day Gainers For Wednesday,2017-07-26 12:21:00-04:00,MCRI,neutral
810000.0,"Monarch Casino & Resort Reports Q2 EPS $0.40 vs $0.37 Est., Sales $58.229M vs $57.14M Est.",2017-07-25 16:41:00-04:00,MCRI,neutral
810001.0,"Monarch Casino & Resort Reports Q1 EPS $0.27 vs $0.28 Est., Sales $53.414M vs $50.9M Est.",2017-04-25 16:04:00-04:00,MCRI,neutral
810002.0,Park West Asset Management Reports 5.2% Stake In Monarch Casino & Resort,2017-04-10 16:33:00-04:00,MCRI,positive
810003.0,"Monarch Casino & Resorts Reports Q4 EPS $0.36 vs. $0.33 Est., Sales $55.59M vs. $54.25M Est.",2017-02-22 16:04:00-05:00,MCRI,neutral
810004.0,Mid-Day Market Update: Dow Rises 50 Points; Logitech Shares Gain On Earnings Beat,2016-10-26 12:00:00-04:00,MCRI,positive
810005.0,"Monarch Casino & Resort Reports Q3 EPS $0.45 vs. Est. $0.40, Rev. $57.1M vs. Est. $56.2M",2016-10-25 16:32:00-04:00,MCRI,neutral
810006.0,Hard To Find Safe Bets In Gambling Stocks Today,2016-09-19 15:54:00-04:00,MCRI,positive
810007.0,"Monarch Casino & Resort Reports Q2 EPS $0.32 vs. Est. $0.34, Rev. $54.57M vs. Est. $52.75M",2016-07-20 16:08:00-04:00,MCRI,neutral
810008.0,"Monarch Casino & Resort Reports Q1 EPS $0.26 vs. Est. $0.27, Rev. $49.749M vs. Est. $49.6M",2016-04-20 16:04:00-04:00,MCRI,neutral
810009.0,"Monarch Casino & Resort Reports Q4 EPS $0.29 vs $0.20 Est., Sales $51.485M vs $48.6M Est.",2016-02-24 16:43:00-05:00,MCRI,neutral
810010.0,Monarch Casino & Resort Reports Resignation of CFO Ron Rowan,2016-02-08 08:33:00-05:00,MCRI,negative
810011.0,"Monarch Casino & Resort Q3 EPS $0.37 vs. Est. $0.28, Rev. $53.576M vs. Est. $49.63M",2015-10-22 16:48:00-04:00,MCRI,neutral
810012.0,"Macquarie's Beynon on Regional Gaming: Gross Gaming Revenue Up 7% 'highlights positive trends, although some insiders selling'",2015-08-28 09:42:00-04:00,MCRI,positive
810013.0,Monarch Casino & Resorts Reports Q2 EPS $0.29 Vs Est $0.27,2015-07-22 16:14:00-04:00,MCRI,neutral
810014.0,"Monarch Casino & Resort Reports Q4 EPS $0.22, Sales $45.9M vs $44.6M Est.",2015-02-25 16:10:00-05:00,MCRI,neutral
810015.0,Casino Stocks Higher Amid Favorable Isle Of Capri Earnings Results,2014-12-02 11:52:00-05:00,MCRI,positive
810016.0,Morgan Stanley Comments On Gaming Industry,2014-11-14 11:42:00-05:00,MCRI,neutral
810017.0,Top 4 Small-Cap Stocks In The Resorts & Casinos Industry With The Highest Operating Margin,2014-11-14 04:44:00-05:00,MCRI,positive
810018.0,Monarch Casino Board Approves Share Repurchase Program For Up To 3M Shares,2014-10-22 16:29:00-04:00,MCRI,positive
810019.0,"Monarch Casino & Resort, Inc. Reports Q3 EPS of $0.24 vs $0.22 Est",2014-10-22 16:09:00-04:00,MCRI,neutral
