Unnamed: 0,title,date,stock,sentiment
821243.0,"Shares of several financial service companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. The Fed kept rates at zero and noted it could stay there for as long as it takes for the economy to recover.",2020-06-11 10:05:00-04:00,MFC,positive
821244.0,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.,2020-06-05 10:05:00-04:00,MFC,positive
821245.0,Shares of several financial services companies are trading higher as equities continue to gain on optimism over the economy reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 10:22:00-04:00,MFC,positive
821246.0,"Shares of several global financial services companies are trading higher, potentially in sympathy with US market strength. US equities have gained this session on investor hopes of a pickup in economic activity, which could lead to a rebound in spending and borrowing.",2020-06-02 11:19:00-04:00,MFC,positive
821247.0,"Shares of several financial services companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 09:54:00-04:00,MFC,positive
821248.0,Shares of several financial services companies are trading higher as equities gain amid coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 10:33:00-04:00,MFC,positive
821249.0,Shares of several financial services companies are trading lower amid market weakness following US unemployment data and recent cautious comments from the WHO. Sentiment is also negative following cautious comments from Fed Chair Powell and bearish outlook from some major US investors on Wednesday. The financial sector has been impacted by lower business investment and spending as a result of the pandemic. Shares have reversed and are now trading higher.,2020-05-14 10:32:00-04:00,MFC,negative
821250.0,Manulife Financial Q1 Adj. EPS $0.510 Beats $0.500 Estimate,2020-05-06 17:04:00-04:00,MFC,neutral
821251.0,"Earnings Scheduled For May 6, 2020",2020-05-06 04:36:00-04:00,MFC,neutral
821252.0,Shares of several global financial services companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:49:00-04:00,MFC,negative
821253.0,"Shares of several global financial services companies are trading higher following positive data from a study of Gilead's Remdesivir, a potential coronavirus treatment candidate. A successful treatment could make a sooner return to economic activity and investment possible.",2020-04-29 10:21:00-04:00,MFC,positive
821254.0,Shares of several global financial services companies are trading higher for the session as some US states ease lockdown restrictions and as investors weigh quarterly earnings from blue chip companies.,2020-04-28 10:36:00-04:00,MFC,positive
821255.0,"Shares of several global financial services companies are trading lower on continued downward momentum after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus outbreak.",2020-04-21 10:24:00-04:00,MFC,negative
821256.0,Shares of several global financial services companies are trading lower as equities fall amid a decline in US oil prices. The drop in oil has raised concerns over the economic impact of the coronavirus pandemic.,2020-04-20 09:43:00-04:00,MFC,negative
821257.0,"Shares of several financial services companies are trading higher as equities gain amid a report suggesting Gilead Sciences' Remdesivir drug showed some effectiveness in treating the coronavirus. This has raised hopes of a sooner return to spending, economic activity, and investment.",2020-04-17 07:54:00-04:00,MFC,positive
821258.0,"Shares of several banks and financial services companies are trading lower as equities dip amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15 11:08:00-04:00,MFC,negative
821259.0,"Shares of several financial services companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity, and investment.",2020-04-07 10:44:00-04:00,MFC,positive
821260.0,Shares of several financial services stocks are trading higher with the broader market on optimism that coronavirus cases in several US hotspots appear to be reaching their peak and global oil producers appear to be working toward production cooperation.,2020-04-06 08:45:00-04:00,MFC,positive
821261.0,Shares of several banks and financial services companies are trading lower amid market weakness as macro concerns continue to grow as a result of the coronavirus pandemic. The coronavirus has led to lower investment and economic activity across sectors.,2020-04-01 10:08:00-04:00,MFC,negative
821262.0,Shares of several financial services companies are trading higher amid market strength as equities gain on a potential rebound following this quarter's selloff.,2020-03-31 11:33:00-04:00,MFC,positive
821263.0,"Shares of several financial services and global banks companies are trading lower, selling off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus outbreak.",2020-03-27 10:43:00-04:00,MFC,positive
821264.0,Shares of several financial services and global banks companies are trading higher after the Senate passed a $2 trillion stimulus package in relief to the coronavirus outbreak.,2020-03-26 09:39:00-04:00,MFC,positive
821265.0,Shares of several global financial services companies are trading higher as markets rebound after Thursday's crash. The financial sector has been volatile recently as the coronavirus has generated global economic uncertainty.,2020-03-13 11:42:00-04:00,MFC,negative
821266.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,MFC,negative
821267.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,MFC,negative
821268.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,MFC,negative
821269.0,Shares of several financial services companies are trading lower as the global coronavirus spread continues to cause equities across sectors to sell off amid worsened economic outlook.,2020-02-28 09:02:00-05:00,MFC,negative
821270.0,"Shares of several global financial services companies are trading lower as growing coronavirus fears hamper economic outlook, negatively impacting equities across sectors.",2020-02-27 08:38:00-05:00,MFC,negative
821271.0,Shares of several financial services companies are trading lower amid continued spread of coronavirus including notable upticks in Iran and Italy. NOTE: The virus has raised fear of a global economic slowdown.,2020-02-24 08:34:00-05:00,MFC,negative
821272.0,Manulife Raises Qtr. Dividend From $0.25 To $0.28/Share,2020-02-12 17:01:00-05:00,MFC,neutral
821273.0,Manulife Financial Q4 Core EPS $0.73 Beats $0.5 Estimate,2020-02-12 17:01:00-05:00,MFC,neutral
821274.0,"Earnings Scheduled For February 12, 2020",2020-02-12 04:22:00-05:00,MFC,neutral
821275.0,"Credit Suisse Initiates Coverage On Manulife Financial with Neutral Rating, Announces C$29 Price Target",2020-02-07 07:54:00-05:00,MFC,positive
821276.0,"Shares of several banks and financial services companies are trading lower amid the spread of the Wuhan coronavirus, which has raised global risk concerns and clouded economic outlook.",2020-01-27 08:27:00-05:00,MFC,negative
821277.0,"Barclays Maintains Overweight on Manulife Financial, Raises Price Target to $32",2020-01-13 08:32:00-05:00,MFC,negative
821278.0,Stocks That Hit 52-Week Highs On Friday,2020-01-10 12:18:00-05:00,MFC,neutral
821279.0,Stocks That Hit 52-Week Highs On Thursday,2020-01-09 15:15:00-05:00,MFC,neutral
821280.0,Stocks That Hit 52-Week Highs On Friday,2019-12-27 11:27:00-05:00,MFC,neutral
821281.0,Stocks That Hit 52-Week Highs On Monday,2019-12-23 10:20:00-05:00,MFC,neutral
821282.0,Shares of several banks and financial services companies are trading lower on global macro concerns after Trump implied a US-China trade deal may not occur until 2020.,2019-12-03 11:01:00-05:00,MFC,neutral
821283.0,Manulife Financial shares are trading higher despite reporting worse-than-expected Q3 earnings results.,2019-11-07 11:18:00-05:00,MFC,positive
821284.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-07 10:16:00-05:00,MFC,neutral
821285.0,"Manulife Financial Q3 EPS $0.35 Misses $0.5 Estimate, Sales $6.927B Miss $9.42B Estimate",2019-11-06 17:46:00-05:00,MFC,negative
821286.0,"Earnings Scheduled For November 6, 2019",2019-11-06 04:13:00-05:00,MFC,neutral
821287.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,MFC,neutral
821288.0,Stocks That Hit 52-Week Highs On Tuesday,2019-10-29 10:52:00-04:00,MFC,neutral
821289.0,Stocks That Hit 52-Week Highs On Monday,2019-10-28 10:51:00-04:00,MFC,neutral
821290.0,Shares of several financial service companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,2019-10-11 07:25:00-04:00,MFC,positive
821291.0,﻿Shares of several financial companies are trading lower in sympathy with the overall market on continued fears of a recession amid a weak ADP jobs report. There is also uncertainty in the market over the upcoming U.S.-China meeting next week.,2019-10-02 10:49:00-04:00,MFC,negative
821292.0,Shares of several banks and broader financial companies are trading higher after interest rates increased.,2019-09-09 11:22:00-04:00,MFC,positive
821293.0,Shares of several banks and broader financial companies are trading higher with the broader stock market after the Chinese Minister of Commerce said the leaders of the U.S. and China are set to meet in Washington D.C in early October.,2019-09-05 10:02:00-04:00,MFC,positive
821294.0,Manulife Financial shares are trading higher after the company reported Q2 EPS results.,2019-08-08 09:49:00-04:00,MFC,positive
821295.0,Manulife Financial Q2 EPS $0.72 Beats $0.5 Estimate,2019-08-07 17:02:00-04:00,MFC,neutral
821296.0,"Earnings Scheduled For August 7, 2019",2019-08-07 04:43:00-04:00,MFC,neutral
821297.0,Manulife Financial Option Alert: Aug 16 $17 Calls Sweep (27) near the Ask: 933 @ $0.25 vs 2 OI; Earnings 8/7 After Close Ref=$16.595,2019-08-05 13:14:00-04:00,MFC,positive
821298.0,Shares of several financial companies are trading lower on continued US-China trade tension.,2019-05-23 10:19:00-04:00,MFC,negative
821299.0,"Earnings Scheduled For May 1, 2019",2019-05-01 05:05:00-04:00,MFC,neutral
821300.0,24 Stocks Moving In Monday's Pre-Market Session,2019-04-08 08:09:00-04:00,MFC,neutral
821301.0,Manulife Financial Q4 Core EPS $0.65 Beats $0.50 Estimate,2019-02-13 17:03:00-05:00,MFC,neutral
821302.0,"Earnings Scheduled For February 13, 2019",2019-02-13 04:05:00-05:00,MFC,neutral
821303.0,"Stocks Which Set New 52-Week Low The Last Trading Session, Fri., Dec. 7, 2018",2018-12-10 11:01:00-05:00,MFC,negative
821304.0,"111, Inc. Partners with Manulife-Sinochem to Establish Online Pharmacy + Health Insurance Model",2018-12-05 06:29:00-05:00,MFC,neutral
821305.0,"Stocks Trading Ex Dividend For Mon., Nov. 19, 2018",2018-11-19 10:13:00-05:00,MFC,neutral
821306.0,"Stocks That Will Trade Ex Dividend Mon., Nov. 19, 2018",2018-11-16 10:35:00-05:00,MFC,neutral
821307.0,Manulife Announces Automatic Share Repurchase Plan; No Size Disclosed,2018-11-16 08:34:00-05:00,MFC,neutral
821308.0,Manulife Financial Q3 Core EPS $0.75 Beats $0.50 Estimate,2018-11-07 17:54:00-05:00,MFC,neutral
821309.0,"Earnings Scheduled For November 7, 2018",2018-11-07 03:51:00-05:00,MFC,neutral
821310.0,"Stocks Which Set New 52-Week Low Yesterday, October 29th",2018-10-30 12:40:00-04:00,MFC,negative
821311.0,"Stocks Which Set New 52-Week Low Friday, October 26th",2018-10-29 09:56:00-04:00,MFC,negative
821312.0,"Stocks Which Set New 52-Week Low Yesterday, October 11th",2018-10-12 11:30:00-04:00,MFC,negative
821313.0,"Stocks Which Set New 52-Week Low Yesterday, October 10th",2018-10-11 09:11:00-04:00,MFC,negative
821314.0,"Stocks Which Set New 52-Week Low Yesterday, October 9th",2018-10-10 11:01:00-04:00,MFC,negative
821315.0,"Stocks Which Set New 52-Week Low Friday, October 5th",2018-10-08 09:27:00-04:00,MFC,negative
821316.0,Manulife Shares Down 3% As Bloomberg TV Re Runs Earlier Interview With Muddy Waters' Carson Block,2018-10-04 14:55:00-04:00,MFC,negative
821317.0,"UPDATE: Manulife Says 'We firmly believe that the consumers purchasing universal life policies, and the insurers issuing these policies, never intended to have the policies function as deposit or securities contracts'",2018-10-04 12:59:00-04:00,MFC,positive
821318.0,UPDATE: Manulife Says 'continues to believe that Mosten's position is legally unfounded',2018-10-04 12:58:00-04:00,MFC,positive
821319.0,UPDATE: Manulife On Muddy Waters Report: Disagrees With Report's Conclusions,2018-10-04 12:58:00-04:00,MFC,negative
821320.0,Manulife Issues Response To Muddy Waters Report,2018-10-04 12:57:00-04:00,MFC,neutral
821321.0,"'MW is short $MFC - Its insurance sub is on trial for its life. Verdict expected this year. Per OWN expert, a win 4 plaintiff's cld significantly damage its earnings,capital,creditworthiness & business. Litigation was not disclosed.' - Muddy Waters Tweets",2018-10-04 10:08:00-04:00,MFC,positive
821322.0,"'MW is short $MFC - Its insurance sub is on trial for its life. Verdict expected this year. Per OWN expert, a win 4 plaintiff's cld significantly damage its earnings, capital, creditworthiness & business...' -Tweet From Muddy Waters",2018-10-04 10:07:00-04:00,MFC,positive
821323.0,"Stocks Which Set New 52-Week Low Yesterday, September 12th",2018-09-13 10:19:00-04:00,MFC,negative
821324.0,"Stocks Which Set New 52-Week Low Friday, September 7th",2018-09-10 16:38:00-04:00,MFC,negative
821325.0,"Stocks Which Set New 52-Week Low Yesterday, September 6th",2018-09-07 16:49:00-04:00,MFC,negative
821326.0,Manulife Financial Q2 EPS $0.70 Beats $0.50 Estimate,2018-08-08 17:07:00-04:00,MFC,neutral
821327.0,"Earnings Scheduled For August 8, 2018",2018-08-08 06:03:00-04:00,MFC,neutral
821328.0,Evercore ISI Group Initiates Coverage On Manulife Financial with In-Line Rating,2018-07-10 09:33:00-04:00,MFC,neutral
821329.0,Manulife Financial Q1 EPS $0.64 Beats $0.50 Est.,2018-05-02 17:58:00-04:00,MFC,neutral
821330.0,"Earnings Scheduled For May 2, 2018",2018-05-02 05:54:00-04:00,MFC,neutral
821331.0,28 Stocks Moving In Monday's Pre-Market Session,2018-04-02 08:00:00-04:00,MFC,neutral
821332.0,Manulife Financial Raises Qtr. Dividend From $0.16 to $0.22/Share,2018-02-07 17:05:00-05:00,MFC,neutral
821333.0,"Manulife Reports Q4 GAAP EPS $(0.83), Core EPS $0.59 vs $0.47 Est.",2018-02-07 17:04:00-05:00,MFC,neutral
821334.0,"Earnings Scheduled For February 7, 2018",2018-02-07 04:52:00-05:00,MFC,neutral
821335.0,Hearing National Bank Upgraded Manulife Financial To Outperform,2018-01-24 08:38:00-05:00,MFC,neutral
821336.0,"Manulife Financial To Alter Asset Mix, Free Up Capital",2017-12-26 12:42:00-05:00,MFC,positive
