Unnamed: 0,title,date,stock,sentiment
823258.0,Magellan Health 8-K Shows CFO Jonathan Rubin To Retire; Co. Engages Exec. Search Firm To Hire For Role,2020-06-01 16:30:00-04:00,MGLN,positive
823259.0,78 Biggest Movers From Yesterday,2020-05-12 05:02:00-04:00,MGLN,neutral
823260.0,54 Stocks Moving In Monday's Mid-Day Session,2020-05-11 12:39:00-04:00,MGLN,neutral
823261.0,Magellan Health: Q1 Earnings Insights,2020-05-11 08:41:00-04:00,MGLN,neutral
823262.0,"Magellan Health Q1 EPS $1.15 Beats $0.72 Estimate, Sales $1.794B Miss $1.800B Estimate",2020-05-11 06:45:00-04:00,MGLN,negative
823263.0,"Earnings Scheduled For May 11, 2020",2020-05-11 04:19:00-04:00,MGLN,neutral
823264.0,98 Biggest Movers From Friday,2020-05-04 05:08:00-04:00,MGLN,neutral
823265.0,58 Stocks Moving In Friday's Mid-Day Session,2020-05-01 12:39:00-04:00,MGLN,neutral
823266.0,Magellan Health shares are trading higher after the company announced the sale of its Magellan Complete Care unit to Molina for $850M.,2020-05-01 11:18:00-04:00,MGLN,positive
823267.0,Magellan Health To Sell Magellan Complete Care Unit To Molina For $850M In Cash,2020-04-30 16:21:00-04:00,MGLN,positive
823268.0,Magellan Health Says Expanding Telehealth Services Amid Coronavirus Outbreak,2020-03-20 17:01:00-04:00,MGLN,neutral
823269.0,Stocks That Hit 52-Week Lows On Friday,2020-03-13 11:13:00-04:00,MGLN,negative
823270.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,MGLN,negative
823271.0,"Magellan Health Q4 Adj. EPS $1.24 Beats $0.97 Estimate, Sales $1.803B Miss $1.83B Estimate",2020-02-28 06:33:00-05:00,MGLN,negative
823272.0,"8 Stocks To Watch For February 28, 2020",2020-02-28 04:42:00-05:00,MGLN,neutral
823273.0,"Earnings Scheduled For February 28, 2020",2020-02-28 04:06:00-05:00,MGLN,neutral
823274.0,Shares of healthcare companies are trading higher on reports suggesting Congress will permanently repeal three major Obamacare-related health industry taxes as part of fiscal 2020 spending bills.,2019-12-16 12:48:00-05:00,MGLN,positive
823275.0,"IPO Outlook For The Week: Brazilian Financials, Fintech And Social Media Management",2019-12-10 09:40:00-05:00,MGLN,neutral
823276.0,Magellan Rx Management Says Has Achieved Over $2.1B In Combined Lifetime Savings For Current Health Plan Customers,2019-12-10 06:32:00-05:00,MGLN,neutral
823277.0,Stocks That Hit 52-Week Highs On Friday,2019-12-06 10:33:00-05:00,MGLN,neutral
823278.0,"Magellan Health Names James Murray Pres, COO",2019-12-05 16:31:00-05:00,MGLN,neutral
823279.0,Magellan Health Board Appoints James Murray President And COO Of Magellan Health,2019-12-05 16:31:00-05:00,MGLN,neutral
823280.0,"Magellan Health Says 739 Members Of Moda, An Oregon-based Health Plan, May Have Been Affected By Security Incident",2019-11-27 15:07:00-05:00,MGLN,positive
823281.0,"Magellan Rx Management Says Discovered Unauthorized Third Party Accessed Employee Email Account, Believes Employee May HAve Been Target Of Phishing Scam",2019-11-27 11:43:00-05:00,MGLN,negative
823282.0,Stocks That Hit 52-Week Highs On Monday,2019-11-25 10:19:00-05:00,MGLN,neutral
823283.0,Stocks That Hit 52-Week Highs On Friday,2019-11-22 10:17:00-05:00,MGLN,neutral
823284.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-21 10:39:00-05:00,MGLN,neutral
823285.0,Stocks That Hit 52-Week Highs On Wednesday,2019-11-20 10:12:00-05:00,MGLN,neutral
823286.0,"Earnings Scheduled For November 1, 2019",2019-11-01 06:50:00-04:00,MGLN,neutral
823287.0,"Magellan Health Reaffirms FY19 Sales Guidance $7B-$7.2B vs $7.14B Estimate, Cuts Adj. EPS Guidance From $3.70-$4.69 To $3.35-$4 vs $3.96 Est.",2019-11-01 06:32:00-04:00,MGLN,negative
823288.0,"Magellan Health Q3 Adj. EPS $1.23 Misses $1.31 Estimate, Sales $1.829B Beat $1.8B Estimate",2019-11-01 06:32:00-04:00,MGLN,negative
823289.0,Magellan Names Kenneth Fasola CEO,2019-10-31 16:38:00-04:00,MGLN,neutral
823290.0,Shares of several healthcare provider companies are trading higher in sympathy with UnitedHealth Group after the company reported better-than-expected Q3 earnings results.,2019-10-15 09:38:00-04:00,MGLN,positive
823291.0,"Shares of several healthcare companies are trading lower, potentially on recent Democratic primary polls showing Senator Elizabeth Warren in the lead.",2019-09-26 12:43:00-04:00,MGLN,neutral
823292.0,"Shares of health insurance companies are trading lower. Recent polls showed Medicare for-all-supporting candidate Elizabeth Warren taking a lead over Biden, which is viewed as a negative for private health insurers.",2019-09-24 14:10:00-04:00,MGLN,negative
823293.0,Magellan Health Announces Collaboration With Premier,2019-08-07 06:37:00-04:00,MGLN,neutral
823294.0,"Magellan Health Q2 Adj. EPS $0.86 Misses $0.95 Estimate, Sales $1.79B Beat $1.76B Estimate",2019-07-30 06:40:00-04:00,MGLN,negative
823295.0,"Earnings Scheduled For July 30, 2019",2019-07-30 04:05:00-04:00,MGLN,neutral
823296.0,Q2 Earnings Preview For Magellan Health,2019-07-29 15:01:00-04:00,MGLN,neutral
823297.0,Shares of several healthcare companies are trading higher after the Trump Administration withdrew a proposal to eliminate rebates from government drug plans.,2019-07-11 07:55:00-04:00,MGLN,positive
823298.0,Centerbridge In Exclusive Talks To Buy Magellan Health,2019-06-26 15:51:00-04:00,MGLN,positive
823299.0,Magellan Rx Management Launches Oncology Biosimilar Medical Pharmacy Solution,2019-06-04 06:32:00-04:00,MGLN,positive
823300.0,Magellan Cuts FY19 Sales Guidance From $7.2B-$7.5B To $7B-$7.2B vs $7.22B Estimate,2019-05-02 06:37:00-04:00,MGLN,negative
823301.0,UPDATE: Magellan Reaffirms FY19 Adj. EPS $3.70-$4.69 vs $3.92 Estimate,2019-05-02 06:36:00-04:00,MGLN,neutral
823302.0,"Magellan Health Cuts FY19 Sales Guidance, Reaffirms EPS Guidance",2019-05-02 06:36:00-04:00,MGLN,negative
823303.0,"Magellan Health Q1 Adj. EPS $0.4 Misses $0.55 Estimate, Sales $1.74B Inline",2019-05-02 06:36:00-04:00,MGLN,negative
823304.0,"Shares of several healthcare stocks are trading higher, continuing to rebound from recent weakness caused by concerns over the medicare-for-all platforms of 2020 presidential contenders. Some analysts have noted low likelihood of such legislation passing.",2019-04-26 11:28:00-04:00,MGLN,negative
823305.0,"Shares of several healthcare stocks are trading higher in a potential rebound from last week's selloff. In an upgrade of HCA Healthcare, Raymond James analysts noted the selloff was 'based on legislation that has almost no chance of passing'",2019-04-23 11:52:00-04:00,MGLN,positive
823306.0,"Magellan Health Shares Spike, Hearing Rumors Of Dealreporter Article About M&A Activity Involving Co.",2019-04-18 14:00:00-04:00,MGLN,positive
823307.0,Shares of several healthcare companies are trading lower after Trump renewed his efforts to repeal and replace the Affordable Care Act; the Department of Justice moved to accelerate the appeal process in hopes to invalidate the ACA as unconstitutional.BZ,2019-04-17 13:02:00-04:00,MGLN,positive
823308.0,Magellan Health Reports Deal With Starboard: 4 New Independent Directors To Join Co. Board,2019-03-29 06:33:00-04:00,MGLN,positive
823309.0,Magellan Health Nears Settlement With Hedge Fund Starboard Value,2019-03-28 17:28:00-04:00,MGLN,positive
823310.0,"Magellan Health Sees FY19 Adj. EPS $3.70-$4.69 vs $4.21, Sales $7.2B-$7.5B vs $7.25B Est.",2019-02-28 06:42:00-05:00,MGLN,neutral
823311.0,"Magellan Health Q4 EPS $1.28 Misses $1.41 Estimate, Sales $1.845B Miss $1.89B Estimate",2019-02-28 06:41:00-05:00,MGLN,negative
823312.0,"Earnings Scheduled For February 28, 2019",2019-02-28 04:08:00-05:00,MGLN,neutral
823313.0,"Bank of America Initiates Coverage On Magellan Health with Buy Rating, Announces $84 Price Target",2019-02-22 09:08:00-05:00,MGLN,neutral
823314.0,"Starboard Value Says Magellan Health Should Be Evaluating A Broad Range Of Strategic Alternatives, Including A Sale Of Whole Company",2019-02-22 07:16:00-05:00,MGLN,positive
823315.0,Starboard Value Issues Release Highlighting Will Nominate Full Slate Of Highly-Qualified Director Candidates For Magellan Health,2019-02-22 07:16:00-05:00,MGLN,positive
823316.0,75 Biggest Movers From Yesterday,2019-02-21 05:12:00-05:00,MGLN,neutral
823317.0,"Magellan Health shares spike, now trading higher amid reports the company is exploring a potential sale.",2019-02-20 11:06:00-05:00,MGLN,positive
823318.0,Magellan Health To Explore Potential Sale With Pressure From Starboard Value,2019-02-20 11:05:00-05:00,MGLN,positive
823319.0,"Stephens & Co. Initiates Coverage On Magellan Health with Equal-Weight Rating, Announces $68 Price Target",2019-01-14 09:31:00-05:00,MGLN,neutral
823320.0,Magellan Health shares are trading higher after Starboard Value disclosed a 9.8% stake in the company.,2018-12-13 14:05:00-05:00,MGLN,positive
823321.0,Magellan Health 13D Filing From Starboard Value Shows New 9.8% Stake,2018-12-13 06:10:00-05:00,MGLN,positive
823322.0,"Magellan Health Sees FY19 Adj. EPS $3.70-$4.69 vs $4.50 Estimate, Sales $7.2B-$7.5B vs $7.35B Est.",2018-12-07 06:31:00-05:00,MGLN,neutral
823323.0,"Stocks Which Set New 52-Week Low Yesterday, Tues., Nov. 20, 2018",2018-11-21 08:50:00-05:00,MGLN,negative
823324.0,"Stocks Which Set New 52-Week Low Yesterday, Mon., Nov. 19, 2018",2018-11-20 09:12:00-05:00,MGLN,negative
823325.0,"Stocks Which Set New 52-Week Lows Fri., Nov. 16, 2018",2018-11-19 10:16:00-05:00,MGLN,negative
823326.0,"Stocks Which Set New 52-Week Low Yesterday, Thurs., Nov. 16, 2018",2018-11-16 10:37:00-05:00,MGLN,negative
823327.0,"Stocks Which Set New 52-Week Low Yesterday, Wed., Nov. 14, 2018",2018-11-15 11:37:00-05:00,MGLN,negative
823328.0,10 Biggest Price Target Changes For Tuesday,2018-11-13 09:40:00-05:00,MGLN,neutral
823329.0,"Benzinga's Top Upgrades, Downgrades For November 13, 2018",2018-11-13 09:18:00-05:00,MGLN,positive
823330.0,"Leerink Swann Downgrades Magellan Health to Market Perform, Lowers Price Target to $70",2018-11-13 07:36:00-05:00,MGLN,negative
823331.0,"Raymond James Maintains Outperform on Magellan Health, Lowers Price Target to $72",2018-11-12 12:51:00-05:00,MGLN,negative
