Unnamed: 0,title,date,stock,sentiment
834693.0,"Sidoti & Co. Maintains Buy on Merit Medical Systems, Raises Price Target to $63",2020-06-01 09:10:00-04:00,MMSI,positive
834694.0,"Raymond James Maintains Outperform on Merit Medical Systems, Raises Price Target to $49",2020-05-27 07:42:00-04:00,MMSI,positive
834695.0,"Merit Medical Announces Agreement With Starboard, Nominates Three Independent Directors",2020-05-26 16:02:00-04:00,MMSI,positive
834696.0,Merit Medical Receives CE Mark for Wrapsody™ Endovascular Stent Graft System,2020-05-26 09:25:00-04:00,MMSI,positive
834697.0,Starboard Value Takes Share Stake In Merit Medical Systems Of 4.8M Shares,2020-05-15 15:31:00-04:00,MMSI,positive
834698.0,"Raymond James Maintains Outperform on Merit Medical Systems, Raises Price Target to $46",2020-04-24 12:16:00-04:00,MMSI,positive
834699.0,Merit Medical Systems shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-04-24 10:57:00-04:00,MMSI,positive
834700.0,"Wells Fargo Maintains Underweight on Merit Medical Systems, Raises Price Target to $37",2020-04-24 08:47:00-04:00,MMSI,positive
834701.0,"The Daily Biotech Pulse: FDA Approves Sanofi's Meningococcal Vaccine, Pluristem Secures $54M In Funding For COVID-19 Treatment, Oric Pharma Prices IPO",2020-04-24 08:38:00-04:00,MMSI,positive
834702.0,Merit Medical Withdraws FY20 Guidance,2020-04-23 16:04:00-04:00,MMSI,positive
834703.0,"Merit Medical Systems Q1 EPS $0.380 Beats $0.260 Estimate, Sales $243.500M Beat $233.230M Estimate",2020-04-23 16:03:00-04:00,MMSI,positive
834704.0,"The Daily Biotech Pulse: FDA Nod For Immunomedics, Lilly's Solid Q1 Beat, Predictive Oncology Restructures Debt",2020-04-23 07:53:00-04:00,MMSI,negative
834705.0,"Benzinga Pro's Top 5 Stocks To Watch For Tues., Apr. 21, 2020: FLIR, TWOU, HCAT, PTON, MMSI",2020-04-21 08:05:00-04:00,MMSI,positive
834706.0,"Merit Medical Shares Up ~2% From Session Low; Hearing Wells Fargo Confirming Merit Medical Began Producing Sample Collection, Transport Kit For COVID-19",2020-04-20 11:06:00-04:00,MMSI,positive
834707.0,"The Week Ahead In Biotech (April 19-25): Eli Lilly, Biogen Earnings On Tap, Sanofi Awaits FDA Decision",2020-04-19 17:22:00-04:00,MMSI,positive
834708.0,Merit Medical Reports Was Granted 2 Added FDA Breakthrough Device Designations For Merit WRAPSODY,2020-04-06 09:29:00-04:00,MMSI,positive
834709.0,Merit Medical Systems shares are trading higher after the company reported better-than-expected Q4 results and issued upbeat FY20 guidance.,2020-02-25 10:15:00-05:00,MMSI,positive
834710.0,"Piper Sandler Reiterates Overweight on Merit Medical Systems, Raises Price Target to $50",2020-02-25 09:13:00-05:00,MMSI,positive
834711.0,"The Daily Biotech Pulse: Moderna Ships COVID-19 Vaccine For Clinics, Mallinckrodt Strikes $1.6B Opioid Settlement",2020-02-25 08:28:00-05:00,MMSI,negative
834712.0,"Wells Fargo Maintains Underweight on Merit Medical Systems, Raises Price Target to $33",2020-02-25 08:04:00-05:00,MMSI,positive
834713.0,"Raymond James Maintains Outperform on Merit Medical Systems, Raises Price Target to $47",2020-02-25 07:47:00-05:00,MMSI,positive
834714.0,"Merit Medical Sees FY20 Sales $1.044B-$1.064B Vs. $1.05B Est., EPS $1.58-$1.68 Vs. $1.56 Est.",2020-02-24 16:07:00-05:00,MMSI,positive
834715.0,"Merit Medical Systems Q4 EPS $0.4 Beats $0.34 Estimate, Sales $257.9M Beat $252.31M Estimate",2020-02-24 16:06:00-05:00,MMSI,positive
834716.0,"Earnings Scheduled For February 24, 2020",2020-02-24 04:04:00-05:00,MMSI,neutral
834717.0,The Week Ahead In Biotech: Biopharma Earnings Pick Up Pace,2020-02-23 18:38:00-05:00,MMSI,neutral
834718.0,Merit Medical Systems Announces Four Regulatory Approvals,2020-02-20 09:27:00-05:00,MMSI,positive
834719.0,"Benzinga's Top Upgrades, Downgrades For February 3, 2020",2020-02-03 09:55:00-05:00,MMSI,positive
834720.0,"Raymond James Upgrades Merit Medical Systems to Outperform, Announces $43 Price Target",2020-02-03 05:48:00-05:00,MMSI,positive
834721.0,Merit Medical Systems Amended 13D Filing From Starboard Value Shows 9% Stake,2020-01-27 16:40:00-05:00,MMSI,positive
834722.0,80 Biggest Movers From Yesterday,2020-01-15 04:48:00-05:00,MMSI,neutral
834723.0,'Starboard Has Build Stake in Merit Medical Systems; Expected to push for changes at medical device manufacturer.' -Bloomberg's Scott Deveau,2020-01-13 16:22:00-05:00,MMSI,positive
834724.0,"Benzinga's Top Upgrades, Downgrades For December 13, 2019",2019-12-13 09:29:00-05:00,MMSI,positive
834725.0,"Benzinga's Top Upgrades, Downgrades For December 12, 2019",2019-12-12 09:59:00-05:00,MMSI,positive
834726.0,Wells Fargo Downgrades Merit Medical Systems to Underweight,2019-12-12 07:12:00-05:00,MMSI,positive
834727.0,Merit Medical Receives FDA Breakthrough Device Designation For WRAPSODY Endovascular Stent Graft System,2019-11-21 09:25:00-05:00,MMSI,positive
834728.0,58 Biggest Movers From Friday,2019-11-04 07:12:00-05:00,MMSI,neutral
834729.0,50 Stocks Moving In Friday's Mid-Day Session,2019-11-01 13:09:00-04:00,MMSI,neutral
834730.0,23 Biggest Movers From Yesterday,2019-11-01 07:30:00-04:00,MMSI,neutral
834731.0,"Mid-Afternoon Market Update: US Markets Down, Dow Loses More Than 200 Points",2019-10-31 14:57:00-04:00,MMSI,negative
834732.0,27 Stocks Moving In Thursday's Mid-Day Session,2019-10-31 11:51:00-04:00,MMSI,neutral
834733.0,Mid-Day Market Update: Markets Dip After Morning Rise; Oil Plunges,2019-10-31 11:35:00-04:00,MMSI,neutral
834734.0,Mid-Morning Market Update: Markets Inch Up; Bristol-Myers Squibb Reports Q3 Beat,2019-10-31 09:56:00-04:00,MMSI,neutral
834735.0,"Piper Jaffray Maintains Overweight on Merit Medical Systems, Lowers Price Target to $30",2019-10-31 09:46:00-04:00,MMSI,negative
834736.0,15 Stocks Moving in Thursday's Pre-Market Session,2019-10-31 09:32:00-04:00,MMSI,neutral
834737.0,"Sidoti & Co. Maintains Buy on Merit Medical Systems, Lowers Price Target to $55",2019-10-31 09:23:00-04:00,MMSI,positive
834738.0,"The Daily Biotech Pulse: Agile Receives Favorable Adcom Verdict, Merit Medical Tumbles On Earnings, 2 Biotechs To Debut",2019-10-31 08:08:00-04:00,MMSI,positive
834739.0,"Bank of America Maintains Underperform on Merit Medical Systems, Lowers Price Target to $30",2019-10-31 08:00:00-04:00,MMSI,positive
834740.0,Merit Medical Systems shares are trading lower after the company reported worse-than-expected Q3 EPS and sales results. The company also cut FY19 EPS and sales guidance below analyst estimates.,2019-10-30 17:35:00-04:00,MMSI,positive
834741.0,"Merit Medical Systems Cuts FY19 EPS Guidance From $1.74-$1.97 To $1.40-$1.46 Vs. $1.75 Est., Sales From $1.007B-$1.029B To $986M-$995M Vs. $1.01B Est.",2019-10-30 16:11:00-04:00,MMSI,positive
834742.0,"Merit Medical Systems Q3 EPS $0.28 Misses $0.45 Estimate, Sales $243M Miss $249.3M Estimate",2019-10-30 16:08:00-04:00,MMSI,positive
834743.0,"Benzinga's Top Upgrades, Downgrades For September 24, 2019",2019-09-24 09:46:00-04:00,MMSI,positive
834744.0,"Oppenheimer Initiates Coverage On Merit Medical Systems with Outperform Rating, Announces $40 Price Target",2019-09-24 06:13:00-04:00,MMSI,positive
834745.0,"Canaccord Genuity Maintains Buy on Merit Medical Systems, Lowers Price Target to $37",2019-09-20 07:53:00-04:00,MMSI,positive
834746.0,10 Biggest Price Target Changes For Tuesday,2019-09-17 08:23:00-04:00,MMSI,neutral
834747.0,"Piper Jaffray Maintains Overweight on Merit Medical Systems, Lowers Price Target to $40",2019-09-17 07:33:00-04:00,MMSI,negative
834748.0,"The Daily Biotech Pulse: Lexicon Snaps Sanofi Diabetes Partnership With $260M Settlement, Celyad Offering, Multiple Sclerosis Conference Gets Underway",2019-09-11 07:09:00-04:00,MMSI,neutral
834749.0,80 Biggest Movers From Yesterday,2019-09-11 05:11:00-04:00,MMSI,neutral
834750.0,50 Stocks Moving In Tuesday's Mid-Day Session,2019-09-10 12:19:00-04:00,MMSI,neutral
834751.0,"UPDATE: Raymond James Downgrades Merit Medical Systems To Market Perform As Firm Has 'been frustrated with recent execution, and have concerns that the acquisitions over the last few years have increased the complexity of the business'",2019-09-10 12:10:00-04:00,MMSI,positive
834752.0,"Benzinga's Top Upgrades, Downgrades For September 10, 2019",2019-09-10 09:38:00-04:00,MMSI,positive
834753.0,Raymond James Downgrades Merit Medical Systems to Market Perform,2019-09-10 07:45:00-04:00,MMSI,positive
834754.0,"The Daily Biotech Pulse: European Nod For Roche, Takeda Recall, Neon Exults On Journal Publication",2019-09-06 07:27:00-04:00,MMSI,neutral
834755.0,"The Daily Biotech Pulse: Cheery Results For Sage's Depression Drug, UniQure Offering, Axsome Aces Study Of Headache Drug",2019-09-05 08:12:00-04:00,MMSI,neutral
834756.0,Stocks That Hit 52-Week Lows On Wednesday,2019-09-04 11:39:00-04:00,MMSI,negative
834757.0,Stocks That Hit 52-Week Lows On Monday,2019-08-26 10:28:00-04:00,MMSI,negative
834758.0,Stocks That Hit 52-Week Lows On Thursday,2019-08-22 11:12:00-04:00,MMSI,negative
834759.0,Stocks That Hit 52-Week Lows On Tuesday,2019-08-20 10:55:00-04:00,MMSI,negative
834760.0,"The Daily Biotech Pulse: FDA Likes Nabriva's Antibiotic, Snubs Sarepta's DMD Drug; Moderna Gets Fast Track Designation For Zika Vaccine",2019-08-20 07:33:00-04:00,MMSI,negative
834761.0,"The Daily Biotech Pulse: Glaukos To Buy Avedro, Mixed Adcom Vote For Gilead, Dynavax Offering",2019-08-08 07:11:00-04:00,MMSI,neutral
834762.0,Stocks That Fell Through 52-Week Lows Wednesday,2019-08-07 14:22:00-04:00,MMSI,negative
834763.0,"The Daily Biotech Pulse: Novartis Stands By Zolgensma, GW Pharma Q2 Propelled By Epidiolex Sales, Ionis-Akcea Clinical Readout",2019-08-07 07:34:00-04:00,MMSI,neutral
834764.0,"Top 10 Most Oversold Stocks Via Benzinga Pro's Screener Tool For Mon., July 29, 2019",2019-07-29 12:24:00-04:00,MMSI,positive
834765.0,62 Biggest Movers From Friday,2019-07-29 05:47:00-04:00,MMSI,neutral
834766.0,Stocks That Managed to Breach 52-Week Lows Friday,2019-07-26 15:45:00-04:00,MMSI,negative
834767.0,Mid-Afternoon Market Update: eHealth Surges After Strong Q2 Results; Neuralstem Shares Drop,2019-07-26 15:16:00-04:00,MMSI,positive
834768.0,"Top 10 Most Oversold Stocks Via Benzinga Pro's Screener Tool For Fri., July 26, 2019",2019-07-26 14:21:00-04:00,MMSI,positive
834769.0,45 Stocks Moving In Friday's Mid-Day Session,2019-07-26 14:17:00-04:00,MMSI,neutral
834770.0,Mid-Day Market Update: Smith Micro Software Jumps On Upbeat Q2 Results; Merit Medical Systems Shares Plunge,2019-07-26 13:23:00-04:00,MMSI,positive
834771.0,Mid-Morning Market Update: Markets Open Higher; Twitter Reports Upbeat Sales,2019-07-26 10:19:00-04:00,MMSI,neutral
834772.0,What Caused The Opening Gap In Merit Medical Systems?,2019-07-26 10:15:00-04:00,MMSI,positive
834773.0,"Benzinga's Top Upgrades, Downgrades For July 26, 2019",2019-07-26 10:12:00-04:00,MMSI,positive
834774.0,28 Healthcare Stocks Moving In Today's Pre-Market Session,2019-07-26 10:09:00-04:00,MMSI,neutral
834775.0,Merit Medical Systems shares are trading lower after the company reported Q2 EPS and sales results.,2019-07-26 09:43:00-04:00,MMSI,positive
834776.0,Needham Downgrades Merit Medical Systems to Hold,2019-07-26 09:09:00-04:00,MMSI,positive
834777.0,"Canaccord Genuity Maintains Buy on Merit Medical Systems, Lowers Price Target to $53",2019-07-26 07:50:00-04:00,MMSI,positive
834778.0,32 Stocks Moving In Friday's Pre-Market Session,2019-07-26 07:28:00-04:00,MMSI,neutral
834779.0,"The Daily Biotech Pulse: Obseva Gets The Greenlight, Verastem Climbs On Licensing Deal, Merit Medical Earnings Disappoint",2019-07-26 07:26:00-04:00,MMSI,neutral
834780.0,Wells Fargo Downgrades Merit Medical Systems to Market Perform,2019-07-26 06:55:00-04:00,MMSI,positive
834781.0,30 Healthcare Stocks Moving In Thursday's After-Market Session,2019-07-26 04:36:00-04:00,MMSI,neutral
834782.0,"The Daily Biotech Pulse: Setback For Bristol-Myers Squibb, Gemphire Explodes, Lilly's Nasal Low Blood Sugar Drug",2019-07-25 07:21:00-04:00,MMSI,negative
834783.0,The Week Ahead In Biotech: Pharma Earnings Pick Up Pace,2019-07-20 09:53:00-04:00,MMSI,neutral
834784.0,Merit Medical To Acquire Brightwater Medical For $35M Upfront,2019-06-17 14:58:00-04:00,MMSI,positive
834785.0,Merit Medical Acquires Brightwater Medical For $35M Upfront And $15M In Potential Milestones Based On Receipt Of CE Mark Approval,2019-06-17 09:28:00-04:00,MMSI,positive
834786.0,"Merit Medical Systems Wins Int'l. Fluid Mgmt. Deal With Premier, No Terms Disclosed",2019-06-11 09:27:00-04:00,MMSI,positive
834787.0,"Companies Which Will Be Presenting At LD Micro's 9th Annual Micro Invitational Tues., Jun. 4, 2019",2019-06-03 16:57:00-04:00,MMSI,neutral
834788.0,Shares of many healthcare companies are trading lower following a tweet from President Trump late Thursday stating the US will impose a 5 percent tariff on goods from Mexico.,2019-05-31 10:25:00-04:00,MMSI,negative
834789.0,"The Daily Biotech Pulse: FDA Greenlights AbbVie's Psoriasis Drug, Novartis Earnings, Patent Notification For MediciNova",2019-04-24 08:09:00-04:00,MMSI,neutral
834790.0,"The Daily Biotech Pulse: FDA Accepts Alder's Migraine Drug Application, Gritstone Offering, Lilly's Chinese Sale",2019-04-23 08:08:00-04:00,MMSI,positive
834791.0,"The Week Ahead In Biotech: Conferences, Clinical Trial Readouts, Earnings And IPOs",2019-04-21 14:06:00-04:00,MMSI,neutral
834792.0,Shares of several medical device companies are trading lower with the healthcare sector. Healthcare has seen weakness recently due to concerns over the future of the Affordable Act under Trump and healthcare policy uncertainty ahead of the 2020 election.,2019-04-17 12:45:00-04:00,MMSI,negative
834793.0,Merit Medical Systems shares are trading higher after the company beat Q4 EPS and sales estimates.,2019-02-27 11:59:00-05:00,MMSI,positive
834794.0,"Merit Medical Sees FY19 Adj. EPS $1.97-$2.08 vs $1.97 Est., Sales $1.01B-$1.03B vs $1.01B Est.",2019-02-26 16:54:00-05:00,MMSI,positive
834795.0,"Merit Medical Systems Q4 Adj. EPS $0.48 Beats $0.45 Estimate, Sales $233.2M Beat $230.39M Estimate",2019-02-26 16:52:00-05:00,MMSI,positive
834796.0,"The Daily Biotech Pulse: Immunomedics CEO Departs, Ultragenyx Offering, Karyopharm Awaits FDA Panel Vote",2019-02-26 07:56:00-05:00,MMSI,positive
834797.0,"The Week Ahead In Biotech: Conferences, PDUFA Dates, Clinical Trials, Earnings, IPOs",2019-02-22 13:55:00-05:00,MMSI,neutral
834798.0,Merit Medical Acquires Assets Of Vascular Insights For $40M Plus Up To $20M In Additional Milestone Payments,2018-12-17 09:26:00-05:00,MMSI,positive
834799.0,NinePoint Medical Announces FDA Clearance Of An Artificial Intelligence Software Upgrade For The NvisionVLE Imaging System,2018-11-05 08:20:00-05:00,MMSI,positive
834800.0,"Merit Medical Systems Q3 EPS $0.47 Beats $0.42 Estimate, Sales $221.659M Beat $216.94M Estimate",2018-10-25 16:40:00-04:00,MMSI,positive
834801.0,"Stocks Which Set New 52-Week High Yesterday, October 2nd",2018-10-03 12:59:00-04:00,MMSI,neutral
834802.0,"The Daily Biotech Pulse: Endologix's Q3 Sales, Obseva's Positive Trial Results, Kala To Offer Shares",2018-10-03 07:54:00-04:00,MMSI,positive
834803.0,"The Daily Biotech Pulse: TransEnterix's Positive Pre-Announcement, Merit Medical Opens Wallet, GW Pharma To Offer ADS Shares",2018-10-02 09:10:00-04:00,MMSI,positive
834804.0,"Merit Medical To Acquire Cianna Medical, Inc. For Upfront Payment Of $135M With Potential Earn-Out Payments Of $15M And Up To $50M In Sales Milestones",2018-10-01 16:02:00-04:00,MMSI,positive
834805.0,"Stocks Which Set New 52-Week High Friday, September 14th",2018-09-17 09:28:00-04:00,MMSI,neutral
834806.0,"Stocks Which Set New 52-Week High Friday, September 7th",2018-09-10 16:36:00-04:00,MMSI,neutral
834807.0,"Stocks That Made New 52-Week Highs Yesterday, September 6th",2018-09-07 16:47:00-04:00,MMSI,neutral
834808.0,Merit Medical Reports Pricing Of 3.5M Share Common Stock Offering At $54/Share,2018-07-25 18:21:00-04:00,MMSI,positive
834809.0,"Stocks Which Set New 52-Week High Yesterday, July 24th:",2018-07-25 12:14:00-04:00,MMSI,neutral
834810.0,"Benzinga's Daily Biotech Pulse: Merck's Keytruda Found Effective, Nabriva To Acquire Zavante, FDA Denies Agile",2018-07-25 08:41:00-04:00,MMSI,positive
834811.0,Merit Medical Reports Commencement Of 3.5M Share Common Stock Offering,2018-07-24 16:13:00-04:00,MMSI,positive
834812.0,"Benzinga's Daily Biotech Pulse: Celgene's Lymphoma Trial Meets Endpoint, Merit Medical's Strong Q2, Bluebird Bio Offering",2018-07-24 08:53:00-04:00,MMSI,positive
834813.0,25 Stocks Moving In Tuesday's Pre-Market Session,2018-07-24 08:02:00-04:00,MMSI,neutral
834814.0,"UPDATE: Merit Medical CEO Says Of Q2 Results: 'Recently, a competitor experienced substantial global shortages due to internal issues...Consequently, we are raising our 2018 revenue, GAAP EPS and non-GAAP EPS forecasts'",2018-07-23 16:16:00-04:00,MMSI,positive
834815.0,"Merit Medical Raises FY18 Outlook: Sales From $838M-$851M To $870M-$880M vs $849.8M Estimate, Adj. EPS From $1.57-$1.69 To $1.60-$1.70 vs $1.65 Est.",2018-07-23 16:05:00-04:00,MMSI,positive
834816.0,Merit Medical Raises Guidance,2018-07-23 16:02:00-04:00,MMSI,positive
834817.0,"Merit Medical Systems Q2 EPS $0.43 Beats $0.40 Estimate, Sales $224.81M Beat $214.67M Estimate",2018-07-23 16:02:00-04:00,MMSI,positive
834818.0,A Preview Of Merit Medical Systems Earnings,2018-07-23 08:58:00-04:00,MMSI,positive
834819.0,"Earnings Scheduled For July 23, 2018",2018-07-23 04:38:00-04:00,MMSI,neutral
834820.0,"Benzinga's Daily Biotech Pulse: Amgen Resubmits Osteoporosis Drug BLA, Auris Medical Prices Offering",2018-07-13 08:34:00-04:00,MMSI,neutral
834821.0,58 Biggest Movers From Yesterday,2018-06-01 04:47:00-04:00,MMSI,neutral
834822.0,44 Stocks Moving In Thursday's Mid-Day Session,2018-05-31 12:42:00-04:00,MMSI,neutral
834823.0,"Benzinga's Daily Biotech Pulse: Clinical Hold For Crispr, Gilead Study Meets Endpoint, Akers Gets Grace Time",2018-05-31 08:22:00-04:00,MMSI,positive
834824.0,"Benzinga's Daily Biotech Pulse: Eiger And Melinta Fall On Offerings, Apellis And Marinus Rise On Bullish Ratings",2018-05-24 08:37:00-04:00,MMSI,neutral
834825.0,"Benzinga's Daily Biotech Pulse: Melinta, Ardelyx Pull Back On Offerings, Insys Awaits FDA Verdict",2018-05-22 08:05:00-04:00,MMSI,positive
834826.0,"Benzinga's Daily Biotech Pulse: AstraZeneca's Q1, Novartis-Amgen Migraine Drug Approved",2018-05-18 08:00:00-04:00,MMSI,positive
834827.0,"Benzinga's Daily Biotech Pulse: FDA Panel Nod For Akcea, Synergy's Revenue Miss, FDA Warns E-Liquid Makers Again",2018-05-11 08:21:00-04:00,MMSI,negative
834828.0,"Merit Medical  Q1 Adj. EPS $0.31 Beats $0.29 Est., Sales $203.0M Beats $192.6M Est.",2018-04-25 16:28:00-04:00,MMSI,positive
834829.0,"Benzinga's Top Upgrades, Downgrades For April 20, 2018",2018-04-20 09:16:00-04:00,MMSI,positive
834830.0,"Needham Initiates Coverage On Merit Medical Systems with Buy Rating, Announces $53.00 Price Target",2018-04-20 07:29:00-04:00,MMSI,positive
834831.0,"Canaccord Genuity Maintains Buy on Merit Medical Systems, Raises Price Target to $57.00",2018-03-01 11:36:00-05:00,MMSI,positive
834832.0,Barrington Research Upgrades Merit Medical Systems to Outperform,2018-03-01 09:43:00-05:00,MMSI,positive
834833.0,Merit Medical Sees 2018 EPS $1.57-$1.69 vs. $1.51 Est.,2018-02-28 16:17:00-05:00,MMSI,positive
834834.0,"Merit Medical Reports Q4 EPS $0.33 vs. $0.32 Est., Sales $190.9M vs. $187.62M Est.",2018-02-28 16:02:00-05:00,MMSI,positive
834835.0,"Becton, Dickinson Offers Statement Related To Merit Medical's Purchase Co.'s Soft Tissue Core Needle Biopsy Product Line, CR Bards Aspira Line",2017-11-16 06:38:00-05:00,MMSI,positive
834836.0,"Merit Medical Systems Reports Purchase With BD For Divestment Assets, Valued At $100M",2017-11-16 06:32:00-05:00,MMSI,positive
834837.0,"Merit Medical Lowers FY17 GAAP EPS From $0.80-$0.86 To $0.55-$0.61; Maintains Non-GAAP EPS $1.23-$1.28 vs $1.26 Est, Sales $722-$727M vs $725M Est.",2017-10-25 16:43:00-04:00,MMSI,positive
834838.0,"Merit Medical Reports Q3 EPS $0.32 vs $0.30 Est., Sales $179.3M vs $181M Est.",2017-10-25 16:42:00-04:00,MMSI,positive
834839.0,"Benzinga's Top Upgrades, Downgrades For August 28, 2017",2017-08-28 09:24:00-04:00,MMSI,positive
834840.0,Raymond James Downgrades Merit Medical Systems to Outperform,2017-08-28 07:45:00-04:00,MMSI,positive
834841.0,"Lightning Round: Jim Cramer Weighs In On Juno Therapeutics, Halliburton And More",2017-08-18 07:54:00-04:00,MMSI,neutral
834842.0,18 Biggest Mid-Day Gainers For Thursday,2017-07-27 12:29:00-04:00,MMSI,neutral
834843.0,"Merit Medical Reports 2 Adj. EPS $0.36 vs $0.29 Est., Adj. Sales $188.7M vs $181.46M Est.",2017-07-26 16:46:00-04:00,MMSI,positive
834844.0,"Bank of America Initiates Coverage On Merit Medical Systems with Buy Rating, Announces $44.00 Price Target",2017-07-20 08:55:00-04:00,MMSI,positive
834845.0,Merit Medical Reports Embosphere Microspheres Received FDA 513(f)(2) Classification For Prostatic Artery Embolization Indication,2017-06-22 09:32:00-04:00,MMSI,positive
834846.0,"Benzinga's Top Upgrades, Downgrades For June 20, 2017",2017-06-20 09:27:00-04:00,MMSI,positive
834847.0,"SunTrust Robinson Humphrey Initiates Coverage On Merit Medical Systems with Buy Rating, Announces $43.00 Price Target",2017-06-20 07:21:00-04:00,MMSI,positive
834848.0,Merit Medical Systems Reaffirms FY 2017 Guidance,2017-04-27 18:21:00-04:00,MMSI,positive
834849.0,"Merit Medical Q1 EPS $0.28 vs $0.23 Est, Sales $171.1M vs $163.9M Est",2017-04-27 18:21:00-04:00,MMSI,positive
834850.0,"Benzinga's Top Upgrades, Downgrades For April 17, 2017",2017-04-17 09:34:00-04:00,MMSI,positive
834851.0,"Benzinga's Top Upgrades, Downgrades For April 5, 2017",2017-04-05 09:27:00-04:00,MMSI,positive
834852.0,Wells Fargo Initiates Coverage On Merit Medical Systems With Outperform,2017-04-05 06:39:00-04:00,MMSI,positive
834853.0,15 Biggest Mid-Day Losers For Thursday,2017-03-23 12:56:00-04:00,MMSI,negative
834854.0,18 Stocks Moving In Thursday's Pre-Market Session,2017-03-23 08:23:00-04:00,MMSI,neutral
834855.0,Merit Medical Prices 4.5M Share Public Offering of Common Stock @$28.25/Share,2017-03-23 04:11:00-04:00,MMSI,positive
834856.0,Merit Medical Reports $125M Offering Of Common Stock,2017-03-20 16:01:00-04:00,MMSI,positive
834857.0,"Merit Medical Sees Fy17 Revenue $713-$723M vs. Est. $663M, EPS $1.15-$1.20 vs. $1.14 Est.",2017-02-21 16:05:00-05:00,MMSI,positive
834858.0,"Merit Medical Reports Q4 Adj. EPS $0.31 vs. $0.28 Est., Revenue $157.7M vs. $160.4M Est.",2017-02-21 16:04:00-05:00,MMSI,positive
834859.0,Argon Medical Devices Sells Critical Care Platform to Merit Medical Systems; Financial Terms Not Disclosed,2017-02-07 05:53:00-05:00,MMSI,positive
834860.0,"Merit Medical Acquires Products From Argon Medical Devices and Catheter Connections, Inc. For $48M",2017-02-06 09:32:00-05:00,MMSI,positive
834861.0,Canaccord Genuity Medical Technology And Diagnostics Forum Today,2016-11-17 09:56:00-05:00,MMSI,neutral
