Unnamed: 0,title,date,stock,sentiment
837356.0,"Monmouth Real Estate Announces A New Acquisition In Salt Lake City For A 69,734 Square Foot Industrial Building",2020-05-26 16:20:00-04:00,MNR,neutral
837357.0,"Monmouth Real Estate Announces A New Acquisition Of A New 286,281 SQ Doot Industrial Building In Greensboro NC For $47.6M",2020-05-21 16:23:00-04:00,MNR,neutral
837358.0,"JP Morgan Maintains Underweight on Monmouth Real Estate Inv, Lowers Price Target to $14",2020-05-21 09:05:00-04:00,MNR,positive
837359.0,"B. Riley FBR Maintains Buy on Monmouth Real Estate Inv, Lowers Price Target to $16",2020-05-08 09:57:00-04:00,MNR,negative
837360.0,"Monmouth Real Estate Inv Q2 AFFO $0.200 Down From $0.210 YoY, Sales $35.114M Miss $37.730M Estimate",2020-05-06 16:55:00-04:00,MNR,negative
837361.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,MNR,negative
837362.0,Stocks That Hit 52-Week Highs On Tuesday,2020-02-11 10:17:00-05:00,MNR,neutral
837363.0,"Benzinga's Top Upgrades, Downgrades For December 18, 2019",2019-12-18 10:40:00-05:00,MNR,positive
837364.0,JP Morgan Downgrades Monmouth Real Estate Inv to Underweight,2019-12-18 07:14:00-05:00,MNR,positive
837365.0,Stocks That Hit 52-Week Highs On Tuesday,2019-11-26 11:03:00-05:00,MNR,neutral
837366.0,Stocks That Hit 52-Week Highs On Monday,2019-11-04 14:43:00-05:00,MNR,neutral
837367.0,"Monmouth Real Estate Investment Reports Purchase Of New ~616K Sq. Ft. Industrial Building In Greenwood, Indiana For $81.5M",2019-10-10 14:25:00-04:00,MNR,neutral
837368.0,"Benzinga's Top Upgrades, Downgrades For September 6, 2019",2019-09-06 09:37:00-04:00,MNR,positive
837369.0,Compass Point Initiates Coverage On Monmouth Real Estate Inv with Buy Rating,2019-09-06 06:43:00-04:00,MNR,neutral
837370.0,Monmouth Real Estate Inv Q3 FFO $0.21 Down From $0.23 YoY,2019-08-01 16:57:00-04:00,MNR,neutral
837371.0,"Monmouth Real Estate Reports Purchase Of 350K Sq. Ft. Industrial Building In Lafayette, Indiana For $25.54M",2019-07-26 13:11:00-04:00,MNR,neutral
837372.0,"Monmouth Real Estate Q2 Core FFO $0.21, Inline, Sales $32.934M Miss $35.02M Estimate",2019-05-09 17:38:00-04:00,MNR,negative
837373.0,"Benzinga's Top Upgrades, Downgrades For March 8, 2019",2019-03-08 09:04:00-05:00,MNR,positive
837374.0,"JP Morgan Initiates Coverage On Monmouth Real Estate Inv with Neutral Rating, Announces $14 Price Target",2019-03-08 07:00:00-05:00,MNR,positive
