Unnamed: 0,title,date,stock,sentiment
847115.0,"Shares of several energy companies are trading lower as oil prices dip. Concerns of a second wave of the coronavirus have caused economic uncertainty and clouded demand outlook, while a recent build in US crude inventories has led to continued oversupply concerns.",2020-06-11 09:54:00-04:00,MPC,negative
847116.0,"Here's How Much Investing $1,000 In Marathon Oil Stock Back In 2010 Would Be Worth Today",2020-06-10 08:50:00-04:00,MPC,positive
847117.0,Shares of several energy companies are trading lower as equities sell off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up.,2020-06-09 10:35:00-04:00,MPC,positive
847118.0,Shares of several energy companies are trading higher after OPEC+ agreed to extend production cuts into July.,2020-06-08 08:04:00-04:00,MPC,positive
847119.0,"Shares of several energy companies are trading higher amid a gain in oil prices following positive US jobs data and as investors await the OPEC+ conference, hoping for output cuts.",2020-06-05 10:26:00-04:00,MPC,positive
847120.0,"Shares of several oil and energy companies are trading higher amid multiple positive catalysts. Economic recoveries in the US and China have lead to a positive demand outlook, while investors also watch for developments concerning OPEC+ production cut talks.",2020-06-03 10:12:00-04:00,MPC,positive
847121.0,Shares of several oil and gas companies are trading higher as oil prices gain ahead of the OPEC+ output cut meeting expected this week.,2020-06-02 11:34:00-04:00,MPC,positive
847122.0,"Barron's Picks And Pans: Cheniere Energy, Delta Air Lines, Extended Stay And More",2020-05-31 08:20:00-04:00,MPC,positive
847123.0,Oil Volatility Has Driven Demand In The Only 3X US Oil Exchange Traded Products,2020-05-26 13:42:00-04:00,MPC,negative
847124.0,Shares of several energy companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:07:00-04:00,MPC,positive
847125.0,Shares of several energy companies are trading higher after API and EIA data showed a draw in US crude inventories.,2020-05-20 10:35:00-04:00,MPC,negative
847126.0,Shares of several oil stocks are trading higher amid an increase in the price of oil driven by greater-than-expected production cuts.,2020-05-18 07:01:00-04:00,MPC,positive
847127.0,"Morgan Stanley Maintains Overweight on Marathon Petroleum, Raises Price Target to $45",2020-05-13 12:01:00-04:00,MPC,negative
847128.0,"Shares of several energy companies are trading lower. Despite EIA reporting a draw in crude inventories, OPEC cut its 2020 oil demand forecast by 2.2 million barrels per day.",2020-05-13 11:10:00-04:00,MPC,negative
847129.0,"Credit Suisse Maintains Outperform on Marathon Petroleum, Raises Price Target to $41",2020-05-11 09:07:00-04:00,MPC,positive
847130.0,Shares of several energy companies are trading higher after US unemployment figures came in below consensus estimates. Equities have been strong this week amid a rebound in oil prices and some US states easing lockdown restrictions.,2020-05-08 11:51:00-04:00,MPC,positive
847131.0,"Shares of several oil companies are trading higher as oil prices gain. Strength in oil prices is being driven by production cuts, price raises from Saudi Arabia and a rebound in gasoline demand as some states and countries reopen economies.",2020-05-07 10:19:00-04:00,MPC,positive
847132.0,"B of A Securities Reiterates Buy on Marathon Petroleum, Lowers Price Target to $56",2020-05-06 08:08:00-04:00,MPC,positive
847133.0,Marathon Petroleum shares are trading higher after the company reported better-than-expected Q1 results.,2020-05-05 08:34:00-04:00,MPC,positive
847134.0,28 Stocks Moving in Tuesday's Pre-Market Session,2020-05-05 07:16:00-04:00,MPC,neutral
847135.0,"Marathon Petroleum Q1 EPS $(0.160) Beats $(0.260) Estimate, Sales $24.080B Beat $23.910B Estimate",2020-05-05 06:43:00-04:00,MPC,neutral
847136.0,"Earnings Scheduled For May 5, 2020",2020-05-05 04:53:00-04:00,MPC,neutral
847137.0,Shares of several oil and gas companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:30:00-04:00,MPC,negative
847138.0,"GasBuddy Analyst Talks Battered Oil Industry, Why Gasoline Prices Aren't Lower",2020-04-30 17:30:00-04:00,MPC,positive
847139.0,Shares of several oil companies are trading higher as oil prices gain after EIA reported a smaller-than-expected build in crude inventories. Positive sentiment also potentially being driven by some US states reopening and positive trial data from Gilead's coronavirus treatment candidate.,2020-04-29 11:17:00-04:00,MPC,positive
847140.0,Shares of several energy companies are trading higher for the session as some US states ease lockdown restrictions and as investors weigh quarterly earnings from blue chip companies.,2020-04-28 10:53:00-04:00,MPC,positive
847141.0,Marathon Petroleum Reports $1B Revolving Credit Facility,2020-04-27 16:19:00-04:00,MPC,positive
847142.0,"Benzinga's Top Upgrades, Downgrades For April 24, 2020",2020-04-24 09:38:00-04:00,MPC,positive
847143.0,"Citigroup Downgrades Marathon Petroleum to Neutral, Lowers Price Target to $26",2020-04-24 07:44:00-04:00,MPC,negative
847144.0,Shares of several energy companies are trading higher as oil prices rise amid hopes of output cuts by some producers as well as renewed US-Iran tensions in the gulf.,2020-04-23 09:30:00-04:00,MPC,positive
847145.0,"Marathon Petroleum Sees Q1 Net Loss $25M-$250M, Sales And Other Income $24.1B-$26.7B, Adj. EBITDA $1.69B-$1.99B",2020-04-22 17:18:00-04:00,MPC,negative
847146.0,Marathon Petroleum 8-K Shows 7 Actions To Mitigate Impact From Coronavirus Pandemic,2020-04-22 17:17:00-04:00,MPC,neutral
847147.0,Shares of several energy companies are trading higher as oil prices potentially stabilize following recent crash.,2020-04-22 09:52:00-04:00,MPC,positive
847148.0,'An Outlier Event': Experts React To Oil Prices Dropping Below $0,2020-04-21 13:15:00-04:00,MPC,neutral
847149.0,"Shares of several oil stocks are trading lower after the price of oil fell significantly as storage for the commodity runs out and global demand remains depressed. UPDATE: Shares of several names in the space have reversed, sector now mixed.",2020-04-20 07:31:00-04:00,MPC,negative
847150.0,95 Biggest Movers From Friday,2020-04-20 05:00:00-04:00,MPC,neutral
847151.0,Shares of several oil & gas companies are trading higher as equities gain on macro optimism after Gildead's Remdesivir drug showed some effectiveness in treating coronavirus patients. This has raised hopes of a sooner economic recovery.,2020-04-17 10:45:00-04:00,MPC,positive
847152.0,Morning Market Stats in 5 Minutes,2020-04-16 10:21:00-04:00,MPC,neutral
847153.0,Shares of several energy companies are trading lower after OPEC further cut global oil demand forecasts.,2020-04-16 10:15:00-04:00,MPC,negative
847154.0,Shares of several oil stocks are trading lower amid a decline in the price of oil after the International Energy Agency said demand for the commodity is expected to reach a 25-year low.,2020-04-15 08:10:00-04:00,MPC,negative
