Unnamed: 0,title,date,stock,sentiment
854590.0,"Shares of several energy companies are trading lower as oil prices dip. Concerns of a second wave of the coronavirus have caused economic uncertainty and clouded demand outlook, while a recent build in US crude inventories has led to continued oversupply concerns.",2020-06-11 09:54:00-04:00,MRO,negative
854591.0,Shares of several oil and gas companies are trading lower after API reported an 8.42 million barrel build in crude oil inventories.,2020-06-10 10:51:00-04:00,MRO,negative
854592.0,"Here's How Much Investing $1,000 In Marathon Oil Stock Back In 2010 Would Be Worth Today",2020-06-10 08:50:00-04:00,MRO,positive
854593.0,Shares of several energy companies are trading lower as equities sell off following the recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following the run up.,2020-06-09 10:35:00-04:00,MRO,positive
854594.0,"Oil Analyst Expects Deeper Deficit In Q3, Says Demand Will Not Fully Recover Until 2022",2020-06-08 11:59:00-04:00,MRO,negative
854595.0,Shares of several energy companies are trading higher after OPEC+ agreed to extend production cuts into July.,2020-06-08 08:04:00-04:00,MRO,positive
854596.0,"Shares of several energy companies are trading higher amid a gain in oil prices following positive US jobs data and as investors await the OPEC+ conference, hoping for output cuts.",2020-06-05 10:26:00-04:00,MRO,positive
854597.0,"Benzinga's Top Upgrades, Downgrades For May 19, 2020",2020-05-19 10:33:00-04:00,MRO,positive
854598.0,"Piper Sandler Maintains Neutral on Marathon Oil, Raises Price Target to $4",2020-05-19 08:42:00-04:00,MRO,neutral
854599.0,Marathon Oil shares are trading lower after Morgan Stanley downgraded the company's stock from Equal-Weight to Underweight.,2020-05-19 07:17:00-04:00,MRO,neutral
854600.0,Morgan Stanley Downgrades Marathon Oil to Underweight,2020-05-19 06:04:00-04:00,MRO,neutral
854601.0,Shares of several oil stocks are trading higher amid an increase in the price of oil driven by greater-than-expected production cuts.,2020-05-18 07:01:00-04:00,MRO,positive
854602.0,"Shares of several energy companies are trading lower. Despite EIA reporting a draw in crude inventories, OPEC cut its 2020 oil demand forecast by 2.2 million barrels per day.",2020-05-13 11:10:00-04:00,MRO,negative
854603.0,Susquehanna Downgrades Marathon Oil to Neutral,2020-05-08 06:09:00-04:00,MRO,neutral
854604.0,"Credit Suisse Maintains Neutral on Marathon Oil, Raises Price Target to $6",2020-05-07 09:20:00-04:00,MRO,positive
854605.0,"Marathon Oil Q1 Adj. EPS $(0.160) Misses $(0.140) Estimate, Sales $1.230B Beat $1.060B Estimate",2020-05-06 17:17:00-04:00,MRO,negative
854606.0,"Earnings Scheduled For May 6, 2020",2020-05-06 04:36:00-04:00,MRO,neutral
854607.0,"Shares of several oil and gas companies are trading lower amid concerns of the economy reopening along with the tensions between China and the US. UPDATE: Several names in the space have since reversed, sector now mixed.",2020-05-04 07:49:00-04:00,MRO,negative
854608.0,17 Energy Stocks Moving In Monday's Pre-Market Session,2020-05-04 07:43:00-04:00,MRO,positive
854609.0,Shares of several oil and gas companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:30:00-04:00,MRO,negative
854610.0,Shares of several oil companies are trading higher as oil prices gain after EIA reported a smaller-than-expected build in crude inventories. Positive sentiment also potentially being driven by some US states reopening and positive trial data from Gilead's coronavirus treatment candidate.,2020-04-29 11:17:00-04:00,MRO,positive
854611.0,"Mizuho Maintains Neutral on Marathon Oil, Raises Price Target to $5",2020-04-28 12:13:00-04:00,MRO,neutral
854612.0,Should The Oil Industry Get Bailed Out?,2020-04-27 15:15:00-04:00,MRO,neutral
854613.0,Shares of several energy companies are trading higher as oil prices continue to rebound amid increasing expectations the U.S. will cut production.,2020-04-24 10:15:00-04:00,MRO,positive
854614.0,Shares of several energy companies are trading higher as oil prices rise amid hopes of output cuts by some producers as well as renewed US-Iran tensions in the gulf.,2020-04-23 09:30:00-04:00,MRO,positive
854615.0,"Credit Suisse Downgrades Marathon Oil to Neutral, Announces $4 Price Target",2020-04-23 05:27:00-04:00,MRO,positive
854616.0,Shares of several energy companies are trading higher as oil prices potentially stabilize following recent crash.,2020-04-22 09:52:00-04:00,MRO,positive
854617.0,"B of A Securities Maintains Underperform on Marathon Oil, Raises Price Target to $4",2020-04-20 09:33:00-04:00,MRO,positive
854618.0,"Shares of several oil stocks are trading lower after the price of oil fell significantly as storage for the commodity runs out and global demand remains depressed. UPDATE: Shares of several names in the space have reversed, sector now mixed.",2020-04-20 07:31:00-04:00,MRO,negative
