Unnamed: 0,title,date,stock,sentiment
865115.0,"Shares of several financial service companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. The Fed kept rates at zero and noted it could stay there for as long as it takes for the economy to recover.",2020-06-11 10:05:00-04:00,MTB,positive
865116.0,"Shares of several financial services companies are trading lower as markets sell off following recent strength and as investors await today's Federal Reserve decision. UPDATE: Equities spiked following the Fed's decision to leave rates unchanged, with several stocks now up for the session.",2020-06-10 10:22:00-04:00,MTB,positive
865117.0,Shares of several financial services companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.,2020-06-09 10:34:00-04:00,MTB,positive
865118.0,"Morgan Stanley Maintains Equal-Weight on M&T Bank, Raises Price Target to $136",2020-06-08 08:41:00-04:00,MTB,neutral
865119.0,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. A reopening will likely result in an uptick in consumer spending and borrowing.,2020-06-05 11:34:00-04:00,MTB,positive
865120.0,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. A reopening will likely result in more consumer spending and borrowing.,2020-06-05 11:03:00-04:00,MTB,positive
865121.0,"Shares of several financial companies are trading higher despite overall market weakness. Strength potentially related to states reopening, which would boost economic activity, consumer spending and borrowing.",2020-06-04 15:09:00-04:00,MTB,positive
865122.0,Shares of several financial services companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 09:52:00-04:00,MTB,positive
865123.0,Shares of several financial services companies are trading lower amid market volatility as investors await Trump's China press conference later today.,2020-05-29 11:58:00-04:00,MTB,positive
865124.0,"Shares of several financial services companies are trading lower, potentially selling off following recent strength. The sector has been strong recently amid hopes of a pickup in economic activity as US states begin to reopen some businesses.",2020-05-28 10:56:00-04:00,MTB,positive
865125.0,"Shares of several financial services companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 09:54:00-04:00,MTB,positive
865126.0,Shares of several financial services companies are trading higher as equities gain amid coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 10:33:00-04:00,MTB,positive
865127.0,Stocks That Hit 52-Week Lows On Thursday,2020-05-14 10:47:00-04:00,MTB,negative
865128.0,"Shares of several companies in the financial services sector are trading lower amid market weakness, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy. The coronavirus pandemic has slowed economic growth and led to businesses scaling back investment, which has negatively impacted the financial sector.",2020-05-13 11:51:00-04:00,MTB,negative
865129.0,"Compass Point Maintains Neutral on M&T Bank, Lowers Price Target to $110",2020-05-13 09:14:00-04:00,MTB,negative
865130.0,"Shares of several companies in the financial services sector are trading lower. Weakness potentially related to economic uncertainty as a result of the coronavirus pandemic, which has caused businesses to scale back  investment. US states easing lockdown restrictions has led to some investor concerns of a resurgence in cases, which could further hamper economic outlook.",2020-05-12 13:27:00-04:00,MTB,negative
865131.0,"Shares of several financial services companies are trading lower as investors weigh the effects of US states reopening their economies, which has led to concerns of a potential resurgence in coronavirus cases.",2020-05-11 10:17:00-04:00,MTB,neutral
865132.0,Shares of several global financial services companies are trading higher as equities gain after US unemployment figures came in below consensus estimates. Equities have been strong this week amid a rebound in oil prices and some US states easing lockdown restrictions.,2020-05-08 10:08:00-04:00,MTB,positive
865133.0,"Shares of several financial companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-05-07 10:52:00-04:00,MTB,positive
865134.0,"Morgan Stanley Maintains Equal-Weight on M&T Bank, Lowers Price Target to $133",2020-05-06 08:59:00-04:00,MTB,negative
865135.0,"UBS Maintains Neutral on M&T Bank, Raises Price Target to $114",2020-05-04 10:21:00-04:00,MTB,neutral
865136.0,Shares of several global financial services companies are trading lower amid concerns of the economy reopening along with the tensions between China and the US.,2020-05-04 07:34:00-04:00,MTB,negative
865137.0,Shares of several global financial services companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:49:00-04:00,MTB,negative
865138.0,Shares of several global financial services companies are trading lower amid market weakness following US jobless claims and consumer spending data.,2020-04-30 09:57:00-04:00,MTB,negative
865139.0,Shares of several global financial services companies are trading higher for the session as some US states ease lockdown restrictions and as investors weigh quarterly earnings from blue chip companies.,2020-04-28 10:36:00-04:00,MTB,positive
865140.0,"Shares of several global financial services companies are trading higher potentially in sympathy with the overall market on news that some U.S. states plan on reopening their economies in phases, increasing economic activity.",2020-04-27 10:17:00-04:00,MTB,positive
865141.0,"CFRA Maintains Hold on M&T Bank, Lowers Price Target to $109",2020-04-21 13:42:00-04:00,MTB,negative
865142.0,M&T Bank shares are trading higher after the company reported better-than-expected Q1 sales results.,2020-04-20 10:13:00-04:00,MTB,positive
865143.0,Recap: M&T Bank Q1 Earnings,2020-04-20 08:47:00-04:00,MTB,neutral
865144.0,"M&T Bank Q1 EPS $1.95 Misses $2.47 Estimate, Sales $1.506B Beat $1.480B Estimate",2020-04-20 06:39:00-04:00,MTB,negative
865145.0,"5 Stocks To Watch For April 20, 2020",2020-04-20 04:42:00-04:00,MTB,neutral
865146.0,"Earnings Scheduled For April 20, 2020",2020-04-20 04:06:00-04:00,MTB,neutral
