Unnamed: 0,title,date,stock,sentiment
869685.0,Stocks That Hit 52-Week Lows On Thursday,2020-05-14 10:47:00-04:00,MTW,negative
869686.0,"Credit Suisse Maintains Neutral on Manitowoc Co, Lowers Price Target to $10",2020-05-11 09:02:00-04:00,MTW,positive
869687.0,"Citigroup Maintains Neutral on Manitowoc Co, Lowers Price Target to $10",2020-05-11 07:57:00-04:00,MTW,negative
869688.0,"Manitowoc Co Q1 EPS $(0.180) Misses $(0.030) Estimate, Sales $329.200M Miss $358.100M Estimate",2020-05-07 17:34:00-04:00,MTW,negative
869689.0,"Earnings Scheduled For May 7, 2020",2020-05-07 05:02:00-04:00,MTW,neutral
869690.0,Stocks That Hit 52-Week Lows On Tuesday,2020-04-21 10:39:00-04:00,MTW,negative
869691.0,"Benzinga's Top Upgrades, Downgrades For April 20, 2020",2020-04-20 09:32:00-04:00,MTW,positive
869692.0,Manitowoc shares are trading lower after Goldman Sachs downgraded the stock from Buy to Neutral.,2020-04-20 09:02:00-04:00,MTW,neutral
869693.0,Goldman Sachs Downgrades Manitowoc Co to Neutral,2020-04-20 06:15:00-04:00,MTW,neutral
869694.0,"Shares of several industrial companies are trading lower amid overall market weakness. The coronavirus has caused global macro disruption, which has been a negative catalyst for the sector as output and investment outlook is hampered.",2020-04-03 15:20:00-04:00,MTW,negative
869695.0,108 Biggest Movers From Yesterday,2020-03-11 05:34:00-04:00,MTW,neutral
869696.0,"Citigroup Upgrades Manitowoc Co to Neutral, Lowers Price Target to $14",2020-02-14 06:44:00-05:00,MTW,negative
869697.0,80 Biggest Movers From Yesterday,2020-02-11 04:44:00-05:00,MTW,neutral
869698.0,58 Stocks Moving In Monday's Mid-Day Session,2020-02-10 12:14:00-05:00,MTW,neutral
869699.0,95 Biggest Movers From Friday,2020-02-10 05:20:00-05:00,MTW,neutral
869700.0,29 Stocks Moving In Thursday's After-Hours Session,2020-02-06 17:23:00-05:00,MTW,neutral
869701.0,Manitowoc shares trading lower following mixed Q4 results.,2020-02-06 16:54:00-05:00,MTW,neutral
869702.0,Manitowoc Sees FY20 Sales $1.6B-$1.7B vs $1.46B Est.,2020-02-06 16:33:00-05:00,MTW,neutral
869703.0,"Manitowoc Co Q4 Adj. EPS $0.35 Beats $0.3 Estimate, Sales $463.4M Miss $493.27M Estimate",2020-02-06 16:33:00-05:00,MTW,negative
869704.0,"Earnings Scheduled For February 6, 2020",2020-02-06 04:30:00-05:00,MTW,neutral
869705.0,71 Industrials Stocks Moving In Tuesday's Session,2020-01-21 14:54:00-05:00,MTW,neutral
869706.0,6 Farm & Heavy Construction Machinery Stocks Moving In Tuesday's Session,2020-01-21 14:34:00-05:00,MTW,neutral
869707.0,Shares of several industrial companies are trading lower on global macro concerns after Trump implied a US-China trade deal may not occur until 2020.,2019-12-03 09:50:00-05:00,MTW,neutral
869708.0,80 Biggest Movers From Friday,2019-11-11 04:51:00-05:00,MTW,neutral
869709.0,"Benzinga's Top Upgrades, Downgrades For November 8, 2019",2019-11-08 09:33:00-05:00,MTW,positive
869710.0,"Goldman Sachs Upgrades Manitowoc Co to Buy, Raises Price Target to $18",2019-11-08 06:57:00-05:00,MTW,neutral
869711.0,Manitowoc Sees FY19 Sales Guidance $1.85B-$1.88B Vs. $1.89B Est.,2019-11-07 17:34:00-05:00,MTW,neutral
869712.0,"Manitowoc Co Q3 EPS $0.54 Beats $0.34 Estimate, Sales $448M Miss $455.8M Estimate",2019-11-07 17:33:00-05:00,MTW,negative
869713.0,25 Stocks Moving in Tuesday's Pre-Market Session,2019-10-15 07:44:00-04:00,MTW,neutral
869714.0,Stocks That Hit 52-Week Lows On Wednesday,2019-10-09 12:55:00-04:00,MTW,negative
869715.0,Stocks That Hit 52-Week Lows On Tuesday,2019-10-08 12:02:00-04:00,MTW,negative
869716.0,Stocks That Hit 52-Week Lows On Thursday,2019-10-03 13:03:00-04:00,MTW,negative
869717.0,Stocks That Hit 52-Week Lows On Wednesday,2019-10-02 10:55:00-04:00,MTW,negative
869718.0,OTR GLobal Downgrades Manitowoc Co to Negative,2019-09-10 09:38:00-04:00,MTW,negative
869719.0,Stocks That Hit 52-Week Lows On Wednesday,2019-08-28 11:12:00-04:00,MTW,negative
869720.0,"Benzinga's Top Upgrades, Downgrades For August 28, 2019",2019-08-28 09:45:00-04:00,MTW,positive
869721.0,Dougherty & Co. Initiates Coverage On Manitowoc Co with Neutral Rating,2019-08-28 09:15:00-04:00,MTW,neutral
869722.0,Stocks That Hit 52-Week Lows On Tuesday,2019-08-27 11:29:00-04:00,MTW,negative
869723.0,Stocks That Hit 52-Week Lows On Monday,2019-08-26 10:28:00-04:00,MTW,negative
869724.0,"Benzinga's Top Upgrades, Downgrades For August 12, 2019",2019-08-12 09:44:00-04:00,MTW,positive
869725.0,"Baird Downgrades Manitowoc Co to Neutral, Lowers Price Target to $19",2019-08-12 06:47:00-04:00,MTW,negative
869726.0,"Manitowoc Co Q2 EPS $0.94 Beats $0.49 Estimate, Sales $504.7M Miss $509.51M Estimate",2019-08-08 17:17:00-04:00,MTW,negative
869727.0,"Earnings Scheduled For August 8, 2019",2019-08-08 04:05:00-04:00,MTW,neutral
869728.0,"Benzinga's Top Upgrades, Downgrades For July 25, 2019",2019-07-25 09:48:00-04:00,MTW,positive
869729.0,10 Biggest Price Target Changes For Thursday,2019-07-25 09:29:00-04:00,MTW,neutral
869730.0,"RBC Capital Downgrades Manitowoc Co to Sector Perform, Lowers Price Target to $20",2019-07-25 06:34:00-04:00,MTW,negative
869731.0,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",2019-05-17 09:21:00-04:00,MTW,neutral
869732.0,"13F For Icahn Shows Liquidated Stakes In Dell, Manitowoc",2019-05-15 16:11:00-04:00,MTW,neutral
869733.0,Shares of automotive and industrial companies are trading lower amid revamped US-China trade tensions. New tariffs between the two nations could increase input and materials costs for companies in these sectors and harm their overseas operations.,2019-05-13 08:32:00-04:00,MTW,negative
869734.0,Manitowoc Sees FY19 Sales ~$1.9B-$1.975B vs $1.9B Estimate,2019-05-09 16:26:00-04:00,MTW,neutral
869735.0,Manitowoc Raises FY19 Adj. EBITDA Guidance From $125M-$145M To $130M-$150M,2019-05-09 16:24:00-04:00,MTW,neutral
869736.0,"Manitowoc Co Q1 EPS $0.08 Up From $(0.12) YoY, Sales $418M Beat $400.12M Estimate",2019-05-09 16:23:00-04:00,MTW,neutral
869737.0,Shares of automotive and industrial companies are trading lower amid revamped US-China trade tensions. Trump's proposed tariffs could increase input and materials costs for companies in these sectors.,2019-05-09 11:26:00-04:00,MTW,negative
869738.0,Manitowoc Reports $30M Buyback,2019-05-07 17:38:00-04:00,MTW,neutral
869739.0,Manitowoc Co Option Alert: Jun 21 $19 Calls Sweep (29) near the Ask: 1266 @ $0.95 vs 73 OI; Earnings 5/6 After Close [est] Ref=$18.075,2019-04-18 10:56:00-04:00,MTW,positive
869740.0,Shares of several stocks in the industrial and farm & construction equipment sector are trading lower after Lindsay Corp reported significantly worse-than-expected Q2 financial results. Some US industrials may also be affected by the EU and China agreeing to discuss an investment treaty and the issue of industrial subsidies,2019-04-09 10:18:00-04:00,MTW,positive
869741.0,Shares of several industrial and construction stocks are trading higher following strong US construction spending numbers.,2019-04-01 10:32:00-04:00,MTW,positive
869742.0,Manitowoc Settles Action Seeking Damages For Misappropriation of Manitowoc's Trade Secrets,2019-03-21 16:31:00-04:00,MTW,negative
869743.0,Manitowoc Co Option Alert: Mar 15 $19 Calls Sweep (21) near the Ask: 563 @ $0.651 vs 88 OI; Ref=$18.27,2019-02-20 11:41:00-05:00,MTW,positive
869744.0,"Jim Cramer Gives His Opinion On Cronos, Etsy And More",2019-02-12 07:49:00-05:00,MTW,neutral
869745.0,"Manitowoc Sees FY19 Adj. EBITDA $125M-$145M, Sales $1.85B-$1.95B vs $1.95B Estimate",2019-02-07 16:19:00-05:00,MTW,neutral
869746.0,"Manitowoc Q4 EPS $0.16 Beats $0.02 Estimate, Sales $515.3M Beat $487.98M Estimate",2019-02-07 16:19:00-05:00,MTW,neutral
869747.0,"Earnings Scheduled For February 7, 2019",2019-02-07 04:01:00-05:00,MTW,neutral
869748.0,"Stocks Which Set New 52-Week Low Yesterday, Thurs., Dec. 13, 2018",2018-12-14 11:03:00-05:00,MTW,negative
869749.0,"Stocks Which Set New 52-Week Low The Last Trading Session, Fri., Dec. 7, 2018",2018-12-10 11:01:00-05:00,MTW,negative
869750.0,"Shares of Caterpillar and sector-related stocks are moving higher after analysts at Bank of America upgraded Caterpillar shares from Neutral to Buy, citing last week's 'less-hawkish' Fed meeting and a temporary tariff truce between the US and China.",2018-12-03 12:40:00-05:00,MTW,positive
869751.0,"Manitowoc Sees FY18 Adj. EBITDA $105M-$115M, Sales $1.8B-$1.825B vs $1.84B Estimate",2018-11-05 16:11:00-05:00,MTW,neutral
869752.0,"Manitowoc Company, Inc. (The) Q3 EPS $0.20 Beats $0.10 Estimate, Sales $450.1M Miss $452.55M Estimate",2018-11-05 16:11:00-05:00,MTW,negative
869753.0,Q3 Earnings Preview For Manitowoc,2018-11-05 08:09:00-05:00,MTW,neutral
869754.0,"Earnings Scheduled For November 5, 2018",2018-11-05 04:03:00-05:00,MTW,neutral
869755.0,"Stocks Which Set New 52-Week Low Yesterday, October 22nd",2018-10-23 09:54:00-04:00,MTW,negative
