Unnamed: 0,title,date,stock,sentiment
880823.0,"Stifel Maintains Buy on MYR Group, Lowers Price Target to $40",2020-06-10 09:39:00-04:00,MYRG,negative
880824.0,"B. Riley FBR Maintains Neutral on MYR Group, Raises Price Target to $27",2020-05-01 11:18:00-04:00,MYRG,neutral
880825.0,"MYR Group Q1 EPS $0.590 Beats $0.530 Estimate, Sales $518.500M Miss $548.410M Estimate",2020-04-29 16:35:00-04:00,MYRG,negative
880826.0,"Baird Downgrades MYR Group to Neutral, Lowers Price Target to $30",2020-04-24 06:27:00-04:00,MYRG,negative
880827.0,"B. Riley FBR Maintains Neutral on MYR Group, Lowers Price Target to $21",2020-03-17 08:03:00-04:00,MYRG,negative
880828.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,MYRG,negative
880829.0,Kansas City Capital Upgrades MYR Group to Outperform,2020-03-10 06:02:00-04:00,MYRG,neutral
880830.0,101 Biggest Movers From Yesterday,2020-03-06 04:28:00-05:00,MYRG,neutral
880831.0,"MYR Group Q4 EPS $0.76 Beats $0.6 Estimate, Sales $571.1M Beat $545.98M Estimate",2020-03-04 16:14:00-05:00,MYRG,neutral
880832.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,MYRG,negative
880833.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,MYRG,negative
880834.0,"MYR Group Q3 EPS $0.62 Up From $0.48 YoY, Sales $583.2M Up From $399.537M YoY",2019-10-30 17:08:00-04:00,MYRG,neutral
880835.0,"Benzinga's Top Upgrades, Downgrades For September 11, 2019",2019-09-11 10:31:00-04:00,MYRG,positive
880836.0,"Baird Upgrades MYR Group to Outperform, Raises Price Target to $36",2019-09-11 06:24:00-04:00,MYRG,neutral
880837.0,"B. Riley FBR Maintains Neutral on MYR Group, Lowers Price Target to $34",2019-08-02 12:19:00-04:00,MYRG,negative
880838.0,100 Biggest Movers From Yesterday,2019-08-02 05:53:00-04:00,MYRG,neutral
880839.0,72 Stocks Moving In Thursday's Mid-Day Session,2019-08-01 12:16:00-04:00,MYRG,neutral
880840.0,"MYR Group Q2 EPS $0.43 Misses $0.57 Estimate, Sales $448.8M Beat $445.2M Estimate",2019-07-31 16:09:00-04:00,MYRG,negative
880841.0,MYR Group Reports Purchase Of CSI Electrical Contractors For $79.7M,2019-07-15 16:16:00-04:00,MYRG,neutral
880842.0,"Benzinga's Top Upgrades, Downgrades For May 16, 2019",2019-05-16 09:19:00-04:00,MYRG,positive
880843.0,"Stifel Nicolaus Upgrades MYR Group, Inc. - Common Stock to Buy, Raises Price Target to $39",2019-05-16 06:33:00-04:00,MYRG,neutral
880844.0,"MYR Group Q1 EPS $0.44 Beats $0.39 Estimate, Sales $468.1M Beat $400.12M Estimate",2019-05-01 17:50:00-04:00,MYRG,neutral
880845.0,64 Biggest Movers From Yesterday,2019-03-08 05:22:00-05:00,MYRG,neutral
880846.0,51 Stocks Moving In Thursday's Mid-Day Session,2019-03-07 12:32:00-05:00,MYRG,neutral
880847.0,MYR Group shares are trading higher after the company reported better-than-expected Q4 EPS and sales.,2019-03-07 10:37:00-05:00,MYRG,positive
880848.0,"MYR Group Q4 EPS $0.64 Beats $0.52 Estimate, Sales $446.3M Beat $398.51M Estimate",2019-03-06 16:20:00-05:00,MYRG,neutral
880849.0,"Earnings Scheduled For March 6, 2019",2019-03-06 04:02:00-05:00,MYRG,neutral
880850.0,"Stocks Which Set New 52-Week Low The Last Trading Session, Fri., Dec. 7, 2018",2018-12-10 11:01:00-05:00,MYRG,negative
880851.0,"MYR Group, Inc. Q3 EPS $0.48 Misses $0.54 Estimate, Sales $399.54M Miss $404.01M Estimate",2018-10-31 16:13:00-04:00,MYRG,negative
880852.0,66 Biggest Movers From Friday,2018-08-06 05:36:00-04:00,MYRG,neutral
880853.0,Baird Downgrades MYR Group to Neutral,2018-08-03 06:49:00-04:00,MYRG,neutral
880854.0,"MYR Group Q2 EPS $0.41 Beats $0.40 Estimate, Contract Sales $339.676M Miss $362.21M Estimate",2018-08-01 16:02:00-04:00,MYRG,negative
880855.0,MYR Group Acquires The Huen Electric Companies For $47.1M,2018-07-03 08:01:00-04:00,MYRG,neutral
880856.0,55 Biggest Movers From Yesterday,2018-05-04 04:41:00-04:00,MYRG,neutral
880857.0,37 Stocks Moving In Thursday's Mid-Day Session,2018-05-03 13:39:00-04:00,MYRG,neutral
880858.0,MYR Group Shares Up 17.3% After Co. Wednesday Reported Q1 Beat,2018-05-03 11:37:00-04:00,MYRG,positive
880859.0,"MYR Group Q1 EPS $0.34 Beats $0.19 Est., Sales $345.6M Beats $320.64M Est",2018-05-02 16:31:00-04:00,MYRG,neutral
880860.0,"UPDATE: MYR Names Independent Director, Kenneth Hartwick, As Replacement At Chair",2018-04-02 16:05:00-04:00,MYRG,neutral
880861.0,MYR Group 8-K Shows Chair William Koertner Resigned,2018-04-02 16:04:00-04:00,MYRG,negative
880862.0,"Earnings Scheduled For March 7, 2018",2018-03-07 04:26:00-05:00,MYRG,neutral
880863.0,"MYR Group Q3 EPS $0.31 vs $0.34 Est., Sales $373.5M vs $350.8M Est.",2017-11-01 16:30:00-04:00,MYRG,neutral
880864.0,MYR Group Reports Sturgeon Electric Co. Unit Partnering With Kiewit Meridiam Partners For Electrical Construction Of $1.2B Central 70 Project In Denver,2017-09-07 16:52:00-04:00,MYRG,neutral
880865.0,25 Biggest Mid-Day Losers For Thursday,2017-08-03 13:02:00-04:00,MYRG,negative
880866.0,MYR Group Announces $20M Buyback,2017-08-02 16:21:00-04:00,MYRG,neutral
880867.0,"MYR Group Reports Q2 EPS $0.07 vs $0.31 In Same Qtr. Last Year, Sales $356.2M vs $310.57M Est.",2017-08-02 16:21:00-04:00,MYRG,neutral
880868.0,MYR Group Shares Offer A Good Business At A Good Price,2017-05-05 10:50:00-04:00,MYRG,positive
880869.0,"Baird Upgrades MYR Group to Outperform, Announces $41.00 Price Target",2017-05-05 07:28:00-04:00,MYRG,neutral
880870.0,20 Biggest Mid-Day Losers For Thursday,2017-05-04 12:56:00-04:00,MYRG,negative
880871.0,"MYR Group Reports Q1 EPS $0.07 May Not Compare To $0.29 Est., Sales $300.129M vs $296.7M Est.",2017-05-03 16:42:00-04:00,MYRG,neutral
880872.0,"MYR Group Reports Q4 EPS $0.48 vs. $0.40 Est., Sales $343.7M vs. $291.69M Est.",2017-03-09 16:39:00-05:00,MYRG,neutral
880873.0,"Earnings Scheduled For March 9, 2017",2017-03-09 05:07:00-05:00,MYRG,neutral
880874.0,How To Trade The Expected Expansion In U.S. Infrastructure Spending,2017-02-15 10:54:00-05:00,MYRG,neutral
