Unnamed: 0,title,date,stock,sentiment
902946.0,NICE Actimize to Acquire Guardian Analytics; Term Not Disclosed,2020-06-04 07:39:00-04:00,NICE,positive
902947.0,Stocks That Hit 52-Week Highs On Wednesday,2020-06-03 10:45:00-04:00,NICE,neutral
902948.0,Stocks That Hit 52-Week Highs On Tuesday,2020-06-02 10:33:00-04:00,NICE,neutral
902949.0,Stocks That Hit 52-Week Highs On Tuesday,2020-05-26 10:32:00-04:00,NICE,neutral
902950.0,NICE inContact Reports Its NICE Business To Partner With Zendesk To Support Contact Centers,2020-05-21 06:30:00-04:00,NICE,positive
902951.0,"Morgan Stanley Maintains Equal-Weight on NICE, Raises Price Target to $156",2020-05-15 08:56:00-04:00,NICE,positive
902952.0,"Shares of several technology companies are trading lower amid market weakness, selling off from recent sector strength. Equities have moved lower for the session following US unemployment data and recent cautious comments from the WHO. Sentiment is also negative following cautious comments from Fed Chair Powell and bearish outlook from some major US investors on Wednesday.",2020-05-14 10:26:00-04:00,NICE,negative
902953.0,Recap: NICE Q1 Earnings,2020-05-14 09:27:00-04:00,NICE,positive
902954.0,"Earnings Scheduled For May 14, 2020",2020-05-14 05:03:00-04:00,NICE,neutral
902955.0,"Morgan Stanley Maintains Equal-Weight on NICE, Raises Price Target to $144",2020-05-11 09:26:00-04:00,NICE,positive
902956.0,Information Services Group Reports Partnership With NICE,2020-05-04 09:02:00-04:00,NICE,positive
902957.0,"NICE's inContact Unit Partners With Zoom Video Communications For Remote Access, No Terms Disclosed",2020-04-02 06:36:00-04:00,NICE,negative
902958.0,"Morgan Stanley Maintains Equal-Weight on NICE, Lowers Price Target to $133",2020-03-25 10:35:00-04:00,NICE,positive
902959.0,"Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.",2020-03-12 09:02:00-04:00,NICE,negative
902960.0,"Morgan Stanley Maintains Equal-Weight on NICE, Raises Price Target to $173",2020-02-14 09:15:00-05:00,NICE,positive
902961.0,"Wedbush Maintains Outperform on NICE, Raises Price Target to $200",2020-02-14 07:42:00-05:00,NICE,positive
902962.0,"Rosenblatt Maintains Buy on NICE, Raises Price Target to $195",2020-02-14 07:33:00-05:00,NICE,positive
902963.0,"Citigroup Maintains Neutral on NICE, Raises Price Target to $193",2020-02-14 07:05:00-05:00,NICE,positive
902964.0,"NICE Sees Q1 EPS $1.27-$1.37 Vs. $1.32 Est., Sales $406M-$416M Vs. $410.79M Est.; Sees FY20 EPS $5.65-$5.85 Vs. $5.74 Est., Sales $1.69B-$1.71B Vs. $1.71B Est.",2020-02-13 10:06:00-05:00,NICE,positive
902965.0,NICE Earlier Reported A $200M Buyback,2020-02-13 10:04:00-05:00,NICE,positive
902966.0,"NICE Earlier Reported Q4 EPS $1.58 Beats $1.53 Estimate, Sales $431.05M Beat $429.11M Estimate",2020-02-13 10:03:00-05:00,NICE,positive
902967.0,"Earnings Scheduled For February 13, 2020",2020-02-13 04:27:00-05:00,NICE,neutral
902968.0,9 Technology Stocks Moving In Tuesday's Pre-Market Session,2020-01-28 08:26:00-05:00,NICE,neutral
902969.0,"Benzinga's Top Upgrades, Downgrades For January 27, 2020",2020-01-27 09:40:00-05:00,NICE,positive
902970.0,NICE shares are trading lower after JP Morgan downgraded the company's stock from Overweight to Neutral.,2020-01-27 09:18:00-05:00,NICE,positive
902971.0,"JP Morgan Downgrades NICE to Neutral, Announces $163 Price Target",2020-01-27 06:18:00-05:00,NICE,positive
