Unnamed: 0,title,date,stock,sentiment
904128.0,"Wells Fargo Maintains Equal-Weight on New Jersey Resources, Lowers Price Target to $38",2020-05-11 10:55:00-04:00,NJR,positive
904129.0,New Jersey Resources: Q2 Earnings Insights,2020-05-08 09:02:00-04:00,NJR,neutral
904130.0,"New Jersey Resources Q2 EPS $1.120 Misses $1.480 Estimate, Sales $639.614M Down From $866.255M YoY",2020-05-08 07:19:00-04:00,NJR,negative
904131.0,"Earnings Scheduled For May 8, 2020",2020-05-08 04:20:00-04:00,NJR,neutral
904132.0,"B of A Securities Reinstates Underperform on New Jersey Resources, Announces $31 Price Target",2020-04-23 07:20:00-04:00,NJR,positive
904133.0,Shares of several utilities companies are trading lower amid market volatility. Sunday's fiscal stimulus bill failed a procedural senate vote while the Fed on Monday announced stimulus measures.,2020-03-23 11:44:00-04:00,NJR,negative
904134.0,Guggenheim Earlier Upgraded New Jersey Resources to Neutral,2020-03-16 12:50:00-04:00,NJR,neutral
904135.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,NJR,negative
904136.0,Stocks That Hit 52-Week Lows On Wednesday,2020-03-11 11:41:00-04:00,NJR,negative
904137.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,NJR,negative
904138.0,Stocks That Hit 52-Week Lows On Thursday,2020-02-27 10:23:00-05:00,NJR,negative
904139.0,"New Jersey Resources Q1 EPS $0.97 Beats $0.8 Estimate, Sales $615.036M Miss $853M Estimate",2020-02-06 07:32:00-05:00,NJR,negative
904140.0,"Benzinga's Top Upgrades, Downgrades For January 8, 2020",2020-01-08 10:56:00-05:00,NJR,positive
904141.0,Guggenheim Downgrades New Jersey Resources to Sell,2020-01-08 09:59:00-05:00,NJR,neutral
904142.0,3 Utilities Stocks Moving In Thursday's Pre-Market Session,2019-12-05 08:31:00-05:00,NJR,neutral
904143.0,40 Stocks Moving in Thursday's Pre-Market Session,2019-12-05 07:30:00-05:00,NJR,neutral
904144.0,NJR Announces $235M Common Stock Offering,2019-12-04 16:33:00-05:00,NJR,neutral
904145.0,"New Jersey Resources Q4 EPS $0.29, Inline, Sales $479.081M Miss $689M Estimate",2019-11-19 07:14:00-05:00,NJR,negative
904146.0,"Earnings Scheduled For November 19, 2019",2019-11-19 04:01:00-05:00,NJR,neutral
904147.0,Stocks That Hit 52-Week Lows On Tuesday,2019-11-12 10:52:00-05:00,NJR,negative
904148.0,Stocks That Hit 52-Week Lows On Thursday,2019-11-07 12:16:00-05:00,NJR,negative
904149.0,Stocks That Hit 52-Week Lows On Monday,2019-11-04 14:45:00-05:00,NJR,negative
904150.0,Stocks That Hit 52-Week Lows On Thursday,2019-10-03 13:03:00-04:00,NJR,negative
904151.0,New Jersey Resources Raises Qtr. Dividend From $0.2925 To $0.3125/Share,2019-09-10 14:03:00-04:00,NJR,neutral
904152.0,"New Jersey Resources On Sept 3, Entered Into A Membership Interest Purchase Agreement With Leaf River Energy Holdings, Llc; NJR Pipeline Will Acquire 100% Of Issued And Outstanding Limited Liability Company Interests Of Leaf River Energy Center",2019-09-05 16:20:00-04:00,NJR,positive
904153.0,"New Jersey Resources Reports Chair, CEO Laurence Downes To Retire; Steve Westhoven Named Successor",2019-07-12 07:00:00-04:00,NJR,positive
904154.0,"Benzinga's Top Upgrades, Downgrades For July 11, 2019",2019-07-11 09:23:00-04:00,NJR,positive
904155.0,Guggenheim Upgrades New Jersey Resources to Neutral,2019-07-11 06:51:00-04:00,NJR,neutral
