Unnamed: 0,title,date,stock,sentiment
953258.0,"Shares of several communication companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus.",2020-06-11 10:16:00-04:00,OMC,positive
953259.0,Shares of several communication companies are trading lower amid market weakness as investors await today's Federal Reserve decision and update on the state of the economy. Markets have sold off over the past few sessions following a recent surge.,2020-06-10 10:47:00-04:00,OMC,negative
953260.0,Shares of several communication services companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.,2020-06-09 11:00:00-04:00,OMC,positive
953261.0,"Shares of several communication companies are trading higher on continued upward momentum surrounding the economy reopening, which would increase consumer spending and economic activity. New York City moved into phase one of its reopening plan on Monday.",2020-06-08 11:37:00-04:00,OMC,positive
953262.0,Shares of several communication companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.,2020-06-05 09:50:00-04:00,OMC,positive
953263.0,Shares of several communication companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03 10:46:00-04:00,OMC,positive
953264.0,"Shares of several communications companies are trading higher amid economic optimism, stemming from some US states reopening businesses, an increase in mortgage demand figures and positive vaccine sentiment.",2020-05-27 10:00:00-04:00,OMC,positive
953265.0,Shares of several communication companies are trading higher as equities gain amid coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 10:41:00-04:00,OMC,positive
953266.0,"Cramer Shares His Thoughts On DraftKings, Wells Fargo And More",2020-05-08 07:52:00-04:00,OMC,positive
953267.0,"CFRA Maintains Hold on Omnicom Group, Lowers Price Target to $60",2020-04-28 12:16:00-04:00,OMC,negative
953268.0,Omnicom Group: Q1 Earnings Insights,2020-04-28 11:29:00-04:00,OMC,neutral
953269.0,"Morgan Stanley Maintains Underweight on Omnicom Group, Lowers Price Target to $57",2020-04-28 09:18:00-04:00,OMC,negative
953270.0,"Omnicom Group Q1 EPS $1.190 Beats $1.140 Estimate, Sales $3.406B Beat $3.360B Estimate",2020-04-28 06:25:00-04:00,OMC,neutral
953271.0,"Earnings Scheduled For April 28, 2020",2020-04-28 04:55:00-04:00,OMC,neutral
953272.0,"Shares of several communication companies are trading higher as equities gain strength on news that some U.S. states will reopen their economies in phases, increasing economic activity and optimism around the coronavirus pandemic.",2020-04-27 12:54:00-04:00,OMC,positive
