Unnamed: 0,title,date,stock,sentiment
993462.0,"PEDEVCO FY19 Gross Oil & Gas Sales From Permian, D-J Basins Assets $13M, Up 113% Year Over Year",2020-03-31 16:16:00-04:00,PED,negative
993463.0,"PEDEVCO Reports Purchase Of 8+% Of Ring Energy, No Terms Disclosed; Co. Says Has ~$30M Of Free Cash, No Debt",2019-10-21 08:49:00-04:00,PED,negative
993464.0,"PEDEVCO Shares Resume Trade, Up 0.5% For Session",2019-05-21 14:21:00-04:00,PED,positive
993465.0,Pedevco Raises $18M At A Blended Average Purchase Price Per Share Of $2.16/Share Through Private Offerings To Fund Permian Basin Development; Shares Halted,2019-05-21 14:04:00-04:00,PED,positive
993466.0,Pedevco Shares Halted For Pending News,2019-05-21 13:57:00-04:00,PED,positive
993467.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning Of Tues., Jan. 15, 2019",2019-01-15 10:59:00-05:00,PED,positive
993468.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Mon., Jan. 14, 2019",2019-01-14 14:07:00-05:00,PED,positive
993469.0,"PEDEVCO shares are trading higher after the company entered an agreement to acquire 22,000 Acres in the Permian Basin and raised $15 million.",2019-01-14 09:22:00-05:00,PED,positive
993470.0,"Pacific Energy Development Enters Agreements to Acquire Producing Assets in the Permian and D-J Basins, Financial Terms Not Disclosed",2018-08-01 17:36:00-04:00,PED,positive
993471.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Wed., Jul. 18, 2018",2018-07-18 15:46:00-04:00,PED,positive
993472.0,"PEDEVCO Shares Spike Up 11.2% Over Past 15 Minutes, Up 4.8% To $2.60 For The Session; Not Seeing News To Justify Price Action, Watch For Technical Indicators",2018-07-18 14:28:00-04:00,PED,positive
993473.0,Pedevco 8-K Shows David Steinberg Resigned; Simon Kukes Named CEO,2018-07-12 06:06:00-04:00,PED,negative
993474.0,Pedevco Shares Spike 22% Following 13D Filing From SK Energy Showing New 49.9% Stake In Co.,2018-07-10 12:31:00-04:00,PED,positive
993475.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Tues., Jul. 3, 2018",2018-07-03 10:16:00-04:00,PED,positive
993476.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Mon., Jul. 2, 2018",2018-07-02 10:44:00-04:00,PED,positive
993477.0,Pedevco Shares Up 18.9% After Co. Late Friday Regained Compliance With NYSE American Listing Standards,2018-07-02 09:59:00-04:00,PED,positive
993478.0,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning Of Fri., Jun. 29, 2018",2018-06-29 11:57:00-04:00,PED,positive
993479.0,Pedevco Shares Halted On 14th Circuit Breaker Halt; Penny Stock Up ~534%,2018-06-27 13:14:00-04:00,PED,positive
993480.0,"Shares Of Pedevco Resume Trade, Now Up 407% At $1.51/Share",2018-06-27 12:11:00-04:00,PED,positive
993481.0,"Pedveco Halted on a Circuit Breaker, Shares Up 150%+",2018-06-27 10:32:00-04:00,PED,positive
993482.0,"Pedevco Shares Open, Now Up 52% At $1.05",2017-06-22 15:12:00-04:00,PED,positive
993483.0,UPDATE: Pedevco Says On June 22nd The Company Terminated Its Pending Merger With GOM Holdings,2017-06-22 14:49:00-04:00,PED,neutral
993484.0,Pedevco Says They Recently Entered Into New Non-Binding Letter Of Intent With Hong Kong Based Investor Group,2017-06-22 14:48:00-04:00,PED,neutral
993485.0,Pedevco Halted,2017-06-22 14:41:00-04:00,PED,neutral
993486.0,"Pedevco Shares Halted on Circuit Breaker as Stock Spikes to Session Highs, Now Up ~121%",2017-05-10 12:44:00-04:00,PED,positive
993487.0,"Roth Capital Terminates Buy Rating on Pedevco, Removes $0.70 PT",2015-12-31 13:10:00-05:00,PED,neutral
993488.0,"Roth Capital Initiates Coverage on Pedevco at Buy, Announces $3.00 Pt",2014-07-18 06:34:00-04:00,PED,neutral
993489.0,Pacific Energy Development Announces Drilling Plans for the Recently Acquired Wattenberg Extension Acreage ,2014-04-01 08:32:00-04:00,PED,positive
993490.0,Pacific Energy Announces Offering of Common Shares,2014-02-28 08:18:00-05:00,PED,positive
993491.0,Panasonic to Absorb Wholly-Owned Subsidiaries Panasonic Electronic Devices and Panasonic Electronic Devices Japan,2011-08-31 07:08:00-04:00,PED,neutral
993492.0,Morgan Keegan Has Outperform Rating On Covidien PLC (COV),2011-03-17 07:32:00-04:00,PED,neutral
993493.0,Morgan Keegan Updates On COV Clinical Trials (COV),2011-03-15 07:36:00-04:00,PED,neutral
993494.0,"VeriFone Beats, Ups Guidance - Analyst Blog",2010-05-27 12:30:00-04:00,PED,neutral
993495.0,"New 52-Week Lows (PED, BUSE, FRGB, MTXX)",2009-11-13 10:21:00-05:00,PED,negative
